frequency,raw
20.00,4.35
20.20,4.35
20.40,4.35
20.61,4.35
20.81,4.35
21.02,4.35
21.23,4.35
21.44,4.35
21.66,4.35
21.87,4.35
22.09,4.35
22.31,4.35
22.54,4.35
22.76,4.35
22.99,4.35
23.22,4.35
23.45,4.35
23.69,4.35
23.92,4.35
24.16,4.35
24.40,4.35
24.65,4.35
24.89,4.35
25.14,4.35
25.39,4.35
25.65,4.35
25.91,4.35
26.16,4.35
26.43,4.35
26.69,4.35
26.96,4.35
27.23,4.35
27.50,4.35
27.77,4.35
28.05,4.35
28.33,4.35
28.62,4.35
28.90,4.35
29.19,4.35
29.48,4.35
29.78,4.35
30.08,4.35
30.38,4.35
30.68,4.35
30.99,4.35
31.30,4.35
31.61,4.35
31.93,4.35
32.24,4.35
32.57,4.35
32.89,4.35
33.22,4.35
33.55,4.34
33.89,4.34
34.23,4.34
34.57,4.33
34.92,4.33
35.27,4.33
35.62,4.32
35.97,4.32
36.33,4.32
36.70,4.33
37.06,4.33
37.43,4.33
37.81,4.34
38.19,4.34
38.57,4.35
38.95,4.36
39.34,4.37
39.74,4.38
40.14,4.39
40.54,4.41
40.94,4.42
41.35,4.43
41.76,4.44
42.18,4.46
42.60,4.47
43.03,4.48
43.46,4.50
43.90,4.52
44.33,4.53
44.78,4.54
45.23,4.56
45.68,4.58
46.13,4.60
46.60,4.62
47.06,4.64
47.53,4.66
48.01,4.67
48.49,4.67
48.97,4.68
49.46,4.68
49.96,4.67
50.46,4.67
50.96,4.66
51.47,4.66
51.99,4.65
52.51,4.64
53.03,4.63
53.56,4.62
54.10,4.61
54.64,4.60
55.18,4.59
55.74,4.59
56.29,4.59
56.86,4.58
57.42,4.58
58.00,4.58
58.58,4.59
59.16,4.59
59.76,4.59
60.35,4.59
60.96,4.60
61.57,4.61
62.18,4.61
62.80,4.63
63.43,4.63
64.07,4.64
64.71,4.65
65.35,4.67
66.01,4.68
66.67,4.69
67.33,4.70
68.01,4.69
68.69,4.68
69.37,4.68
70.07,4.67
70.77,4.67
71.48,4.67
72.19,4.67
72.91,4.67
73.64,4.67
74.38,4.67
75.12,4.67
75.87,4.67
76.63,4.67
77.40,4.67
78.17,4.67
78.95,4.67
79.74,4.67
80.54,4.67
81.35,4.67
82.16,4.67
82.98,4.67
83.81,4.67
84.65,4.67
85.50,4.67
86.35,4.67
87.22,4.67
88.09,4.67
88.97,4.67
89.86,4.67
90.76,4.67
91.66,4.67
92.58,4.67
93.51,4.67
94.44,4.67
95.39,4.67
96.34,4.67
97.30,4.67
98.28,4.67
99.26,4.67
100.25,4.67
101.25,4.67
102.27,4.67
103.29,4.67
104.32,4.67
105.37,4.67
106.42,4.67
107.48,4.67
108.56,4.67
109.64,4.67
110.74,4.67
111.85,4.66
112.97,4.65
114.10,4.65
115.24,4.66
116.39,4.67
117.55,4.68
118.73,4.70
119.92,4.74
121.12,4.77
122.33,4.79
123.55,4.82
124.79,4.86
126.03,4.91
127.29,4.93
128.57,4.95
129.85,4.99
131.15,5.00
132.46,5.01
133.79,5.02
135.12,5.02
136.48,5.01
137.84,5.00
139.22,5.00
140.61,5.00
142.02,5.00
143.44,5.00
144.87,5.00
146.32,5.00
147.78,5.00
149.26,5.00
150.75,4.99
152.26,4.98
153.78,4.97
155.32,4.98
156.88,4.99
158.44,5.00
160.03,5.02
161.63,5.04
163.24,5.07
164.88,5.12
166.53,5.14
168.19,5.17
169.87,5.21
171.57,5.24
173.29,5.27
175.02,5.30
