frequency,raw
20,2.32
21,2.64
22,2.95
23,3.25
24,3.53
25,3.80
26,4.06
27,4.31
28,4.55
29,4.77
30,4.98
31,5.18
32,5.36
33,5.52
34,5.67
35,5.83
36,5.98
37,6.10
38,6.22
39,6.36
40,6.48
41,6.58
42,6.68
43,6.78
44,6.88
45,6.97
46,7.06
47,7.13
48,7.20
49,7.27
50,7.33
51,7.41
52,7.48
53,7.53
54,7.60
55,7.66
56,7.69
57,7.73
58,7.77
59,7.81
60,7.85
61,7.88
62,7.91
63,7.96
64,7.99
65,8.03
66,8.05
67,8.07
68,8.11
69,8.14
70,8.16
71,8.19
72,8.21
73,8.22
74,8.22
75,8.22
76,8.20
77,8.20
78,8.20
79,8.20
80,8.20
81,8.20
82,8.20
83,8.20
84,8.20
85,8.20
86,8.20
87,8.20
88,8.20
89,8.20
90,8.20
91,8.20
92,8.20
93,8.19
94,8.18
95,8.17
96,8.17
97,8.18
98,8.20
99,8.22
100,8.25
101,8.28
102,8.31
104,8.34
105,8.37
106,8.39
107,8.42
108,8.46
109,8.49
110,8.53
111,8.57
112,8.61
113,8.64
114,8.66
115,8.69
117,8.72
118,8.75
119,8.78
120,8.81
121,8.83
123,8.85
124,8.86
125,8.87
126,8.87
128,8.86
129,8.84
130,8.84
131,8.84
133,8.85
134,8.86
135,8.87
137,8.87
138,8.86
140,8.84
141,8.82
142,8.79
144,8.76
145,8.73
147,8.70
148,8.66
150,8.63
151,8.60
153,8.57
154,8.54
156,8.52
157,8.51
159,8.50
160,8.51
162,8.53
164,8.54
165,8.54
167,8.53
169,8.51
170,8.49
172,8.47
174,8.43
175,8.40
177,8.37
179,8.33
181,8.30
183,8.27
184,8.24
186,8.23
188,8.22
190,8.20
192,8.19
194,8.17
196,8.16
198,8.14
200,8.12
202,8.08
204,8.05
206,8.01
208,7.98
210,7.95
212,7.93
214,7.91
216,7.89
218,7.87
221,7.85
223,7.83
225,7.81
227,7.79
229,7.76
232,7.74
234,7.71
236,7.68
239,7.65
241,7.61
244,7.57
246,7.53
248,7.49
251,7.45
253,7.42
256,7.40
259,7.38
261,7.36
264,7.33
266,7.29
269,7.25
272,7.21
274,7.17
277,7.14
280,7.12
283,7.09
286,7.07
288,7.03
291,6.98
294,6.92
297,6.87
300,6.83
303,6.79
306,6.75
309,6.70
312,6.66
316,6.62
319,6.57
322,6.53
325,6.49
328,6.45
332,6.41
335,6.36
338,6.32
342,6.27
345,6.22
349,6.17
352,6.13
356,6.09
359,6.05
363,6.01
366,5.97
370,5.93
374,5.89
377,5.85
381,5.80
385,5.76
389,5.71
393,5.67
397,5.64
401,5.59
405,5.53
409,5.47
413,5.40
417,5.34
421,5.29
425,5.25
430,5.20
434,5.14
438,5.08
443,5.02
447,4.97
451,4.93
456,4.89
460,4.84
465,4.78
470,4.73
474,4.68
479,4.64
484,4.59
489,4.53
494,4.46
499,4.39
504,4.34
509,4.30
514,4.25
519,4.19
524,4.13
529,4.07
535,4.02
540,3.96
545,3.91
551,3.86
556,3.80
562,3.74
568,3.69
573,3.63
579,3.56
585,3.49
591,3.42
596,3.36
602,3.30
608,3.23
615,3.18
621,3.13
627,3.07
633,3.00
639,2.93
646,2.87
652,2.81
659,2.75
665,2.68
672,2.61
679,2.55
686,2.49
692,2.41
699,2.33
706,2.25
713,2.19
721,2.13
728,2.06
735,1.98
742,1.92
750,1.86
757,1.80
765,1.72
773,1.64
780,1.57
788,1.51
796,1.44
804,1.36
812,1.29
820,1.23
828,1.17
837,1.10
845,1.02
853,0.95
862,0.88
871,0.83
879,0.77
888,0.70
897,0.64
906,0.59
915,0.53
924,0.47
933,0.40
943,0.34
952,0.28
962,0.22
971,0.15
981,0.10
991,0.05
1001,-0.01
1011,-0.06
1021,-0.13
