frequency,raw
20,12.96
21,12.99
22,13.01
23,13.02
24,13.04
25,13.04
26,13.05
27,13.05
28,13.04
29,13.03
30,13.02
31,13.00
32,12.98
33,12.95
34,12.92
35,12.88
36,12.85
37,12.81
38,12.78
39,12.75
40,12.72
41,12.70
42,12.68
43,12.66
44,12.67
45,12.69
46,12.70
47,12.71
48,12.69
49,12.67
50,12.65
51,12.62
52,12.59
53,12.55
54,12.52
55,12.49
56,12.45
57,12.42
58,12.40
59,12.39
60,12.38
61,12.36
62,12.34
63,12.32
64,12.31
65,12.29
66,12.26
67,12.23
68,12.19
69,12.16
70,12.12
71,12.10
72,12.08
73,12.07
74,12.05
75,12.03
76,12.01
77,12.00
78,11.99
79,11.96
80,11.93
81,11.90
82,11.87
83,11.84
84,11.82
85,11.79
86,11.76
87,11.72
88,11.69
89,11.65
90,11.62
91,11.60
92,11.58
93,11.55
94,11.52
95,11.49
96,11.47
97,11.45
98,11.42
99,11.38
100,11.35
101,11.32
102,11.30
104,11.28
105,11.25
106,11.23
107,11.20
108,11.18
109,11.14
110,11.10
111,11.06
112,11.02
113,10.99
114,10.95
115,10.93
117,10.91
118,10.89
119,10.86
120,10.83
121,10.79
123,10.75
124,10.71
125,10.67
126,10.64
128,10.61
129,10.60
130,10.57
131,10.54
133,10.50
134,10.45
135,10.40
137,10.36
138,10.33
140,10.29
141,10.25
142,10.21
144,10.17
145,10.12
147,10.07
148,10.02
150,9.97
151,9.94
153,9.90
154,9.86
156,9.83
157,9.79
159,9.74
160,9.70
162,9.67
164,9.64
165,9.60
167,9.56
169,9.52
170,9.47
172,9.43
174,9.38
175,9.34
177,9.29
179,9.24
181,9.20
183,9.15
184,9.11
186,9.06
188,9.02
190,8.98
192,8.93
194,8.89
196,8.85
198,8.81
200,8.77
202,8.72
204,8.68
206,8.63
208,8.58
210,8.54
212,8.49
214,8.44
216,8.40
218,8.35
221,8.30
223,8.25
225,8.20
227,8.16
229,8.13
232,8.08
234,8.03
236,7.98
239,7.93
241,7.89
244,7.86
246,7.81
248,7.74
251,7.68
253,7.61
256,7.56
259,7.51
261,7.45
264,7.39
266,7.32
269,7.26
272,7.20
274,7.14
277,7.08
280,7.03
283,6.97
286,6.90
288,6.86
291,6.81
294,6.76
297,6.71
300,6.64
303,6.58
306,6.53
309,6.49
312,6.45
316,6.39
319,6.33
322,6.28
325,6.23
328,6.19
332,6.15
335,6.09
338,6.03
342,5.97
345,5.93
349,5.88
352,5.83
356,5.76
359,5.69
363,5.63
366,5.58
370,5.52
374,5.46
377,5.40
381,5.34
385,5.28
389,5.22
393,5.15
397,5.09
401,5.04
405,4.98
409,4.91
413,4.85
417,4.79
421,4.73
425,4.66
430,4.60
434,4.53
438,4.46
443,4.41
447,4.35
451,4.28
456,4.21
460,4.14
465,4.07
470,4.02
474,3.96
479,3.89
484,3.83
489,3.77
494,3.72
499,3.65
504,3.59
509,3.53
514,3.47
519,3.41
524,3.35
529,3.29
535,3.23
540,3.18
545,3.11
551,3.05
556,2.99
562,2.93
568,2.87
573,2.82
579,2.75
585,2.70
591,2.64
596,2.58
602,2.52
608,2.46
615,2.40
621,2.34
627,2.28
633,2.21
639,2.15
646,2.09
652,2.03
659,1.97
665,1.91
672,1.86
679,1.79
686,1.73
692,1.67
699,1.61
706,1.56
713,1.51
721,1.44
728,1.38
735,1.33
742,1.29
750,1.24
757,1.18
765,1.12
773,1.05
780,1.00
788,0.96
796,0.92
804,0.88
812,0.83
820,0.78
828,0.74
837,0.69
845,0.65
853,0.61
862,0.58
871,0.53
879,0.49
888,0.45
897,0.41
906,0.36
915,0.30
924,0.25
933,0.21
943,0.17
952,0.14
962,0.12
971,0.10
981,0.07
991,0.03
1001,-0.00
1011,-0.04
1021,-0.07
1031,-0.09
1041,-0.12
1052,-0.15
1062,-0.18
1073,-0.21
1084,-0.24
1094,-0.26
1105,-0.27
1116,-0.28
1128,-0.28
1139,-0.29
1150,-0.30
1162,-0.32
1173,-0.34
1185,-0.36
1197,-0.40
1209,-0.43
1221,-0.47
1233,-0.50
1246,-0.53
1258,-0.56
1271,-0.59
1283,-0.61
1296,-0.63
1309,-0.63
1322,-0.64
1335,-0.63
1349,-0.62
1362,-0.61
1376,-0.61
1390,-0.61
1404,-0.61
1418,-0.61
1432,-0.61
1446,-0.61
1461,-0.62
1475,-0.63
1490,-0.64
1505,-0.63
1520,-0.63
1535,-0.61
1550,-0.59
1566,-0.56
1582,-0.53
1597,-0.50
1613,-0.47
1629,-0.45
1646,-0.42
1662,-0.39
1679,-0.35
1696,-0.31
1713,-0.27
1730,-0.23
1747,-0.19
1764,-0.15
1782,-0.13
1800,-0.12
1818,-0.10
1836,-0.07
1854,-0.03
1873,0.01
1892,0.06
1911,0.10
1930,0.13
1949,0.17
1969,0.19
1988,0.21
2008,0.22
2028,0.26
2048,0.29
2069,0.33
2090,0.38
2111,0.42
2132,0.45
2153,0.49
2175,0.51
2196,0.54
2218,0.57
2240,0.60
2263,0.63
2285,0.66
2308,0.68
2331,0.70
2355,0.71
2378,0.71
2402,0.72
2426,0.72
2450,0.71
2475,0.70
2500,0.68
2525,0.66
2550,0.64
2575,0.62
2601,0.60
2627,0.56
2653,0.52
2680,0.47
2707,0.43
2734,0.38
2761,0.33
2789,0.28
2817,0.23
2845,0.18
2873,0.13
2902,0.08
2931,0.03
2960,-0.03
2990,-0.10
3020,-0.17
3050,-0.25
3080,-0.32
3111,-0.38
3142,-0.45
3174,-0.53
3206,-0.61
3238,-0.70
3270,-0.78
3303,-0.84
3336,-0.91
3369,-0.98
3403,-1.06
3437,-1.13
3471,-1.19
3506,-1.26
3541,-1.32
3576,-1.38
3612,-1.42
3648,-1.47
3685,-1.52
3721,-1.56
3759,-1.58
3796,-1.59
3834,-1.59
3873,-1.58
3911,-1.57
3950,-1.54
3990,-1.50
4030,-1.45
4070,-1.42
4111,-1.38
4152,-1.35
4193,-1.32
4235,-1.29
4278,-1.27
4321,-1.26
4364,-1.26
4407,-1.26
4451,-1.26
4496,-1.26
4541,-1.25
4586,-1.23
4632,-1.21
4679,-1.18
4725,-1.15
4773,-1.11
4820,-1.09
4868,-1.06
4917,-1.04
4966,-1.00
5016,-0.98
5066,-0.95
5117,-0.92
5168,-0.89
5220,-0.87
5272,-0.84
5325,-0.79
5378,-0.73
5432,-0.65
5486,-0.55
5541,-0.44
5596,-0.32
5652,-0.18
5709,-0.02
5766,0.16
5823,0.33
5882,0.51
5940,0.71
6000,0.92
6060,1.13
6120,1.34
6182,1.55
6244,1.76
6306,1.96
6369,2.16
6433,2.34
6497,2.51
6562,2.65
6628,2.76
6694,2.82
6761,2.85
6828,2.83
6897,2.78
6966,2.69
7035,2.57
7106,2.41
7177,2.22
7249,2.01
7321,1.77
7394,1.49
7468,1.20
7543,0.89
7618,0.59
7694,0.30
7771,0.00
7849,-0.28
7928,-0.52
8007,-0.74
8087,-0.92
8168,-1.06
8250,-1.14
8332,-1.16
8415,-1.12
8499,-1.03
8584,-0.87
8670,-0.68
8757,-0.46
8845,-0.23
8933,0.01
9022,0.26
9113,0.50
9204,0.75
9296,0.98
9389,1.20
9483,1.41
9577,1.61
9673,1.82
9770,2.03
9868,2.25
9966,2.48
10066,2.72
10167,2.98
10268,3.25
10371,3.53
10475,3.79
10579,4.05
10685,4.29
10792,4.53
10900,4.74
11009,4.94
11119,5.11
11230,5.26
11343,5.39
11456,5.48
11571,5.52
11686,5.55
11803,5.57
11921,5.57
12040,5.55
12161,5.50
12282,5.43
12405,5.33
12529,5.19
12655,4.99
12781,4.76
12909,4.47
13038,4.12
13168,3.73
13300,3.29
13433,2.82
13567,2.31
13703,1.77
13840,1.21
13978,0.61
14118,0.02
14259,-0.58
14402,-1.20
14546,-1.85
14692,-2.57
14838,-3.37
14987,-4.26
15137,-5.27
15288,-6.42
15441,-7.71
15595,-9.11
15751,-10.62
15909,-12.22
16068,-13.88
16229,-15.58
16391,-17.29
16555,-18.98
16720,-20.63
16888,-22.22
17056,-23.73
17227,-25.13
17399,-26.43
17573,-27.64
17749,-28.77
17926,-29.84
18106,-30.84
18287,-31.83
18470,-32.76
18654,-33.64
18841,-34.47
19029,-35.24
19220,-35.96
19412,-36.62
19606,-37.23
19802,-37.79
20000,-38.29
