frequency,raw
20,7.16
21,7.41
22,7.65
23,7.87
24,8.08
25,8.28
26,8.45
27,8.62
28,8.76
29,8.90
30,9.01
31,9.08
32,9.15
33,9.22
34,9.28
35,9.32
36,9.36
37,9.38
38,9.41
39,9.42
40,9.42
41,9.44
42,9.44
43,9.43
44,9.42
45,9.41
46,9.41
47,9.41
48,9.41
49,9.41
50,9.41
51,9.43
52,9.44
53,9.44
54,9.43
55,9.42
56,9.40
57,9.38
58,9.35
59,9.31
60,9.28
61,9.25
62,9.22
63,9.20
64,9.17
65,9.14
66,9.10
67,9.06
68,9.03
69,8.99
70,8.97
71,8.96
72,8.94
73,8.91
74,8.87
75,8.82
76,8.77
77,8.73
78,8.69
79,8.66
80,8.62
81,8.58
82,8.55
83,8.50
84,8.45
85,8.40
86,8.35
87,8.31
88,8.27
89,8.23
90,8.19
91,8.15
92,8.10
93,8.06
94,8.02
95,7.98
96,7.94
97,7.89
98,7.85
99,7.81
100,7.76
101,7.72
102,7.66
104,7.61
105,7.56
106,7.51
107,7.47
108,7.43
109,7.38
110,7.33
111,7.28
112,7.23
113,7.19
114,7.16
115,7.12
117,7.06
118,7.01
119,6.95
120,6.89
121,6.85
123,6.81
124,6.77
125,6.71
126,6.65
128,6.59
129,6.54
130,6.49
131,6.44
133,6.38
134,6.32
135,6.26
137,6.21
138,6.15
140,6.08
141,6.01
142,5.94
144,5.86
145,5.80
147,5.74
148,5.69
150,5.65
151,5.60
153,5.57
154,5.55
156,5.54
157,5.53
159,5.52
160,5.50
162,5.48
164,5.47
165,5.45
167,5.42
169,5.39
170,5.35
172,5.32
174,5.28
175,5.25
177,5.23
179,5.20
181,5.19
183,5.18
184,5.17
186,5.18
188,5.19
190,5.20
192,5.20
194,5.20
196,5.20
198,5.21
200,5.22
202,5.22
204,5.21
206,5.20
208,5.17
210,5.15
212,5.12
214,5.09
216,5.06
218,5.04
221,5.01
223,4.97
225,4.93
227,4.88
229,4.84
232,4.81
234,4.77
236,4.74
239,4.70
241,4.66
244,4.61
246,4.56
248,4.52
251,4.46
253,4.40
256,4.34
259,4.29
261,4.24
264,4.21
266,4.16
269,4.11
272,4.05
274,3.99
277,3.94
280,3.89
283,3.85
286,3.81
288,3.76
291,3.71
294,3.65
297,3.61
300,3.58
303,3.54
306,3.49
309,3.44
312,3.38
316,3.33
319,3.28
322,3.23
325,3.19
328,3.14
332,3.09
335,3.04
338,3.00
342,2.95
345,2.91
349,2.87
352,2.82
356,2.79
359,2.76
363,2.73
366,2.70
370,2.66
374,2.61
377,2.56
381,2.52
385,2.48
389,2.45
393,2.43
397,2.40
401,2.36
405,2.32
409,2.27
413,2.22
417,2.18
421,2.14
425,2.11
430,2.09
434,2.07
438,2.04
443,2.01
447,1.97
451,1.92
456,1.88
460,1.85
465,1.82
470,1.80
474,1.78
479,1.76
484,1.73
489,1.69
494,1.65
499,1.60
504,1.56
509,1.53
514,1.49
519,1.47
524,1.45
529,1.42
535,1.40
540,1.37
545,1.34
551,1.31
556,1.28
562,1.24
568,1.22
573,1.19
579,1.17
585,1.14
591,1.11
596,1.09
602,1.06
608,1.04
615,1.01
621,0.97
627,0.94
633,0.91
639,0.88
646,0.86
652,0.83
659,0.80
665,0.77
672,0.74
679,0.71
686,0.68
692,0.67
699,0.66
706,0.66
713,0.66
721,0.65
728,0.65
735,0.63
742,0.60
750,0.57
757,0.54
765,0.51
773,0.47
780,0.44
788,0.41
796,0.38
804,0.35
812,0.33
820,0.32
828,0.31
837,0.31
845,0.32
853,0.33
862,0.34
871,0.35
879,0.36
888,0.35
897,0.34
906,0.32
915,0.30
924,0.27
933,0.24
943,0.20
952,0.17
962,0.14
971,0.10
981,0.06
991,0.02
1001,-0.00
1011,-0.02
1021,-0.02
1031,-0.00
1041,0.02
1052,0.06
1062,0.10
1073,0.14
1084,0.17
1094,0.20
1105,0.24
1116,0.27
1128,0.30
1139,0.32
1150,0.34
1162,0.35
1173,0.35
1185,0.33
1197,0.32
1209,0.31
1221,0.32
1233,0.34
1246,0.37
1258,0.39
1271,0.40
1283,0.43
1296,0.47
1309,0.52
1322,0.57
1335,0.61
1349,0.66
1362,0.71
1376,0.76
1390,0.81
1404,0.86
1418,0.91
1432,0.96
1446,1.01
1461,1.09
1475,1.16
1490,1.24
1505,1.32
1520,1.40
1535,1.48
1550,1.57
1566,1.68
1582,1.78
1597,1.89
1613,2.00
1629,2.09
1646,2.19
1662,2.31
1679,2.42
1696,2.54
1713,2.65
1730,2.78
1747,2.92
1764,3.04
1782,3.18
1800,3.31
1818,3.46
1836,3.61
1854,3.76
1873,3.91
1892,4.07
1911,4.22
1930,4.39
1949,4.55
1969,4.70
1988,4.85
2008,5.02
2028,5.19
2048,5.35
2069,5.51
2090,5.67
2111,5.83
2132,5.99
2153,6.13
2175,6.26
2196,6.40
2218,6.54
2240,6.67
2263,6.79
2285,6.90
2308,7.02
2331,7.14
2355,7.23
2378,7.32
2402,7.41
2426,7.51
2450,7.59
2475,7.66
2500,7.74
2525,7.81
2550,7.88
2575,7.95
2601,8.02
2627,8.08
