frequency,raw
20,12.84
21,12.78
22,12.72
23,12.67
24,12.62
25,12.57
26,12.53
27,12.48
28,12.44
29,12.40
30,12.36
31,12.34
32,12.31
33,12.27
34,12.24
35,12.21
36,12.18
37,12.14
38,12.11
39,12.06
40,12.00
41,11.94
42,11.87
43,11.79
44,11.70
45,11.60
46,11.49
47,11.39
48,11.29
49,11.19
50,11.11
51,11.05
52,10.97
53,10.92
54,10.87
55,10.85
56,10.83
57,10.82
58,10.84
59,10.85
60,10.85
61,10.86
62,10.86
63,10.85
64,10.84
65,10.80
66,10.76
67,10.71
68,10.67
69,10.62
70,10.55
71,10.48
72,10.41
73,10.34
74,10.27
75,10.20
76,10.13
77,10.07
78,10.02
79,9.96
80,9.89
81,9.83
82,9.76
83,9.70
84,9.64
85,9.57
86,9.51
87,9.45
88,9.39
89,9.33
90,9.27
91,9.21
92,9.16
93,9.10
94,9.04
95,8.98
96,8.93
97,8.87
98,8.82
99,8.75
100,8.69
101,8.62
102,8.57
104,8.52
105,8.47
106,8.41
107,8.35
108,8.30
109,8.25
110,8.20
111,8.15
112,8.09
113,8.03
114,7.97
115,7.93
117,7.88
118,7.82
119,7.75
120,7.70
121,7.64
123,7.59
124,7.54
125,7.48
126,7.42
128,7.37
129,7.31
130,7.25
131,7.19
133,7.13
134,7.07
135,7.00
137,6.94
138,6.87
140,6.81
141,6.75
142,6.69
144,6.62
145,6.55
147,6.49
148,6.43
150,6.37
151,6.30
153,6.23
154,6.17
156,6.12
157,6.05
159,5.98
160,5.91
162,5.85
164,5.79
165,5.73
167,5.66
169,5.59
170,5.53
172,5.48
174,5.41
175,5.34
177,5.27
179,5.21
181,5.15
183,5.09
184,5.02
186,4.95
188,4.88
190,4.83
192,4.77
194,4.70
196,4.63
198,4.56
200,4.50
202,4.44
204,4.37
206,4.30
208,4.23
210,4.18
212,4.12
214,4.06
216,3.99
218,3.92
221,3.86
223,3.80
225,3.73
227,3.67
229,3.61
232,3.55
234,3.49
236,3.43
239,3.37
241,3.31
244,3.25
246,3.20
248,3.14
251,3.07
253,3.01
256,2.95
259,2.88
261,2.81
264,2.75
266,2.69
269,2.64
272,2.58
274,2.52
277,2.46
280,2.41
283,2.37
286,2.32
288,2.26
291,2.20
294,2.14
297,2.09
300,2.06
303,2.01
306,1.95
309,1.89
312,1.84
316,1.80
319,1.76
322,1.71
325,1.66
328,1.60
332,1.55
335,1.50
338,1.46
342,1.41
345,1.35
349,1.28
352,1.21
356,1.15
359,1.11
363,1.07
366,1.01
370,0.95
374,0.89
377,0.83
381,0.78
385,0.73
389,0.69
393,0.65
397,0.60
401,0.56
405,0.51
409,0.47
413,0.43
417,0.39
421,0.35
425,0.31
430,0.27
434,0.23
438,0.19
443,0.14
447,0.10
451,0.05
