frequency,raw
20.00,-7.18
20.20,-7.11
20.40,-7.05
20.61,-6.98
20.81,-6.91
21.02,-6.84
21.23,-6.78
21.44,-6.71
21.66,-6.64
21.87,-6.58
22.09,-6.51
22.31,-6.44
22.54,-6.37
22.76,-6.30
22.99,-6.23
23.22,-6.17
23.45,-6.10
23.69,-6.03
23.92,-5.96
24.16,-5.89
24.40,-5.82
24.65,-5.75
24.89,-5.68
25.14,-5.61
25.39,-5.54
25.65,-5.47
25.91,-5.41
26.16,-5.33
26.43,-5.26
26.69,-5.19
26.96,-5.12
27.23,-5.05
27.50,-4.98
27.77,-4.92
28.05,-4.85
28.33,-4.78
28.62,-4.71
28.90,-4.63
29.19,-4.57
29.48,-4.50
29.78,-4.43
30.08,-4.36
30.38,-4.30
30.68,-4.23
30.99,-4.16
31.30,-4.10
31.61,-4.03
31.93,-3.97
32.24,-3.90
32.57,-3.83
32.89,-3.76
33.22,-3.70
33.55,-3.63
33.89,-3.57
34.23,-3.50
34.57,-3.44
34.92,-3.37
35.27,-3.30
35.62,-3.23
35.97,-3.16
36.33,-3.11
36.70,-3.05
37.06,-2.99
37.43,-2.93
37.81,-2.86
38.19,-2.80
38.57,-2.74
38.95,-2.69
39.34,-2.63
39.74,-2.57
40.14,-2.51
40.54,-2.45
40.94,-2.39
41.35,-2.33
41.76,-2.28
42.18,-2.22
42.60,-2.16
43.03,-2.11
43.46,-2.05
43.90,-2.00
44.33,-1.96
44.78,-1.91
45.23,-1.86
45.68,-1.81
46.13,-1.76
46.60,-1.71
47.06,-1.66
47.53,-1.62
48.01,-1.57
48.49,-1.54
48.97,-1.50
49.46,-1.46
49.96,-1.42
50.46,-1.39
50.96,-1.35
51.47,-1.31
51.99,-1.26
52.51,-1.22
53.03,-1.19
53.56,-1.15
54.10,-1.11
54.64,-1.08
55.18,-1.05
55.74,-1.01
56.29,-0.97
56.86,-0.94
57.42,-0.90
58.00,-0.85
58.58,-0.82
59.16,-0.78
59.76,-0.74
60.35,-0.70
60.96,-0.66
61.57,-0.63
62.18,-0.60
62.80,-0.56
63.43,-0.53
64.07,-0.50
64.71,-0.46
65.35,-0.42
66.01,-0.38
66.67,-0.34
67.33,-0.30
68.01,-0.27
68.69,-0.24
69.37,-0.21
70.07,-0.19
70.77,-0.16
71.48,-0.14
72.19,-0.11
72.91,-0.09
73.64,-0.07
74.38,-0.05
75.12,-0.02
75.87,0.01
76.63,0.05
77.40,0.08
78.17,0.11
78.95,0.13
79.74,0.15
80.54,0.18
81.35,0.20
82.16,0.21
82.98,0.24
83.81,0.26
84.65,0.28
85.50,0.29
86.35,0.31
87.22,0.32
88.09,0.33
88.97,0.35
89.86,0.37
90.76,0.38
91.66,0.40
92.58,0.43
93.51,0.46
94.44,0.49
95.39,0.52
96.34,0.55
97.30,0.58
98.28,0.61
99.26,0.64
100.25,0.65
101.25,0.66
102.27,0.67
103.29,0.67
104.32,0.67
105.37,0.66
106.42,0.65
107.48,0.65
108.56,0.65
109.64,0.65
110.74,0.65
111.85,0.65
112.97,0.65
114.10,0.65
115.24,0.65
116.39,0.65
117.55,0.65
118.73,0.65
119.92,0.65
121.12,0.65
122.33,0.65
123.55,0.65
124.79,0.65
126.03,0.65
127.29,0.64
128.57,0.64
129.85,0.63
131.15,0.63
132.46,0.64
133.79,0.65
135.12,0.67
136.48,0.68
137.84,0.72
139.22,0.74
140.61,0.77
142.02,0.82
143.44,0.84
144.87,0.88
146.32,0.91
147.78,0.95
149.26,0.98
150.75,1.00
152.26,1.00
153.78,0.99
155.32,0.97
156.88,0.93
158.44,0.91
160.03,0.86
161.63,0.84
163.24,0.81
164.88,0.76
166.53,0.74
168.19,0.71
169.87,0.67
171.57,0.65
173.29,0.64
175.02,0.63
176.77,0.63
178.54,0.63
180.32,0.64
182.13,0.65
183.95,0.65
185.79,0.65
187.65,0.65
189.52,0.65
191.42,0.65
193.33,0.65
195.27,0.65
197.22,0.65
199.19,0.65
201.18,0.65
203.19,0.65
205.23,0.65
207.28,0.65
209.35,0.65
211.44,0.66
213.56,0.67
215.69,0.67
217.85,0.66
220.03,0.65
222.23,0.64
224.45,0.61
226.70,0.57
228.96,0.54
231.25,0.52
233.57,0.48
235.90,0.44
238.26,0.42
240.64,0.39
243.05,0.36
245.48,0.34
247.93,0.31
250.41,0.30
252.92,0.30
255.45,0.31
258.00,0.32
260.58,0.32
263.19,0.32
265.82,0.32
268.48,0.32
271.16,0.32
273.87,0.32
276.61,0.32
279.38,0.32
282.17,0.32
284.99,0.32
287.84,0.32
290.72,0.32
293.63,0.32
296.57,0.32
299.53,0.32
302.53,0.33
305.55,0.33
308.61,0.34
311.69,0.35
314.81,0.34
317.96,0.33
321.14,0.32
324.35,0.29
327.59,0.26
330.87,0.24
334.18,0.21
337.52,0.17
340.90,0.14
344.30,0.11
347.75,0.08
351.23,0.05
354.74,0.02
358.28,-0.01
361.87,-0.02
365.49,-0.02
369.14,-0.02
372.83,-0.01
376.56,0.00
380.33,0.00
384.13,0.00
387.97,0.00
391.85,0.00
395.77,0.00
399.73,0.00
403.72,0.00
407.76,0.00
411.84,0.00
415.96,0.00
420.12,0.01
424.32,0.02
428.56,0.02
432.85,0.02
437.18,0.00
441.55,-0.01
445.96,-0.03
450.42,-0.07
454.93,-0.09
459.48,-0.13
464.07,-0.16
468.71,-0.19
473.40,-0.23
478.13,-0.25
482.91,-0.28
487.74,-0.31
492.62,-0.33
497.55,-0.34
502.52,-0.35
507.55,-0.34
512.62,-0.33
517.75,-0.33
522.93,-0.32
528.16,-0.32
533.44,-0.32
538.77,-0.32
544.16,-0.32
549.60,-0.32
555.10,-0.32
560.65,-0.32
566.25,-0.32
571.92,-0.32
577.64,-0.32
583.41,-0.32
589.25,-0.32
595.14,-0.32
601.09,-0.32
607.10,-0.32
613.17,-0.32
619.30,-0.32
625.50,-0.32
631.75,-0.32
638.07,-0.32
644.45,-0.32
650.89,-0.32
657.40,-0.32
663.98,-0.32
670.62,-0.32
677.32,-0.32
684.10,-0.32
690.94,-0.32
697.85,-0.32
704.83,-0.32
711.87,-0.32
718.99,-0.32
726.18,-0.32
733.44,-0.32
740.78,-0.32
748.19,-0.32
755.67,-0.32
763.23,-0.33
770.86,-0.34
778.57,-0.35
786.35,-0.35
794.22,-0.34
802.16,-0.32
810.18,-0.30
818.28,-0.28
826.46,-0.26
834.73,-0.22
843.08,-0.19
851.51,-0.15
860.02,-0.12
868.62,-0.09
877.31,-0.06
886.08,-0.03
894.94,0.00
903.89,0.01
912.93,0.02
922.06,0.02
931.28,0.01
940.59,0.01
950.00,0.00
959.50,0.00
969.09,0.00
978.78,0.00
988.57,0.00
998.46,0.00
1008.44,0.00
1018.53,0.00
1028.71,0.00
1039.00,0.00
1049.39,0.00
1059.88,0.00
1070.48,0.00
1081.19,0.00
1092.00,0.00
1102.92,0.00
1113.95,-0.01
1125.09,-0.02
1136.34,-0.02
1147.70,-0.02
1159.18,-0.01
1170.77,0.01
1182.48,0.03
1194.30,0.06
1206.25,0.08
1218.31,0.12
1230.49,0.15
1242.80,0.19
1255.22,0.22
1267.78,0.25
1280.45,0.28
1293.26,0.31
1306.19,0.33
1319.25,0.34
1332.45,0.35
1345.77,0.34
1359.23,0.33
1372.82,0.33
1386.55,0.32
1400.41,0.32
1414.42,0.31
1428.56,0.30
1442.85,0.30
1457.28,0.32
1471.85,0.33
1486.57,0.35
1501.43,0.38
1516.45,0.41
1531.61,0.44
1546.93,0.47
1562.40,0.51
1578.02,0.54
1593.80,0.57
1609.74,0.60
1625.84,0.63
1642.10,0.65
1658.52,0.67
1675.10,0.67
1691.85,0.67
1708.77,0.66
1725.86,0.65
1743.12,0.65
1760.55,0.65
1778.15,0.65
1795.94,0.65
1813.90,0.65
1832.03,0.65
1850.36,0.65
1868.86,0.65
1887.55,0.65
1906.42,0.65
1925.49,0.65
1944.74,0.65
1964.19,0.65
1983.83,0.65
2003.67,0.65
2023.71,0.65
2043.94,0.65
2064.38,0.65
2085.03,0.65
2105.88,0.65
2126.94,0.66
2148.20,0.67
2169.69,0.67
2191.38,0.67
2213.30,0.65
2235.43,0.64
2257.78,0.62
2280.36,0.59
2303.17,0.56
2326.20,0.54
2349.46,0.51
2372.95,0.48
2396.68,0.44
2420.65,0.40
2444.86,0.35
2469.31,0.30
2494.00,0.26
2518.94,0.23
2544.13,0.19
2569.57,0.16
2595.27,0.12
2621.22,0.08
2647.43,0.04
2673.90,-0.01
2700.64,-0.07
2727.65,-0.13
2754.93,-0.18
2782.48,-0.23
2810.30,-0.28
2838.40,-0.34
2866.79,-0.40
2895.46,-0.47
2924.41,-0.54
2953.65,-0.60
2983.19,-0.67
3013.02,-0.74
3043.15,-0.80
3073.58,-0.86
3104.32,-0.92
3135.36,-1.00
3166.72,-1.06
3198.38,-1.13
3230.37,-1.19
3262.67,-1.27
3295.30,-1.34
3328.25,-1.40
3361.53,-1.45
3395.15,-1.49
3429.10,-1.54
3463.39,-1.57
3498.03,-1.60
3533.01,-1.62
3568.34,-1.63
3604.02,-1.64
3640.06,-1.65
3676.46,-1.65
3713.22,-1.65
3750.36,-1.65
3787.86,-1.64
3825.74,-1.64
3864.00,-1.63
3902.64,-1.61
3941.66,-1.59
3981.08,-1.56
4020.89,-1.51
4061.10,-1.45
4101.71,-1.39
4142.73,-1.30
4184.15,-1.19
4226.00,-1.09
4268.26,-0.97
4310.94,-0.84
4354.05,-0.72
4397.59,-0.58
4441.56,-0.45
4485.98,-0.33
4530.84,-0.19
4576.15,-0.05
4621.91,0.08
4668.13,0.20
4714.81,0.32
4761.96,0.43
4809.58,0.54
4857.67,0.65
4906.25,0.75
4955.31,0.84
5004.87,0.93
5054.91,1.01
5105.46,1.08
5156.52,1.14
5208.08,1.19
5260.16,1.22
5312.77,1.23
5365.89,1.24
5419.55,1.22
5473.75,1.19
5528.49,1.15
5583.77,1.10
5639.61,1.04
5696.00,0.97
5752.96,0.87
5810.49,0.77
5868.60,0.66
5927.28,0.54
5986.56,0.40
6046.42,0.26
6106.89,0.10
6167.96,-0.06
6229.64,-0.25
6291.93,-0.45
6354.85,-0.66
6418.40,-0.88
6482.58,-1.11
6547.41,-1.35
6612.88,-1.62
6679.01,-1.92
6745.80,-2.24
6813.26,-2.58
6881.39,-2.94
6950.21,-3.31
7019.71,-3.70
7089.91,-4.11
7160.81,-4.52
7232.41,-4.94
7304.74,-5.38
7377.79,-5.82
7451.56,-6.27
7526.08,-6.73
7601.34,-7.19
7677.35,-7.63
7754.13,-8.04
7831.67,-8.44
7909.98,-8.84
7989.08,-9.24
8068.98,-9.63
8149.67,-10.01
8231.16,-10.37
8313.47,-10.71
8396.61,-11.03
8480.57,-11.33
8565.38,-11.62
8651.03,-11.89
8737.54,-12.15
8824.92,-12.40
8913.17,-12.64
9002.30,-12.87
9092.32,-13.09
9183.25,-13.29
9275.08,-13.45
9367.83,-13.57
9461.51,-13.63
9556.12,-13.62
9651.68,-13.54
9748.20,-13.40
9845.68,-13.18
9944.14,-12.90
10043.58,-12.54
10144.02,-12.14
10245.46,-11.67
10347.91,-11.17
10451.39,-10.62
10555.91,-10.01
10661.46,-9.34
10768.08,-8.63
10875.76,-7.88
10984.52,-7.10
11094.36,-6.28
11205.31,-5.45
11317.36,-4.59
11430.53,-3.72
11544.84,-2.85
11660.29,-2.00
11776.89,-1.20
11894.66,-0.48
12013.60,0.19
12133.74,0.76
12255.08,1.26
12377.63,1.66
12501.41,1.97
12626.42,2.19
12752.68,2.37
12880.21,2.50
13009.01,2.58
13139.10,2.64
13270.49,2.67
13403.20,2.69
13537.23,2.67
13672.60,2.65
13809.33,2.59
13947.42,2.51
14086.90,2.40
14227.77,2.26
14370.04,2.11
14513.74,1.95
14658.88,1.80
14805.47,1.64
14953.52,1.48
15103.06,1.34
15254.09,1.21
15406.63,1.10
15560.70,1.03
15716.30,0.98
15873.47,0.95
16032.20,0.95
16192.52,0.96
16354.45,0.97
16517.99,0.97
16683.17,0.97
16850.01,0.95
17018.51,0.90
17188.69,0.84
17360.58,0.75
17534.18,0.62
17709.53,0.46
17886.62,0.25
18065.49,0.00
18246.14,-0.29
18428.60,-0.62
18612.89,-1.00
18799.02,-1.40
18987.01,-1.85
19176.88,-2.33
19368.65,-2.85
19562.33,-3.40
19757.96,-4.00
19955.54,-4.64
