frequency,raw
20,9.32
21,9.29
22,9.27
23,9.24
24,9.22
25,9.19
26,9.16
27,9.12
28,9.09
29,9.05
30,9.02
31,8.97
32,8.92
33,8.88
34,8.84
35,8.79
36,8.74
37,8.70
38,8.66
39,8.61
40,8.57
41,8.52
42,8.46
43,8.41
44,8.35
45,8.31
46,8.27
47,8.23
48,8.18
49,8.13
50,8.08
51,8.03
52,7.99
53,7.95
54,7.90
55,7.86
56,7.81
57,7.76
58,7.72
59,7.68
60,7.63
61,7.59
62,7.55
63,7.50
64,7.46
65,7.41
66,7.37
67,7.32
68,7.27
69,7.22
70,7.18
71,7.15
72,7.11
73,7.08
74,7.04
75,7.00
76,6.95
77,6.91
78,6.88
79,6.84
80,6.80
81,6.77
82,6.72
83,6.67
84,6.62
85,6.57
86,6.53
87,6.49
88,6.44
89,6.40
90,6.36
91,6.31
92,6.26
93,6.21
94,6.17
95,6.14
96,6.11
97,6.09
98,6.08
99,6.06
100,6.04
101,6.02
102,6.00
104,5.98
105,5.97
106,5.95
107,5.92
108,5.89
109,5.85
110,5.82
111,5.79
112,5.76
113,5.73
114,5.70
115,5.69
117,5.68
118,5.67
119,5.68
120,5.69
121,5.69
123,5.69
124,5.69
125,5.69
126,5.69
128,5.69
129,5.69
130,5.69
131,5.69
133,5.69
134,5.69
135,5.69
137,5.69
138,5.70
140,5.70
141,5.71
142,5.71
144,5.71
145,5.70
147,5.69
148,5.67
150,5.64
151,5.61
153,5.58
154,5.55
156,5.51
157,5.48
159,5.45
160,5.42
162,5.39
164,5.37
165,5.36
167,5.35
169,5.35
170,5.36
172,5.36
174,5.37
175,5.37
177,5.37
179,5.37
181,5.37
183,5.38
184,5.39
186,5.39
188,5.39
190,5.38
192,5.36
194,5.33
196,5.31
198,5.27
200,5.24
202,5.21
204,5.17
206,5.14
208,5.12
210,5.10
212,5.08
214,5.06
216,5.04
218,5.02
221,5.00
223,4.98
225,4.96
227,4.93
229,4.89
232,4.86
234,4.84
236,4.81
239,4.79
241,4.75
244,4.72
246,4.68
248,4.65
251,4.63
253,4.60
256,4.58
259,4.55
261,4.52
264,4.50
266,4.47
269,4.44
272,4.41
274,4.38
277,4.35
280,4.32
283,4.30
286,4.27
288,4.24
291,4.21
294,4.19
297,4.16
300,4.14
303,4.11
306,4.08
309,4.05
312,4.03
316,4.00
319,3.98
322,3.96
325,3.93
328,3.90
332,3.88
335,3.85
338,3.82
342,3.79
345,3.75
349,3.71
352,3.68
356,3.65
359,3.62
363,3.59
366,3.56
370,3.54
374,3.51
377,3.49
381,3.46
385,3.43
389,3.40
393,3.38
397,3.35
401,3.33
405,3.31
409,3.29
413,3.27
417,3.24
421,3.20
425,3.16
430,3.11
434,3.07
438,3.03
443,2.99
447,2.95
451,2.92
456,2.91
460,2.89
465,2.86
470,2.83
474,2.79
479,2.75
484,2.72
489,2.68
494,2.66
499,2.63
504,2.61
509,2.59
514,2.56
519,2.53
524,2.50
529,2.46
535,2.42
540,2.38
545,2.35
551,2.33
556,2.32
562,2.30
568,2.26
573,2.22
579,2.17
585,2.13
591,2.08
596,2.04
602,2.01
608,1.98
615,1.94
621,1.90
627,1.85
633,1.81
639,1.77
646,1.72
652,1.66
659,1.61
665,1.56
672,1.52
679,1.48
686,1.43
692,1.38
699,1.32
706,1.26
713,1.21
721,1.17
728,1.13
735,1.08
742,1.01
750,0.95
757,0.89
765,0.83
773,0.78
780,0.74
788,0.69
796,0.65
804,0.61
812,0.58
820,0.55
828,0.51
837,0.48
845,0.44
853,0.40
862,0.37
871,0.34
879,0.32
888,0.29
897,0.26
906,0.24
915,0.22
924,0.20
933,0.18
943,0.15
952,0.13
962,0.11
971,0.09
981,0.07
991,0.03
1001,-0.00
1011,-0.04
1021,-0.07
1031,-0.10
1041,-0.12
1052,-0.14
1062,-0.16
1073,-0.17
1084,-0.17
1094,-0.16
1105,-0.15
1116,-0.14
1128,-0.14
1139,-0.14
1150,-0.14
1162,-0.14
1173,-0.14
1185,-0.14
1197,-0.14
1209,-0.14
1221,-0.14
1233,-0.14
1246,-0.14
1258,-0.14
1271,-0.14
1283,-0.14
1296,-0.14
1309,-0.14
1322,-0.14
1335,-0.14
1349,-0.14
1362,-0.15
1376,-0.15
1390,-0.16
1404,-0.16
1418,-0.16
1432,-0.15
1446,-0.13
1461,-0.10
1475,-0.08
1490,-0.05
1505,-0.02
1520,0.01
1535,0.03
1550,0.07
1566,0.11
1582,0.15
1597,0.18
1613,0.22
1629,0.26
1646,0.30
1662,0.34
1679,0.38
1696,0.43
1713,0.50
1730,0.56
1747,0.63
1764,0.71
1782,0.79
1800,0.87
1818,0.94
1836,1.00
1854,1.08
1873,1.17
1892,1.25
1911,1.33
1930,1.40
1949,1.46
1969,1.53
1988,1.60
2008,1.67
2028,1.73
2048,1.79
2069,1.85
2090,1.91
2111,1.95
2132,1.99
2153,2.03
2175,2.06
2196,2.08
2218,2.10
2240,2.12
2263,2.14
2285,2.15
2308,2.15
2331,2.14
2355,2.14
2378,2.13
2402,2.13
2426,2.13
2450,2.13
2475,2.13
2500,2.13
2525,2.13
2550,2.13
2575,2.14
2601,2.15
2627,2.15
2653,2.14
2680,2.13
2707,2.12
2734,2.11
2761,2.08
2789,2.06
2817,2.02
2845,1.97
2873,1.92
2902,1.86
2931,1.79
2960,1.70
2990,1.60
3020,1.50
3050,1.38
3080,1.26
3111,1.14
3142,1.01
3174,0.87
3206,0.72
3238,0.58
3270,0.45
3303,0.33
3336,0.21
3369,0.10
3403,0.01
3437,-0.06
3471,-0.12
3506,-0.16
3541,-0.17
3576,-0.17
3612,-0.15
3648,-0.11
3685,-0.03
3721,0.07
3759,0.22
3796,0.38
3834,0.57
3873,0.78
3911,1.01
3950,1.25
3990,1.51
4030,1.78
4070,2.04
4111,2.30
4152,2.58
4193,2.85
4235,3.10
4278,3.34
4321,3.58
4364,3.80
4407,4.01
4451,4.21
4496,4.40
4541,4.56
4586,4.70
4632,4.82
4679,4.91
4725,4.98
4773,5.01
4820,5.01
4868,4.98
4917,4.91
4966,4.81
5016,4.69
5066,4.54
5117,4.36
5168,4.14
5220,3.90
5272,3.64
5325,3.35
5378,3.03
5432,2.67
5486,2.29
5541,1.87
5596,1.43
5652,0.96
5709,0.47
5766,-0.04
5823,-0.56
5882,-1.08
5940,-1.61
6000,-2.13
6060,-2.64
6120,-3.13
6182,-3.61
6244,-4.08
6306,-4.52
6369,-4.93
6433,-5.31
6497,-5.68
6562,-6.03
6628,-6.36
6694,-6.69
6761,-7.01
6828,-7.33
6897,-7.64
6966,-7.95
7035,-8.24
7106,-8.50
7177,-8.75
7249,-8.97
7321,-9.16
7394,-9.32
7468,-9.44
7543,-9.51
7618,-9.55
7694,-9.53
7771,-9.43
7849,-9.26
7928,-9.02
8007,-8.70
8087,-8.29
8168,-7.79
8250,-7.22
8332,-6.59
8415,-5.90
8499,-5.18
8584,-4.47
8670,-3.76
