frequency,raw
20,-30.23
21,-29.58
22,-28.95
23,-28.33
24,-27.73
25,-27.15
26,-26.58
27,-26.03
28,-25.49
29,-24.97
30,-24.46
31,-24.00
32,-23.54
33,-23.09
34,-22.64
35,-22.20
36,-21.78
37,-21.36
38,-20.96
39,-20.57
40,-20.18
41,-19.80
42,-19.44
43,-19.08
44,-18.73
45,-18.40
46,-18.08
47,-17.75
48,-17.45
49,-17.16
50,-16.86
51,-16.58
52,-16.30
53,-16.05
54,-15.80
55,-15.55
56,-15.30
57,-15.04
58,-14.80
59,-14.57
60,-14.32
61,-14.09
62,-13.86
63,-13.62
64,-13.40
65,-13.18
66,-12.94
67,-12.72
68,-12.50
69,-12.28
70,-12.06
71,-11.85
72,-11.66
73,-11.47
74,-11.28
75,-11.09
76,-10.91
77,-10.73
78,-10.56
79,-10.40
80,-10.26
81,-10.12
82,-9.97
83,-9.82
84,-9.69
85,-9.55
86,-9.40
87,-9.27
88,-9.13
89,-9.00
90,-8.88
91,-8.76
92,-8.65
93,-8.53
94,-8.42
95,-8.31
96,-8.19
97,-8.08
98,-7.96
99,-7.86
100,-7.76
101,-7.65
102,-7.54
104,-7.43
105,-7.34
106,-7.24
107,-7.15
108,-7.06
109,-6.97
110,-6.89
111,-6.83
112,-6.76
113,-6.69
114,-6.62
115,-6.56
117,-6.50
118,-6.43
119,-6.36
120,-6.29
121,-6.23
123,-6.17
124,-6.11
125,-6.05
126,-5.99
128,-5.93
129,-5.86
130,-5.80
131,-5.74
133,-5.69
134,-5.64
135,-5.59
137,-5.53
138,-5.46
140,-5.41
141,-5.37
142,-5.32
144,-5.28
145,-5.24
147,-5.20
148,-5.17
150,-5.14
151,-5.10
153,-5.06
154,-5.02
156,-4.98
157,-4.96
159,-4.94
160,-4.92
162,-4.88
164,-4.84
165,-4.80
167,-4.75
169,-4.71
170,-4.67
172,-4.63
174,-4.61
175,-4.58
177,-4.56
179,-4.53
181,-4.51
183,-4.50
184,-4.48
186,-4.46
188,-4.44
190,-4.42
192,-4.40
194,-4.38
196,-4.35
198,-4.32
200,-4.28
202,-4.25
204,-4.22
206,-4.19
208,-4.17
210,-4.16
212,-4.14
214,-4.12
216,-4.11
218,-4.09
221,-4.08
223,-4.05
225,-4.02
227,-3.99
229,-3.96
232,-3.92
234,-3.89
236,-3.86
239,-3.84
241,-3.82
244,-3.80
246,-3.79
248,-3.80
251,-3.81
253,-3.82
256,-3.83
259,-3.83
261,-3.82
264,-3.80
266,-3.78
269,-3.75
272,-3.72
274,-3.68
277,-3.65
280,-3.61
283,-3.58
286,-3.55
288,-3.52
291,-3.50
294,-3.48
297,-3.47
300,-3.47
303,-3.48
306,-3.50
309,-3.51
312,-3.50
316,-3.49
319,-3.47
322,-3.44
325,-3.41
328,-3.38
332,-3.35
335,-3.31
338,-3.28
342,-3.25
345,-3.22
349,-3.19
352,-3.17
356,-3.15
359,-3.15
363,-3.16
366,-3.17
370,-3.17
374,-3.17
377,-3.15
381,-3.12
385,-3.10
389,-3.06
393,-3.03
397,-3.00
401,-2.96
405,-2.93
409,-2.90
413,-2.88
417,-2.86
421,-2.85
425,-2.84
430,-2.83
434,-2.82
438,-2.81
443,-2.79
447,-2.76
451,-2.73
456,-2.69
460,-2.66
465,-2.62
470,-2.59
474,-2.57
479,-2.55
484,-2.54
489,-2.52
494,-2.51
499,-2.50
504,-2.48
509,-2.47
514,-2.45
519,-2.41
524,-2.38
529,-2.35
535,-2.32
540,-2.29
545,-2.26
551,-2.24
556,-2.21
562,-2.19
568,-2.16
573,-2.13
579,-2.11
585,-2.09
591,-2.07
596,-2.03
602,-2.00
608,-1.97
615,-1.95
621,-1.93
627,-1.91
633,-1.88
639,-1.85
646,-1.82
652,-1.80
659,-1.77
665,-1.75
672,-1.72
679,-1.70
686,-1.67
692,-1.64
699,-1.60
706,-1.56
713,-1.52
721,-1.48
728,-1.44
735,-1.42
742,-1.40
750,-1.38
757,-1.35
765,-1.30
773,-1.26
780,-1.21
788,-1.17
796,-1.13
804,-1.09
812,-1.06
820,-1.02
828,-0.98
837,-0.93
845,-0.89
853,-0.85
862,-0.80
871,-0.75
879,-0.69
888,-0.64
897,-0.61
906,-0.57
915,-0.52
924,-0.45
933,-0.40
943,-0.34
952,-0.29
962,-0.24
971,-0.19
981,-0.14
991,-0.07
1001,0.01
1011,0.08
1021,0.15
1031,0.21
1041,0.28
1052,0.35
1062,0.44
1073,0.52
1084,0.60
1094,0.68
1105,0.77
1116,0.87
1128,0.97
1139,1.07
1150,1.16
1162,1.26
1173,1.37
1185,1.46
1197,1.57
1209,1.67
1221,1.78
1233,1.89
1246,1.99
1258,2.10
1271,2.22
1283,2.32
1296,2.44
1309,2.56
1322,2.67
1335,2.80
1349,2.92
1362,3.04
1376,3.16
1390,3.28
1404,3.41
1418,3.53
1432,3.65
1446,3.79
1461,3.92
1475,4.05
1490,4.17
1505,4.30
1520,4.42
1535,4.53
1550,4.65
1566,4.76
1582,4.87
1597,4.98
1613,5.06
1629,5.15
1646,5.24
1662,5.32
1679,5.40
1696,5.49
1713,5.57
1730,5.64
1747,5.70
1764,5.77
1782,5.83
1800,5.88
1818,5.90
1836,5.93
1854,5.95
1873,5.96
1892,5.96
1911,5.94
1930,5.89
1949,5.82
1969,5.74
1988,5.63
2008,5.51
2028,5.36
2048,5.18
2069,4.98
2090,4.75
2111,4.49
2132,4.20
2153,3.89
2175,3.56
2196,3.19
2218,2.79
2240,2.36
2263,1.89
2285,1.38
2308,0.85
2331,0.28
2355,-0.31
2378,-0.91
2402,-1.51
2426,-2.10
2450,-2.67
2475,-3.20
2500,-3.67
2525,-4.08
2550,-4.42
2575,-4.70
2601,-4.91
2627,-5.03
2653,-5.07
2680,-5.06
2707,-5.00
2734,-4.89
2761,-4.75
2789,-4.58
2817,-4.38
2845,-4.16
2873,-3.93
2902,-3.69
2931,-3.41
2960,-3.10
2990,-2.76
3020,-2.38
3050,-1.96
3080,-1.50
3111,-1.00
3142,-0.45
3174,0.11
3206,0.71
3238,1.34
3270,1.99
3303,2.63
3336,3.27
3369,3.88
3403,4.47
3437,5.02
3471,5.54
3506,6.01
3541,6.44
3576,6.83
3612,7.16
3648,7.44
3685,7.68
3721,7.86
3759,8.01
3796,8.12
3834,8.19
3873,8.21
3911,8.22
3950,8.21
3990,8.16
4030,8.08
4070,7.96
4111,7.82
4152,7.64
4193,7.44
4235,7.22
4278,6.96
4321,6.68
4364,6.38
4407,6.05
4451,5.72
4496,5.39
4541,5.05
4586,4.73
4632,4.44
4679,4.18
4725,3.93
4773,3.71
4820,3.51
4868,3.32
4917,3.15
4966,2.99
5016,2.85
5066,2.71
5117,2.59
5168,2.45
5220,2.30
5272,2.13
5325,1.93
5378,1.71
5432,1.49
5486,1.25
5541,1.01
5596,0.77
5652,0.55
5709,0.34
5766,0.14
5823,-0.05
5882,-0.21
5940,-0.35
6000,-0.46
6060,-0.54
6120,-0.59
6182,-0.61
6244,-0.61
6306,-0.61
6369,-0.60
6433,-0.57
6497,-0.55
6562,-0.53
6628,-0.53
6694,-0.55
6761,-0.59
6828,-0.63
6897,-0.69
6966,-0.75
7035,-0.81
7106,-0.87
7177,-0.93
7249,-1.00
7321,-1.07
7394,-1.13
7468,-1.18
7543,-1.23
7618,-1.29
7694,-1.34
7771,-1.38
7849,-1.42
7928,-1.48
8007,-1.56
8087,-1.66
8168,-1.78
8250,-1.91
8332,-2.05
8415,-2.21
8499,-2.39
8584,-2.58
8670,-2.78
8757,-3.02
8845,-3.27
8933,-3.53
9022,-3.79
9113,-4.07
9204,-4.38
9296,-4.69
9389,-5.00
9483,-5.29
9577,-5.59
9673,-5.88
9770,-6.15
9868,-6.41
9966,-6.66
10066,-6.89
10167,-7.10
10268,-7.30
10371,-7.47
10475,-7.63
10579,-7.75
10685,-7.86
10792,-7.94
10900,-8.00
11009,-8.04
11119,-8.05
11230,-8.02
11343,-7.95
11456,-7.85
11571,-7.74
11686,-7.62
11803,-7.48
11921,-7.32
12040,-7.19
12161,-7.06
12282,-6.94
12405,-6.84
12529,-6.77
12655,-6.73
12781,-6.73
12909,-6.76
13038,-6.82
13168,-6.91
13300,-7.03
13433,-7.17
13567,-7.33
13703,-7.51
13840,-7.73
13978,-8.00
14118,-8.30
14259,-8.66
14402,-9.07
14546,-9.55
14692,-10.09
14838,-10.68
14987,-11.30
15137,-11.94
15288,-12.59
15441,-13.23
15595,-13.84
15751,-14.42
15909,-14.96
16068,-15.48
16229,-15.97
16391,-16.45
16555,-16.91
16720,-17.38
16888,-17.85
17056,-18.33
17227,-18.84
17399,-19.39
17573,-19.98
17749,-20.59
17926,-21.19
18106,-21.78
18287,-22.25
18470,-22.70
18654,-23.13
18841,-23.54
19029,-23.92
19220,-24.29
19412,-24.63
19606,-24.94
19802,-25.24
20000,-25.51
