frequency,raw
20.00,7.07
20.20,7.11
20.40,7.15
20.61,7.19
20.81,7.22
21.02,7.26
21.23,7.30
21.44,7.34
21.66,7.38
21.87,7.42
22.09,7.46
22.31,7.49
22.54,7.53
22.76,7.56
22.99,7.60
23.22,7.64
23.45,7.67
23.69,7.71
23.92,7.75
24.16,7.78
24.40,7.81
24.65,7.84
24.89,7.88
25.14,7.91
25.39,7.94
25.65,7.97
25.91,8.01
26.16,8.04
26.43,8.07
26.69,8.10
26.96,8.13
27.23,8.15
27.50,8.18
27.77,8.21
28.05,8.23
28.33,8.26
28.62,8.28
28.90,8.30
29.19,8.32
29.48,8.34
29.78,8.36
30.08,8.38
30.38,8.40
30.68,8.41
30.99,8.43
31.30,8.44
31.61,8.45
31.93,8.46
32.24,8.47
32.57,8.48
32.89,8.50
33.22,8.50
33.55,8.50
33.89,8.50
34.23,8.50
34.57,8.50
34.92,8.50
35.27,8.49
35.62,8.48
35.97,8.47
36.33,8.46
36.70,8.46
37.06,8.45
37.43,8.44
37.81,8.43
38.19,8.42
38.57,8.41
38.95,8.40
39.34,8.39
39.74,8.39
40.14,8.37
40.54,8.36
40.94,8.34
41.35,8.32
41.76,8.30
42.18,8.28
42.60,8.27
43.03,8.25
43.46,8.23
43.90,8.21
44.33,8.18
44.78,8.15
45.23,8.13
45.68,8.10
46.13,8.07
46.60,8.04
47.06,8.01
47.53,7.98
48.01,7.95
48.49,7.92
48.97,7.88
49.46,7.85
49.96,7.81
50.46,7.77
50.96,7.73
51.47,7.70
51.99,7.67
52.51,7.64
53.03,7.61
53.56,7.57
54.10,7.53
54.64,7.49
55.18,7.45
55.74,7.40
56.29,7.36
56.86,7.32
57.42,7.29
58.00,7.26
58.58,7.22
59.16,7.18
59.76,7.13
60.35,7.09
60.96,7.04
61.57,7.00
62.18,6.96
62.80,6.93
63.43,6.89
64.07,6.85
64.71,6.80
65.35,6.75
66.01,6.70
66.67,6.67
67.33,6.63
68.01,6.59
68.69,6.54
69.37,6.49
70.07,6.44
70.77,6.39
71.48,6.34
72.19,6.30
72.91,6.26
73.64,6.21
74.38,6.15
75.12,6.10
75.87,6.06
76.63,6.02
77.40,5.97
78.17,5.92
78.95,5.85
79.74,5.80
80.54,5.74
81.35,5.69
82.16,5.64
82.98,5.58
83.81,5.51
84.65,5.45
85.50,5.39
86.35,5.34
87.22,5.28
88.09,5.20
88.97,5.13
89.86,5.07
90.76,5.01
91.66,4.94
92.58,4.88
93.51,4.81
94.44,4.75
95.39,4.69
96.34,4.63
97.30,4.56
98.28,4.48
99.26,4.40
100.25,4.34
101.25,4.27
102.27,4.21
103.29,4.17
104.32,4.12
105.37,4.05
106.42,3.98
107.48,3.92
108.56,3.85
109.64,3.77
110.74,3.71
111.85,3.65
112.97,3.59
114.10,3.53
115.24,3.47
116.39,3.44
117.55,3.39
118.73,3.31
119.92,3.24
121.12,3.19
122.33,3.16
123.55,3.12
124.79,3.05
126.03,2.99
127.29,2.96
128.57,2.93
129.85,2.88
131.15,2.82
132.46,2.78
133.79,2.71
135.12,2.66
136.48,2.63
137.84,2.58
139.22,2.53
140.61,2.47
142.02,2.39
143.44,2.35
144.87,2.29
146.32,2.25
147.78,2.20
149.26,2.16
150.75,2.09
152.26,2.05
153.78,2.00
155.32,1.96
156.88,1.91
158.44,1.86
160.03,1.78
161.63,1.74
163.24,1.70
164.88,1.64
166.53,1.59
168.19,1.54
169.87,1.47
171.57,1.40
173.29,1.34
175.02,1.26
176.77,1.20
178.54,1.14
180.32,1.08
182.13,1.01
183.95,0.92
185.79,0.86
187.65,0.79
189.52,0.73
191.42,0.66
193.33,0.58
195.27,0.51
197.22,0.44
199.19,0.36
201.18,0.27
203.19,0.18
205.23,0.08
207.28,-0.01
209.35,-0.11
211.44,-0.24
213.56,-0.37
215.69,-0.52
217.85,-0.68
220.03,-0.79
222.23,-0.94
224.45,-1.12
226.70,-1.30
228.96,-1.51
231.25,-1.65
233.57,-1.85
235.90,-2.08
238.26,-2.24
240.64,-2.45
243.05,-2.62
245.48,-2.81
247.93,-3.03
250.41,-3.18
252.92,-3.37
255.45,-3.50
258.00,-3.63
260.58,-3.79
263.19,-3.90
265.82,-4.01
268.48,-4.07
271.16,-4.12
273.87,-4.18
276.61,-4.20
279.38,-4.22
282.17,-4.23
284.99,-4.23
287.84,-4.22
290.72,-4.21
293.63,-4.21
296.57,-4.21
299.53,-4.23
302.53,-4.25
305.55,-4.26
308.61,-4.29
311.69,-4.32
314.81,-4.35
317.96,-4.39
321.14,-4.44
324.35,-4.49
327.59,-4.54
330.87,-4.59
334.18,-4.66
337.52,-4.74
340.90,-4.80
344.30,-4.88
347.75,-4.95
351.23,-5.03
354.74,-5.12
358.28,-5.23
361.87,-5.33
365.49,-5.47
369.14,-5.58
372.83,-5.71
376.56,-5.87
380.33,-6.01
384.13,-6.17
387.97,-6.30
391.85,-6.45
395.77,-6.62
399.73,-6.80
403.72,-6.98
407.76,-7.19
411.84,-7.40
415.96,-7.63
420.12,-7.86
424.32,-8.09
428.56,-8.29
432.85,-8.54
437.18,-8.82
441.55,-9.07
445.96,-9.36
450.42,-9.68
454.93,-9.95
459.48,-10.28
464.07,-10.56
468.71,-10.86
473.40,-11.20
478.13,-11.52
482.91,-11.84
487.74,-12.16
492.62,-12.50
497.55,-12.86
502.52,-13.22
507.55,-13.58
512.62,-13.93
517.75,-14.29
522.93,-14.64
528.16,-14.98
533.44,-15.24
538.77,-15.49
544.16,-15.72
549.60,-15.87
555.10,-15.99
560.65,-16.05
566.25,-16.05
571.92,-15.97
577.64,-15.83
583.41,-15.65
589.25,-15.40
595.14,-15.05
601.09,-14.69
607.10,-14.30
613.17,-13.91
619.30,-13.45
625.50,-12.96
631.75,-12.45
638.07,-11.94
644.45,-11.49
650.89,-10.98
657.40,-10.52
663.98,-10.04
670.62,-9.60
677.32,-9.18
684.10,-8.78
690.94,-8.35
697.85,-7.97
704.83,-7.60
711.87,-7.25
718.99,-6.94
726.18,-6.62
733.44,-6.28
740.78,-5.95
748.19,-5.67
755.67,-5.36
763.23,-5.09
770.86,-4.85
778.57,-4.57
786.35,-4.33
794.22,-4.09
802.16,-3.85
810.18,-3.60
818.28,-3.37
826.46,-3.15
834.73,-2.96
843.08,-2.75
851.51,-2.53
860.02,-2.33
868.62,-2.15
877.31,-1.96
886.08,-1.77
894.94,-1.60
903.89,-1.43
912.93,-1.27
922.06,-1.11
931.28,-0.96
940.59,-0.82
950.00,-0.68
959.50,-0.54
969.09,-0.39
978.78,-0.25
988.57,-0.13
998.46,-0.02
1008.44,0.09
1018.53,0.20
1028.71,0.31
1039.00,0.41
1049.39,0.50
1059.88,0.59
1070.48,0.68
1081.19,0.76
1092.00,0.84
1102.92,0.93
1113.95,1.02
1125.09,1.09
1136.34,1.16
1147.70,1.24
1159.18,1.31
1170.77,1.39
1182.48,1.47
1194.30,1.54
1206.25,1.60
1218.31,1.66
1230.49,1.73
1242.80,1.79
1255.22,1.86
1267.78,1.92
1280.45,1.99
1293.26,2.04
1306.19,2.09
1319.25,2.13
1332.45,2.19
1345.77,2.24
1359.23,2.27
1372.82,2.29
1386.55,2.31
1400.41,2.31
1414.42,2.30
1428.56,2.28
1442.85,2.22
1457.28,2.16
1471.85,2.10
1486.57,2.02
1501.43,1.93
1516.45,1.83
1531.61,1.72
1546.93,1.61
1562.40,1.50
1578.02,1.37
1593.80,1.25
1609.74,1.12
1625.84,1.01
1642.10,0.91
1658.52,0.79
1675.10,0.68
1691.85,0.57
1708.77,0.46
1725.86,0.36
1743.12,0.28
1760.55,0.20
1778.15,0.15
1795.94,0.11
1813.90,0.07
1832.03,0.05
1850.36,0.03
1868.86,0.01
1887.55,-0.02
1906.42,-0.04
1925.49,-0.07
1944.74,-0.10
1964.19,-0.16
1983.83,-0.23
2003.67,-0.33
2023.71,-0.44
2043.94,-0.58
2064.38,-0.73
2085.03,-0.90
2105.88,-1.08
2126.94,-1.28
2148.20,-1.49
2169.69,-1.70
2191.38,-1.92
2213.30,-2.15
2235.43,-2.38
2257.78,-2.61
2280.36,-2.85
2303.17,-3.07
2326.20,-3.30
2349.46,-3.52
2372.95,-3.75
2396.68,-3.97
2420.65,-4.20
2444.86,-4.42
2469.31,-4.65
2494.00,-4.87
2518.94,-5.09
2544.13,-5.32
2569.57,-5.55
2595.27,-5.77
2621.22,-6.00
2647.43,-6.22
2673.90,-6.45
2700.64,-6.68
2727.65,-6.91
2754.93,-7.15
2782.48,-7.38
2810.30,-7.61
2838.40,-7.83
2866.79,-8.04
2895.46,-8.24
2924.41,-8.42
2953.65,-8.59
2983.19,-8.72
3013.02,-8.83
3043.15,-8.93
3073.58,-9.01
3104.32,-9.07
3135.36,-9.11
3166.72,-9.13
3198.38,-9.13
3230.37,-9.11
3262.67,-9.09
3295.30,-9.06
3328.25,-9.01
3361.53,-8.96
3395.15,-8.91
3429.10,-8.88
3463.39,-8.84
3498.03,-8.80
3533.01,-8.78
3568.34,-8.79
3604.02,-8.81
3640.06,-8.83
3676.46,-8.89
3713.22,-8.97
3750.36,-9.08
3787.86,-9.21
3825.74,-9.35
3864.00,-9.50
3902.64,-9.65
3941.66,-9.82
3981.08,-9.98
4020.89,-10.14
4061.10,-10.28
4101.71,-10.40
4142.73,-10.51
4184.15,-10.59
4226.00,-10.64
4268.26,-10.65
4310.94,-10.63
4354.05,-10.59
4397.59,-10.51
4441.56,-10.40
4485.98,-10.28
4530.84,-10.13
4576.15,-9.97
4621.91,-9.81
4668.13,-9.66
4714.81,-9.51
4761.96,-9.34
4809.58,-9.18
4857.67,-9.01
4906.25,-8.83
4955.31,-8.64
5004.87,-8.46
5054.91,-8.27
5105.46,-8.06
5156.52,-7.82
5208.08,-7.56
5260.16,-7.28
5312.77,-6.99
5365.89,-6.67
5419.55,-6.31
5473.75,-5.96
5528.49,-5.62
5583.77,-5.28
5639.61,-4.94
5696.00,-4.64
5752.96,-4.35
5810.49,-4.08
5868.60,-3.85
5927.28,-3.64
5986.56,-3.48
6046.42,-3.34
6106.89,-3.24
6167.96,-3.18
6229.64,-3.15
6291.93,-3.14
6354.85,-3.16
6418.40,-3.21
6482.58,-3.27
6547.41,-3.38
6612.88,-3.55
6679.01,-3.77
6745.80,-4.03
6813.26,-4.36
6881.39,-4.73
6950.21,-5.15
7019.71,-5.62
7089.91,-6.13
7160.81,-6.68
7232.41,-7.23
7304.74,-7.80
7377.79,-8.38
7451.56,-8.96
7526.08,-9.53
7601.34,-10.09
7677.35,-10.63
7754.13,-11.15
7831.67,-11.65
7909.98,-12.14
7989.08,-12.63
8068.98,-13.10
8149.67,-13.54
8231.16,-13.96
8313.47,-14.33
8396.61,-14.65
8480.57,-14.92
8565.38,-15.13
8651.03,-15.28
8737.54,-15.36
8824.92,-15.36
8913.17,-15.29
9002.30,-15.15
9092.32,-14.96
9183.25,-14.72
9275.08,-14.47
9367.83,-14.19
9461.51,-13.91
9556.12,-13.65
9651.68,-13.40
9748.20,-13.19
9845.68,-13.02
9944.14,-12.87
10043.58,-12.75
10144.02,-12.67
10245.46,-12.61
10347.91,-12.58
10451.39,-12.56
10555.91,-12.56
10661.46,-12.57
10768.08,-12.59
10875.76,-12.61
10984.52,-12.66
11094.36,-12.72
