frequency,raw
20.00,-14.51
20.20,-14.46
20.40,-14.41
20.61,-14.36
20.81,-14.31
21.02,-14.26
21.23,-14.20
21.44,-14.15
21.66,-14.09
21.87,-14.04
22.09,-13.98
22.31,-13.92
22.54,-13.85
22.76,-13.79
22.99,-13.72
23.22,-13.66
23.45,-13.61
23.69,-13.56
23.92,-13.50
24.16,-13.44
24.40,-13.37
24.65,-13.31
24.89,-13.25
25.14,-13.17
25.39,-13.08
25.65,-13.00
25.91,-12.92
26.16,-12.84
26.43,-12.75
26.69,-12.66
26.96,-12.56
27.23,-12.48
27.50,-12.40
27.77,-12.32
28.05,-12.22
28.33,-12.14
28.62,-12.07
28.90,-12.00
29.19,-11.92
29.48,-11.85
29.78,-11.78
30.08,-11.71
30.38,-11.65
30.68,-11.58
30.99,-11.52
31.30,-11.45
31.61,-11.38
31.93,-11.32
32.24,-11.27
32.57,-11.21
32.89,-11.14
33.22,-11.07
33.55,-11.02
33.89,-10.97
34.23,-10.92
34.57,-10.86
34.92,-10.80
35.27,-10.75
35.62,-10.69
35.97,-10.63
36.33,-10.56
36.70,-10.49
37.06,-10.43
37.43,-10.38
37.81,-10.32
38.19,-10.25
38.57,-10.17
38.95,-10.11
39.34,-10.05
39.74,-9.99
40.14,-9.92
40.54,-9.85
40.94,-9.77
41.35,-9.71
41.76,-9.65
42.18,-9.60
42.60,-9.54
43.03,-9.48
43.46,-9.42
43.90,-9.37
44.33,-9.31
44.78,-9.25
45.23,-9.20
45.68,-9.16
46.13,-9.13
46.60,-9.10
47.06,-9.06
47.53,-9.01
48.01,-8.97
48.49,-8.94
48.97,-8.90
49.46,-8.87
49.96,-8.83
50.46,-8.79
50.96,-8.74
51.47,-8.70
51.99,-8.66
52.51,-8.62
53.03,-8.57
53.56,-8.53
54.10,-8.49
54.64,-8.45
55.18,-8.40
55.74,-8.36
56.29,-8.32
56.86,-8.28
57.42,-8.24
58.00,-8.20
58.58,-8.17
59.16,-8.13
59.76,-8.10
60.35,-8.07
60.96,-8.03
61.57,-7.99
62.18,-7.95
62.80,-7.90
63.43,-7.86
64.07,-7.81
64.71,-7.77
65.35,-7.74
66.01,-7.72
66.67,-7.70
67.33,-7.69
68.01,-7.67
68.69,-7.66
69.37,-7.64
70.07,-7.61
70.77,-7.59
71.48,-7.58
72.19,-7.56
72.91,-7.54
73.64,-7.52
74.38,-7.49
75.12,-7.46
75.87,-7.42
76.63,-7.39
77.40,-7.36
78.17,-7.34
78.95,-7.32
79.74,-7.30
80.54,-7.28
81.35,-7.28
82.16,-7.28
82.98,-7.28
83.81,-7.29
84.65,-7.30
85.50,-7.30
86.35,-7.30
87.22,-7.30
88.09,-7.30
88.97,-7.30
89.86,-7.30
90.76,-7.30
91.66,-7.30
92.58,-7.29
93.51,-7.28
94.44,-7.28
95.39,-7.28
96.34,-7.29
97.30,-7.30
98.28,-7.32
99.26,-7.34
100.25,-7.36
101.25,-7.39
102.27,-7.42
103.29,-7.45
104.32,-7.48
105.37,-7.52
106.42,-7.54
107.48,-7.57
108.56,-7.60
109.64,-7.62
110.74,-7.65
111.85,-7.67
112.97,-7.67
114.10,-7.68
115.24,-7.67
116.39,-7.65
117.55,-7.63
118.73,-7.61
119.92,-7.58
121.12,-7.54
122.33,-7.49
123.55,-7.43
124.79,-7.34
126.03,-7.23
127.29,-7.10
128.57,-6.94
129.85,-6.76
131.15,-6.57
132.46,-6.37
133.79,-6.15
135.12,-5.94
136.48,-5.71
137.84,-5.48
139.22,-5.23
140.61,-4.99
142.02,-4.76
143.44,-4.53
144.87,-4.31
146.32,-4.12
147.78,-3.93
149.26,-3.77
150.75,-3.63
152.26,-3.50
153.78,-3.39
155.32,-3.30
156.88,-3.22
158.44,-3.16
160.03,-3.11
161.63,-3.08
163.24,-3.06
164.88,-3.05
166.53,-3.06
168.19,-3.06
169.87,-3.06
171.57,-3.06
173.29,-3.07
175.02,-3.08
176.77,-3.08
178.54,-3.08
180.32,-3.08
182.13,-3.08
183.95,-3.09
185.79,-3.10
187.65,-3.11
189.52,-3.11
191.42,-3.10
193.33,-3.09
195.27,-3.08
197.22,-3.07
199.19,-3.05
201.18,-3.02
203.19,-2.99
205.23,-2.94
207.28,-2.89
209.35,-2.84
211.44,-2.78
213.56,-2.72
215.69,-2.67
217.85,-2.62
220.03,-2.57
222.23,-2.52
224.45,-2.49
226.70,-2.46
228.96,-2.44
231.25,-2.44
233.57,-2.42
235.90,-2.41
238.26,-2.41
240.64,-2.41
243.05,-2.42
245.48,-2.43
247.93,-2.44
250.41,-2.44
252.92,-2.44
255.45,-2.44
258.00,-2.45
260.58,-2.45
263.19,-2.46
265.82,-2.45
268.48,-2.44
271.16,-2.43
273.87,-2.41
276.61,-2.38
279.38,-2.35
282.17,-2.33
284.99,-2.30
287.84,-2.26
290.72,-2.23
293.63,-2.20
296.57,-2.18
299.53,-2.15
302.53,-2.13
305.55,-2.11
308.61,-2.10
311.69,-2.09
314.81,-2.09
317.96,-2.10
321.14,-2.10
324.35,-2.11
327.59,-2.11
330.87,-2.11
334.18,-2.11
337.52,-2.11
340.90,-2.11
344.30,-2.11
347.75,-2.11
351.23,-2.12
354.74,-2.13
358.28,-2.13
361.87,-2.13
365.49,-2.12
369.14,-2.10
372.83,-2.08
376.56,-2.06
380.33,-2.03
384.13,-2.00
387.97,-1.97
391.85,-1.94
395.77,-1.91
399.73,-1.88
403.72,-1.86
407.76,-1.84
411.84,-1.83
415.96,-1.81
420.12,-1.79
424.32,-1.77
428.56,-1.75
432.85,-1.73
437.18,-1.72
441.55,-1.70
445.96,-1.68
450.42,-1.65
454.93,-1.62
459.48,-1.58
464.07,-1.53
468.71,-1.49
473.40,-1.46
478.13,-1.42
482.91,-1.37
487.74,-1.32
492.62,-1.28
497.55,-1.23
502.52,-1.20
507.55,-1.16
512.62,-1.11
517.75,-1.05
522.93,-0.99
528.16,-0.93
533.44,-0.88
538.77,-0.84
544.16,-0.80
549.60,-0.75
555.10,-0.70
560.65,-0.64
566.25,-0.58
571.92,-0.52
577.64,-0.47
583.41,-0.43
589.25,-0.38
595.14,-0.34
601.09,-0.29
607.10,-0.26
613.17,-0.24
619.30,-0.22
625.50,-0.20
631.75,-0.18
638.07,-0.15
644.45,-0.11
650.89,-0.08
657.40,-0.06
663.98,-0.04
670.62,-0.01
677.32,0.03
684.10,0.07
690.94,0.09
697.85,0.11
704.83,0.12
711.87,0.12
718.99,0.11
726.18,0.10
733.44,0.07
740.78,0.04
748.19,-0.00
755.67,-0.05
763.23,-0.10
770.86,-0.12
778.57,-0.14
786.35,-0.15
794.22,-0.15
802.16,-0.14
810.18,-0.12
818.28,-0.10
826.46,-0.06
834.73,-0.02
843.08,0.02
851.51,0.05
860.02,0.08
868.62,0.11
877.31,0.13
886.08,0.16
894.94,0.18
903.89,0.20
912.93,0.21
922.06,0.20
931.28,0.18
940.59,0.15
950.00,0.13
959.50,0.10
969.09,0.08
978.78,0.06
988.57,0.04
998.46,0.01
1008.44,-0.03
1018.53,-0.08
1028.71,-0.12
1039.00,-0.17
1049.39,-0.22
1059.88,-0.26
1070.48,-0.31
1081.19,-0.34
1092.00,-0.37
1102.92,-0.40
1113.95,-0.42
1125.09,-0.44
1136.34,-0.46
1147.70,-0.49
1159.18,-0.51
1170.77,-0.53
1182.48,-0.54
1194.30,-0.53
1206.25,-0.51
1218.31,-0.48
1230.49,-0.46
1242.80,-0.43
1255.22,-0.41
1267.78,-0.38
1280.45,-0.34
1293.26,-0.31
1306.19,-0.28
1319.25,-0.25
1332.45,-0.22
1345.77,-0.20
1359.23,-0.18
1372.82,-0.16
1386.55,-0.13
1400.41,-0.12
1414.42,-0.11
1428.56,-0.11
1442.85,-0.13
1457.28,-0.14
1471.85,-0.16
1486.57,-0.18
1501.43,-0.21
1516.45,-0.26
1531.61,-0.33
1546.93,-0.40
1562.40,-0.48
1578.02,-0.57
1593.80,-0.68
1609.74,-0.80
1625.84,-0.93
1642.10,-1.09
1658.52,-1.26
1675.10,-1.44
1691.85,-1.61
1708.77,-1.79
1725.86,-1.96
1743.12,-2.15
1760.55,-2.35
1778.15,-2.54
1795.94,-2.75
1813.90,-2.94
1832.03,-3.12
1850.36,-3.29
1868.86,-3.45
1887.55,-3.60
1906.42,-3.72
1925.49,-3.81
1944.74,-3.90
1964.19,-3.98
1983.83,-4.04
2003.67,-4.08
2023.71,-4.12
2043.94,-4.13
2064.38,-4.12
2085.03,-4.10
2105.88,-4.05
2126.94,-3.99
2148.20,-3.93
2169.69,-3.86
2191.38,-3.77
2213.30,-3.68
2235.43,-3.59
2257.78,-3.48
2280.36,-3.37
2303.17,-3.27
2326.20,-3.17
2349.46,-3.07
2372.95,-2.99
2396.68,-2.92
2420.65,-2.86
2444.86,-2.82
2469.31,-2.78
2494.00,-2.76
2518.94,-2.74
2544.13,-2.72
2569.57,-2.71
2595.27,-2.72
2621.22,-2.72
2647.43,-2.74
2673.90,-2.77
2700.64,-2.80
2727.65,-2.84
2754.93,-2.88
2782.48,-2.91
2810.30,-2.93
2838.40,-2.95
2866.79,-2.96
2895.46,-2.97
2924.41,-2.98
2953.65,-2.98
2983.19,-2.98
3013.02,-2.97
3043.15,-2.94
3073.58,-2.90
3104.32,-2.85
3135.36,-2.79
3166.72,-2.73
3198.38,-2.66
3230.37,-2.61
3262.67,-2.56
3295.30,-2.52
3328.25,-2.49
3361.53,-2.49
3395.15,-2.50
3429.10,-2.51
3463.39,-2.53
3498.03,-2.57
3533.01,-2.63
3568.34,-2.70
3604.02,-2.78
3640.06,-2.88
3676.46,-2.97
3713.22,-3.07
3750.36,-3.16
3787.86,-3.24
3825.74,-3.31
3864.00,-3.37
3902.64,-3.41
3941.66,-3.42
3981.08,-3.41
4020.89,-3.40
4061.10,-3.36
4101.71,-3.30
4142.73,-3.24
4184.15,-3.17
4226.00,-3.07
4268.26,-2.95
4310.94,-2.83
4354.05,-2.70
4397.59,-2.56
4441.56,-2.42
4485.98,-2.27
4530.84,-2.11
4576.15,-1.97
4621.91,-1.83
4668.13,-1.69
4714.81,-1.55
4761.96,-1.42
4809.58,-1.29
4857.67,-1.17
4906.25,-1.07
4955.31,-0.96
5004.87,-0.86
5054.91,-0.74
5105.46,-0.61
5156.52,-0.45
5208.08,-0.27
5260.16,-0.06
5312.77,0.17
5365.89,0.43
5419.55,0.71
5473.75,1.00
5528.49,1.29
5583.77,1.59
5639.61,1.88
5696.00,2.15
5752.96,2.40
5810.49,2.61
5868.60,2.80
5927.28,2.94
5986.56,3.04
6046.42,3.10
6106.89,3.11
6167.96,3.10
6229.64,3.05
6291.93,2.98
6354.85,2.90
6418.40,2.79
6482.58,2.64
6547.41,2.43
6612.88,2.18
6679.01,1.87
6745.80,1.50
6813.26,1.04
6881.39,0.52
6950.21,-0.06
7019.71,-0.71
7089.91,-1.40
7160.81,-2.12
7232.41,-2.84
7304.74,-3.56
7377.79,-4.27
7451.56,-4.97
7526.08,-5.63
7601.34,-6.27
7677.35,-6.85
7754.13,-7.41
7831.67,-7.91
7909.98,-8.37
7989.08,-8.80
8068.98,-9.21
8149.67,-9.60
8231.16,-9.95
8313.47,-10.27
8396.61,-10.57
8480.57,-10.85
8565.38,-11.10
8651.03,-11.30
8737.54,-11.47
8824.92,-11.60
8913.17,-11.67
9002.30,-11.70
9092.32,-11.67
9183.25,-11.62
9275.08,-11.54
9367.83,-11.44
9461.51,-11.31
9556.12,-11.16
9651.68,-11.02
9748.20,-10.87
9845.68,-10.72
9944.14,-10.57
10043.58,-10.41
10144.02,-10.24
10245.46,-10.05
10347.91,-9.86
10451.39,-9.68
10555.91,-9.51
10661.46,-9.33
10768.08,-9.17
10875.76,-9.04
10984.52,-8.91
11094.36,-8.80
11205.31,-8.71
11317.36,-8.66
11430.53,-8.64
11544.84,-8.64
11660.29,-8.66
11776.89,-8.71
11894.66,-8.79
12013.60,-8.90
12133.74,-9.02
12255.08,-9.15
12377.63,-9.29
12501.41,-9.44
12626.42,-9.60
12752.68,-9.79
12880.21,-10.00
13009.01,-10.22
13139.10,-10.46
13270.49,-10.71
13403.20,-11.00
13537.23,-11.30
13672.60,-11.59
13809.33,-11.88
13947.42,-12.15
14086.90,-12.38
14227.77,-12.54
14370.04,-12.65
14513.74,-12.70
14658.88,-12.69
14805.47,-12.61
14953.52,-12.48
15103.06,-12.29
15254.09,-12.08
15406.63,-11.84
15560.70,-11.59
15716.30,-11.35
15873.47,-11.11
16032.20,-10.91
16192.52,-10.72
16354.45,-10.59
16517.99,-10.51
16683.17,-10.46
16850.01,-10.44
17018.51,-10.44
17188.69,-10.45
17360.58,-10.47
17534.18,-10.50
17709.53,-10.55
17886.62,-10.64
18065.49,-10.83
18246.14,-11.05
18428.60,-11.30
18612.89,-11.60
18799.02,-11.92
18987.01,-12.29
19176.88,-12.69
19368.65,-13.13
19562.33,-13.60
19757.96,-14.12
19955.54,-14.66
