frequency,raw
20.00,0.29
20.20,0.45
20.40,0.61
20.61,0.77
20.81,0.93
21.02,1.10
21.23,1.26
21.44,1.42
21.66,1.58
21.87,1.75
22.09,1.91
22.31,2.08
22.54,2.24
22.76,2.41
22.99,2.57
23.22,2.74
23.45,2.90
23.69,3.07
23.92,3.24
24.16,3.40
24.40,3.57
24.65,3.74
24.89,3.91
25.14,4.08
25.39,4.24
25.65,4.41
25.91,4.58
26.16,4.75
26.43,4.91
26.69,5.08
26.96,5.24
27.23,5.41
27.50,5.58
27.77,5.75
28.05,5.92
28.33,6.08
28.62,6.25
28.90,6.41
29.19,6.58
29.48,6.74
29.78,6.91
30.08,7.07
30.38,7.24
30.68,7.41
30.99,7.57
31.30,7.74
31.61,7.90
31.93,8.06
32.24,8.22
32.57,8.37
32.89,8.53
33.22,8.68
33.55,8.84
33.89,8.99
34.23,9.14
34.57,9.29
34.92,9.43
35.27,9.58
35.62,9.72
35.97,9.86
36.33,9.99
36.70,10.13
37.06,10.26
37.43,10.39
37.81,10.52
38.19,10.64
38.57,10.77
38.95,10.90
39.34,11.01
39.74,11.12
40.14,11.24
40.54,11.35
40.94,11.45
41.35,11.56
41.76,11.67
42.18,11.77
42.60,11.86
43.03,11.96
43.46,12.03
43.90,12.11
44.33,12.19
44.78,12.27
45.23,12.34
45.68,12.41
46.13,12.48
46.60,12.54
47.06,12.60
47.53,12.66
48.01,12.73
48.49,12.79
48.97,12.85
49.46,12.90
49.96,12.95
50.46,12.99
50.96,13.03
51.47,13.06
51.99,13.09
52.51,13.12
53.03,13.15
53.56,13.18
54.10,13.21
54.64,13.24
55.18,13.26
55.74,13.28
56.29,13.30
56.86,13.31
57.42,13.32
58.00,13.34
58.58,13.35
59.16,13.35
59.76,13.36
60.35,13.36
60.96,13.37
61.57,13.38
62.18,13.38
62.80,13.38
63.43,13.37
64.07,13.36
64.71,13.35
65.35,13.33
66.01,13.32
66.67,13.31
67.33,13.29
68.01,13.27
68.69,13.25
69.37,13.23
70.07,13.22
70.77,13.20
71.48,13.18
72.19,13.15
72.91,13.11
73.64,13.08
74.38,13.05
75.12,13.01
75.87,12.98
76.63,12.95
77.40,12.92
78.17,12.89
78.95,12.86
79.74,12.84
80.54,12.81
81.35,12.78
82.16,12.74
82.98,12.70
83.81,12.66
84.65,12.62
85.50,12.58
86.35,12.53
87.22,12.48
88.09,12.44
88.97,12.39
89.86,12.36
90.76,12.31
91.66,12.27
92.58,12.23
93.51,12.19
94.44,12.15
95.39,12.11
96.34,12.08
97.30,12.05
98.28,12.01
99.26,11.96
100.25,11.90
101.25,11.85
102.27,11.80
103.29,11.78
104.32,11.74
105.37,11.70
106.42,11.64
107.48,11.58
108.56,11.52
109.64,11.45
110.74,11.39
111.85,11.35
112.97,11.31
114.10,11.27
115.24,11.22
116.39,11.19
117.55,11.15
118.73,11.10
119.92,11.05
121.12,11.01
122.33,10.97
123.55,10.92
124.79,10.86
126.03,10.80
127.29,10.77
128.57,10.74
129.85,10.68
131.15,10.61
132.46,10.57
133.79,10.51
135.12,10.46
136.48,10.43
137.84,10.38
139.22,10.33
140.61,10.27
142.02,10.18
143.44,10.14
144.87,10.08
146.32,10.04
147.78,9.98
149.26,9.94
150.75,9.88
152.26,9.85
153.78,9.82
155.32,9.80
156.88,9.77
158.44,9.76
160.03,9.75
161.63,9.75
163.24,9.75
164.88,9.76
166.53,9.77
168.19,9.77
169.87,9.77
171.57,9.77
173.29,9.77
175.02,9.77
176.77,9.77
178.54,9.77
180.32,9.77
182.13,9.77
183.95,9.77
185.79,9.77
187.65,9.77
189.52,9.77
191.42,9.77
193.33,9.78
195.27,9.79
197.22,9.79
199.19,9.79
201.18,9.78
203.19,9.77
205.23,9.76
207.28,9.74
209.35,9.70
211.44,9.66
213.56,9.61
215.69,9.57
217.85,9.50
220.03,9.45
222.23,9.39
224.45,9.30
226.70,9.22
228.96,9.15
231.25,9.10
233.57,9.05
235.90,8.98
238.26,8.93
240.64,8.86
243.05,8.81
245.48,8.75
247.93,8.70
250.41,8.67
252.92,8.62
255.45,8.60
258.00,8.56
260.58,8.53
263.19,8.49
265.82,8.44
268.48,8.41
271.16,8.37
273.87,8.33
276.61,8.31
279.38,8.29
282.17,8.27
284.99,8.23
287.84,8.16
290.72,8.11
293.63,8.07
296.57,8.04
299.53,8.00
302.53,7.98
305.55,7.95
308.61,7.92
311.69,7.87
314.81,7.83
