frequency,raw
20.00,-4.22
20.20,-4.15
20.40,-4.09
20.61,-4.03
20.81,-3.96
21.02,-3.90
21.23,-3.83
21.44,-3.77
21.66,-3.70
21.87,-3.64
22.09,-3.57
22.31,-3.51
22.54,-3.43
22.76,-3.36
22.99,-3.30
23.22,-3.24
23.45,-3.17
23.69,-3.11
23.92,-3.04
24.16,-2.98
24.40,-2.92
24.65,-2.86
24.89,-2.78
25.14,-2.71
25.39,-2.64
25.65,-2.59
25.91,-2.53
26.16,-2.47
26.43,-2.41
26.69,-2.36
26.96,-2.30
27.23,-2.24
27.50,-2.19
27.77,-2.15
28.05,-2.11
28.33,-2.07
28.62,-2.03
28.90,-1.97
29.19,-1.92
29.48,-1.88
29.78,-1.84
30.08,-1.79
30.38,-1.74
30.68,-1.70
30.99,-1.66
31.30,-1.64
31.61,-1.62
31.93,-1.60
32.24,-1.58
32.57,-1.55
32.89,-1.52
33.22,-1.49
33.55,-1.46
33.89,-1.45
34.23,-1.43
34.57,-1.41
34.92,-1.38
35.27,-1.34
35.62,-1.29
35.97,-1.24
36.33,-1.20
36.70,-1.16
37.06,-1.11
37.43,-1.07
37.81,-1.02
38.19,-0.97
38.57,-0.93
38.95,-0.89
39.34,-0.85
39.74,-0.81
40.14,-0.77
40.54,-0.72
40.94,-0.67
41.35,-0.63
41.76,-0.59
42.18,-0.55
42.60,-0.51
43.03,-0.47
43.46,-0.43
43.90,-0.39
44.33,-0.34
44.78,-0.31
45.23,-0.28
45.68,-0.24
46.13,-0.19
46.60,-0.14
47.06,-0.08
47.53,-0.03
48.01,0.01
48.49,0.05
48.97,0.10
49.46,0.16
49.96,0.22
50.46,0.29
50.96,0.36
51.47,0.42
51.99,0.47
52.51,0.52
53.03,0.57
53.56,0.61
54.10,0.64
54.64,0.67
55.18,0.68
55.74,0.70
56.29,0.72
56.86,0.74
57.42,0.77
58.00,0.80
58.58,0.82
59.16,0.84
59.76,0.86
60.35,0.89
60.96,0.92
61.57,0.95
62.18,0.98
