frequency,raw
20.00,9.82
20.20,9.91
20.40,10.01
20.61,10.10
20.81,10.20
21.02,10.29
21.23,10.39
21.44,10.49
21.66,10.58
21.87,10.68
22.09,10.78
22.31,10.89
22.54,10.99
22.76,11.09
22.99,11.20
23.22,11.30
23.45,11.41
23.69,11.51
23.92,11.62
24.16,11.73
24.40,11.84
24.65,11.95
24.89,12.06
25.14,12.18
25.39,12.29
25.65,12.41
25.91,12.53
26.16,12.65
26.43,12.77
26.69,12.89
26.96,13.01
27.23,13.14
27.50,13.26
27.77,13.39
28.05,13.51
28.33,13.65
28.62,13.78
28.90,13.91
29.19,14.05
29.48,14.18
29.78,14.32
30.08,14.46
30.38,14.63
30.68,14.79
30.99,14.95
31.30,15.12
31.61,15.30
31.93,15.47
32.24,15.65
32.57,15.82
32.89,16.00
33.22,16.18
33.55,16.36
33.89,16.53
34.23,16.70
34.57,16.87
34.92,17.03
35.27,17.18
35.62,17.32
35.97,17.47
36.33,17.58
36.70,17.68
37.06,17.78
37.43,17.84
37.81,17.91
38.19,17.95
38.57,17.96
38.95,17.97
39.34,17.94
39.74,17.90
40.14,17.84
40.54,17.76
40.94,17.67
41.35,17.55
41.76,17.43
42.18,17.30
42.60,17.15
43.03,17.00
43.46,16.83
43.90,16.66
44.33,16.49
44.78,16.32
45.23,16.14
45.68,15.96
46.13,15.79
46.60,15.63
47.06,15.47
47.53,15.32
48.01,15.17
48.49,15.03
48.97,14.90
49.46,14.77
49.96,14.65
50.46,14.53
50.96,14.41
51.47,14.30
51.99,14.18
52.51,14.08
53.03,13.97
53.56,13.86
54.10,13.74
54.64,13.61
55.18,13.47
55.74,13.33
56.29,13.18
56.86,13.02
57.42,12.86
58.00,12.70
58.58,12.54
59.16,12.38
59.76,12.22
60.35,12.06
60.96,11.91
61.57,11.77
62.18,11.64
62.80,11.53
63.43,11.44
64.07,11.36
64.71,11.30
65.35,11.26
66.01,11.25
66.67,11.27
67.33,11.31
68.01,11.37
68.69,11.46
69.37,11.56
70.07,11.66
70.77,11.80
71.48,11.95
72.19,12.10
72.91,12.26
73.64,12.41
74.38,12.55
75.12,12.69
75.87,12.83
76.63,12.96
77.40,13.08
78.17,13.19
78.95,13.28
79.74,13.35
80.54,13.41
81.35,13.44
82.16,13.47
82.98,13.48
83.81,13.46
84.65,13.44
85.50,13.41
86.35,13.37
87.22,13.30
88.09,13.24
88.97,13.16
89.86,13.07
90.76,12.98
91.66,12.86
92.58,12.74
93.51,12.62
94.44,12.49
95.39,12.35
96.34,12.20
97.30,12.05
98.28,11.90
99.26,11.74
100.25,11.59
101.25,11.44
102.27,11.32
103.29,11.26
104.32,11.17
105.37,11.06
106.42,10.95
107.48,10.86
108.56,10.78
109.64,10.72
110.74,10.66
111.85,10.62
112.97,10.57
114.10,10.55
115.24,10.53
116.39,10.53
117.55,10.53
118.73,10.54
119.92,10.58
121.12,10.63
122.33,10.66
123.55,10.69
124.79,10.71
126.03,10.72
127.29,10.71
128.57,10.69
129.85,10.65
131.15,10.58
132.46,10.54
133.79,10.46
135.12,10.33
136.48,10.26
137.84,10.14
139.22,10.06
140.61,9.96
142.02,9.82
143.44,9.76
144.87,9.65
146.32,9.58
147.78,9.49
149.26,9.41
150.75,9.30
152.26,9.22
153.78,9.11
155.32,9.03
156.88,8.93
158.44,8.87
160.03,8.79
161.63,8.74
163.24,8.70
164.88,8.64
166.53,8.62
168.19,8.59
169.87,8.54
171.57,8.50
173.29,8.46
175.02,8.39
176.77,8.35
178.54,8.29
180.32,8.24
182.13,8.17
183.95,8.06
185.79,7.98
187.65,7.90
189.52,7.82
191.42,7.74
193.33,7.64
195.27,7.55
197.22,7.47
199.19,7.38
201.18,7.30
203.19,7.22
205.23,7.15
207.28,7.09
209.35,7.04
