frequency,raw
20.00,14.05
20.20,13.99
20.40,13.92
20.61,13.86
20.81,13.80
21.02,13.73
21.23,13.68
21.44,13.62
21.66,13.57
21.87,13.51
22.09,13.46
22.31,13.40
22.54,13.35
22.76,13.30
22.99,13.24
23.22,13.20
23.45,13.15
23.69,13.11
23.92,13.06
24.16,13.02
24.40,12.98
24.65,12.94
24.89,12.90
25.14,12.86
25.39,12.83
25.65,12.80
25.91,12.76
26.16,12.73
26.43,12.71
26.69,12.69
26.96,12.66
27.23,12.65
27.50,12.63
27.77,12.61
28.05,12.60
28.33,12.59
28.62,12.59
28.90,12.58
29.19,12.58
29.48,12.58
29.78,12.58
30.08,12.58
30.38,12.60
30.68,12.61
30.99,12.62
31.30,12.65
31.61,12.68
31.93,12.70
32.24,12.74
32.57,12.78
32.89,12.83
33.22,12.88
33.55,12.93
33.89,12.99
34.23,13.06
34.57,13.14
34.92,13.21
35.27,13.28
35.62,13.35
35.97,13.42
36.33,13.50
36.70,13.58
37.06,13.66
37.43,13.73
37.81,13.80
38.19,13.86
38.57,13.91
38.95,13.96
39.34,14.00
39.74,14.04
40.14,14.07
40.54,14.09
40.94,14.10
41.35,14.09
41.76,14.08
42.18,14.05
42.60,14.02
43.03,13.98
43.46,13.92
43.90,13.87
44.33,13.81
44.78,13.75
45.23,13.69
45.68,13.62
46.13,13.56
46.60,13.51
47.06,13.45
47.53,13.41
48.01,13.36
48.49,13.33
48.97,13.30
49.46,13.30
49.96,13.29
50.46,13.30
50.96,13.32
51.47,13.36
51.99,13.40
52.51,13.46
53.03,13.51
53.56,13.59
54.10,13.68
54.64,13.78
55.18,13.87
55.74,13.97
56.29,14.08
56.86,14.19
57.42,14.30
58.00,14.41
58.58,14.52
59.16,14.63
59.76,14.74
60.35,14.86
60.96,14.97
61.57,15.07
62.18,15.17
62.80,15.28
63.43,15.40
64.07,15.51
64.71,15.62
65.35,15.73
66.01,15.83
66.67,15.92
67.33,16.02
68.01,16.11
68.69,16.21
69.37,16.30
70.07,16.39
70.77,16.47
71.48,16.55
72.19,16.63
72.91,16.70
73.64,16.78
74.38,16.85
75.12,16.92
75.87,16.97
76.63,17.01
77.40,17.04
78.17,17.05
78.95,17.06
79.74,17.05
80.54,17.05
81.35,17.04
82.16,17.03
82.98,17.01
83.81,16.98
84.65,16.94
85.50,16.89
86.35,16.84
87.22,16.79
88.09,16.74
88.97,16.68
89.86,16.63
90.76,16.58
91.66,16.52
92.58,16.47
93.51,16.42
94.44,16.37
95.39,16.30
96.34,16.23
97.30,16.15
98.28,16.07
99.26,15.98
100.25,15.89
101.25,15.80
102.27,15.72
103.29,15.67
104.32,15.60
105.37,15.51
106.42,15.41
107.48,15.32
108.56,15.21
109.64,15.11
110.74,15.01
111.85,14.91
112.97,14.79
114.10,14.68
115.24,14.57
116.39,14.50
117.55,14.40
118.73,14.27
119.92,14.12
121.12,13.97
122.33,13.90
123.55,13.79
124.79,13.64
126.03,13.49
127.29,13.42
128.57,13.31
129.85,13.14
131.15,12.97
132.46,12.89
133.79,12.75
135.12,12.58
136.48,12.48
137.84,12.32
139.22,12.21
140.61,12.07
142.02,11.87
143.44,11.75
144.87,11.57
146.32,11.44
147.78,11.27
149.26,11.15
150.75,10.97
152.26,10.82
153.78,10.63
155.32,10.48
156.88,10.26
158.44,10.12
160.03,9.90
161.63,9.76
163.24,9.61
164.88,9.38
166.53,9.21
168.19,9.07
169.87,8.85
171.57,8.70
173.29,8.55
175.02,8.33
176.77,8.20
178.54,8.06
180.32,7.94
182.13,7.81
183.95,7.61
185.79,7.47
187.65,7.34
189.52,7.24
191.42,7.12
193.33,7.00
195.27,6.87
197.22,6.74
199.19,6.61
201.18,6.48
203.19,6.35
205.23,6.22
207.28,6.09
209.35,5.97
211.44,5.83
213.56,5.69
215.69,5.55
217.85,5.40
220.03,5.31
222.23,5.20
224.45,5.06
226.70,4.92
228.96,4.78
231.25,4.70
233.57,4.60
235.90,4.49
238.26,4.42
240.64,4.33
243.05,4.26
245.48,4.19
247.93,4.12
250.41,4.07
252.92,4.00
255.45,3.95
258.00,3.90
260.58,3.84
263.19,3.79
265.82,3.74
268.48,3.70
271.16,3.64
273.87,3.57
276.61,3.53
279.38,3.48
282.17,3.44
284.99,3.39
287.84,3.32
290.72,3.27
293.63,3.20
296.57,3.14
299.53,3.09
302.53,3.02
305.55,2.94
308.61,2.86
311.69,2.78
314.81,2.72
317.96,2.65
321.14,2.57
324.35,2.49
327.59,2.40
330.87,2.33
334.18,2.27
337.52,2.19
340.90,2.12
344.30,2.04
347.75,1.97
351.23,1.91
354.74,1.85
358.28,1.78
361.87,1.73
365.49,1.67
369.14,1.62
372.83,1.57
376.56,1.51
380.33,1.46
384.13,1.42
387.97,1.37
391.85,1.33
395.77,1.31
399.73,1.29
403.72,1.27
407.76,1.25
411.84,1.22
415.96,1.18
420.12,1.15
424.32,1.13
428.56,1.12
432.85,1.10
437.18,1.07
441.55,1.03
445.96,0.98
450.42,0.93
454.93,0.87
459.48,0.80
464.07,0.73
468.71,0.67
473.40,0.60
478.13,0.55
482.91,0.49
487.74,0.44
492.62,0.37
497.55,0.30
502.52,0.23
507.55,0.17
512.62,0.11
517.75,0.06
522.93,0.01
528.16,-0.03
533.44,-0.05
538.77,-0.07
544.16,-0.09
549.60,-0.09
555.10,-0.08
560.65,-0.06
566.25,-0.02
571.92,0.04
577.64,0.11
583.41,0.19
589.25,0.28
595.14,0.38
601.09,0.48
607.10,0.59
613.17,0.68
619.30,0.78
625.50,0.89
631.75,0.98
638.07,1.08
644.45,1.19
650.89,1.29
657.40,1.38
663.98,1.46
670.62,1.53
677.32,1.59
684.10,1.64
690.94,1.71
697.85,1.76
704.83,1.82
711.87,1.88
718.99,1.93
726.18,1.98
733.44,2.02
740.78,2.05
748.19,2.08
755.67,2.09
763.23,2.10
770.86,2.10
778.57,2.09
786.35,2.09
794.22,2.08
802.16,2.05
810.18,2.01
818.28,1.96
826.46,1.92
834.73,1.87
843.08,1.82
851.51,1.77
860.02,1.71
868.62,1.66
877.31,1.61
886.08,1.55
894.94,1.48
903.89,1.38
912.93,1.28
922.06,1.16
931.28,1.05
940.59,0.94
950.00,0.81
959.50,0.67
969.09,0.51
978.78,0.35
988.57,0.19
998.46,0.02
1008.44,-0.14
1018.53,-0.32
1028.71,-0.50
1039.00,-0.69
1049.39,-0.88
1059.88,-1.07
1070.48,-1.26
1081.19,-1.43
1092.00,-1.63
1102.92,-1.82
1113.95,-1.99
1125.09,-2.13
1136.34,-2.27
1147.70,-2.42
1159.18,-2.55
1170.77,-2.69
1182.48,-2.81
1194.30,-2.91
1206.25,-2.99
1218.31,-3.06
1230.49,-3.13
1242.80,-3.19
1255.22,-3.24
1267.78,-3.28
1280.45,-3.31
1293.26,-3.33
1306.19,-3.36
1319.25,-3.38
1332.45,-3.39
1345.77,-3.39
1359.23,-3.38
1372.82,-3.36
1386.55,-3.34
1400.41,-3.32
1414.42,-3.29
1428.56,-3.25
1442.85,-3.19
1457.28,-3.12
1471.85,-3.03
1486.57,-2.93
1501.43,-2.81
1516.45,-2.68
1531.61,-2.54
1546.93,-2.39
1562.40,-2.24
1578.02,-2.07
1593.80,-1.90
1609.74,-1.72
1625.84,-1.54
1642.10,-1.36
1658.52,-1.19
1675.10,-1.00
1691.85,-0.82
1708.77,-0.65
1725.86,-0.47
1743.12,-0.28
1760.55,-0.09
1778.15,0.11
1795.94,0.31
1813.90,0.50
1832.03,0.71
1850.36,0.94
1868.86,1.17
1887.55,1.41
1906.42,1.67
1925.49,1.94
1944.74,2.22
1964.19,2.49
1983.83,2.79
2003.67,3.10
2023.71,3.42
2043.94,3.75
2064.38,4.07
2085.03,4.40
2105.88,4.73
2126.94,5.06
2148.20,5.39
2169.69,5.71
2191.38,6.05
2213.30,6.37
2235.43,6.69
2257.78,7.00
2280.36,7.30
2303.17,7.60
2326.20,7.88
2349.46,8.16
2372.95,8.45
2396.68,8.70
2420.65,8.95
2444.86,9.20
2469.31,9.43
2494.00,9.65
2518.94,9.84
2544.13,10.03
2569.57,10.20
2595.27,10.35
2621.22,10.49
2647.43,10.61
2673.90,10.73
2700.64,10.84
2727.65,10.93
2754.93,11.00
2782.48,11.07
2810.30,11.14
2838.40,11.20
2866.79,11.23
2895.46,11.25
2924.41,11.25
2953.65,11.24
2983.19,11.23
3013.02,11.22
3043.15,11.20
3073.58,11.16
3104.32,11.11
3135.36,11.06
3166.72,11.01
3198.38,10.95
3230.37,10.89
3262.67,10.81
3295.30,10.73
3328.25,10.64
3361.53,10.55
3395.15,10.47
3429.10,10.37
3463.39,10.27
3498.03,10.15
3533.01,10.01
3568.34,9.88
3604.02,9.74
3640.06,9.62
3676.46,9.47
3713.22,9.31
3750.36,9.16
3787.86,9.00
3825.74,8.83
3864.00,8.67
3902.64,8.48
3941.66,8.30
3981.08,8.13
4020.89,7.96
4061.10,7.79
4101.71,7.63
4142.73,7.48
4184.15,7.34
4226.00,7.20
4268.26,7.07
4310.94,6.96
4354.05,6.88
4397.59,6.81
4441.56,6.77
4485.98,6.74
4530.84,6.72
4576.15,6.74
4621.91,6.77
4668.13,6.83
4714.81,6.89
4761.96,6.96
4809.58,7.07
4857.67,7.18
4906.25,7.32
4955.31,7.48
5004.87,7.66
5054.91,7.86
5105.46,8.06
5156.52,8.29
5208.08,8.53
5260.16,8.80
5312.77,9.06
5365.89,9.31
5419.55,9.56
5473.75,9.82
5528.49,10.07
5583.77,10.30
5639.61,10.51
5696.00,10.71
5752.96,10.88
5810.49,11.05
5868.60,11.21
5927.28,11.37
5986.56,11.52
6046.42,11.65
6106.89,11.77
6167.96,11.89
6229.64,11.96
6291.93,12.03
6354.85,12.09
6418.40,12.12
6482.58,12.14
6547.41,12.12
6612.88,12.06
6679.01,11.97
6745.80,11.83
6813.26,11.66
6881.39,11.46
6950.21,11.23
7019.71,10.99
7089.91,10.72
7160.81,10.44
7232.41,10.13
7304.74,9.79
7377.79,9.41
7451.56,9.02
7526.08,8.60
7601.34,8.13
7677.35,7.65
7754.13,7.18
7831.67,6.72
7909.98,6.27
7989.08,5.82
8068.98,5.39
8149.67,5.02
8231.16,4.70
8313.47,4.45
8396.61,4.27
8480.57,4.18
8565.38,4.16
8651.03,4.21
8737.54,4.30
8824.92,4.44
8913.17,4.62
9002.30,4.82
9092.32,5.03
9183.25,5.24
9275.08,5.44
9367.83,5.64
9461.51,5.84
9556.12,6.01
9651.68,6.17
9748.20,6.29
