frequency,raw
20.00,4.21
20.20,4.22
20.40,4.24
20.61,4.25
20.81,4.26
21.02,4.28
21.23,4.29
21.44,4.31
21.66,4.33
21.87,4.34
22.09,4.36
22.31,4.38
22.54,4.42
22.76,4.45
22.99,4.48
23.22,4.50
23.45,4.51
23.69,4.51
23.92,4.51
24.16,4.50
24.40,4.49
24.65,4.47
24.89,4.45
25.14,4.42
25.39,4.39
25.65,4.35
25.91,4.31
26.16,4.28
26.43,4.24
26.69,4.21
26.96,4.18
27.23,4.16
27.50,4.14
27.77,4.12
28.05,4.09
28.33,4.04
28.62,4.00
28.90,3.94
29.19,3.89
29.48,3.84
29.78,3.78
30.08,3.74
30.38,3.71
30.68,3.69
30.99,3.69
31.30,3.69
31.61,3.69
31.93,3.70
32.24,3.71
32.57,3.73
32.89,3.76
33.22,3.80
33.55,3.83
33.89,3.87
34.23,3.90
34.57,3.92
34.92,3.95
35.27,3.97
35.62,3.98
35.97,3.98
36.33,3.97
36.70,3.97
37.06,3.95
37.43,3.93
37.81,3.91
38.19,3.87
38.57,3.83
38.95,3.78
39.34,3.73
39.74,3.67
40.14,3.59
40.54,3.49
40.94,3.38
41.35,3.26
41.76,3.12
42.18,2.99
42.60,2.85
43.03,2.72
43.46,2.59
43.90,2.46
44.33,2.33
44.78,2.22
45.23,2.13
45.68,2.07
46.13,2.01
46.60,1.98
47.06,1.98
47.53,2.00
48.01,2.05
48.49,2.12
48.97,2.21
49.46,2.31
49.96,2.43
50.46,2.56
50.96,2.71
51.47,2.85
51.99,3.01
52.51,3.18
53.03,3.37
53.56,3.55
54.10,3.72
54.64,3.88
55.18,4.05
55.74,4.22
56.29,4.37
56.86,4.51
57.42,4.64
58.00,4.76
58.58,4.88
59.16,4.98
59.76,5.07
60.35,5.14
60.96,5.21
61.57,5.26
62.18,5.32
62.80,5.38
63.43,5.42
64.07,5.47
64.71,5.52
65.35,5.58
66.01,5.63
66.67,5.67
67.33,5.71
68.01,5.75
68.69,5.79
69.37,5.82
70.07,5.84
70.77,5.85
71.48,5.87
72.19,5.89
72.91,5.90
73.64,5.91
74.38,5.91
75.12,5.90
75.87,5.89
76.63,5.89
77.40,5.88
78.17,5.88
78.95,5.88
79.74,5.88
80.54,5.89
81.35,5.90
82.16,5.91
82.98,5.91
83.81,5.90
84.65,5.89
85.50,5.87
86.35,5.85
87.22,5.83
88.09,5.80
88.97,5.77
89.86,5.74
90.76,5.71
91.66,5.68
92.58,5.65
93.51,5.62
94.44,5.59
95.39,5.57
96.34,5.55
97.30,5.54
98.28,5.54
99.26,5.54
100.25,5.55
101.25,5.55
102.27,5.56
103.29,5.56
104.32,5.56
105.37,5.56
106.42,5.56
107.48,5.56
108.56,5.56
109.64,5.56
110.74,5.56
111.85,5.56
112.97,5.56
114.10,5.56
115.24,5.56
116.39,5.56
117.55,5.56
118.73,5.56
119.92,5.56
121.12,5.56
122.33,5.57
123.55,5.58
124.79,5.58
126.03,5.58
127.29,5.58
128.57,5.57
129.85,5.55
131.15,5.53
132.46,5.50
133.79,5.47
135.12,5.45
136.48,5.43
137.84,5.40
139.22,5.37
140.61,5.34
142.02,5.30
143.44,5.26
144.87,5.21
146.32,5.17
147.78,5.14
149.26,5.11
150.75,5.09
152.26,5.07
153.78,5.04
155.32,5.00
156.88,4.95
158.44,4.91
160.03,4.87
161.63,4.83
163.24,4.79
164.88,4.75
166.53,4.71
168.19,4.67
169.87,4.63
171.57,4.60
173.29,4.55
175.02,4.50
176.77,4.44
178.54,4.39
180.32,4.35
182.13,4.30
183.95,4.25
185.79,4.20
187.65,4.14
189.52,4.09
191.42,4.03
193.33,3.96
195.27,3.90
197.22,3.85
199.19,3.79
201.18,3.72
203.19,3.64
205.23,3.56
207.28,3.49
209.35,3.43
211.44,3.38
213.56,3.31
215.69,3.23
217.85,3.16
220.03,3.09
222.23,3.03
224.45,2.98
226.70,2.92
228.96,2.86
231.25,2.80
233.57,2.76
235.90,2.71
238.26,2.66
240.64,2.60
243.05,2.56
245.48,2.51
247.93,2.45
250.41,2.39
252.92,2.33
255.45,2.27
258.00,2.21
260.58,2.15
263.19,2.08
265.82,1.99
268.48,1.90
271.16,1.80
273.87,1.70
276.61,1.59
279.38,1.48
282.17,1.36
284.99,1.23
287.84,1.10
290.72,0.98
293.63,0.84
296.57,0.70
299.53,0.55
302.53,0.41
305.55,0.26
308.61,0.11
311.69,-0.03
314.81,-0.17
317.96,-0.32
321.14,-0.45
324.35,-0.58
327.59,-0.71
330.87,-0.86
334.18,-0.99
337.52,-1.12
340.90,-1.26
344.30,-1.38
347.75,-1.50
351.23,-1.62
354.74,-1.74
358.28,-1.85
361.87,-1.96
365.49,-2.06
369.14,-2.18
372.83,-2.31
376.56,-2.43
380.33,-2.55
384.13,-2.67
387.97,-2.79
391.85,-2.91
395.77,-3.02
399.73,-3.13
403.72,-3.25
407.76,-3.36
411.84,-3.47
415.96,-3.58
420.12,-3.69
424.32,-3.80
428.56,-3.91
432.85,-4.01
437.18,-4.10
441.55,-4.18
445.96,-4.25
450.42,-4.32
454.93,-4.37
459.48,-4.41
464.07,-4.44
468.71,-4.45
473.40,-4.43
478.13,-4.41
482.91,-4.37
487.74,-4.31
492.62,-4.23
497.55,-4.14
502.52,-4.04
507.55,-3.93
512.62,-3.81
517.75,-3.67
522.93,-3.54
528.16,-3.41
533.44,-3.27
538.77,-3.13
544.16,-2.98
549.60,-2.83
555.10,-2.67
560.65,-2.52
566.25,-2.37
571.92,-2.22
577.64,-2.07
583.41,-1.92
589.25,-1.78
595.14,-1.65
601.09,-1.53
607.10,-1.41
613.17,-1.28
619.30,-1.17
625.50,-1.06
631.75,-0.97
638.07,-0.87
644.45,-0.77
650.89,-0.69
657.40,-0.61
663.98,-0.53
670.62,-0.44
677.32,-0.36
684.10,-0.27
690.94,-0.19
697.85,-0.12
704.83,-0.05
711.87,0.02
718.99,0.09
726.18,0.16
733.44,0.23
740.78,0.29
748.19,0.35
755.67,0.40
763.23,0.46
770.86,0.51
778.57,0.55
786.35,0.58
794.22,0.62
802.16,0.65
810.18,0.67
818.28,0.68
826.46,0.70
834.73,0.72
843.08,0.74
851.51,0.74
860.02,0.73
868.62,0.71
877.31,0.70
886.08,0.68
894.94,0.66
903.89,0.62
912.93,0.59
922.06,0.56
931.28,0.51
940.59,0.45
950.00,0.39
959.50,0.33
969.09,0.26
978.78,0.18
988.57,0.10
998.46,0.01
1008.44,-0.07
1018.53,-0.15
1028.71,-0.24
1039.00,-0.32
1049.39,-0.41
1059.88,-0.51
1070.48,-0.61
1081.19,-0.70
1092.00,-0.80
1102.92,-0.90
1113.95,-1.01
1125.09,-1.13
1136.34,-1.24
1147.70,-1.34
1159.18,-1.45
1170.77,-1.56
1182.48,-1.67
1194.30,-1.77
1206.25,-1.86
1218.31,-1.96
1230.49,-2.07
1242.80,-2.17
1255.22,-2.26
1267.78,-2.34
1280.45,-2.41
1293.26,-2.48
1306.19,-2.56
1319.25,-2.63
1332.45,-2.69
1345.77,-2.75
1359.23,-2.81
1372.82,-2.87
1386.55,-2.94
1400.41,-3.00
1414.42,-3.05
1428.56,-3.11
1442.85,-3.17
1457.28,-3.24
1471.85,-3.30
1486.57,-3.35
1501.43,-3.41
1516.45,-3.48
1531.61,-3.55
1546.93,-3.62
1562.40,-3.68
1578.02,-3.74
1593.80,-3.80
1609.74,-3.87
1625.84,-3.94
1642.10,-4.01
1658.52,-4.08
1675.10,-4.15
1691.85,-4.23
1708.77,-4.31
1725.86,-4.39
1743.12,-4.46
1760.55,-4.54
1778.15,-4.63
1795.94,-4.72
1813.90,-4.80
1832.03,-4.88
1850.36,-4.96
1868.86,-5.04
1887.55,-5.13
1906.42,-5.21
1925.49,-5.30
1944.74,-5.40
1964.19,-5.50
1983.83,-5.59
2003.67,-5.70
2023.71,-5.81
2043.94,-5.91
2064.38,-6.01
2085.03,-6.11
2105.88,-6.22
2126.94,-6.32
2148.20,-6.42
2169.69,-6.52
2191.38,-6.62
2213.30,-6.71
2235.43,-6.78
2257.78,-6.87
2280.36,-6.95
2303.17,-7.01
2326.20,-7.10
2349.46,-7.18
2372.95,-7.27
2396.68,-7.36
2420.65,-7.47
2444.86,-7.58
2469.31,-7.70
2494.00,-7.82
2518.94,-7.92
2544.13,-7.99
2569.57,-8.04
2595.27,-8.04
2621.22,-7.98
2647.43,-7.85
2673.90,-7.67
2700.64,-7.43
2727.65,-7.12
2754.93,-6.74
2782.48,-6.31
2810.30,-5.84
2838.40,-5.33
2866.79,-4.79
2895.46,-4.24
2924.41,-3.70
2953.65,-3.17
2983.19,-2.66
3013.02,-2.19
3043.15,-1.75
3073.58,-1.34
3104.32,-0.98
3135.36,-0.66
3166.72,-0.38
3198.38,-0.13
3230.37,0.08
3262.67,0.27
3295.30,0.43
3328.25,0.55
3361.53,0.64
3395.15,0.70
3429.10,0.72
3463.39,0.73
3498.03,0.72
3533.01,0.69
3568.34,0.66
3604.02,0.61
3640.06,0.55
3676.46,0.50
3713.22,0.45
3750.36,0.42
3787.86,0.41
3825.74,0.40
3864.00,0.41
3902.64,0.42
3941.66,0.44
3981.08,0.46
4020.89,0.49
4061.10,0.52
4101.71,0.54
4142.73,0.54
4184.15,0.53
4226.00,0.51
4268.26,0.49
4310.94,0.46
4354.05,0.41
4397.59,0.36
4441.56,0.31
4485.98,0.30
4530.84,0.33
4576.15,0.42
4621.91,0.57
4668.13,0.80
4714.81,1.10
4761.96,1.46
4809.58,1.87
4857.67,2.33
4906.25,2.82
4955.31,3.34
5004.87,3.86
5054.91,4.38
5105.46,4.88
5156.52,5.33
5208.08,5.73
5260.16,6.08
5312.77,6.37
5365.89,6.61
5419.55,6.77
5473.75,6.89
5528.49,6.99
5583.77,7.06
5639.61,7.08
5696.00,7.07
5752.96,7.03
5810.49,6.95
5868.60,6.82
5927.28,6.62
5986.56,6.34
6046.42,6.00
6106.89,5.59
6167.96,5.10
6229.64,4.55
6291.93,3.94
6354.85,3.29
6418.40,2.61
6482.58,1.90
6547.41,1.16
6612.88,0.42
6679.01,-0.32
6745.80,-1.04
6813.26,-1.73
6881.39,-2.39
6950.21,-3.02
7019.71,-3.61
7089.91,-4.17
7160.81,-4.70
7232.41,-5.22
7304.74,-5.76
7377.79,-6.30
7451.56,-6.84
7526.08,-7.38
7601.34,-7.91
7677.35,-8.43
7754.13,-8.92
7831.67,-9.37
7909.98,-9.77
7989.08,-10.11
8068.98,-10.38
8149.67,-10.57
8231.16,-10.65
8313.47,-10.64
8396.61,-10.52
8480.57,-10.29
8565.38,-9.95
8651.03,-9.50
8737.54,-8.97
8824.92,-8.40
8913.17,-7.78
9002.30,-7.16
9092.32,-6.52
9183.25,-5.91
9275.08,-5.33
9367.83,-4.80
9461.51,-4.32
9556.12,-3.91
9651.68,-3.55
9748.20,-3.23
9845.68,-2.97
9944.14,-2.75
10043.58,-2.56
10144.02,-2.41
10245.46,-2.29
10347.91,-2.20
10451.39,-2.11
10555.91,-2.04
10661.46,-1.97
10768.08,-1.91
10875.76,-1.87
10984.52,-1.85
11094.36,-1.86
11205.31,-1.90
11317.36,-1.95
11430.53,-2.04
11544.84,-2.14
11660.29,-2.26
11776.89,-2.39
11894.66,-2.53
12013.60,-2.65
12133.74,-2.78
12255.08,-2.90
12377.63,-3.02
12501.41,-3.15
12626.42,-3.27
12752.68,-3.40
12880.21,-3.52
13009.01,-3.64
13139.10,-3.76
13270.49,-3.87
13403.20,-4.00
13537.23,-4.14
13672.60,-4.30
13809.33,-4.48
13947.42,-4.65
14086.90,-4.83
14227.77,-5.00
14370.04,-5.18
14513.74,-5.36
14658.88,-5.53
14805.47,-5.70
14953.52,-5.86
15103.06,-6.05
15254.09,-6.26
15406.63,-6.49
15560.70,-6.75
15716.30,-7.03
15873.47,-7.37
16032.20,-7.74
16192.52,-8.12
16354.45,-8.53
16517.99,-8.93
16683.17,-9.31
16850.01,-9.68
17018.51,-10.00
17188.69,-10.27
17360.58,-10.47
17534.18,-10.62
17709.53,-10.71
17886.62,-10.75
18065.49,-10.80
18246.14,-10.82
18428.60,-10.80
18612.89,-10.75
18799.02,-10.66
18987.01,-10.53
19176.88,-10.37
19368.65,-10.16
19562.33,-9.92
19757.96,-9.65
19955.54,-9.34
