frequency,raw
20.00,9.02
20.20,9.06
20.40,9.11
20.61,9.15
20.81,9.20
21.02,9.24
21.23,9.28
21.44,9.33
21.66,9.37
21.87,9.41
22.09,9.45
22.31,9.49
22.54,9.53
22.76,9.58
22.99,9.62
23.22,9.66
23.45,9.70
23.69,9.74
23.92,9.78
24.16,9.81
24.40,9.85
24.65,9.89
24.89,9.92
25.14,9.96
25.39,10.00
25.65,10.03
25.91,10.07
26.16,10.10
26.43,10.13
26.69,10.16
26.96,10.19
27.23,10.22
27.50,10.25
27.77,10.28
28.05,10.31
28.33,10.33
28.62,10.36
28.90,10.39
29.19,10.41
29.48,10.43
29.78,10.45
30.08,10.47
30.38,10.49
30.68,10.51
30.99,10.53
31.30,10.54
31.61,10.55
31.93,10.57
32.24,10.57
32.57,10.58
32.89,10.59
33.22,10.60
33.55,10.61
33.89,10.62
34.23,10.62
34.57,10.62
34.92,10.62
35.27,10.62
35.62,10.61
35.97,10.61
36.33,10.60
36.70,10.60
37.06,10.59
37.43,10.57
37.81,10.56
38.19,10.54
38.57,10.52
38.95,10.50
39.34,10.48
39.74,10.45
40.14,10.42
40.54,10.39
40.94,10.35
41.35,10.32
41.76,10.29
42.18,10.26
42.60,10.22
43.03,10.19
43.46,10.15
43.90,10.12
44.33,10.08
44.78,10.04
45.23,10.00
45.68,9.97
46.13,9.94
46.60,9.91
47.06,9.88
47.53,9.84
48.01,9.81
48.49,9.77
48.97,9.73
49.46,9.69
49.96,9.64
50.46,9.60
50.96,9.56
51.47,9.52
51.99,9.48
52.51,9.44
53.03,9.41
53.56,9.38
54.10,9.34
54.64,9.31
55.18,9.27
55.74,9.23
56.29,9.20
56.86,9.17
57.42,9.14
58.00,9.11
58.58,9.09
59.16,9.08
59.76,9.06
60.35,9.06
60.96,9.06
61.57,9.07
62.18,9.08
62.80,9.10
63.43,9.11
64.07,9.12
64.71,9.15
65.35,9.17
66.01,9.20
66.67,9.23
67.33,9.25
68.01,9.27
68.69,9.28
69.37,9.30
70.07,9.32
70.77,9.35
71.48,9.37
72.19,9.40
72.91,9.43
73.64,9.45
74.38,9.47
75.12,9.48
75.87,9.49
76.63,9.50
77.40,9.52
78.17,9.55
78.95,9.58
79.74,9.61
80.54,9.65
81.35,9.69
82.16,9.73
82.98,9.77
83.81,9.80
84.65,9.84
85.50,9.87
86.35,9.90
87.22,9.92
88.09,9.94
88.97,9.98
89.86,10.01
90.76,10.03
91.66,10.05
92.58,10.04
93.51,10.03
94.44,10.02
95.39,9.98
96.34,9.94
97.30,9.90
98.28,9.87
99.26,9.83
100.25,9.80
101.25,9.77
102.27,9.75
103.29,9.73
104.32,9.71
105.37,9.70
106.42,9.69
107.48,9.68
108.56,9.69
109.64,9.69
110.74,9.70
111.85,9.70
112.97,9.70
114.10,9.70
115.24,9.70
116.39,9.70
117.55,9.70
118.73,9.70
119.92,9.70
121.12,9.70
122.33,9.70
123.55,9.70
124.79,9.70
126.03,9.70
127.29,9.70
128.57,9.70
129.85,9.70
131.15,9.70
132.46,9.70
133.79,9.70
135.12,9.70
136.48,9.70
137.84,9.70
139.22,9.70
140.61,9.70
142.02,9.70
143.44,9.70
144.87,9.71
146.32,9.72
147.78,9.72
149.26,9.72
150.75,9.71
152.26,9.70
153.78,9.67
155.32,9.65
156.88,9.61
158.44,9.59
160.03,9.54
161.63,9.52
163.24,9.50
164.88,9.47
166.53,9.45
168.19,9.42
169.87,9.37
171.57,9.35
173.29,9.32
175.02,9.29
176.77,9.27
178.54,9.25
180.32,9.23
182.13,9.19
183.95,9.13
185.79,9.09
187.65,9.03
189.52,8.98
191.42,8.93
193.33,8.86
195.27,8.81
197.22,8.75
199.19,8.69
