frequency,raw
20,0.66
21,1.39
22,2.09
23,2.76
24,3.40
25,4.02
26,4.60
27,5.16
28,5.68
29,6.18
30,6.65
31,7.06
32,7.44
33,7.82
34,8.18
35,8.50
36,8.81
37,9.11
38,9.38
39,9.62
40,9.85
41,10.04
42,10.23
43,10.39
44,10.52
45,10.65
46,10.78
47,10.88
48,10.98
49,11.09
50,11.19
51,11.30
52,11.41
53,11.52
54,11.63
55,11.73
56,11.84
57,11.94
58,12.04
59,12.15
60,12.25
61,12.34
62,12.44
63,12.54
64,12.63
65,12.73
66,12.83
67,12.90
68,12.98
69,13.05
70,13.12
71,13.20
72,13.27
73,13.34
74,13.38
75,13.44
76,13.49
77,13.52
78,13.57
79,13.61
80,13.63
81,13.65
82,13.67
83,13.69
84,13.70
85,13.71
86,13.70
87,13.69
88,13.70
89,13.71
90,13.71
91,13.70
92,13.69
93,13.67
94,13.64
95,13.62
96,13.59
97,13.56
98,13.54
99,13.50
100,13.46
101,13.41
102,13.36
104,13.31
105,13.26
106,13.22
107,13.19
108,13.16
109,13.15
110,13.13
111,13.09
112,13.05
113,13.01
114,12.97
115,12.94
117,12.91
118,12.89
119,12.87
120,12.85
121,12.82
123,12.78
124,12.74
125,12.70
126,12.67
128,12.63
129,12.61
130,12.58
131,12.55
133,12.51
134,12.46
135,12.41
137,12.36
138,12.32
140,12.27
141,12.22
142,12.17
144,12.13
145,12.08
147,12.04
148,11.98
150,11.93
151,11.89
153,11.86
154,11.84
156,11.81
157,11.78
159,11.75
160,11.70
162,11.67
164,11.64
165,11.62
167,11.59
169,11.56
170,11.51
172,11.46
174,11.41
175,11.36
177,11.32
179,11.27
181,11.22
183,11.18
184,11.13
186,11.09
188,11.05
190,11.00
192,10.96
194,10.91
196,10.86
198,10.82
200,10.79
202,10.75
204,10.69
206,10.64
208,10.58
210,10.53
212,10.49
214,10.44
216,10.39
218,10.33
221,10.26
223,10.19
225,10.14
227,10.10
229,10.05
232,10.00
234,9.94
236,9.88
239,9.83
241,9.79
244,9.75
246,9.69
248,9.63
251,9.56
253,9.52
256,9.48
259,9.42
261,9.36
264,9.30
266,9.24
269,9.18
272,9.13
274,9.07
277,9.01
280,8.95
283,8.89
286,8.83
288,8.77
291,8.72
294,8.66
297,8.60
300,8.53
303,8.47
306,8.41
309,8.36
312,8.29
316,8.21
319,8.13
322,8.06
325,7.99
328,7.92
332,7.83
335,7.74
338,7.66
342,7.57
345,7.48
349,7.38
352,7.28
356,7.19
359,7.09
363,7.00
366,6.90
370,6.81
374,6.72
377,6.62
381,6.51
385,6.41
389,6.32
393,6.22
397,6.11
401,6.02
405,5.91
409,5.80
413,5.70
417,5.59
421,5.48
425,5.38
430,5.29
434,5.19
438,5.10
443,5.02
447,4.92
451,4.82
456,4.72
460,4.61
465,4.49
470,4.38
474,4.26
479,4.13
484,4.01
489,3.87
494,3.72
499,3.59
504,3.45
509,3.31
514,3.17
519,3.02
524,2.85
529,2.69
535,2.54
540,2.38
545,2.21
551,2.04
556,1.87
562,1.69
568,1.51
573,1.32
579,1.12
585,0.93
591,0.73
596,0.53
602,0.33
608,0.14
615,-0.04
621,-0.24
627,-0.43
633,-0.63
639,-0.80
646,-0.95
652,-1.08
659,-1.20
665,-1.30
672,-1.38
679,-1.45
686,-1.50
692,-1.54
699,-1.58
706,-1.61
713,-1.62
721,-1.61
728,-1.60
735,-1.58
742,-1.56
750,-1.53
757,-1.51
765,-1.48
773,-1.44
780,-1.39
788,-1.35
796,-1.30
804,-1.24
812,-1.18
820,-1.11
828,-1.04
837,-0.98
845,-0.92
853,-0.86
862,-0.80
871,-0.74
879,-0.67
888,-0.61
897,-0.56
906,-0.51
915,-0.45
924,-0.40
933,-0.33
943,-0.28
952,-0.23
962,-0.20
971,-0.15
981,-0.10
991,-0.05
1001,0.01
1011,0.06
1021,0.11
1031,0.16
1041,0.21
1052,0.24
1062,0.27
1073,0.28
1084,0.28
1094,0.27
1105,0.26
1116,0.25
1128,0.21
1139,0.16
1150,0.10
1162,0.02
1173,-0.06
1185,-0.14
1197,-0.22
1209,-0.31
1221,-0.41
1233,-0.50
1246,-0.62
1258,-0.74
1271,-0.87
1283,-1.00
1296,-1.14
1309,-1.26
1322,-1.39
1335,-1.52
1349,-1.65
1362,-1.78
1376,-1.91
1390,-2.04
1404,-2.17
1418,-2.30
1432,-2.41
1446,-2.52
1461,-2.64
1475,-2.76
1490,-2.86
1505,-2.97
1520,-3.08
1535,-3.18
1550,-3.26
1566,-3.35
1582,-3.44
1597,-3.52
1613,-3.59
1629,-3.66
1646,-3.74
1662,-3.82
1679,-3.89
1696,-3.97
1713,-4.04
1730,-4.10
1747,-4.18
1764,-4.26
1782,-4.34
1800,-4.41
1818,-4.47
1836,-4.55
1854,-4.61
1873,-4.66
1892,-4.69
1911,-4.74
1930,-4.78
1949,-4.81
1969,-4.83
1988,-4.83
2008,-4.85
2028,-4.84
2048,-4.81
2069,-4.78
2090,-4.74
2111,-4.70
2132,-4.65
2153,-4.58
2175,-4.48
2196,-4.36
2218,-4.23
2240,-4.10
2263,-3.95
2285,-3.79
2308,-3.63
2331,-3.46
2355,-3.27
2378,-3.08
2402,-2.89
2426,-2.70
2450,-2.51
2475,-2.32
2500,-2.14
2525,-1.97
2550,-1.80
2575,-1.64
2601,-1.48
2627,-1.32
2653,-1.15
2680,-1.00
2707,-0.85
2734,-0.71
2761,-0.59
2789,-0.46
2817,-0.33
2845,-0.19
2873,-0.06
2902,0.05
2931,0.16
2960,0.28
2990,0.40
3020,0.52
3050,0.66
3080,0.81
3111,0.98
3142,1.17
3174,1.38
3206,1.62
3238,1.88
3270,2.16
3303,2.46
3336,2.77
3369,3.09
3403,3.42
3437,3.76
3471,4.09
3506,4.42
3541,4.73
3576,5.05
3612,5.35
3648,5.65
3685,5.95
3721,6.24
3759,6.53
3796,6.81
3834,7.09
3873,7.35
3911,7.60
3950,7.85
3990,8.07
4030,8.28
4070,8.49
4111,8.67
4152,8.84
4193,9.00
4235,9.15
4278,9.28
4321,9.40
4364,9.53
4407,9.66
4451,9.79
4496,9.91
4541,10.04
4586,10.17
4632,10.28
4679,10.38
4725,10.47
4773,10.56
4820,10.65
4868,10.71
4917,10.76
4966,10.80
5016,10.82
5066,10.83
5117,10.81
5168,10.77
5220,10.71
5272,10.63
5325,10.54
5378,10.44
5432,10.31
5486,10.15
5541,9.95
5596,9.71
5652,9.45
5709,9.15
5766,8.82
5823,8.47
5882,8.09
5940,7.69
6000,7.29
6060,6.88
6120,6.47
6182,6.06
6244,5.66
6306,5.28
6369,4.94
6433,4.65
6497,4.39
6562,4.17
6628,3.99
6694,3.84
6761,3.72
6828,3.63
6897,3.59
6966,3.56
7035,3.57
7106,3.60
7177,3.64
7249,3.70
7321,3.74
7394,3.78
7468,3.81
7543,3.83
7618,3.84
7694,3.84
7771,3.83
7849,3.81
7928,3.78
8007,3.74
8087,3.68
8168,3.61
8250,3.53
8332,3.44
8415,3.33
8499,3.20
8584,3.06
8670,2.89
8757,2.71
8845,2.50
8933,2.27
9022,2.04
