frequency,raw
20,-11.68
21,-11.19
22,-10.71
23,-10.25
24,-9.81
25,-9.38
26,-8.96
27,-8.56
28,-8.17
29,-7.80
30,-7.45
31,-7.14
32,-6.84
33,-6.53
34,-6.23
35,-5.92
36,-5.63
37,-5.35
38,-5.08
39,-4.84
40,-4.64
41,-4.46
42,-4.32
43,-4.19
44,-4.09
45,-4.02
46,-3.94
47,-3.88
48,-3.83
49,-3.78
50,-3.73
51,-3.68
52,-3.61
53,-3.54
54,-3.44
55,-3.35
56,-3.25
57,-3.15
58,-3.04
59,-2.95
60,-2.87
61,-2.78
62,-2.68
63,-2.60
64,-2.53
65,-2.44
66,-2.36
67,-2.29
68,-2.22
69,-2.13
70,-2.06
71,-1.98
72,-1.90
73,-1.81
74,-1.72
75,-1.65
76,-1.56
77,-1.48
78,-1.40
79,-1.32
80,-1.23
81,-1.14
82,-1.07
83,-1.01
84,-0.95
85,-0.89
86,-0.84
87,-0.80
88,-0.74
89,-0.68
90,-0.64
91,-0.60
92,-0.57
93,-0.54
94,-0.50
95,-0.47
96,-0.43
97,-0.38
98,-0.33
99,-0.29
100,-0.24
101,-0.20
102,-0.18
104,-0.16
105,-0.14
106,-0.12
107,-0.09
108,-0.05
109,-0.02
110,0.02
111,0.04
112,0.07
113,0.09
114,0.12
115,0.14
117,0.17
118,0.19
119,0.23
120,0.26
121,0.30
123,0.33
124,0.36
125,0.39
126,0.41
128,0.44
129,0.47
130,0.51
131,0.54
133,0.57
134,0.59
135,0.59
137,0.60
138,0.60
140,0.60
141,0.60
142,0.62
144,0.64
145,0.67
147,0.70
148,0.73
150,0.77
151,0.80
153,0.83
154,0.87
156,0.89
157,0.91
159,0.93
160,0.94
162,0.95
164,0.94
165,0.93
167,0.92
169,0.92
170,0.92
172,0.92
174,0.92
175,0.92
177,0.92
179,0.92
181,0.92
183,0.92
184,0.92
186,0.92
188,0.92
190,0.92
192,0.92
194,0.92
196,0.92
198,0.92
200,0.92
202,0.92
204,0.92
206,0.92
208,0.92
210,0.92
212,0.92
214,0.92
216,0.92
218,0.92
221,0.92
223,0.92
225,0.92
227,0.92
229,0.92
232,0.92
234,0.92
236,0.92
239,0.92
241,0.92
244,0.92
246,0.92
248,0.92
251,0.92
253,0.92
256,0.92
259,0.92
261,0.92
264,0.92
266,0.92
269,0.92
272,0.92
274,0.92
277,0.92
280,0.92
283,0.92
286,0.92
288,0.92
291,0.92
294,0.92
297,0.92
300,0.92
303,0.92
306,0.92
309,0.92
312,0.92
316,0.92
319,0.92
322,0.92
325,0.92
328,0.92
332,0.92
335,0.92
338,0.92
342,0.92
345,0.92
349,0.92
352,0.92
356,0.92
359,0.92
363,0.92
366,0.92
370,0.93
374,0.94
377,0.94
381,0.94
385,0.93
389,0.92
393,0.90
397,0.87
401,0.84
405,0.81
409,0.78
413,0.74
417,0.71
421,0.68
425,0.65
430,0.62
434,0.60
438,0.59
443,0.58
447,0.58
451,0.58
456,0.59
460,0.59
465,0.60
470,0.60
474,0.60
479,0.60
484,0.61
489,0.61
494,0.62
499,0.62
504,0.61
509,0.59
514,0.57
519,0.54
524,0.51
529,0.48
535,0.45
540,0.41
545,0.38
551,0.35
556,0.32
562,0.29
568,0.27
573,0.26
579,0.25
585,0.25
591,0.26
596,0.27
602,0.27
608,0.27
615,0.27
621,0.27
627,0.27
633,0.27
639,0.27
646,0.27
652,0.27
659,0.27
665,0.27
672,0.27
679,0.27
686,0.27
692,0.27
699,0.27
706,0.27
713,0.27
721,0.27
728,0.27
735,0.27
742,0.27
750,0.27
757,0.27
765,0.27
773,0.27
780,0.27
788,0.27
796,0.27
804,0.27
812,0.27
820,0.27
828,0.27
837,0.27
845,0.27
853,0.27
862,0.27
871,0.28
879,0.29
888,0.30
897,0.30
906,0.29
915,0.27
924,0.25
933,0.22
943,0.19
952,0.16
962,0.13
971,0.09
981,0.06
991,0.03
1001,-0.00
1011,-0.03
1021,-0.05
1031,-0.06
1041,-0.06
1052,-0.05
1062,-0.04
1073,-0.04
1084,-0.05
1094,-0.07
1105,-0.09
1116,-0.12
1128,-0.15
1139,-0.17
1150,-0.20
1162,-0.23
1173,-0.27
1185,-0.32
1197,-0.37
1209,-0.41
1221,-0.45
1233,-0.49
1246,-0.52
1258,-0.56
1271,-0.60
1283,-0.63
1296,-0.67
1309,-0.73
1322,-0.79
1335,-0.85
1349,-0.91
1362,-0.95
1376,-1.00
1390,-1.05
1404,-1.12
1418,-1.19
1432,-1.26
1446,-1.31
1461,-1.37
1475,-1.43
1490,-1.48
1505,-1.54
1520,-1.60
1535,-1.66
1550,-1.71
1566,-1.76
1582,-1.82
1597,-1.88
1613,-1.95
1629,-2.02
1646,-2.09
1662,-2.14
1679,-2.21
1696,-2.28
1713,-2.36
1730,-2.44
