frequency,raw
20.00,-1.20
20.20,-1.21
20.40,-1.23
20.61,-1.24
20.81,-1.24
21.02,-1.24
21.23,-1.25
21.44,-1.24
21.66,-1.24
21.87,-1.23
22.09,-1.21
22.31,-1.20
22.54,-1.17
22.76,-1.15
22.99,-1.12
23.22,-1.09
23.45,-1.06
23.69,-1.02
23.92,-0.99
24.16,-0.97
24.40,-0.94
24.65,-0.92
24.89,-0.90
25.14,-0.88
25.39,-0.88
25.65,-0.87
25.91,-0.88
26.16,-0.88
26.43,-0.87
26.69,-0.87
26.96,-0.88
27.23,-0.89
27.50,-0.91
27.77,-0.93
28.05,-0.95
28.33,-0.98
28.62,-1.01
28.90,-1.04
29.19,-1.08
29.48,-1.11
29.78,-1.14
30.08,-1.16
30.38,-1.19
30.68,-1.21
30.99,-1.23
31.30,-1.24
31.61,-1.25
31.93,-1.25
32.24,-1.24
32.57,-1.23
32.89,-1.22
33.22,-1.22
33.55,-1.22
33.89,-1.22
34.23,-1.22
34.57,-1.22
34.92,-1.22
35.27,-1.22
35.62,-1.22
35.97,-1.22
36.33,-1.22
36.70,-1.22
37.06,-1.22
37.43,-1.22
37.81,-1.22
38.19,-1.22
38.57,-1.22
38.95,-1.22
39.34,-1.22
39.74,-1.22
40.14,-1.22
40.54,-1.22
40.94,-1.22
41.35,-1.22
41.76,-1.22
42.18,-1.22
42.60,-1.22
43.03,-1.22
43.46,-1.22
43.90,-1.22
44.33,-1.22
44.78,-1.22
45.23,-1.22
45.68,-1.22
46.13,-1.22
46.60,-1.22
47.06,-1.22
47.53,-1.22
48.01,-1.22
48.49,-1.22
48.97,-1.22
49.46,-1.22
49.96,-1.22
50.46,-1.22
50.96,-1.22
51.47,-1.22
51.99,-1.22
52.51,-1.22
53.03,-1.22
53.56,-1.22
54.10,-1.22
54.64,-1.22
55.18,-1.22
55.74,-1.22
56.29,-1.22
56.86,-1.22
57.42,-1.22
58.00,-1.22
58.58,-1.22
59.16,-1.22
59.76,-1.22
60.35,-1.22
60.96,-1.22
61.57,-1.22
62.18,-1.22
62.80,-1.22
63.43,-1.22
64.07,-1.22
64.71,-1.22
65.35,-1.22
66.01,-1.22
66.67,-1.22
67.33,-1.22
68.01,-1.22
68.69,-1.22
69.37,-1.22
70.07,-1.22
70.77,-1.22
71.48,-1.22
72.19,-1.22
72.91,-1.22
73.64,-1.22
74.38,-1.22
75.12,-1.22
75.87,-1.22
76.63,-1.22
77.40,-1.22
78.17,-1.22
78.95,-1.22
79.74,-1.22
80.54,-1.22
81.35,-1.22
82.16,-1.22
82.98,-1.22
83.81,-1.22
84.65,-1.22
85.50,-1.22
86.35,-1.22
87.22,-1.22
88.09,-1.22
88.97,-1.22
89.86,-1.22
90.76,-1.22
91.66,-1.22
92.58,-1.22
93.51,-1.22
94.44,-1.22
95.39,-1.22
96.34,-1.22
97.30,-1.22
98.28,-1.22
99.26,-1.22
100.25,-1.22
101.25,-1.22
102.27,-1.22
103.29,-1.22
104.32,-1.22
105.37,-1.22
106.42,-1.22
107.48,-1.22
108.56,-1.22
109.64,-1.22
110.74,-1.22
111.85,-1.22
112.97,-1.22
114.10,-1.22
115.24,-1.22
116.39,-1.22
117.55,-1.22
118.73,-1.22
119.92,-1.22
121.12,-1.22
122.33,-1.22
123.55,-1.22
124.79,-1.22
126.03,-1.23
127.29,-1.24
128.57,-1.25
129.85,-1.25
131.15,-1.24
132.46,-1.23
133.79,-1.21
135.12,-1.19
136.48,-1.16
137.84,-1.13
139.22,-1.10
140.61,-1.07
142.02,-1.04
143.44,-1.01
144.87,-0.98
146.32,-0.96
147.78,-0.95
149.26,-0.93
150.75,-0.91
152.26,-0.89
153.78,-0.87
155.32,-0.85
156.88,-0.83
158.44,-0.81
160.03,-0.79
161.63,-0.76
163.24,-0.73
164.88,-0.70
166.53,-0.67
168.19,-0.64
169.87,-0.62
171.57,-0.60
173.29,-0.59
175.02,-0.58
176.77,-0.57
178.54,-0.56
180.32,-0.54
182.13,-0.53
183.95,-0.50
185.79,-0.47
187.65,-0.44
189.52,-0.42
191.42,-0.40
193.33,-0.39
195.27,-0.38
197.22,-0.38
199.19,-0.38
201.18,-0.39
203.19,-0.39
205.23,-0.40
207.28,-0.42
209.35,-0.45
211.44,-0.49
213.56,-0.53
215.69,-0.57
217.85,-0.61
220.03,-0.65
222.23,-0.68
224.45,-0.72
226.70,-0.76
228.96,-0.82
231.25,-0.88
233.57,-0.94
235.90,-1.02
238.26,-1.10
240.64,-1.19
243.05,-1.27
245.48,-1.36
247.93,-1.42
250.41,-1.49
252.92,-1.56
255.45,-1.63
258.00,-1.70
260.58,-1.76
263.19,-1.83
265.82,-1.88
268.48,-1.94
271.16,-1.99
273.87,-2.04
276.61,-2.07
279.38,-2.11
282.17,-2.15
284.99,-2.18
287.84,-2.20
290.72,-2.21
293.63,-2.22
296.57,-2.22
299.53,-2.20
302.53,-2.19
305.55,-2.16
308.61,-2.13
311.69,-2.09
314.81,-2.05
317.96,-2.01
321.14,-1.97
324.35,-1.92
327.59,-1.86
330.87,-1.79
334.18,-1.73
337.52,-1.66
340.90,-1.59
344.30,-1.54
347.75,-1.49
351.23,-1.45
354.74,-1.41
358.28,-1.35
361.87,-1.30
365.49,-1.24
369.14,-1.20
372.83,-1.16
376.56,-1.12
380.33,-1.09
384.13,-1.05
387.97,-1.02
391.85,-0.99
395.77,-0.97
399.73,-0.95
403.72,-0.93
407.76,-0.92
411.84,-0.91
415.96,-0.90
420.12,-0.89
424.32,-0.88
428.56,-0.89
432.85,-0.88
437.18,-0.86
441.55,-0.82
445.96,-0.78
450.42,-0.74
454.93,-0.69
459.48,-0.64
464.07,-0.57
468.71,-0.50
473.40,-0.43
478.13,-0.35
482.91,-0.28
487.74,-0.21
492.62,-0.15
497.55,-0.10
502.52,-0.05
507.55,0.00
512.62,0.04
517.75,0.07
522.93,0.08
528.16,0.08
533.44,0.08
538.77,0.07
544.16,0.05
549.60,0.00
555.10,-0.05
560.65,-0.11
566.25,-0.17
571.92,-0.23
577.64,-0.29
583.41,-0.36
589.25,-0.42
595.14,-0.47
601.09,-0.52
607.10,-0.56
613.17,-0.58
619.30,-0.59
625.50,-0.59
631.75,-0.56
638.07,-0.52
644.45,-0.46
650.89,-0.37
657.40,-0.26
663.98,-0.13
670.62,0.02
677.32,0.20
684.10,0.41
690.94,0.64
697.85,0.89
704.83,1.16
711.87,1.41
718.99,1.66
726.18,1.90
733.44,2.13
740.78,2.34
748.19,2.53
755.67,2.70
763.23,2.85
770.86,2.98
778.57,3.09
786.35,3.18
794.22,3.25
802.16,3.30
810.18,3.33
818.28,3.34
826.46,3.33
834.73,3.30
843.08,3.24
851.51,3.16
860.02,3.05
868.62,2.90
877.31,2.72
886.08,2.50
894.94,2.26
903.89,2.03
912.93,1.80
922.06,1.57
931.28,1.34
940.59,1.13
950.00,0.92
959.50,0.73
969.09,0.55
978.78,0.37
988.57,0.20
998.46,0.03
1008.44,-0.14
1018.53,-0.31
1028.71,-0.48
1039.00,-0.64
1049.39,-0.80
1059.88,-0.96
1070.48,-1.10
1081.19,-1.23
1092.00,-1.34
1102.92,-1.44
1113.95,-1.50
1125.09,-1.54
1136.34,-1.58
1147.70,-1.60
1159.18,-1.61
1170.77,-1.62
1182.48,-1.64
1194.30,-1.67
1206.25,-1.73
1218.31,-1.81
1230.49,-1.91
1242.80,-2.01
1255.22,-2.14
1267.78,-2.28
1280.45,-2.45
1293.26,-2.62
1306.19,-2.82
1319.25,-3.02
1332.45,-3.22
1345.77,-3.42
1359.23,-3.64
1372.82,-3.87
1386.55,-4.11
1400.41,-4.35
1414.42,-4.60
1428.56,-4.86
1442.85,-5.12
1457.28,-5.39
1471.85,-5.66
1486.57,-5.95
1501.43,-6.24
1516.45,-6.53
1531.61,-6.82
1546.93,-7.11
1562.40,-7.40
1578.02,-7.69
1593.80,-7.99
1609.74,-8.30
1625.84,-8.61
1642.10,-8.92
1658.52,-9.24
1675.10,-9.55
1691.85,-9.88
1708.77,-10.19
1725.86,-10.49
1743.12,-10.78
1760.55,-11.06
