frequency,raw
20,-8.79
21,-8.12
22,-7.48
23,-6.86
24,-6.28
25,-5.72
26,-5.19
27,-4.69
28,-4.22
29,-3.78
30,-3.36
31,-3.02
32,-2.67
33,-2.37
34,-2.08
35,-1.80
36,-1.54
37,-1.29
38,-1.05
39,-0.81
40,-0.59
41,-0.38
42,-0.18
43,0.03
44,0.23
45,0.43
46,0.59
47,0.75
48,0.90
49,1.03
50,1.12
51,1.19
52,1.25
53,1.27
54,1.28
55,1.27
56,1.22
57,1.16
58,1.08
59,1.02
60,0.94
61,0.89
62,0.85
63,0.82
64,0.81
65,0.83
66,0.86
67,0.93
68,1.00
69,1.08
70,1.19
71,1.31
72,1.44
73,1.57
74,1.68
75,1.80
76,1.90
77,2.00
78,2.10
79,2.19
80,2.28
81,2.38
82,2.46
83,2.53
84,2.60
85,2.66
86,2.72
87,2.78
88,2.84
89,2.91
90,2.97
91,3.03
92,3.07
93,3.10
94,3.13
95,3.16
96,3.19
97,3.21
98,3.25
99,3.29
100,3.33
101,3.36
102,3.39
104,3.41
105,3.44
106,3.47
107,3.51
108,3.53
109,3.55
110,3.57
111,3.57
112,3.58
113,3.59
114,3.60
115,3.61
117,3.63
118,3.66
119,3.70
120,3.73
121,3.76
123,3.80
124,3.83
125,3.86
126,3.88
128,3.90
129,3.92
130,3.93
131,3.93
133,3.92
134,3.91
135,3.90
137,3.90
138,3.92
140,3.93
141,3.93
142,3.92
144,3.91
145,3.89
147,3.88
148,3.86
150,3.83
151,3.80
153,3.76
154,3.71
156,3.66
157,3.60
159,3.53
160,3.46
162,3.38
164,3.30
165,3.21
167,3.12
169,3.04
170,2.93
172,2.82
174,2.68
175,2.53
177,2.38
179,2.24
181,2.08
183,1.91
184,1.75
186,1.57
188,1.39
190,1.20
192,1.01
194,0.79
196,0.59
198,0.39
200,0.20
202,0.02
204,-0.18
206,-0.38
208,-0.57
210,-0.76
212,-0.96
214,-1.14
216,-1.30
218,-1.45
221,-1.60
223,-1.76
225,-1.90
227,-2.03
229,-2.16
232,-2.30
234,-2.43
236,-2.55
239,-2.66
241,-2.76
244,-2.86
246,-2.96
248,-3.06
251,-3.16
253,-3.26
256,-3.35
259,-3.44
261,-3.51
264,-3.58
266,-3.65
269,-3.72
272,-3.77
274,-3.81
277,-3.84
280,-3.87
283,-3.88
286,-3.89
288,-3.90
291,-3.90
294,-3.90
297,-3.89
300,-3.88
303,-3.88
306,-3.88
309,-3.88
312,-3.88
316,-3.88
319,-3.88
322,-3.88
325,-3.88
328,-3.88
332,-3.88
335,-3.88
338,-3.88
342,-3.88
345,-3.88
349,-3.88
352,-3.88
356,-3.88
359,-3.88
363,-3.88
366,-3.89
370,-3.90
374,-3.91
377,-3.91
381,-3.91
385,-3.91
389,-3.89
393,-3.86
397,-3.81
401,-3.76
405,-3.68
409,-3.58
413,-3.47
417,-3.36
421,-3.23
425,-3.09
430,-2.94
434,-2.77
438,-2.61
443,-2.44
447,-2.27
451,-2.11
456,-1.94
460,-1.79
465,-1.63
470,-1.48
474,-1.33
479,-1.19
484,-1.05
489,-0.93
494,-0.80
499,-0.70
504,-0.63
509,-0.56
514,-0.50
519,-0.43
524,-0.37
529,-0.31
535,-0.26
540,-0.21
545,-0.17
551,-0.14
556,-0.10
562,-0.07
568,-0.05
573,-0.03
579,-0.00
585,0.02
591,0.03
596,0.04
602,0.03
608,0.02
615,0.02
621,0.01
627,0.01
633,0.01
639,0.01
646,0.01
652,0.01
659,0.01
665,0.01
672,0.01
679,0.01
686,0.01
692,0.01
699,0.01
706,0.01
713,0.01
721,0.01
728,0.01
735,0.01
742,0.01
750,0.01
757,0.00
765,-0.01
773,-0.01
780,-0.01
788,0.01
796,0.02
804,0.05
812,0.08
820,0.12
828,0.16
837,0.19
845,0.22
853,0.23
862,0.24
871,0.24
879,0.24
888,0.22
897,0.20
906,0.17
915,0.13
924,0.09
933,0.06
943,0.03
952,0.02
962,0.01
971,0.01
981,0.01
991,0.01
1001,-0.00
1011,-0.02
1021,-0.05
1031,-0.08
1041,-0.11
1052,-0.15
1062,-0.17
1073,-0.20
1084,-0.22
1094,-0.25
1105,-0.28
1116,-0.31
1128,-0.34
1139,-0.36
1150,-0.38
1162,-0.41
1173,-0.44
1185,-0.48
1197,-0.52
1209,-0.58
1221,-0.64
1233,-0.70
1246,-0.77
1258,-0.85
1271,-0.93
1283,-1.00
1296,-1.07
1309,-1.14
1322,-1.21
1335,-1.30
1349,-1.39
1362,-1.47
1376,-1.55
1390,-1.65
1404,-1.75
1418,-1.85
1432,-1.94
1446,-2.04
1461,-2.14
1475,-2.24
1490,-2.32
1505,-2.41
1520,-2.52
1535,-2.62
1550,-2.71
1566,-2.79
1582,-2.87
1597,-2.93
1613,-2.98
1629,-3.04
1646,-3.09
1662,-3.14
1679,-3.20
1696,-3.25
1713,-3.30
1730,-3.34
1747,-3.38
1764,-3.42
1782,-3.46
1800,-3.49
1818,-3.51
1836,-3.53
1854,-3.54
1873,-3.55
1892,-3.54
1911,-3.52
1930,-3.49
1949,-3.43
1969,-3.37
1988,-3.31
2008,-3.25
2028,-3.17
2048,-3.09
2069,-2.98
2090,-2.87
2111,-2.75
2132,-2.62
2153,-2.48
2175,-2.34
2196,-2.18
2218,-2.01
2240,-1.83
2263,-1.65
2285,-1.46
2308,-1.26
2331,-1.06
2355,-0.86
2378,-0.63
2402,-0.42
2426,-0.21
2450,-0.01
2475,0.20
2500,0.41
2525,0.62
2550,0.82
2575,1.02
2601,1.21
2627,1.37
2653,1.51
2680,1.66
2707,1.80
2734,1.93
2761,2.05
2789,2.15
2817,2.25
2845,2.33
2873,2.39
2902,2.45
2931,2.50
2960,2.53
2990,2.56
3020,2.60
3050,2.63
3080,2.66
3111,2.69
3142,2.73
3174,2.77
3206,2.81
3238,2.84
3270,2.90
3303,2.96
3336,3.03
3369,3.10
3403,3.16
3437,3.22
3471,3.28
3506,3.34
3541,3.40
3576,3.47
3612,3.54
3648,3.60
3685,3.66
3721,3.71
3759,3.76
3796,3.80
3834,3.84
3873,3.87
3911,3.88
3950,3.90
3990,3.91
4030,3.93
4070,3.93
4111,3.93
4152,3.91
4193,3.90
4235,3.90
4278,3.90
4321,3.90
4364,3.90
4407,3.90
4451,3.90
4496,3.90
4541,3.90
4586,3.90
4632,3.90
4679,3.90
4725,3.90
4773,3.90
4820,3.90
4868,3.90
4917,3.90
4966,3.90
5016,3.90
5066,3.90
5117,3.90
5168,3.90
5220,3.90
5272,3.89
5325,3.88
5378,3.88
5432,3.89
5486,3.90
5541,3.91
5596,3.92
5652,3.95
5709,3.98
5766,4.02
5823,4.06
5882,4.11
5940,4.18
6000,4.24
6060,4.31
6120,4.39
6182,4.48
6244,4.57
6306,4.67
6369,4.76
6433,4.83
6497,4.89
6562,4.94
6628,4.98
6694,5.01
6761,5.02
6828,5.02
6897,5.02
6966,5.03
7035,5.04
7106,5.05
7177,5.08
7249,5.12
7321,5.19
7394,5.28
7468,5.39
7543,5.53
7618,5.67
7694,5.83
7771,5.99
7849,6.14
7928,6.29
8007,6.43
8087,6.57
8168,6.70
8250,6.81
8332,6.89
8415,6.97
8499,7.04
8584,7.10
8670,7.14
8757,7.18
8845,7.22
8933,7.24
9022,7.24
9113,7.22
9204,7.18
9296,7.11
9389,7.02
9483,6.92
9577,6.80
9673,6.65
9770,6.48
9868,6.28
9966,6.07
10066,5.85
10167,5.61
10268,5.37
10371,5.12
10475,4.87
10579,4.63
10685,4.39
10792,4.16
10900,3.93
11009,3.73
11119,3.54
11230,3.37
11343,3.21
11456,3.10
11571,3.01
11686,2.95
11803,2.93
11921,2.92
12040,2.94
12161,2.98
12282,3.03
12405,3.08
12529,3.13
12655,3.17
12781,3.22
12909,3.26
13038,3.31
13168,3.36
13300,3.38
13433,3.38
13567,3.34
13703,3.26
13840,3.16
13978,3.01
14118,2.80
14259,2.52
14402,2.19
14546,1.80
14692,1.36
14838,0.91
14987,0.45
15137,0.00
15288,-0.43
15441,-0.82
15595,-1.16
15751,-1.45
15909,-1.70
16068,-1.90
16229,-2.07
16391,-2.19
16555,-2.28
16720,-2.35
16888,-2.41
17056,-2.49
17227,-2.59
17399,-2.70
17573,-2.83
17749,-2.98
17926,-3.13
18106,-3.28
18287,-3.46
18470,-3.64
18654,-3.85
18841,-4.06
19029,-4.28
19220,-4.51
19412,-4.76
19606,-5.01
19802,-5.28
20000,-5.56
