frequency,raw
20.00,-10.95
20.20,-10.85
20.40,-10.75
20.61,-10.64
20.81,-10.54
21.02,-10.44
21.23,-10.34
21.44,-10.23
21.66,-10.13
21.87,-10.03
22.09,-9.93
22.31,-9.82
22.54,-9.72
22.76,-9.61
22.99,-9.50
23.22,-9.40
23.45,-9.29
23.69,-9.19
23.92,-9.08
24.16,-8.98
24.40,-8.87
24.65,-8.76
24.89,-8.66
25.14,-8.55
25.39,-8.45
25.65,-8.34
25.91,-8.24
26.16,-8.13
26.43,-8.03
26.69,-7.92
26.96,-7.82
27.23,-7.71
27.50,-7.61
27.77,-7.50
28.05,-7.40
28.33,-7.30
28.62,-7.19
28.90,-7.09
29.19,-6.98
29.48,-6.88
29.78,-6.78
30.08,-6.68
30.38,-6.58
30.68,-6.48
30.99,-6.38
31.30,-6.29
31.61,-6.20
31.93,-6.10
32.24,-6.01
32.57,-5.91
32.89,-5.82
33.22,-5.73
33.55,-5.63
33.89,-5.54
34.23,-5.45
34.57,-5.36
34.92,-5.26
35.27,-5.17
35.62,-5.08
35.97,-5.00
36.33,-4.91
36.70,-4.82
37.06,-4.73
37.43,-4.64
37.81,-4.56
38.19,-4.46
38.57,-4.37
38.95,-4.28
39.34,-4.19
39.74,-4.11
40.14,-4.02
40.54,-3.93
40.94,-3.84
41.35,-3.76
41.76,-3.67
42.18,-3.58
42.60,-3.50
43.03,-3.41
43.46,-3.33
43.90,-3.24
44.33,-3.16
44.78,-3.08
45.23,-3.00
45.68,-2.92
46.13,-2.84
46.60,-2.77
47.06,-2.70
47.53,-2.64
48.01,-2.58
48.49,-2.52
48.97,-2.46
49.46,-2.42
49.96,-2.37
50.46,-2.33
50.96,-2.29
51.47,-2.26
51.99,-2.22
52.51,-2.19
53.03,-2.17
53.56,-2.16
54.10,-2.15
54.64,-2.16
55.18,-2.17
55.74,-2.18
56.29,-2.20
56.86,-2.22
57.42,-2.23
58.00,-2.24
58.58,-2.26
59.16,-2.28
59.76,-2.30
60.35,-2.32
60.96,-2.33
61.57,-2.33
