frequency,raw
20,-22.65
21,-21.87
22,-21.11
23,-20.38
24,-19.67
25,-18.99
26,-18.33
27,-17.70
28,-17.09
29,-16.51
30,-15.95
31,-15.45
32,-14.95
33,-14.46
34,-14.01
35,-13.58
36,-13.15
37,-12.75
38,-12.38
39,-12.02
40,-11.69
41,-11.39
42,-11.12
43,-10.88
44,-10.65
45,-10.45
46,-10.25
47,-10.07
48,-9.91
49,-9.73
50,-9.56
51,-9.39
52,-9.21
53,-9.03
54,-8.85
55,-8.65
56,-8.45
57,-8.24
58,-8.03
59,-7.81
60,-7.59
61,-7.38
62,-7.18
63,-7.00
64,-6.80
65,-6.61
66,-6.45
67,-6.28
68,-6.12
69,-5.97
70,-5.84
71,-5.71
72,-5.58
73,-5.47
74,-5.37
75,-5.26
76,-5.16
77,-5.05
78,-4.95
79,-4.86
80,-4.79
81,-4.71
82,-4.63
83,-4.56
84,-4.48
85,-4.42
86,-4.37
87,-4.32
88,-4.26
89,-4.21
90,-4.15
91,-4.09
92,-4.04
93,-4.01
94,-3.97
95,-3.92
96,-3.87
97,-3.82
98,-3.77
99,-3.74
100,-3.69
101,-3.65
102,-3.60
104,-3.55
105,-3.51
106,-3.47
107,-3.43
108,-3.39
109,-3.34
110,-3.28
111,-3.23
112,-3.17
113,-3.13
114,-3.08
115,-3.04
117,-2.99
118,-2.95
119,-2.90
120,-2.85
121,-2.81
123,-2.76
124,-2.72
125,-2.67
126,-2.63
128,-2.60
129,-2.57
130,-2.56
131,-2.53
133,-2.49
134,-2.45
135,-2.41
137,-2.37
138,-2.33
140,-2.31
141,-2.28
142,-2.25
144,-2.22
145,-2.19
147,-2.16
148,-2.14
150,-2.12
151,-2.11
153,-2.11
154,-2.11
156,-2.12
157,-2.14
159,-2.15
160,-2.15
162,-2.14
164,-2.12
165,-2.10
167,-2.07
169,-2.04
170,-2.01
172,-1.97
174,-1.94
175,-1.91
177,-1.87
179,-1.85
181,-1.82
183,-1.80
184,-1.79
186,-1.80
188,-1.80
190,-1.81
192,-1.81
194,-1.80
196,-1.78
198,-1.75
200,-1.72
202,-1.69
204,-1.65
206,-1.61
208,-1.57
210,-1.53
212,-1.51
214,-1.50
216,-1.50
218,-1.51
221,-1.53
223,-1.56
225,-1.60
227,-1.64
229,-1.68
232,-1.70
234,-1.72
236,-1.75
239,-1.78
241,-1.82
244,-1.85
246,-1.88
248,-1.90
251,-1.93
253,-1.96
256,-1.99
259,-2.02
261,-2.06
264,-2.08
266,-2.11
269,-2.13
272,-2.15
274,-2.16
277,-2.17
280,-2.16
283,-2.15
286,-2.13
288,-2.11
291,-2.08
294,-2.05
297,-2.02
300,-1.99
303,-1.95
306,-1.92
309,-1.89
312,-1.86
316,-1.83
319,-1.81
322,-1.79
325,-1.78
328,-1.78
332,-1.79
335,-1.81
338,-1.83
342,-1.83
345,-1.82
349,-1.81
352,-1.79
356,-1.76
359,-1.73
363,-1.70
366,-1.67
370,-1.63
374,-1.60
377,-1.57
381,-1.54
385,-1.51
389,-1.49
393,-1.47
397,-1.46
401,-1.46
405,-1.46
409,-1.47
413,-1.48
417,-1.48
421,-1.48
425,-1.48
430,-1.48
434,-1.48
438,-1.48
443,-1.48
447,-1.48
451,-1.48
456,-1.48
460,-1.48
465,-1.48
470,-1.48
474,-1.48
479,-1.48
484,-1.48
489,-1.48
494,-1.48
499,-1.48
504,-1.48
509,-1.48
514,-1.48
519,-1.48
524,-1.48
529,-1.48
535,-1.48
540,-1.48
545,-1.48
551,-1.49
556,-1.50
