frequency,raw
20.00,-7.83
20.20,-7.63
20.40,-7.42
20.61,-7.22
20.81,-7.01
21.02,-6.81
21.23,-6.60
21.44,-6.40
21.66,-6.19
21.87,-5.99
22.09,-5.78
22.31,-5.58
22.54,-5.37
22.76,-5.17
22.99,-4.96
23.22,-4.76
23.45,-4.55
23.69,-4.35
23.92,-4.15
24.16,-3.94
24.40,-3.74
24.65,-3.54
24.89,-3.34
25.14,-3.14
25.39,-2.94
25.65,-2.74
25.91,-2.54
26.16,-2.35
26.43,-2.15
26.69,-1.96
26.96,-1.76
27.23,-1.57
27.50,-1.38
27.77,-1.19
28.05,-1.01
28.33,-0.82
28.62,-0.64
28.90,-0.45
29.19,-0.27
29.48,-0.10
29.78,0.08
30.08,0.25
30.38,0.41
30.68,0.57
30.99,0.73
31.30,0.88
31.61,1.03
31.93,1.18
32.24,1.33
32.57,1.47
32.89,1.61
33.22,1.75
33.55,1.89
33.89,2.03
34.23,2.17
34.57,2.30
34.92,2.44
35.27,2.56
35.62,2.68
35.97,2.80
36.33,2.92
36.70,3.03
37.06,3.15
37.43,3.26
37.81,3.37
38.19,3.47
38.57,3.57
38.95,3.67
39.34,3.77
39.74,3.87
40.14,3.96
40.54,4.05
40.94,4.15
41.35,4.23
41.76,4.32
42.18,4.41
42.60,4.49
43.03,4.57
43.46,4.64
43.90,4.71
44.33,4.78
44.78,4.84
45.23,4.90
45.68,4.95
46.13,5.00
46.60,5.05
47.06,5.10
47.53,5.14
48.01,5.18
48.49,5.21
48.97,5.24
49.46,5.26
49.96,5.28
50.46,5.29
50.96,5.30
51.47,5.30
51.99,5.31
52.51,5.29
53.03,5.28
53.56,5.26
54.10,5.23
54.64,5.20
55.18,5.16
55.74,5.11
56.29,5.06
56.86,5.00
57.42,4.94
58.00,4.88
58.58,4.82
59.16,4.76
59.76,4.70
60.35,4.64
60.96,4.58
61.57,4.53
62.18,4.49
62.80,4.45
63.43,4.42
64.07,4.40
64.71,4.38
65.35,4.37
66.01,4.36
66.67,4.37
67.33,4.38
68.01,4.39
68.69,4.42
69.37,4.46
70.07,4.50
70.77,4.55
71.48,4.60
72.19,4.65
72.91,4.69
73.64,4.75
74.38,4.79
75.12,4.84
75.87,4.87
76.63,4.90
77.40,4.92
78.17,4.93
78.95,4.93
79.74,4.92
80.54,4.91
81.35,4.90
82.16,4.89
82.98,4.86
83.81,4.83
84.65,4.79
85.50,4.76
86.35,4.72
87.22,4.69
88.09,4.67
88.97,4.65
89.86,4.63
90.76,4.62
91.66,4.61
92.58,4.61
93.51,4.62
94.44,4.63
95.39,4.63
96.34,4.64
97.30,4.64
98.28,4.64
99.26,4.64
100.25,4.64
101.25,4.64
102.27,4.64
103.29,4.64
104.32,4.64
105.37,4.64
106.42,4.64
107.48,4.64
108.56,4.64
109.64,4.64
110.74,4.64
111.85,4.64
112.97,4.64
114.10,4.64
115.24,4.64
116.39,4.64
117.55,4.64
118.73,4.65
119.92,4.66
121.12,4.66
122.33,4.66
123.55,4.65
124.79,4.62
126.03,4.60
127.29,4.58
128.57,4.55
129.85,4.51
131.15,4.47
132.46,4.45
133.79,4.41
135.12,4.38
136.48,4.36
137.84,4.34
139.22,4.33
140.61,4.32
142.02,4.30
143.44,4.29
144.87,4.27
146.32,4.26
147.78,4.23
149.26,4.20
150.75,4.17
152.26,4.15
153.78,4.12
155.32,4.09
156.88,4.04
158.44,4.01
160.03,3.96
161.63,3.93
163.24,3.90
164.88,3.86
166.53,3.84
168.19,3.83
169.87,3.79
171.57,3.75
173.29,3.71
175.02,3.67
176.77,3.63
178.54,3.58
180.32,3.54
182.13,3.49
183.95,3.43
185.79,3.39
187.65,3.34
189.52,3.28
191.42,3.23
193.33,3.16
195.27,3.10
197.22,3.03
199.19,2.97
201.18,2.91
203.19,2.84
205.23,2.77
207.28,2.69
209.35,2.61
211.44,2.53
213.56,2.44
215.69,2.34
217.85,2.21
220.03,2.13
222.23,2.03
224.45,1.92
226.70,1.79
228.96,1.63
231.25,1.52
233.57,1.37
235.90,1.19
238.26,1.06
240.64,0.89
243.05,0.75
245.48,0.57
247.93,0.37
250.41,0.20
252.92,-0.02
255.45,-0.18
258.00,-0.33
260.58,-0.54
263.19,-0.72
265.82,-0.94
268.48,-1.11
271.16,-1.27
273.87,-1.48
276.61,-1.64
279.38,-1.80
282.17,-1.96
284.99,-2.09
287.84,-2.26
290.72,-2.38
293.63,-2.48
296.57,-2.57
299.53,-2.65
302.53,-2.72
305.55,-2.79
308.61,-2.83
311.69,-2.84
314.81,-2.85
317.96,-2.86
321.14,-2.85
324.35,-2.83
327.59,-2.80
330.87,-2.76
334.18,-2.70
337.52,-2.64
340.90,-2.59
344.30,-2.52
347.75,-2.43
351.23,-2.33
354.74,-2.22
358.28,-2.10
361.87,-1.98
365.49,-1.84
369.14,-1.72
372.83,-1.60
376.56,-1.45
380.33,-1.31
384.13,-1.19
387.97,-1.07
391.85,-0.94
395.77,-0.81
399.73,-0.69
403.72,-0.58
407.76,-0.47
411.84,-0.36
415.96,-0.26
420.12,-0.15
424.32,-0.05
428.56,0.02
432.85,0.10
437.18,0.18
441.55,0.24
445.96,0.31
450.42,0.38
454.93,0.43
459.48,0.49
464.07,0.54
468.71,0.57
473.40,0.61
478.13,0.63
482.91,0.66
487.74,0.68
492.62,0.72
497.55,0.76
502.52,0.80
507.55,0.84
512.62,0.87
517.75,0.90
522.93,0.93
528.16,0.95
533.44,0.98
538.77,1.01
544.16,1.04
549.60,1.07
555.10,1.08
560.65,1.09
566.25,1.09
571.92,1.08
577.64,1.07
583.41,1.07
589.25,1.07
595.14,1.07
601.09,1.07
607.10,1.07
613.17,1.07
619.30,1.07
625.50,1.07
631.75,1.07
638.07,1.07
644.45,1.07
650.89,1.07
657.40,1.07
663.98,1.07
670.62,1.07
677.32,1.07
684.10,1.08
690.94,1.09
697.85,1.09
704.83,1.09
711.87,1.07
718.99,1.06
726.18,1.04
733.44,1.01
740.78,0.98
748.19,0.95
755.67,0.91
763.23,0.88
770.86,0.85
778.57,0.82
786.35,0.80
794.22,0.78
802.16,0.76
810.18,0.73
818.28,0.71
826.46,0.69
834.73,0.68
843.08,0.65
851.51,0.63
860.02,0.61
868.62,0.58
877.31,0.54
886.08,0.49
894.94,0.44
903.89,0.39
912.93,0.35
922.06,0.31
931.28,0.28
940.59,0.25
950.00,0.23
959.50,0.19
969.09,0.15
978.78,0.10
988.57,0.05
998.46,0.01
1008.44,-0.04
1018.53,-0.07
1028.71,-0.10
1039.00,-0.13
1049.39,-0.15
1059.88,-0.18
1070.48,-0.21
1081.19,-0.22
1092.00,-0.24
1102.92,-0.25
1113.95,-0.25
1125.09,-0.24
1136.34,-0.23
1147.70,-0.23
1159.18,-0.23
1170.77,-0.23
1182.48,-0.23
1194.30,-0.22
1206.25,-0.21
1218.31,-0.21
1230.49,-0.21
1242.80,-0.22
1255.22,-0.23
1267.78,-0.24
1280.45,-0.26
1293.26,-0.28
1306.19,-0.33
1319.25,-0.37
1332.45,-0.42
1345.77,-0.47
1359.23,-0.54
1372.82,-0.60
1386.55,-0.67
1400.41,-0.73
1414.42,-0.81
1428.56,-0.88
1442.85,-0.95
1457.28,-1.02
1471.85,-1.08
1486.57,-1.15
1501.43,-1.22
1516.45,-1.29
1531.61,-1.36
1546.93,-1.43
1562.40,-1.51
1578.02,-1.60
1593.80,-1.69
1609.74,-1.78
1625.84,-1.86
1642.10,-1.95
1658.52,-2.04
1675.10,-2.13
1691.85,-2.22
1708.77,-2.31
1725.86,-2.41
1743.12,-2.50
1760.55,-2.60
1778.15,-2.69
1795.94,-2.80
1813.90,-2.89
1832.03,-2.99
1850.36,-3.10
1868.86,-3.21
1887.55,-3.31
1906.42,-3.43
1925.49,-3.55
1944.74,-3.67
1964.19,-3.79
1983.83,-3.91
2003.67,-4.03
2023.71,-4.13
2043.94,-4.25
2064.38,-4.36
2085.03,-4.46
2105.88,-4.56
2126.94,-4.66
2148.20,-4.74
2169.69,-4.81
2191.38,-4.88
2213.30,-4.93
2235.43,-4.99
2257.78,-5.04
2280.36,-5.09
2303.17,-5.14
2326.20,-5.18
2349.46,-5.21
2372.95,-5.26
2396.68,-5.29
2420.65,-5.32
2444.86,-5.33
2469.31,-5.35
2494.00,-5.37
2518.94,-5.39
2544.13,-5.42
2569.57,-5.44
2595.27,-5.46
2621.22,-5.47
2647.43,-5.49
2673.90,-5.53
2700.64,-5.58
2727.65,-5.64
2754.93,-5.71
2782.48,-5.79
2810.30,-5.89
2838.40,-5.99
2866.79,-6.10
2895.46,-6.22
2924.41,-6.34
2953.65,-6.46
2983.19,-6.59
3013.02,-6.73
3043.15,-6.87
3073.58,-7.00
3104.32,-7.12
3135.36,-7.25
3166.72,-7.37
3198.38,-7.47
3230.37,-7.56
3262.67,-7.63
3295.30,-7.69
3328.25,-7.72
3361.53,-7.71
3395.15,-7.68
3429.10,-7.61
3463.39,-7.50
3498.03,-7.35
3533.01,-7.14
3568.34,-6.89
3604.02,-6.62
3640.06,-6.33
3676.46,-6.01
