frequency,raw
20,-1.41
21,-0.91
22,-0.45
23,-0.02
24,0.39
25,0.76
26,1.10
27,1.41
28,1.69
29,1.94
30,2.16
31,2.31
32,2.44
33,2.54
34,2.62
35,2.68
36,2.73
37,2.77
38,2.82
39,2.85
40,2.88
41,2.91
42,2.94
43,2.98
44,3.02
45,3.04
46,3.07
47,3.09
48,3.10
49,3.10
50,3.09
51,3.08
52,3.07
53,3.03
54,2.98
55,2.93
56,2.88
57,2.83
58,2.79
59,2.75
60,2.71
61,2.66
62,2.62
63,2.58
64,2.53
65,2.47
66,2.41
67,2.36
68,2.31
69,2.27
70,2.24
71,2.22
72,2.20
73,2.18
74,2.16
75,2.15
76,2.15
77,2.15
78,2.17
79,2.17
80,2.17
81,2.17
82,2.17
83,2.17
84,2.17
85,2.17
86,2.17
87,2.17
88,2.17
89,2.17
90,2.17
91,2.17
92,2.18
93,2.19
94,2.19
95,2.20
96,2.19
97,2.18
98,2.16
99,2.14
100,2.11
101,2.08
102,2.04
104,2.01
105,1.98
106,1.96
107,1.94
108,1.90
109,1.87
110,1.83
111,1.80
112,1.76
113,1.74
114,1.71
115,1.68
117,1.65
118,1.62
119,1.59
120,1.56
121,1.54
123,1.52
124,1.51
125,1.50
126,1.50
128,1.51
129,1.53
130,1.53
131,1.53
133,1.53
134,1.54
135,1.55
137,1.55
138,1.54
140,1.52
141,1.50
142,1.47
144,1.44
145,1.41
147,1.38
148,1.36
150,1.33
151,1.30
153,1.26
154,1.22
156,1.18
157,1.14
159,1.11
160,1.09
162,1.06
164,1.03
165,0.99
167,0.94
169,0.88
170,0.83
172,0.77
174,0.73
175,0.70
177,0.67
179,0.65
181,0.62
183,0.58
184,0.54
186,0.50
188,0.46
190,0.43
192,0.40
194,0.37
196,0.34
198,0.31
200,0.28
202,0.26
204,0.23
206,0.22
208,0.21
210,0.21
212,0.22
214,0.23
216,0.25
218,0.25
221,0.24
223,0.22
225,0.20
227,0.17
229,0.14
232,0.11
234,0.08
236,0.05
239,0.03
241,0.00
244,-0.03
246,-0.07
248,-0.10
251,-0.13
253,-0.16
256,-0.19
259,-0.22
261,-0.25
264,-0.30
266,-0.35
269,-0.40
272,-0.46
274,-0.52
277,-0.57
280,-0.61
283,-0.64
286,-0.66
288,-0.68
291,-0.70
294,-0.74
297,-0.77
300,-0.81
303,-0.84
306,-0.86
309,-0.88
312,-0.90
316,-0.94
319,-0.98
322,-1.03
325,-1.08
328,-1.11
332,-1.15
335,-1.19
338,-1.23
342,-1.28
345,-1.32
349,-1.36
352,-1.41
356,-1.46
359,-1.52
363,-1.58
366,-1.63
370,-1.68
374,-1.72
377,-1.77
381,-1.82
385,-1.89
389,-1.95
393,-2.01
397,-2.05
401,-2.08
405,-2.14
409,-2.20
413,-2.27
417,-2.33
421,-2.37
425,-2.41
430,-2.46
434,-2.51
438,-2.57
443,-2.62
447,-2.67
451,-2.72
456,-2.77
460,-2.83
465,-2.87
470,-2.92
474,-2.95
479,-2.97
484,-2.98
489,-3.01
494,-3.02
499,-3.04
504,-3.04
509,-3.03
514,-3.02
519,-3.02
524,-3.02
529,-3.03
535,-3.04
540,-3.04
545,-3.03
551,-3.02
556,-3.01
562,-2.99
568,-2.97
573,-2.94
579,-2.90
585,-2.85
591,-2.81
596,-2.76
602,-2.70
608,-2.64
615,-2.58
621,-2.52
627,-2.45
633,-2.38
639,-2.32
646,-2.25
652,-2.18
659,-2.10
665,-2.01
672,-1.92
679,-1.83
686,-1.75
692,-1.66
699,-1.56
706,-1.47
713,-1.38
721,-1.28
728,-1.18
735,-1.08
742,-0.99
750,-0.90
757,-0.80
765,-0.71
773,-0.62
780,-0.53
788,-0.45
796,-0.37
804,-0.31
812,-0.25
820,-0.20
828,-0.16
837,-0.14
845,-0.11
853,-0.10
862,-0.09
871,-0.08
879,-0.07
888,-0.08
897,-0.08
906,-0.10
915,-0.11
924,-0.12
933,-0.12
943,-0.11
952,-0.10
962,-0.09
971,-0.08
981,-0.05
991,-0.03
1001,0.00
1011,0.04
1021,0.10
1031,0.17
1041,0.25
1052,0.35
1062,0.46
1073,0.57
1084,0.69
1094,0.82
1105,0.94
1116,1.05
1128,1.18
1139,1.31
1150,1.44
1162,1.55
1173,1.65
1185,1.74
1197,1.83
1209,1.91
1221,1.99
1233,2.06
1246,2.14
1258,2.21
1271,2.27
1283,2.33
1296,2.38
1309,2.42
1322,2.45
1335,2.48
1349,2.49
1362,2.50
1376,2.52
1390,2.54
1404,2.55
1418,2.53
