frequency,raw
20.00,-39.95
20.20,-39.70
20.40,-39.44
20.61,-39.19
20.81,-38.94
21.02,-38.69
21.23,-38.43
21.44,-38.17
21.66,-37.92
21.87,-37.66
22.09,-37.40
22.31,-37.14
22.54,-36.89
22.76,-36.63
22.99,-36.37
23.22,-36.11
23.45,-35.85
23.69,-35.59
23.92,-35.33
24.16,-35.07
24.40,-34.81
24.65,-34.55
24.89,-34.28
25.14,-34.02
25.39,-33.76
25.65,-33.50
25.91,-33.24
26.16,-32.97
26.43,-32.71
26.69,-32.45
26.96,-32.19
27.23,-31.93
27.50,-31.67
27.77,-31.41
28.05,-31.15
28.33,-30.90
28.62,-30.64
28.90,-30.39
29.19,-30.13
29.48,-29.88
29.78,-29.62
30.08,-29.36
30.38,-29.09
30.68,-28.82
30.99,-28.55
31.30,-28.29
31.61,-28.03
31.93,-27.77
32.24,-27.52
32.57,-27.28
32.89,-27.03
33.22,-26.80
33.55,-26.57
33.89,-26.34
34.23,-26.13
34.57,-25.91
34.92,-25.70
35.27,-25.50
35.62,-25.30
35.97,-25.10
36.33,-24.91
36.70,-24.72
37.06,-24.53
37.43,-24.34
37.81,-24.15
38.19,-23.97
38.57,-23.79
38.95,-23.60
39.34,-23.43
39.74,-23.26
40.14,-23.09
40.54,-22.91
40.94,-22.74
41.35,-22.56
41.76,-22.39
42.18,-22.22
42.60,-22.05
43.03,-21.89
43.46,-21.73
43.90,-21.58
44.33,-21.42
44.78,-21.27
45.23,-21.11
45.68,-20.95
46.13,-20.79
46.60,-20.64
47.06,-20.48
47.53,-20.33
48.01,-20.19
48.49,-20.04
48.97,-19.90
49.46,-19.75
49.96,-19.60
50.46,-19.47
50.96,-19.33
51.47,-19.20
51.99,-19.06
52.51,-18.94
53.03,-18.81
53.56,-18.70
54.10,-18.58
54.64,-18.45
55.18,-18.32
55.74,-18.22
56.29,-18.11
56.86,-18.00
57.42,-17.89
58.00,-17.78
58.58,-17.68
59.16,-17.57
59.76,-17.48
60.35,-17.38
60.96,-17.29
61.57,-17.19
62.18,-17.11
62.80,-17.03
63.43,-16.95
64.07,-16.88
64.71,-16.80
65.35,-16.73
66.01,-16.65
66.67,-16.58
67.33,-16.51
68.01,-16.44
68.69,-16.37
69.37,-16.31
70.07,-16.26
70.77,-16.21
71.48,-16.17
72.19,-16.13
72.91,-16.09
73.64,-16.05
74.38,-16.01
75.12,-15.96
75.87,-15.93
76.63,-15.88
77.40,-15.84
78.17,-15.80
78.95,-15.77
79.74,-15.74
80.54,-15.71
81.35,-15.68
82.16,-15.66
82.98,-15.64
83.81,-15.64
84.65,-15.62
85.50,-15.60
86.35,-15.58
87.22,-15.55
88.09,-15.53
88.97,-15.51
89.86,-15.49
90.76,-15.47
91.66,-15.45
92.58,-15.42
93.51,-15.40
94.44,-15.38
95.39,-15.35
