frequency,raw
20.00,5.77
20.20,5.74
20.40,5.70
20.61,5.67
20.81,5.63
21.02,5.60
21.23,5.56
21.44,5.53
21.66,5.49
21.87,5.46
22.09,5.43
22.31,5.39
22.54,5.36
22.76,5.33
22.99,5.29
23.22,5.26
23.45,5.22
23.69,5.19
23.92,5.15
24.16,5.12
24.40,5.08
24.65,5.05
24.89,5.01
25.14,4.98
25.39,4.95
25.65,4.92
25.91,4.88
26.16,4.85
26.43,4.82
26.69,4.79
26.96,4.76
27.23,4.72
27.50,4.69
27.77,4.66
28.05,4.62
28.33,4.60
28.62,4.57
28.90,4.54
29.19,4.51
29.48,4.48
29.78,4.44
30.08,4.41
30.38,4.38
30.68,4.34
30.99,4.31
31.30,4.28
31.61,4.25
31.93,4.23
32.24,4.20
32.57,4.17
32.89,4.15
33.22,4.12
33.55,4.10
33.89,4.07
34.23,4.04
34.57,4.01
34.92,3.99
35.27,3.96
35.62,3.94
35.97,3.92
36.33,3.90
36.70,3.88
37.06,3.86
37.43,3.84
37.81,3.83
38.19,3.81
38.57,3.80
38.95,3.79
39.34,3.78
39.74,3.78
40.14,3.77
40.54,3.75
40.94,3.74
41.35,3.74
41.76,3.73
42.18,3.73
42.60,3.73
43.03,3.73
43.46,3.73
43.90,3.74
44.33,3.75
44.78,3.76
45.23,3.76
45.68,3.77
46.13,3.78
46.60,3.80
47.06,3.81
47.53,3.84
48.01,3.87
48.49,3.90
48.97,3.94
49.46,3.99
49.96,4.04
50.46,4.10
50.96,4.16
51.47,4.22
51.99,4.29
52.51,4.37
53.03,4.44
53.56,4.52
54.10,4.60
54.64,4.68
55.18,4.78
55.74,4.88
56.29,4.99
56.86,5.10
57.42,5.21
58.00,5.32
58.58,5.44
59.16,5.55
59.76,5.66
60.35,5.77
60.96,5.87
61.57,5.98
62.18,6.09
62.80,6.19
63.43,6.28
64.07,6.36
64.71,6.43
65.35,6.49
66.01,6.55
66.67,6.61
67.33,6.66
68.01,6.71
68.69,6.74
69.37,6.78
70.07,6.81
70.77,6.85
71.48,6.88
72.19,6.92
72.91,6.96
73.64,7.00
74.38,7.05
75.12,7.11
75.87,7.18
76.63,7.24
77.40,7.30
78.17,7.37
78.95,7.46
79.74,7.54
80.54,7.64
81.35,7.72
82.16,7.81
82.98,7.89
83.81,7.97
84.65,8.06
85.50,8.14
86.35,8.23
87.22,8.31
88.09,8.37
88.97,8.44
89.86,8.49
90.76,8.55
91.66,8.60
92.58,8.65
93.51,8.71
94.44,8.75
95.39,8.79
96.34,8.84
97.30,8.89
98.28,8.94
99.26,9.00
100.25,9.05
101.25,9.10
102.27,9.14
103.29,9.16
104.32,9.20
105.37,9.26
106.42,9.33
107.48,9.39
108.56,9.44
109.64,9.49
110.74,9.55
111.85,9.59
112.97,9.64
114.10,9.67
115.24,9.69
116.39,9.70
117.55,9.73
118.73,9.75
119.92,9.79
121.12,9.79
122.33,9.78
123.55,9.77
124.79,9.75
126.03,9.73
127.29,9.72
128.57,9.69
129.85,9.64
131.15,9.59
132.46,9.55
133.79,9.49
135.12,9.42
136.48,9.37
137.84,9.28
139.22,9.22
140.61,9.13
142.02,9.00
143.44,8.94
144.87,8.84
146.32,8.77
147.78,8.66
149.26,8.57
150.75,8.46
152.26,8.39
