frequency,raw
20,-41.27
21,-40.19
22,-39.17
23,-38.19
24,-37.27
25,-36.39
26,-35.56
27,-34.78
28,-34.05
29,-33.37
30,-32.74
31,-32.18
32,-31.68
33,-31.23
34,-30.82
35,-30.44
36,-30.09
37,-29.77
38,-29.46
39,-29.18
40,-28.88
41,-28.60
42,-28.32
43,-28.05
44,-27.78
45,-27.54
46,-27.28
47,-27.03
48,-26.78
49,-26.55
50,-26.33
51,-26.15
52,-25.98
53,-25.85
54,-25.74
55,-25.65
56,-25.57
57,-25.52
58,-25.46
59,-25.41
60,-25.37
61,-25.34
62,-25.30
63,-25.27
64,-25.24
65,-25.21
66,-25.19
67,-25.18
68,-25.17
69,-25.18
70,-25.19
71,-25.22
72,-25.25
73,-25.28
74,-25.32
75,-25.35
76,-25.39
77,-25.43
78,-25.46
79,-25.50
80,-25.55
81,-25.59
82,-25.62
83,-25.67
84,-25.72
85,-25.78
86,-25.85
87,-25.93
88,-26.02
89,-26.12
90,-26.23
91,-26.32
92,-26.41
93,-26.50
94,-26.61
95,-26.73
96,-26.84
97,-26.94
98,-27.04
99,-27.16
100,-27.29
101,-27.41
102,-27.53
104,-27.65
105,-27.76
106,-27.87
107,-27.98
108,-28.09
109,-28.22
110,-28.33
111,-28.44
112,-28.53
113,-28.63
114,-28.73
115,-28.84
117,-28.93
118,-29.00
119,-29.07
120,-29.15
121,-29.22
123,-29.28
124,-29.33
125,-29.36
126,-29.39
128,-29.40
129,-29.39
130,-29.40
131,-29.40
133,-29.38
134,-29.34
135,-29.29
137,-29.22
138,-29.14
140,-29.02
141,-28.89
142,-28.74
144,-28.58
145,-28.39
147,-28.19
148,-27.98
150,-27.75
151,-27.51
153,-27.26
154,-26.99
156,-26.70
157,-26.42
159,-26.11
160,-25.79
162,-25.47
164,-25.13
165,-24.80
167,-24.43
169,-24.07
170,-23.70
172,-23.33
174,-22.96
175,-22.60
177,-22.23
179,-21.87
181,-21.50
183,-21.11
184,-20.73
186,-20.34
188,-19.93
190,-19.51
192,-19.08
194,-18.65
196,-18.22
198,-17.78
200,-17.34
202,-16.88
204,-16.40
206,-15.93
208,-15.45
210,-14.99
212,-14.54
214,-14.12
216,-13.71
218,-13.34
221,-13.01
223,-12.71
225,-12.44
227,-12.21
229,-12.01
232,-11.84
234,-11.70
236,-11.56
239,-11.42
241,-11.27
244,-11.11
246,-10.92
248,-10.71
251,-10.47
253,-10.22
256,-9.93
259,-9.63
261,-9.32
264,-8.99
266,-8.66
269,-8.34
272,-7.99
274,-7.64
277,-7.28
280,-6.92
283,-6.56
286,-6.21
288,-5.85
291,-5.49
294,-5.13
297,-4.78
300,-4.45
303,-4.12
306,-3.80
309,-3.48
312,-3.16
316,-2.83
319,-2.50
322,-2.18
325,-1.86
328,-1.53
332,-1.20
335,-0.89
338,-0.59
342,-0.31
345,-0.04
349,0.20
352,0.42
356,0.62
359,0.78
363,0.89
366,0.97
370,1.02
374,1.06
377,1.07
381,1.07
385,1.05
389,1.03
393,0.98
397,0.92
401,0.85
405,0.77
409,0.67
413,0.57
417,0.46
421,0.35
425,0.24
430,0.13
434,0.02
438,-0.08
443,-0.19
447,-0.28
451,-0.35
456,-0.40
460,-0.45
465,-0.47
470,-0.48
474,-0.49
479,-0.49
484,-0.49
489,-0.50
494,-0.53
499,-0.56
504,-0.62
509,-0.70
514,-0.80
519,-0.90
524,-1.02
529,-1.15
535,-1.28
540,-1.42
545,-1.55
551,-1.67
556,-1.76
562,-1.85
568,-1.92
573,-2.00
579,-2.06
585,-2.09
591,-2.13
596,-2.19
602,-2.24
608,-2.28
615,-2.33
621,-2.38
627,-2.44
633,-2.51
639,-2.59
646,-2.67
652,-2.75
659,-2.82
665,-2.88
672,-2.93
679,-2.98
686,-3.02
692,-3.07
699,-3.12
706,-3.14
713,-3.14
721,-3.15
728,-3.13
735,-3.08
742,-3.02
750,-2.96
757,-2.89
765,-2.80
773,-2.69
780,-2.58
788,-2.45
796,-2.30
804,-2.16
812,-2.03
820,-1.88
828,-1.73
837,-1.59
845,-1.46
853,-1.33
862,-1.19
871,-1.05
879,-0.90
888,-0.76
897,-0.61
906,-0.47
915,-0.35
924,-0.24
933,-0.13
943,-0.04
952,0.01
962,0.06
971,0.08
981,0.07
991,0.04
1001,-0.00
1011,-0.08
1021,-0.17
1031,-0.27
1041,-0.40
1052,-0.56
1062,-0.73
1073,-0.92
1084,-1.16
1094,-1.44
1105,-1.75
1116,-2.10
1128,-2.46
1139,-2.82
1150,-3.15
1162,-3.45
1173,-3.70
1185,-3.88
1197,-3.99
1209,-4.04
1221,-4.01
1233,-3.90
1246,-3.72
1258,-3.51
1271,-3.26
1283,-2.98
1296,-2.70
1309,-2.44
1322,-2.21
1335,-2.01
1349,-1.85
1362,-1.72
1376,-1.60
1390,-1.51
1404,-1.43
1418,-1.38
1432,-1.37
1446,-1.40
1461,-1.46
1475,-1.57
1490,-1.73
1505,-1.96
1520,-2.26
1535,-2.60
1550,-2.99
1566,-3.42
1582,-3.87
1597,-4.31
1613,-4.74
1629,-5.14
1646,-5.49
1662,-5.76
1679,-5.95
1696,-6.09
1713,-6.15
1730,-6.14
1747,-6.08
1764,-5.99
1782,-5.86
1800,-5.71
1818,-5.56
1836,-5.40
1854,-5.23
1873,-5.09
1892,-4.98
1911,-4.89
1930,-4.83
1949,-4.80
1969,-4.80
1988,-4.83
2008,-4.90
2028,-5.00
2048,-5.15
2069,-5.34
2090,-5.56
2111,-5.83
2132,-6.14
2153,-6.48
2175,-6.83
2196,-7.19
2218,-7.55
2240,-7.90
2263,-8.24
2285,-8.58
2308,-8.92
2331,-9.25
2355,-9.56
2378,-9.85
2402,-10.13
2426,-10.39
2450,-10.62
2475,-10.81
2500,-10.95
2525,-11.03
2550,-11.06
2575,-11.02
2601,-10.93
2627,-10.79
2653,-10.60
2680,-10.36
2707,-10.06
2734,-9.70
2761,-9.29
2789,-8.83
2817,-8.34
2845,-7.82
2873,-7.28
2902,-6.72
2931,-6.16
2960,-5.60
2990,-5.06
3020,-4.55
3050,-4.06
3080,-3.62
3111,-3.23
3142,-2.91
3174,-2.66
3206,-2.49
3238,-2.40
3270,-2.35
3303,-2.32
3336,-2.33
3369,-2.37
3403,-2.43
3437,-2.51
3471,-2.62
3506,-2.78
3541,-2.99
3576,-3.28
3612,-3.66
