frequency,raw
20,-22.43
21,-21.77
22,-21.13
23,-20.50
24,-19.88
25,-19.27
26,-18.67
27,-18.08
28,-17.51
29,-16.94
30,-16.38
31,-15.82
32,-15.26
33,-14.71
34,-14.18
35,-13.70
36,-13.23
37,-12.79
38,-12.37
39,-11.97
40,-11.58
41,-11.24
42,-10.89
43,-10.58
44,-10.26
45,-9.97
46,-9.68
47,-9.40
48,-9.13
49,-8.87
50,-8.62
51,-8.37
52,-8.14
53,-7.91
54,-7.68
55,-7.47
56,-7.25
57,-7.04
58,-6.84
59,-6.63
60,-6.44
61,-6.27
62,-6.10
63,-5.93
64,-5.77
65,-5.61
66,-5.45
67,-5.29
68,-5.14
69,-4.99
70,-4.85
71,-4.71
72,-4.56
73,-4.44
74,-4.30
75,-4.17
76,-4.04
77,-3.92
78,-3.80
79,-3.69
80,-3.59
81,-3.49
82,-3.40
83,-3.32
84,-3.25
85,-3.17
86,-3.10
87,-3.03
88,-2.96
89,-2.90
90,-2.84
91,-2.78
92,-2.75
93,-2.72
94,-2.67
95,-2.63
96,-2.59
97,-2.56
98,-2.51
99,-2.47
100,-2.43
101,-2.40
102,-2.37
104,-2.35
105,-2.32
106,-2.29
107,-2.27
108,-2.25
109,-2.23
110,-2.23
111,-2.23
112,-2.23
113,-2.24
114,-2.25
115,-2.26
117,-2.27
118,-2.27
119,-2.27
120,-2.25
121,-2.23
123,-2.21
124,-2.18
125,-2.15
126,-2.12
128,-2.08
129,-2.05
130,-2.01
131,-1.98
133,-1.96
134,-1.93
135,-1.91
137,-1.90
138,-1.90
140,-1.90
141,-1.92
142,-1.92
144,-1.92
145,-1.92
147,-1.92
148,-1.92
150,-1.92
151,-1.92
153,-1.92
154,-1.92
156,-1.92
157,-1.92
159,-1.92
160,-1.92
162,-1.92
164,-1.92
165,-1.92
167,-1.92
169,-1.92
170,-1.92
172,-1.92
174,-1.92
175,-1.92
177,-1.92
179,-1.92
181,-1.92
183,-1.92
184,-1.92
186,-1.92
188,-1.92
190,-1.92
192,-1.92
194,-1.92
196,-1.93
198,-1.94
200,-1.95
202,-1.95
204,-1.94
206,-1.92
208,-1.90
210,-1.87
212,-1.84
214,-1.81
216,-1.78
218,-1.74
221,-1.71
223,-1.68
225,-1.65
227,-1.62
229,-1.60
232,-1.59
234,-1.58
236,-1.58
239,-1.58
241,-1.60
244,-1.61
246,-1.61
248,-1.61
251,-1.61
253,-1.60
256,-1.60
259,-1.59
261,-1.57
264,-1.54
266,-1.52
269,-1.49
272,-1.45
274,-1.42
277,-1.39
280,-1.36
283,-1.34
286,-1.32
288,-1.31
291,-1.30
294,-1.29
297,-1.27
300,-1.25
303,-1.22
306,-1.20
309,-1.17
312,-1.14
316,-1.11
