frequency,raw
20.00,-14.66
20.20,-15.24
20.40,-15.94
20.61,-16.72
20.81,-17.54
21.02,-18.29
21.23,-18.92
21.44,-19.35
21.66,-19.54
21.87,-19.56
22.09,-19.35
22.31,-18.97
22.54,-18.52
22.76,-18.01
22.99,-17.55
23.22,-17.12
23.45,-16.73
23.69,-16.43
23.92,-16.17
24.16,-15.95
24.40,-15.80
24.65,-15.66
24.89,-15.53
25.14,-15.42
25.39,-15.31
25.65,-15.20
25.91,-15.10
26.16,-15.02
26.43,-14.95
26.69,-14.89
26.96,-14.83
27.23,-14.74
27.50,-14.65
27.77,-14.51
28.05,-14.34
28.33,-14.17
28.62,-13.97
28.90,-13.80
29.19,-13.64
29.48,-13.49
29.78,-13.39
30.08,-13.29
30.38,-13.22
30.68,-13.14
30.99,-13.03
31.30,-12.93
31.61,-12.77
31.93,-12.60
32.24,-12.42
32.57,-12.22
32.89,-12.02
33.22,-11.83
33.55,-11.66
33.89,-11.49
34.23,-11.34
34.57,-11.20
34.92,-11.08
35.27,-10.97
35.62,-10.87
35.97,-10.78
36.33,-10.67
36.70,-10.57
37.06,-10.44
37.43,-10.32
37.81,-10.20
38.19,-10.07
38.57,-9.94
38.95,-9.81
39.34,-9.67
39.74,-9.52
40.14,-9.38
40.54,-9.22
40.94,-9.05
41.35,-8.89
41.76,-8.71
42.18,-8.55
42.60,-8.38
43.03,-8.22
43.46,-8.07
43.90,-7.91
44.33,-7.75
44.78,-7.61
45.23,-7.44
45.68,-7.28
46.13,-7.11
46.60,-6.92
47.06,-6.74
47.53,-6.55
48.01,-6.36
48.49,-6.16
48.97,-5.97
49.46,-5.77
49.96,-5.57
50.46,-5.36
50.96,-5.15
51.47,-4.93
51.99,-4.70
52.51,-4.46
53.03,-4.22
53.56,-3.98
54.10,-3.73
54.64,-3.51
55.18,-3.28
55.74,-3.06
56.29,-2.85
56.86,-2.62
57.42,-2.38
58.00,-2.13
58.58,-1.88
59.16,-1.60
59.76,-1.32
60.35,-1.03
60.96,-0.74
61.57,-0.44
62.18,-0.15
62.80,0.13
63.43,0.39
64.07,0.63
64.71,0.87
65.35,1.08
66.01,1.26
66.67,1.43
67.33,1.59
68.01,1.70
68.69,1.81
69.37,1.89
70.07,1.96
70.77,2.01
71.48,2.06
72.19,2.08
72.91,2.10
73.64,2.11
74.38,2.10
75.12,2.10
75.87,2.08
76.63,2.06
77.40,2.05
78.17,2.03
78.95,2.02
79.74,2.02
80.54,2.02
81.35,2.04
82.16,2.06
82.98,2.09
83.81,2.14
84.65,2.18
85.50,2.25
86.35,2.32
87.22,2.40
88.09,2.51
88.97,2.61
89.86,2.73
90.76,2.86
91.66,3.00
92.58,3.14
93.51,3.29
94.44,3.45
95.39,3.60
96.34,3.75
97.30,3.87
98.28,4.00
99.26,4.10
100.25,4.18
101.25,4.24
102.27,4.27
103.29,4.26
104.32,4.24
105.37,4.19
106.42,4.11
107.48,4.02
108.56,3.92
109.64,3.81
110.74,3.69
111.85,3.58
112.97,3.46
114.10,3.34
115.24,3.24
116.39,3.14
117.55,3.05
118.73,2.97
119.92,2.90
121.12,2.84
122.33,2.78
123.55,2.74
124.79,2.70
126.03,2.67
127.29,2.64
128.57,2.62
129.85,2.62
131.15,2.61
132.46,2.62
133.79,2.62
135.12,2.63
136.48,2.64
137.84,2.66
139.22,2.69
140.61,2.71
142.02,2.75
143.44,2.78
144.87,2.81
146.32,2.86
147.78,2.90
149.26,2.94
150.75,2.98
152.26,3.03
153.78,3.08
155.32,3.14
156.88,3.19
158.44,3.24
160.03,3.30
161.63,3.35
163.24,3.41
164.88,3.47
166.53,3.53
168.19,3.59
169.87,3.65
171.57,3.71
173.29,3.76
175.02,3.83
176.77,3.88
178.54,3.94
180.32,4.00
182.13,4.06
183.95,4.12
185.79,4.19
187.65,4.25
189.52,4.29
191.42,4.36
193.33,4.41
195.27,4.46
197.22,4.50
199.19,4.55
201.18,4.59
203.19,4.62
205.23,4.66
207.28,4.70
209.35,4.72
211.44,4.75
213.56,4.77
215.69,4.79
217.85,4.80
220.03,4.82
222.23,4.83
224.45,4.84
226.70,4.84
228.96,4.84
231.25,4.83
233.57,4.82
235.90,4.81
238.26,4.80
240.64,4.77
243.05,4.76
245.48,4.73
247.93,4.71
250.41,4.68
252.92,4.65
255.45,4.61
258.00,4.58
260.58,4.55
263.19,4.51
265.82,4.48
268.48,4.43
271.16,4.40
273.87,4.35
276.61,4.31
279.38,4.26
282.17,4.21
284.99,4.16
287.84,4.11
290.72,4.07
293.63,4.03
296.57,3.99
299.53,3.95
302.53,3.93
305.55,3.90
308.61,3.90
311.69,3.90
314.81,3.91
317.96,3.91
321.14,3.93
324.35,3.95
327.59,3.96
330.87,3.98
334.18,3.99
337.52,4.01
340.90,4.01
344.30,4.01
347.75,4.01
351.23,4.01
354.74,4.00
358.28,3.98
361.87,3.97
365.49,3.96
369.14,3.94
372.83,3.92
376.56,3.92
380.33,3.89
384.13,3.88
387.97,3.86
391.85,3.85
395.77,3.83
399.73,3.82
403.72,3.80
407.76,3.78
411.84,3.76
415.96,3.75
420.12,3.73
424.32,3.72
428.56,3.70
432.85,3.69
437.18,3.68
441.55,3.67
445.96,3.65
450.42,3.65
454.93,3.63
459.48,3.63
464.07,3.62
468.71,3.61
473.40,3.61
478.13,3.60
482.91,3.60
487.74,3.60
492.62,3.60
497.55,3.60
502.52,3.60
507.55,3.60
512.62,3.60
517.75,3.61
522.93,3.61
528.16,3.61
533.44,3.62
538.77,3.61
544.16,3.62
549.60,3.62
555.10,3.62
560.65,3.61
566.25,3.61
571.92,3.61
577.64,3.60
583.41,3.59
589.25,3.59
595.14,3.58
601.09,3.57
607.10,3.56
613.17,3.54
619.30,3.53
625.50,3.52
631.75,3.49
638.07,3.46
644.45,3.44
650.89,3.41
657.40,3.37
663.98,3.33
670.62,3.29
677.32,3.25
684.10,3.20
690.94,3.14
697.85,3.08
704.83,3.01
711.87,2.94
718.99,2.86
726.18,2.76
733.44,2.66
740.78,2.55
748.19,2.44
755.67,2.33
763.23,2.20
770.86,2.07
778.57,1.93
786.35,1.78
794.22,1.64
802.16,1.48
810.18,1.32
818.28,1.17
826.46,1.01
834.73,0.85
843.08,0.69
851.51,0.54
860.02,0.39
868.62,0.26
877.31,0.13
886.08,0.02
894.94,-0.08
903.89,-0.17
912.93,-0.24
922.06,-0.29
931.28,-0.34
940.59,-0.34
950.00,-0.34
959.50,-0.32
969.09,-0.28
978.78,-0.20
988.57,-0.12
998.46,-0.02
1008.44,0.10
1018.53,0.24
1028.71,0.39
1039.00,0.57
1049.39,0.75
1059.88,0.94
1070.48,1.14
1081.19,1.35
1092.00,1.56
1102.92,1.79
1113.95,2.01
1125.09,2.23
1136.34,2.45
1147.70,2.68
1159.18,2.90
1170.77,3.13
1182.48,3.35
1194.30,3.57
1206.25,3.79
1218.31,4.00
1230.49,4.20
1242.80,4.41
1255.22,4.61
1267.78,4.81
1280.45,5.00
1293.26,5.18
1306.19,5.36
1319.25,5.53
1332.45,5.70
1345.77,5.85
1359.23,5.99
1372.82,6.14
1386.55,6.26
1400.41,6.39
1414.42,6.50
1428.56,6.60
1442.85,6.70
1457.28,6.79
1471.85,6.86
1486.57,6.93
1501.43,6.99
1516.45,7.04
1531.61,7.09
1546.93,7.12
1562.40,7.15
1578.02,7.17
1593.80,7.18
1609.74,7.19
1625.84,7.19
1642.10,7.18
1658.52,7.16
1675.10,7.15
1691.85,7.12
1708.77,7.10
1725.86,7.07
1743.12,7.04
1760.55,7.00
1778.15,6.96
1795.94,6.91
1813.90,6.88
1832.03,6.83
1850.36,6.79
1868.86,6.75
1887.55,6.71
1906.42,6.67
1925.49,6.64
1944.74,6.60
1964.19,6.56
1983.83,6.52
2003.67,6.48
2023.71,6.44
2043.94,6.39
2064.38,6.34
2085.03,6.29
2105.88,6.23
2126.94,6.18
2148.20,6.13
2169.69,6.08
2191.38,6.03
2213.30,5.98
2235.43,5.94
2257.78,5.91
2280.36,5.86
2303.17,5.83
2326.20,5.81
2349.46,5.78
2372.95,5.76
2396.68,5.74
2420.65,5.72
2444.86,5.71
2469.31,5.69
2494.00,5.69
2518.94,5.68
2544.13,5.69
2569.57,5.68
2595.27,5.70
2621.22,5.71
2647.43,5.73
2673.90,5.74
2700.64,5.77
2727.65,5.80
2754.93,5.84
2782.48,5.88
2810.30,5.92
2838.40,5.97
2866.79,6.03
2895.46,6.09
2924.41,6.15
2953.65,6.22
2983.19,6.29
3013.02,6.37
