frequency,raw
20.00,4.68
20.20,4.68
20.40,4.67
20.61,4.67
20.81,4.66
21.02,4.66
21.23,4.64
21.44,4.64
21.66,4.63
21.87,4.63
22.09,4.62
22.31,4.62
22.54,4.62
22.76,4.62
22.99,4.62
23.22,4.62
23.45,4.62
23.69,4.62
23.92,4.63
24.16,4.63
24.40,4.62
24.65,4.63
24.89,4.64
25.14,4.65
25.39,4.66
25.65,4.67
25.91,4.68
26.16,4.70
26.43,4.71
26.69,4.73
26.96,4.74
27.23,4.76
27.50,4.77
27.77,4.79
28.05,4.81
28.33,4.82
28.62,4.84
28.90,4.85
29.19,4.87
29.48,4.88
29.78,4.90
30.08,4.91
30.38,4.92
30.68,4.94
30.99,4.95
31.30,4.96
31.61,4.98
31.93,4.99
32.24,5.00
32.57,5.01
32.89,5.03
33.22,5.04
33.55,5.04
33.89,5.06
34.23,5.07
34.57,5.09
34.92,5.09
35.27,5.10
35.62,5.11
35.97,5.11
36.33,5.12
36.70,5.13
37.06,5.14
37.43,5.14
37.81,5.15
38.19,5.15
38.57,5.16
38.95,5.16
39.34,5.17
39.74,5.17
40.14,5.17
40.54,5.16
40.94,5.17
41.35,5.17
41.76,5.18
42.18,5.18
42.60,5.17
43.03,5.18
43.46,5.17
43.90,5.17
44.33,5.17
44.78,5.16
45.23,5.16
45.68,5.16
46.13,5.16
46.60,5.15
47.06,5.15
47.53,5.14
48.01,5.14
48.49,5.13
48.97,5.13
49.46,5.12
49.96,5.12
50.46,5.10
50.96,5.10
51.47,5.09
51.99,5.09
52.51,5.09
53.03,5.07
53.56,5.06
54.10,5.06
54.64,5.05
55.18,5.04
55.74,5.03
56.29,5.02
56.86,5.01
57.42,5.01
58.00,5.01
58.58,5.00
59.16,4.98
59.76,4.98
60.35,4.96
60.96,4.95
61.57,4.94
62.18,4.92
62.80,4.91
63.43,4.89
64.07,4.87
64.71,4.86
65.35,4.84
66.01,4.83
66.67,4.81
67.33,4.79
68.01,4.78
68.69,4.77
69.37,4.75
70.07,4.73
70.77,4.72
71.48,4.70
72.19,4.68
72.91,4.66
73.64,4.64
74.38,4.62
75.12,4.60
75.87,4.58
76.63,4.56
77.40,4.54
78.17,4.52
78.95,4.49
79.74,4.47
80.54,4.45
81.35,4.43
82.16,4.40
82.98,4.37
83.81,4.36
84.65,4.33
85.50,4.30
86.35,4.28
87.22,4.24
88.09,4.22
88.97,4.19
89.86,4.16
90.76,4.13
91.66,4.10
92.58,4.07
93.51,4.04
94.44,4.01
95.39,3.97
96.34,3.94
97.30,3.91
98.28,3.88
99.26,3.84
100.25,3.81
101.25,3.77
102.27,3.73
103.29,3.70
104.32,3.66
105.37,3.62
106.42,3.58
107.48,3.54
108.56,3.50
109.64,3.46
110.74,3.42
111.85,3.39
112.97,3.35
114.10,3.31
115.24,3.26
116.39,3.22
117.55,3.18
118.73,3.14
119.92,3.09
121.12,3.04
122.33,3.00
123.55,2.95
124.79,2.91
126.03,2.86
127.29,2.81
128.57,2.77
129.85,2.72
131.15,2.68
132.46,2.63
133.79,2.58
135.12,2.54
136.48,2.49
137.84,2.45
139.22,2.40
140.61,2.35
142.02,2.31
143.44,2.27
144.87,2.21
146.32,2.17
147.78,2.12
149.26,2.08
150.75,2.02
152.26,1.98
153.78,1.93
155.32,1.89
156.88,1.83
158.44,1.79
160.03,1.74
161.63,1.69
163.24,1.64
164.88,1.59
166.53,1.55
168.19,1.49
169.87,1.45
171.57,1.40
173.29,1.36
175.02,1.31
176.77,1.26
178.54,1.21
180.32,1.17
182.13,1.11
183.95,1.06
185.79,1.01
187.65,0.96
189.52,0.90
191.42,0.86
193.33,0.81
195.27,0.75
197.22,0.71
199.19,0.65
201.18,0.61
203.19,0.56
205.23,0.51
207.28,0.47
209.35,0.42
211.44,0.38
213.56,0.34
215.69,0.30
217.85,0.26
220.03,0.22
222.23,0.19
224.45,0.15
226.70,0.12
228.96,0.09
231.25,0.07
233.57,0.04
235.90,0.02
238.26,0.00
240.64,-0.01
243.05,-0.02
245.48,-0.04
247.93,-0.05
250.41,-0.05
252.92,-0.06
255.45,-0.07
258.00,-0.07
260.58,-0.07
263.19,-0.07
265.82,-0.06
268.48,-0.06
271.16,-0.05
273.87,-0.04
276.61,-0.02
279.38,-0.01
282.17,0.01
284.99,0.03
287.84,0.05
290.72,0.09
293.63,0.11
296.57,0.14
299.53,0.18
302.53,0.21
305.55,0.25
308.61,0.28
311.69,0.33
314.81,0.38
317.96,0.42
321.14,0.47
324.35,0.51
327.59,0.56
330.87,0.61
334.18,0.67
337.52,0.72
340.90,0.78
344.30,0.83
347.75,0.88
351.23,0.94
354.74,0.99
358.28,1.04
361.87,1.10
365.49,1.15
369.14,1.20
372.83,1.25
376.56,1.29
380.33,1.34
384.13,1.38
387.97,1.42
391.85,1.45
395.77,1.49
399.73,1.52
403.72,1.54
407.76,1.56
411.84,1.58
415.96,1.60
420.12,1.60
424.32,1.60
428.56,1.60
432.85,1.59
437.18,1.57
441.55,1.56
445.96,1.53
450.42,1.50
454.93,1.47
459.48,1.44
464.07,1.40
468.71,1.37
473.40,1.34
478.13,1.30
482.91,1.27
487.74,1.23
492.62,1.19
497.55,1.16
502.52,1.12
507.55,1.07
512.62,1.03
517.75,0.98
522.93,0.92
528.16,0.88
533.44,0.83
538.77,0.78
544.16,0.73
549.60,0.68
555.10,0.64
560.65,0.59
566.25,0.55
571.92,0.51
577.64,0.47
583.41,0.43
589.25,0.39
595.14,0.36
601.09,0.32
607.10,0.28
613.17,0.24
619.30,0.20
625.50,0.17
631.75,0.14
638.07,0.10
644.45,0.07
650.89,0.03
657.40,-0.01
663.98,-0.04
670.62,-0.07
677.32,-0.10
684.10,-0.13
690.94,-0.15
697.85,-0.18
704.83,-0.21
711.87,-0.22
718.99,-0.25
726.18,-0.27
733.44,-0.29
740.78,-0.31
748.19,-0.33
755.67,-0.35
763.23,-0.38
770.86,-0.39
778.57,-0.42
786.35,-0.44
794.22,-0.46
802.16,-0.49
810.18,-0.52
818.28,-0.55
826.46,-0.57
834.73,-0.59
843.08,-0.61
