frequency,raw
20,11.30
21,11.48
22,11.64
23,11.78
24,11.91
25,12.03
26,12.14
27,12.23
28,12.32
29,12.40
30,12.46
31,12.53
32,12.58
33,12.63
34,12.67
35,12.71
36,12.74
37,12.76
38,12.79
39,12.80
40,12.82
41,12.83
42,12.84
43,12.84
44,12.84
45,12.84
46,12.84
47,12.83
48,12.82
49,12.83
50,12.84
51,12.83
52,12.76
53,12.68
54,12.66
55,12.68
56,12.68
57,12.64
58,12.59
59,12.54
60,12.54
61,12.53
62,12.52
63,12.49
64,12.46
65,12.43
66,12.39
67,12.36
68,12.32
69,12.29
70,12.27
71,12.23
72,12.21
73,12.19
74,12.15
75,12.10
76,12.04
77,11.98
78,11.93
79,11.90
80,11.88
81,11.86
82,11.82
83,11.79
84,11.75
85,11.72
86,11.66
87,11.62
88,11.58
89,11.53
90,11.50
91,11.47
92,11.44
93,11.41
94,11.36
95,11.33
96,11.29
97,11.24
98,11.19
99,11.14
100,11.08
101,11.02
102,10.98
104,10.93
105,10.90
106,10.86
107,10.82
108,10.78
109,10.73
110,10.67
111,10.63
112,10.59
113,10.55
114,10.52
115,10.48
117,10.41
118,10.37
119,10.33
120,10.29
121,10.25
123,10.16
124,10.12
125,10.08
126,10.04
128,9.98
129,9.95
130,9.92
131,9.88
133,9.81
134,9.76
135,9.70
137,9.61
138,9.56
140,9.48
141,9.43
142,9.39
144,9.31
145,9.28
147,9.21
148,9.16
150,9.09
151,9.05
153,8.99
154,8.95
156,8.86
157,8.82
159,8.75
160,8.72
162,8.64
164,8.57
165,8.54
167,8.47
169,8.40
170,8.37
172,8.30
174,8.23
175,8.20
177,8.13
179,8.05
181,7.97
183,7.88
184,7.84
186,7.76
188,7.70
190,7.64
192,7.59
194,7.53
196,7.48
198,7.42
200,7.36
202,7.30
204,7.23
206,7.18
208,7.12
210,7.06
212,7.01
214,6.94
216,6.88
218,6.80
221,6.69
223,6.62
225,6.55
227,6.49
229,6.44
232,6.36
234,6.30
236,6.25
239,6.17
241,6.11
244,6.04
246,5.98
248,5.92
251,5.85
253,5.79
256,5.72
259,5.63
261,5.58
264,5.50
266,5.44
269,5.36
272,5.28
274,5.23
277,5.15
280,5.07
283,5.00
286,4.92
288,4.87
291,4.80
294,4.73
297,4.66
300,4.59
303,4.52
306,4.45
309,4.39
312,4.32
316,4.24
319,4.18
322,4.12
325,4.06
328,4.01
332,3.94
335,3.89
338,3.84
342,3.78
345,3.74
349,3.68
352,3.63
356,3.58
359,3.53
363,3.47
366,3.42
370,3.36
374,3.29
377,3.25
381,3.18
385,3.11
389,3.04
393,2.97
397,2.90
401,2.83
405,2.76
409,2.69
413,2.62
417,2.55
421,2.47
425,2.40
430,2.31
434,2.23
438,2.16
443,2.08
447,2.02
451,1.96
456,1.87
460,1.81
465,1.74
470,1.67
474,1.61
479,1.54
484,1.47
489,1.40
494,1.33
499,1.26
504,1.18
509,1.10
514,1.02
519,0.93
524,0.84
529,0.76
535,0.69
540,0.62
545,0.57
551,0.51
556,0.46
562,0.39
568,0.32
573,0.26
579,0.18
585,0.11
591,0.05
596,-0.01
602,-0.07
608,-0.13
615,-0.21
621,-0.29
627,-0.37
633,-0.45
639,-0.53
646,-0.61
652,-0.67
659,-0.72
665,-0.77
672,-0.83
679,-0.90
686,-0.98
692,-1.04
699,-1.12
706,-1.18
713,-1.24
721,-1.30
728,-1.35
735,-1.40
742,-1.46
750,-1.53
757,-1.60
765,-1.68
773,-1.74
780,-1.78
