frequency,raw
20.00,8.04
20.20,8.04
20.40,8.04
20.61,8.03
20.81,8.03
21.02,8.03
21.23,8.03
21.44,8.03
21.66,8.03
21.87,8.03
22.09,8.03
22.31,8.03
22.54,8.03
22.76,8.03
22.99,8.03
23.22,8.03
23.45,8.03
23.69,8.03
23.92,8.03
24.16,8.03
24.40,8.03
24.65,8.03
24.89,8.03
25.14,8.03
25.39,8.03
25.65,8.04
25.91,8.04
26.16,8.04
26.43,8.04
26.69,8.03
26.96,8.03
27.23,8.03
27.50,8.02
27.77,8.01
28.05,8.01
28.33,8.00
28.62,8.00
28.90,7.99
29.19,7.99
29.48,7.98
29.78,7.97
30.08,7.97
30.38,7.96
30.68,7.96
30.99,7.95
31.30,7.94
31.61,7.94
31.93,7.93
32.24,7.93
32.57,7.92
32.89,7.91
33.22,7.91
33.55,7.90
33.89,7.89
34.23,7.89
34.57,7.88
34.92,7.88
35.27,7.88
35.62,7.87
35.97,7.87
36.33,7.86
36.70,7.86
37.06,7.85
37.43,7.84
37.81,7.83
38.19,7.83
38.57,7.82
38.95,7.81
39.34,7.80
39.74,7.79
40.14,7.78
40.54,7.76
40.94,7.75
41.35,7.74
41.76,7.73
42.18,7.72
42.60,7.71
43.03,7.70
43.46,7.69
43.90,7.67
44.33,7.66
44.78,7.65
45.23,7.63
45.68,7.62
46.13,7.61
46.60,7.60
47.06,7.59
47.53,7.57
48.01,7.56
48.49,7.55
48.97,7.54
49.46,7.54
49.96,7.53
50.46,7.51
50.96,7.49
51.47,7.45
51.99,7.40
52.51,7.35
53.03,7.30
53.56,7.28
54.10,7.27
54.64,7.27
55.18,7.27
55.74,7.26
56.29,7.24
56.86,7.21
57.42,7.17
58.00,7.13
58.58,7.10
59.16,7.07
59.76,7.06
60.35,7.06
60.96,7.05
61.57,7.03
62.18,7.01
62.80,7.00
63.43,6.97
64.07,6.95
64.71,6.92
65.35,6.90
66.01,6.87
66.67,6.84
67.33,6.82
68.01,6.79
68.69,6.76
69.37,6.74
70.07,6.73
70.77,6.70
71.48,6.68
72.19,6.66
72.91,6.64
73.64,6.61
74.38,6.57
75.12,6.52
75.87,6.47
76.63,6.42
77.40,6.38
78.17,6.34
78.95,6.31
79.74,6.30
80.54,6.28
81.35,6.25
82.16,6.21
82.98,6.17
83.81,6.13
84.65,6.09
85.50,6.04
86.35,5.99
87.22,5.95
88.09,5.91
88.97,5.86
89.86,5.83
90.76,5.79
91.66,5.75
92.58,5.71
93.51,5.66
94.44,5.61
95.39,5.57
96.34,5.52
97.30,5.46
98.28,5.42
99.26,5.37
100.25,5.32
101.25,5.29
102.27,5.28
103.29,5.28
104.32,5.28
105.37,5.27
106.42,5.26
107.48,5.24
108.56,5.20
109.64,5.17
110.74,5.15
111.85,5.12
112.97,5.12
114.10,5.11
115.24,5.10
116.39,5.10
117.55,5.09
118.73,5.08
119.92,5.08
121.12,5.07
122.33,5.06
123.55,5.06
124.79,5.05
126.03,5.05
127.29,5.05
128.57,5.04
129.85,5.04
131.15,5.03
132.46,5.02
133.79,5.00
135.12,4.98
136.48,4.96
137.84,4.94
139.22,4.93
140.61,4.92
142.02,4.90
143.44,4.89
144.87,4.87
146.32,4.85
147.78,4.82
149.26,4.78
150.75,4.75
152.26,4.72
153.78,4.69
155.32,4.64
156.88,4.59
158.44,4.55
160.03,4.50
161.63,4.44
163.24,4.39
164.88,4.34
166.53,4.29
168.19,4.24
169.87,4.19
171.57,4.14
173.29,4.09
175.02,4.03
176.77,3.98
178.54,3.91
180.32,3.84
182.13,3.77
183.95,3.69
185.79,3.64
187.65,3.58
189.52,3.52
191.42,3.48
193.33,3.43
195.27,3.38
197.22,3.33
199.19,3.27
201.18,3.21
203.19,3.15
205.23,3.10
207.28,3.04
209.35,2.99
211.44,2.94
213.56,2.88
215.69,2.83
217.85,2.76
220.03,2.68
222.23,2.61
224.45,2.54
226.70,2.48
228.96,2.43
231.25,2.38
233.57,2.34
235.90,2.28
238.26,2.23
240.64,2.18
243.05,2.12
245.48,2.07
247.93,2.01
250.41,1.96
252.92,1.90
255.45,1.86
258.00,1.80
260.58,1.74
263.19,1.69
265.82,1.62
268.48,1.57
271.16,1.52
273.87,1.46
276.61,1.40
279.38,1.34
282.17,1.29
284.99,1.23
287.84,1.17
290.72,1.12
293.63,1.06
296.57,1.01
299.53,0.95
302.53,0.89
305.55,0.84
308.61,0.79
311.69,0.73
314.81,0.67
317.96,0.62
321.14,0.56
324.35,0.51
327.59,0.46
330.87,0.41
334.18,0.35
337.52,0.30
340.90,0.25
344.30,0.19
347.75,0.14
351.23,0.08
354.74,0.03
358.28,-0.03
361.87,-0.08
365.49,-0.13
369.14,-0.19
372.83,-0.24
376.56,-0.29
380.33,-0.35
384.13,-0.40
387.97,-0.45
391.85,-0.51
395.77,-0.56
399.73,-0.61
403.72,-0.66
407.76,-0.72
411.84,-0.78
415.96,-0.83
420.12,-0.88
424.32,-0.94
428.56,-0.99
432.85,-1.05
437.18,-1.11
441.55,-1.16
445.96,-1.21
450.42,-1.25
454.93,-1.30
459.48,-1.35
464.07,-1.39
468.71,-1.43
473.40,-1.48
478.13,-1.52
482.91,-1.56
487.74,-1.61
492.62,-1.65
497.55,-1.69
502.52,-1.74
507.55,-1.80
512.62,-1.85
517.75,-1.91
522.93,-1.98
528.16,-2.04
533.44,-2.09
538.77,-2.13
544.16,-2.16
549.60,-2.18
555.10,-2.20
560.65,-2.23
566.25,-2.27
571.92,-2.30
577.64,-2.32
583.41,-2.35
589.25,-2.37
595.14,-2.40
601.09,-2.41
607.10,-2.43
613.17,-2.44
619.30,-2.48
625.50,-2.51
631.75,-2.54
638.07,-2.58
644.45,-2.60
650.89,-2.62
657.40,-2.62
663.98,-2.62
670.62,-2.63
677.32,-2.65
684.10,-2.66
690.94,-2.69
697.85,-2.71
704.83,-2.72
711.87,-2.73
718.99,-2.72
726.18,-2.71
733.44,-2.71
740.78,-2.71
748.19,-2.72
755.67,-2.73
763.23,-2.74
770.86,-2.73
778.57,-2.72
786.35,-2.70
794.22,-2.68
802.16,-2.63
810.18,-2.59
818.28,-2.55
826.46,-2.50
834.73,-2.45
843.08,-2.38
851.51,-2.32
860.02,-2.25
868.62,-2.16
877.31,-2.08
886.08,-1.97
894.94,-1.87
903.89,-1.74
912.93,-1.60
922.06,-1.46
931.28,-1.32
940.59,-1.15
950.00,-0.97
959.50,-0.78
969.09,-0.59
978.78,-0.39
988.57,-0.21
998.46,-0.03
1008.44,0.15
1018.53,0.33
1028.71,0.49
1039.00,0.67
1049.39,0.86
1059.88,1.03
1070.48,1.21
1081.19,1.38
1092.00,1.54
1102.92,1.70
1113.95,1.86
1125.09,2.01
1136.34,2.14
1147.70,2.26
1159.18,2.36
1170.77,2.46
1182.48,2.55
1194.30,2.63
1206.25,2.71
1218.31,2.78
1230.49,2.85
1242.80,2.93
1255.22,3.00
1267.78,3.10
1280.45,3.18
1293.26,3.26
1306.19,3.33
1319.25,3.41
1332.45,3.47
1345.77,3.53
1359.23,3.60
1372.82,3.67
1386.55,3.77
1400.41,3.86
1414.42,3.96
1428.56,4.06
1442.85,4.13
1457.28,4.21
1471.85,4.28
1486.57,4.35
1501.43,4.44
1516.45,4.53
1531.61,4.63
1546.93,4.73
1562.40,4.83
1578.02,4.91
1593.80,4.99
1609.74,5.07
1625.84,5.15
1642.10,5.22
1658.52,5.29
1675.10,5.36
1691.85,5.44
1708.77,5.51
1725.86,5.60
1743.12,5.70
1760.55,5.80
1778.15,5.91
1795.94,6.02
1813.90,6.15
1832.03,6.27
1850.36,6.40
1868.86,6.54
1887.55,6.68
1906.42,6.83
1925.49,6.99
1944.74,7.16
1964.19,7.32
1983.83,7.50
2003.67,7.69
2023.71,7.88
2043.94,8.10
2064.38,8.32
2085.03,8.55
2105.88,8.78
2126.94,9.01
2148.20,9.26
2169.69,9.49
2191.38,9.72
2213.30,9.97
2235.43,10.21
2257.78,10.45
2280.36,10.72
2303.17,10.97
2326.20,11.21
2349.46,11.43
2372.95,11.64
2396.68,11.85
2420.65,12.05
2444.86,12.24
2469.31,12.44
2494.00,12.63
2518.94,12.82
2544.13,13.00
2569.57,13.14
2595.27,13.26
2621.22,13.34
2647.43,13.38
2673.90,13.37
2700.64,13.32
2727.65,13.23
2754.93,13.11
2782.48,12.96
2810.30,12.81
2838.40,12.64
2866.79,12.47
2895.46,12.30
2924.41,12.11
2953.65,11.92
2983.19,11.72
3013.02,11.49
3043.15,11.26
3073.58,11.02
3104.32,10.77
3135.36,10.52
3166.72,10.28
3198.38,10.01
3230.37,9.74
3262.67,9.47
3295.30,9.21
3328.25,8.97
3361.53,8.72
3395.15,8.49
3429.10,8.25
3463.39,8.04
3498.03,7.84
3533.01,7.64
3568.34,7.43
3604.02,7.21
3640.06,7.00
3676.46,6.79
3713.22,6.60
3750.36,6.42
3787.86,6.25
3825.74,6.08
3864.00,5.94
3902.64,5.81
3941.66,5.69
3981.08,5.56
4020.89,5.43
4061.10,5.31
4101.71,5.19
4142.73,5.07
4184.15,4.95
4226.00,4.86
4268.26,4.77
4310.94,4.69
4354.05,4.62
4397.59,4.58
4441.56,4.55
4485.98,4.56
4530.84,4.58
4576.15,4.60
4621.91,4.62
4668.13,4.65
4714.81,4.70
4761.96,4.75
4809.58,4.78
4857.67,4.81
4906.25,4.85
4955.31,4.88
5004.87,4.94
5054.91,5.00
5105.46,5.10
5156.52,5.24
5208.08,5.40
5260.16,5.58
5312.77,5.79
5365.89,6.03
5419.55,6.28
5473.75,6.55
5528.49,6.84
5583.77,7.15
5639.61,7.50
5696.00,7.89
5752.96,8.29
5810.49,8.72
5868.60,9.19
5927.28,9.70
5986.56,10.23
6046.42,10.83
6106.89,11.46
6167.96,12.11
6229.64,12.77
6291.93,13.38
6354.85,13.93
6418.40,14.36
6482.58,14.63
6547.41,14.76
6612.88,14.69
6679.01,14.39
6745.80,13.94
6813.26,13.35
6881.39,12.64
6950.21,11.88
7019.71,11.11
7089.91,10.34
7160.81,9.61
7232.41,8.93
7304.74,8.28
7377.79,7.66
7451.56,7.06
7526.08,6.50
7601.34,5.98
7677.35,5.51
7754.13,5.10
7831.67,4.74
7909.98,4.41
7989.08,4.11
8068.98,3.85
8149.67,3.60
8231.16,3.40
8313.47,3.27
8396.61,3.20
8480.57,3.16
8565.38,3.10
8651.03,3.00
8737.54,2.89
8824.92,2.82
8913.17,2.93
9002.30,3.01
9092.32,3.27
9183.25,3.73
9275.08,4.23
9367.83,4.74
9461.51,5.29
9556.12,5.87
9651.68,6.49
9748.20,7.15
9845.68,7.77
9944.14,8.31
10043.58,8.66
10144.02,8.76
10245.46,8.65
10347.91,8.24
10451.39,7.51
10555.91,6.64
10661.46,5.69
10768.08,4.65
10875.76,3.56
10984.52,2.48
11094.36,1.47
11205.31,0.51
11317.36,-0.31
11430.53,-0.83
11544.84,-1.70
11660.29,-2.95
11776.89,-3.63
11894.66,-4.25
12013.60,-4.86
12133.74,-5.18
12255.08,-5.65
12377.63,-6.15
12501.41,-6.56
12626.42,-6.88
12752.68,-7.12
12880.21,-7.33
13009.01,-7.47
13139.10,-7.58
13270.49,-7.62
13403.20,-7.51
13537.23,-7.31
13672.60,-7.07
13809.33,-6.82
13947.42,-6.47
14086.90,-6.04
14227.77,-5.50
14370.04,-4.84
14513.74,-4.06
14658.88,-3.21
14805.47,-2.30
14953.52,-1.43
15103.06,-0.66
15254.09,-0.17
15406.63,-0.05
15560.70,-0.26
15716.30,-0.91
15873.47,-1.93
16032.20,-3.15
16192.52,-4.52
16354.45,-5.91
16517.99,-7.26
16683.17,-8.53
16850.01,-9.65
17018.51,-10.64
17188.69,-11.55
17360.58,-12.31
17534.18,-12.96
17709.53,-13.53
17886.62,-14.00
18065.49,-14.38
18246.14,-14.68
18428.60,-14.89
18612.89,-15.01
18799.02,-15.05
18987.01,-15.00
19176.88,-14.83
19368.65,-14.57
19562.33,-14.21
19757.96,-13.69
19955.54,-13.03
