frequency,raw
20.00,0.02
20.20,0.09
20.40,0.16
20.61,0.23
20.81,0.30
21.02,0.37
21.23,0.43
21.44,0.49
21.66,0.56
21.87,0.62
22.09,0.69
22.31,0.75
22.54,0.81
22.76,0.87
22.99,0.93
23.22,0.99
23.45,1.05
23.69,1.11
23.92,1.17
24.16,1.24
24.40,1.31
24.65,1.38
24.89,1.45
25.14,1.52
25.39,1.58
25.65,1.64
25.91,1.71
26.16,1.76
26.43,1.82
26.69,1.87
26.96,1.92
27.23,1.98
27.50,2.04
27.77,2.10
28.05,2.16
28.33,2.23
28.62,2.29
28.90,2.36
29.19,2.42
29.48,2.47
29.78,2.53
30.08,2.58
30.38,2.63
30.68,2.69
30.99,2.74
31.30,2.79
31.61,2.84
31.93,2.90
32.24,2.95
32.57,3.01
32.89,3.06
33.22,3.11
33.55,3.16
33.89,3.21
34.23,3.26
34.57,3.31
34.92,3.36
35.27,3.41
35.62,3.46
35.97,3.51
36.33,3.56
36.70,3.61
37.06,3.66
37.43,3.71
37.81,3.76
38.19,3.80
38.57,3.85
38.95,3.89
39.34,3.94
39.74,3.99
40.14,4.04
40.54,4.08
40.94,4.12
41.35,4.17
41.76,4.21
42.18,4.26
42.60,4.30
43.03,4.34
43.46,4.38
43.90,4.42
44.33,4.46
44.78,4.50
45.23,4.54
45.68,4.58
46.13,4.62
46.60,4.66
47.06,4.70
47.53,4.74
48.01,4.78
48.49,4.82
48.97,4.87
49.46,4.92
49.96,4.97
50.46,5.01
50.96,5.05
51.47,5.05
51.99,5.06
52.51,5.06
53.03,5.06
53.56,5.09
54.10,5.13
54.64,5.18
55.18,5.23
55.74,5.28
56.29,5.31
56.86,5.33
57.42,5.34
58.00,5.35
58.58,5.37
59.16,5.39
59.76,5.43
60.35,5.47
60.96,5.52
61.57,5.56
62.18,5.60
62.80,5.63
63.43,5.66
64.07,5.68
64.71,5.71
65.35,5.73
66.01,5.75
66.67,5.77
67.33,5.79
68.01,5.82
68.69,5.84
69.37,5.87
70.07,5.89
70.77,5.92
71.48,5.95
72.19,5.98
72.91,6.02
73.64,6.03
74.38,6.04
75.12,6.04
75.87,6.05
76.63,6.05
77.40,6.06
78.17,6.07
78.95,6.09
79.74,6.12
80.54,6.15
81.35,6.18
82.16,6.19
82.98,6.22
83.81,6.24
84.65,6.25
85.50,6.26
86.35,6.27
87.22,6.28
88.09,6.29
88.97,6.30
89.86,6.33
90.76,6.35
91.66,6.36
92.58,6.38
93.51,6.40
94.44,6.42
95.39,6.43
96.34,6.44
97.30,6.44
98.28,6.44
99.26,6.44
100.25,6.43
101.25,6.43
102.27,6.45
103.29,6.47
104.32,6.49
105.37,6.51
106.42,6.52
107.48,6.52
108.56,6.52
109.64,6.52
110.74,6.52
111.85,6.53
112.97,6.54
114.10,6.55
115.24,6.57
116.39,6.58
117.55,6.60
118.73,6.60
119.92,6.61
121.12,6.60
122.33,6.60
123.55,6.61
124.79,6.61
126.03,6.61
127.29,6.62
128.57,6.63
129.85,6.64
131.15,6.65
132.46,6.65
133.79,6.64
135.12,6.63
136.48,6.62
137.84,6.60
139.22,6.59
140.61,6.58
142.02,6.58
143.44,6.57
144.87,6.58
146.32,6.58
147.78,6.57
149.26,6.56
150.75,6.56
152.26,6.56
153.78,6.56
155.32,6.55
156.88,6.53
158.44,6.52
160.03,6.52
161.63,6.51
163.24,6.50
164.88,6.50
166.53,6.49
168.19,6.49
169.87,6.48
171.57,6.47
173.29,6.46
175.02,6.45
176.77,6.44
178.54,6.42
180.32,6.40
182.13,6.37
183.95,6.33
185.79,6.31
187.65,6.29
189.52,6.27
191.42,6.27
193.33,6.26
195.27,6.25
197.22,6.24
199.19,6.23
201.18,6.21
203.19,6.19
205.23,6.17
207.28,6.16
209.35,6.15
211.44,6.14
213.56,6.12
215.69,6.11
217.85,6.08
220.03,6.05
222.23,6.02
224.45,6.00
226.70,5.98
228.96,5.98
231.25,5.97
233.57,5.96
235.90,5.95
238.26,5.94
240.64,5.93
243.05,5.92
245.48,5.91
247.93,5.89
250.41,5.87
252.92,5.86
255.45,5.84
258.00,5.82
260.58,5.79
263.19,5.77
265.82,5.74
268.48,5.72
271.16,5.69
273.87,5.66
276.61,5.63
279.38,5.61
282.17,5.57
284.99,5.54
287.84,5.51
290.72,5.47
293.63,5.43
296.57,5.40
299.53,5.37
302.53,5.33
305.55,5.30
308.61,5.26
311.69,5.22
314.81,5.18
317.96,5.14
321.14,5.10
324.35,5.06
327.59,5.02
330.87,4.97
334.18,4.93
337.52,4.89
340.90,4.84
344.30,4.80
347.75,4.75
351.23,4.70
354.74,4.65
358.28,4.60
361.87,4.55
365.49,4.51
369.14,4.45
372.83,4.40
376.56,4.35
380.33,4.29
384.13,4.23
387.97,4.18
391.85,4.13
395.77,4.07
399.73,4.01
403.72,3.95
407.76,3.89
411.84,3.83
415.96,3.77
420.12,3.70
424.32,3.64
428.56,3.58
432.85,3.52
437.18,3.45
441.55,3.40
445.96,3.34
450.42,3.30
454.93,3.24
459.48,3.19
464.07,3.14
468.71,3.09
473.40,3.04
478.13,2.98
482.91,2.92
487.74,2.87
492.62,2.81
497.55,2.75
502.52,2.67
507.55,2.59
512.62,2.51
517.75,2.42
522.93,2.33
528.16,2.24
533.44,2.15
538.77,2.08
544.16,2.00
549.60,1.94
555.10,1.86
560.65,1.79
566.25,1.70
571.92,1.61
577.64,1.52
583.41,1.43
589.25,1.34
595.14,1.24
601.09,1.15
607.10,1.06
613.17,0.97
619.30,0.86
625.50,0.75
631.75,0.63
638.07,0.53
644.45,0.44
650.89,0.36
657.40,0.31
663.98,0.28
670.62,0.23
677.32,0.19
684.10,0.14
690.94,0.11
697.85,0.06
704.83,0.03
711.87,-0.01
718.99,-0.04
726.18,-0.06
733.44,-0.10
740.78,-0.13
748.19,-0.17
755.67,-0.21
763.23,-0.26
770.86,-0.30
778.57,-0.33
786.35,-0.36
794.22,-0.38
802.16,-0.39
810.18,-0.40
818.28,-0.42
826.46,-0.43
834.73,-0.44
843.08,-0.45
851.51,-0.46
860.02,-0.46
868.62,-0.46
877.31,-0.46
886.08,-0.45
894.94,-0.44
903.89,-0.42
912.93,-0.40
922.06,-0.38
931.28,-0.36
940.59,-0.33
950.00,-0.29
959.50,-0.23
969.09,-0.18
