frequency,raw
20,4.89
21,5.04
22,5.20
23,5.31
24,5.39
25,5.46
26,5.54
27,5.60
28,5.67
29,5.72
30,5.77
31,5.83
32,5.87
33,5.90
34,5.93
35,5.99
36,6.07
37,6.13
38,6.15
39,6.16
40,6.15
41,6.14
42,6.12
43,6.12
44,6.12
45,6.13
46,6.15
47,6.17
48,6.20
49,6.23
50,6.28
51,6.29
52,6.23
53,6.16
54,6.15
55,6.18
56,6.20
57,6.15
58,6.06
59,5.98
60,5.95
61,5.94
62,5.93
63,5.90
64,5.85
65,5.79
66,5.72
67,5.64
68,5.57
69,5.49
70,5.43
71,5.37
72,5.31
73,5.25
74,5.18
75,5.08
76,4.97
77,4.87
78,4.77
79,4.68
80,4.62
81,4.54
82,4.46
83,4.38
84,4.29
85,4.21
86,4.12
87,4.04
88,3.97
89,3.90
90,3.85
91,3.79
92,3.74
93,3.69
94,3.62
95,3.57
96,3.50
97,3.43
98,3.35
99,3.27
100,3.16
101,3.06
102,2.97
104,2.80
105,2.72
106,2.63
107,2.53
108,2.43
109,2.32
110,2.21
111,2.10
112,2.00
113,1.91
114,1.82
115,1.73
117,1.56
118,1.48
119,1.38
120,1.30
121,1.21
123,1.04
124,0.96
125,0.89
126,0.81
128,0.68
129,0.62
130,0.56
131,0.50
133,0.37
134,0.29
135,0.21
137,0.06
138,-0.01
140,-0.16
141,-0.24
142,-0.31
144,-0.45
145,-0.50
147,-0.60
148,-0.66
150,-0.77
151,-0.82
153,-0.93
154,-0.98
156,-1.09
157,-1.15
159,-1.24
160,-1.28
162,-1.37
164,-1.44
165,-1.48
167,-1.55
169,-1.60
170,-1.63
172,-1.69
174,-1.74
175,-1.78
177,-1.83
179,-1.90
181,-1.98
183,-2.06
184,-2.10
186,-2.16
188,-2.20
190,-2.24
192,-2.26
194,-2.30
196,-2.32
198,-2.35
200,-2.38
202,-2.42
204,-2.46
206,-2.50
208,-2.53
210,-2.56
212,-2.58
214,-2.62
216,-2.65
218,-2.70
221,-2.76
223,-2.80
225,-2.83
227,-2.85
229,-2.86
232,-2.87
234,-2.87
236,-2.88
239,-2.88
241,-2.88
244,-2.87
246,-2.86
248,-2.86
251,-2.83
253,-2.82
256,-2.79
259,-2.76
261,-2.74
264,-2.71
266,-2.69
269,-2.67
272,-2.65
274,-2.64
277,-2.62
280,-2.59
283,-2.57
286,-2.55
288,-2.54
291,-2.52
294,-2.50
297,-2.48
300,-2.47
303,-2.46
306,-2.45
309,-2.44
312,-2.44
316,-2.43
319,-2.43
322,-2.43
325,-2.43
328,-2.43
332,-2.44
335,-2.45
338,-2.46
342,-2.47
345,-2.48
349,-2.50
352,-2.52
356,-2.55
359,-2.57
363,-2.60
366,-2.63
370,-2.67
374,-2.70
377,-2.73
381,-2.77
385,-2.82
389,-2.86
393,-2.91
397,-2.96
401,-3.01
405,-3.06
409,-3.11
413,-3.16
417,-3.20
421,-3.25
425,-3.29
430,-3.35
434,-3.39
438,-3.43
443,-3.47
447,-3.49
451,-3.52
456,-3.55
460,-3.58
465,-3.60
470,-3.61
474,-3.63
479,-3.64
484,-3.65
489,-3.66
494,-3.67
499,-3.68
504,-3.70
509,-3.72
514,-3.74
519,-3.78
524,-3.81
529,-3.84
535,-3.85
540,-3.87
545,-3.87
551,-3.86
556,-3.87
562,-3.87
568,-3.89
573,-3.90
579,-3.93
585,-3.96
591,-3.97
596,-3.99
602,-4.02
608,-4.04
615,-4.06
621,-4.07
627,-4.07
633,-4.07
639,-4.08
646,-4.07
652,-4.06
659,-4.03
665,-4.01
672,-3.98
679,-3.97
686,-3.96
692,-3.95
699,-3.93
706,-3.89
713,-3.85
721,-3.79
728,-3.73
735,-3.68
742,-3.63
750,-3.58
757,-3.54
765,-3.50
773,-3.45
780,-3.39
788,-3.31
796,-3.23
804,-3.14
812,-3.04
820,-2.94
828,-2.83
837,-2.70
845,-2.59
853,-2.46
862,-2.32
871,-2.17
879,-2.03
888,-1.87
897,-1.72
906,-1.56
915,-1.41
924,-1.25
933,-1.10
943,-0.92
952,-0.76
962,-0.58
971,-0.43
981,-0.27
991,-0.13
1001,0.01
1011,0.15
1021,0.28
1031,0.41
1041,0.55
1052,0.70
1062,0.83
1073,0.96
1084,1.09
1094,1.20
1105,1.31
1116,1.41
1128,1.50
1139,1.56
1150,1.60
1162,1.63
1173,1.66
1185,1.65
1197,1.65
1209,1.63
1221,1.63
1233,1.61
1246,1.61
1258,1.59
1271,1.58
1283,1.56
1296,1.53
1309,1.49
1322,1.44
1335,1.38
1349,1.34
1362,1.31
1376,1.30
1390,1.29
1404,1.29
1418,1.29
1432,1.30
1446,1.29
1461,1.29
1475,1.29
1490,1.31
1505,1.35
1520,1.40
1535,1.47
1550,1.55
1566,1.63
1582,1.71
1597,1.78
1613,1.85
1629,1.90
1646,1.95
1662,1.98
1679,2.01
1696,2.04
1713,2.07
1730,2.10
1747,2.13
1764,2.16
1782,2.17
1800,2.19
1818,2.21
1836,2.23
1854,2.26
1873,2.31
1892,2.36
1911,2.42
1930,2.48
1949,2.55
1969,2.63
1988,2.72
2008,2.83
2028,2.96
2048,3.13
2069,3.29
2090,3.48
2111,3.66
2132,3.84
2153,4.02
2175,4.27
2196,4.51
2218,4.79
2240,5.01
2263,5.24
2285,5.46
2308,5.68
2331,5.89
2355,6.09
2378,6.29
2402,6.51
2426,6.71
2450,6.91
2475,7.13
2500,7.32
2525,7.52
2550,7.69
2575,7.83
2601,7.96
2627,8.06
2653,8.15
2680,8.23
2707,8.30
2734,8.36
2761,8.43
2789,8.49
2817,8.60
2845,8.71
2873,8.83
2902,8.95
2931,9.04
2960,9.12
2990,9.20
3020,9.25
3050,9.30
3080,9.32
3111,9.32
3142,9.30
3174,9.26
3206,9.17
3238,9.06
3270,8.92
3303,8.76
3336,8.61
3369,8.44
3403,8.28
3437,8.12
3471,7.98
3506,7.84
3541,7.69
3576,7.54
3612,7.37
3648,7.22
3685,7.06
3721,6.94
3759,6.81
3796,6.69
3834,6.60
3873,6.53
3911,6.47
3950,6.43
3990,6.40
4030,6.38
4070,6.39
4111,6.43
4152,6.45
4193,6.46
4235,6.46
4278,6.41
4321,6.34
4364,6.23
4407,6.10
4451,5.96
4496,5.80
4541,5.60
4586,5.40
4632,5.18
4679,4.93
4725,4.70
4773,4.46
4820,4.21
4868,3.96
4917,3.72
4966,3.48
5016,3.25
5066,3.02
5117,2.80
5168,2.62
5220,2.44
5272,2.28
5325,2.12
5378,1.98
5432,1.84
5486,1.72
5541,1.61
5596,1.51
5652,1.46
5709,1.45
5766,1.45
5823,1.46
5882,1.53
5940,1.61
6000,1.70
6060,1.83
6120,1.94
6182,2.05
6244,2.11
6306,2.14
6369,2.12
6433,2.06
6497,2.00
6562,1.97
6628,1.95
6694,1.97
6761,2.03
6828,2.13
6897,2.26
6966,2.41
7035,2.59
7106,2.81
7177,3.09
7249,3.39
7321,3.68
7394,3.93
7468,4.15
7543,4.33
7618,4.46
7694,4.55
7771,4.60
7849,4.59
7928,4.48
8007,4.26
8087,3.95
8168,3.59
8250,3.21
8332,2.85
8415,2.47
8499,2.04
8584,1.51
8670,0.88
8757,0.13
8845,-0.72
8933,-1.78
9022,-3.07
9113,-4.22
9204,-5.13
9296,-5.98
9389,-6.75
9483,-7.52
9577,-8.33
9673,-9.14
9770,-9.88
9868,-10.52
9966,-11.09
10066,-11.58
10167,-11.97
10268,-12.27
10371,-12.48
10475,-12.61
10579,-12.63
10685,-12.57
10792,-12.40
10900,-12.13
11009,-11.77
11119,-11.36
11230,-10.94
11343,-10.38
11456,-9.43
11571,-8.51
11686,-8.01
11803,-7.88
11921,-7.98
12040,-8.32
12161,-8.90
12282,-9.51
12405,-10.08
12529,-10.58
12655,-11.04
12781,-11.49
12909,-12.03
13038,-12.65
13168,-13.34
13300,-14.05
13433,-14.65
13567,-15.16
13703,-15.57
13840,-15.90
13978,-16.20
14118,-16.50
14259,-16.80
14402,-17.10
14546,-17.40
14692,-17.71
14838,-18.01
14987,-18.32
15137,-18.62
15288,-18.92
15441,-19.22
15595,-19.53
15751,-19.84
15909,-20.14
16068,-20.44
16229,-20.74
16391,-21.05
16555,-21.35
16720,-21.67
16888,-21.98
17056,-22.28
17227,-22.60
17399,-22.90
17573,-23.21
17749,-23.51
17926,-23.82
18106,-24.13
18287,-24.43
18470,-24.74
18654,-25.04
18841,-25.34
19029,-25.65
19220,-25.96
19412,-26.27
19606,-26.57
19802,-26.89
20000,-27.19
