frequency,raw
20.00,10.38
20.20,10.44
20.40,10.49
20.61,10.55
20.81,10.61
21.02,10.67
21.23,10.72
21.44,10.77
21.66,10.83
21.87,10.88
22.09,10.93
22.31,10.98
22.54,11.02
22.76,11.07
22.99,11.12
23.22,11.16
23.45,11.21
23.69,11.25
23.92,11.30
24.16,11.34
24.40,11.38
24.65,11.42
24.89,11.46
25.14,11.50
25.39,11.53
25.65,11.56
25.91,11.60
26.16,11.63
26.43,11.66
26.69,11.69
26.96,11.72
27.23,11.74
27.50,11.77
27.77,11.79
28.05,11.81
28.33,11.84
28.62,11.86
28.90,11.88
29.19,11.90
29.48,11.92
29.78,11.94
30.08,11.95
30.38,11.97
30.68,11.98
30.99,11.99
31.30,12.00
31.61,12.01
31.93,12.02
32.24,12.02
32.57,12.03
32.89,12.04
33.22,12.04
33.55,12.05
33.89,12.05
34.23,12.05
34.57,12.05
34.92,12.05
35.27,12.04
35.62,12.04
35.97,12.03
36.33,12.02
36.70,12.02
37.06,12.01
37.43,12.00
37.81,11.99
38.19,11.98
38.57,11.97
38.95,11.95
39.34,11.94
39.74,11.92
40.14,11.90
40.54,11.89
40.94,11.87
41.35,11.85
41.76,11.82
42.18,11.80
42.60,11.78
43.03,11.76
43.46,11.73
43.90,11.71
44.33,11.68
44.78,11.65
45.23,11.62
45.68,11.59
46.13,11.56
46.60,11.53
47.06,11.50
47.53,11.46
48.01,11.43
48.49,11.40
48.97,11.37
49.46,11.35
49.96,11.32
50.46,11.29
50.96,11.25
51.47,11.19
51.99,11.13
52.51,11.06
53.03,10.99
53.56,10.96
54.10,10.93
54.64,10.91
55.18,10.89
55.74,10.87
56.29,10.84
56.86,10.80
57.42,10.75
58.00,10.69
58.58,10.64
59.16,10.60
59.76,10.58
60.35,10.55
60.96,10.52
61.57,10.50
62.18,10.47
62.80,10.44
63.43,10.40
64.07,10.36
64.71,10.32
65.35,10.28
66.01,10.23
66.67,10.19
67.33,10.15
68.01,10.10
68.69,10.06
69.37,10.02
70.07,10.00
70.77,9.95
71.48,9.92
72.19,9.89
72.91,9.86
73.64,9.82
74.38,9.77
75.12,9.72
75.87,9.66
76.63,9.61
77.40,9.56
78.17,9.51
78.95,9.47
79.74,9.45
80.54,9.42
81.35,9.40
82.16,9.36
82.98,9.32
83.81,9.29
84.65,9.25
85.50,9.21
86.35,9.16
87.22,9.12
88.09,9.09
88.97,9.04
89.86,9.01
90.76,8.98
91.66,8.95
92.58,8.92
93.51,8.89
94.44,8.85
95.39,8.81
96.34,8.77
97.30,8.72
98.28,8.68
99.26,8.63
100.25,8.58
101.25,8.53
102.27,8.50
103.29,8.48
104.32,8.46
105.37,8.43
106.42,8.40
107.48,8.37
108.56,8.32
109.64,8.27
110.74,8.23
111.85,8.19
112.97,8.16
114.10,8.13
115.24,8.10
116.39,8.08
117.55,8.05
118.73,8.01
119.92,7.97
121.12,7.93
122.33,7.88
123.55,7.84
124.79,7.81
126.03,7.77
127.29,7.74
128.57,7.71
129.85,7.68
131.15,7.64
132.46,7.60
133.79,7.56
135.12,7.49
136.48,7.44
137.84,7.38
139.22,7.33
140.61,7.28
142.02,7.23
143.44,7.18
144.87,7.13
146.32,7.09
147.78,7.04
149.26,6.99
150.75,6.93
152.26,6.88
153.78,6.83
155.32,6.77
156.88,6.70
158.44,6.65
160.03,6.60
161.63,6.53
163.24,6.48
164.88,6.42
166.53,6.37
168.19,6.31
169.87,6.25
171.57,6.19
173.29,6.14
175.02,6.08
176.77,6.02
178.54,5.96
180.32,5.88
182.13,5.80
183.95,5.72
185.79,5.65
187.65,5.59
189.52,5.53
191.42,5.48
193.33,5.43
195.27,5.38
197.22,5.33
199.19,5.27
201.18,5.21
203.19,5.15
205.23,5.09
207.28,5.03
209.35,4.98
211.44,4.93
213.56,4.86
215.69,4.80
217.85,4.72
220.03,4.64
222.23,4.57
224.45,4.50
226.70,4.43
228.96,4.38
231.25,4.33
233.57,4.27
235.90,4.20
238.26,4.15
240.64,4.08
243.05,4.02
245.48,3.96
247.93,3.88
250.41,3.82
252.92,3.75
255.45,3.68
258.00,3.62
260.58,3.54
263.19,3.47
265.82,3.40
268.48,3.33
271.16,3.26
273.87,3.20
276.61,3.13
279.38,3.07
282.17,3.01
284.99,2.94
287.84,2.88
290.72,2.83
293.63,2.78
296.57,2.72
299.53,2.67
302.53,2.62
305.55,2.57
308.61,2.52
311.69,2.47
314.81,2.42
317.96,2.37
321.14,2.33
324.35,2.29
327.59,2.25
330.87,2.20
334.18,2.15
337.52,2.11
340.90,2.07
344.30,2.03
347.75,1.99
351.23,1.95
354.74,1.91
358.28,1.87
361.87,1.82
365.49,1.79
369.14,1.74
372.83,1.70
376.56,1.66
380.33,1.63
384.13,1.58
387.97,1.54
391.85,1.50
395.77,1.46
399.73,1.41
403.72,1.37
407.76,1.32
411.84,1.27
415.96,1.22
420.12,1.17
424.32,1.11
428.56,1.06
432.85,1.00
437.18,0.94
441.55,0.89
445.96,0.84
450.42,0.79
454.93,0.73
459.48,0.69
464.07,0.64
468.71,0.59
473.40,0.54
478.13,0.49
482.91,0.43
487.74,0.38
492.62,0.33
497.55,0.28
502.52,0.23
507.55,0.17
512.62,0.10
517.75,0.03
522.93,-0.05
528.16,-0.11
533.44,-0.16
538.77,-0.23
544.16,-0.26
549.60,-0.30
555.10,-0.34
560.65,-0.38
566.25,-0.43
571.92,-0.47
577.64,-0.52
583.41,-0.57
589.25,-0.61
595.14,-0.64
601.09,-0.68
607.10,-0.72
613.17,-0.77
619.30,-0.82
625.50,-0.89
631.75,-0.94
638.07,-0.99
644.45,-1.03
650.89,-1.06
657.40,-1.08
663.98,-1.09
670.62,-1.10
677.32,-1.12
684.10,-1.13
690.94,-1.15
697.85,-1.16
704.83,-1.15
711.87,-1.14
718.99,-1.12
726.18,-1.09
733.44,-1.06
740.78,-1.04
748.19,-1.02
755.67,-1.01
763.23,-1.00
770.86,-0.98
778.57,-0.95
786.35,-0.92
794.22,-0.88
802.16,-0.83
810.18,-0.80
818.28,-0.76
826.46,-0.73
834.73,-0.70
843.08,-0.67
851.51,-0.64
860.02,-0.62
868.62,-0.60
877.31,-0.58
886.08,-0.56
894.94,-0.54
903.89,-0.52
912.93,-0.49
922.06,-0.46
931.28,-0.44
940.59,-0.39
950.00,-0.34
959.50,-0.28
969.09,-0.21
978.78,-0.15
988.57,-0.08
998.46,-0.01
1008.44,0.05
1018.53,0.13
1028.71,0.20
1039.00,0.28
1049.39,0.37
1059.88,0.46
1070.48,0.56
1081.19,0.65
1092.00,0.74
1102.92,0.83
1113.95,0.92
1125.09,1.01
1136.34,1.08
1147.70,1.13
1159.18,1.17
1170.77,1.21
1182.48,1.25
1194.30,1.28
1206.25,1.31
1218.31,1.34
1230.49,1.37
1242.80,1.40
1255.22,1.44
1267.78,1.50
1280.45,1.54
1293.26,1.58
1306.19,1.61
1319.25,1.64
1332.45,1.64
1345.77,1.64
1359.23,1.66
1372.82,1.67
1386.55,1.69
1400.41,1.73
1414.42,1.75
1428.56,1.78
1442.85,1.80
1457.28,1.80
1471.85,1.79
1486.57,1.80
1501.43,1.81
1516.45,1.83
1531.61,1.86
1546.93,1.89
1562.40,1.92
1578.02,1.95
1593.80,1.98
1609.74,1.99
1625.84,2.01
1642.10,2.04
1658.52,2.05
1675.10,2.07
1691.85,2.09
1708.77,2.12
1725.86,2.14
1743.12,2.18
1760.55,2.21
1778.15,2.25
1795.94,2.28
1813.90,2.31
1832.03,2.34
1850.36,2.35
1868.86,2.37
1887.55,2.39
1906.42,2.41
1925.49,2.42
1944.74,2.44
1964.19,2.45
1983.83,2.47
2003.67,2.49
2023.71,2.52
2043.94,2.58
2064.38,2.62
2085.03,2.68
2105.88,2.71
2126.94,2.75
2148.20,2.78
2169.69,2.79
2191.38,2.79
2213.30,2.81
2235.43,2.80
2257.78,2.81
2280.36,2.83
2303.17,2.84
2326.20,2.85
2349.46,2.85
2372.95,2.85
2396.68,2.87
2420.65,2.90
2444.86,2.94
2469.31,3.03
2494.00,3.13
2518.94,3.25
2544.13,3.39
2569.57,3.54
2595.27,3.69
2621.22,3.83
2647.43,3.95
2673.90,4.07
2700.64,4.16
2727.65,4.26
2754.93,4.36
2782.48,4.46
2810.30,4.59
2838.40,4.74
2866.79,4.92
2895.46,5.15
2924.41,5.37
2953.65,5.60
2983.19,5.85
3013.02,6.09
3043.15,6.32
3073.58,6.54
3104.32,6.75
3135.36,6.96
3166.72,7.15
3198.38,7.32
3230.37,7.47
3262.67,7.62
3295.30,7.75
3328.25,7.89
3361.53,8.01
3395.15,8.11
3429.10,8.19
3463.39,8.27
3498.03,8.32
3533.01,8.32
3568.34,8.30
3604.02,8.23
3640.06,8.13
3676.46,8.00
3713.22,7.87
3750.36,7.72
3787.86,7.56
3825.74,7.39
3864.00,7.24
3902.64,7.08
3941.66,6.93
3981.08,6.78
4020.89,6.59
4061.10,6.41
4101.71,6.22
4142.73,6.02
4184.15,5.81
4226.00,5.62
4268.26,5.43
4310.94,5.23
4354.05,5.04
4397.59,4.87
4441.56,4.70
4485.98,4.54
4530.84,4.37
4576.15,4.18
4621.91,3.99
4668.13,3.77
4714.81,3.55
4761.96,3.31
4809.58,3.04
4857.67,2.75
4906.25,2.46
4955.31,2.16
5004.87,1.86
5054.91,1.58
5105.46,1.32
5156.52,1.10
5208.08,0.91
5260.16,0.73
5312.77,0.57
5365.89,0.42
5419.55,0.27
5473.75,0.12
5528.49,-0.03
5583.77,-0.18
5639.61,-0.33
5696.00,-0.47
5752.96,-0.61
5810.49,-0.75
5868.60,-0.87
5927.28,-0.99
5986.56,-1.09
6046.42,-1.15
6106.89,-1.19
6167.96,-1.22
6229.64,-1.23
6291.93,-1.23
6354.85,-1.25
6418.40,-1.26
6482.58,-1.27
6547.41,-1.26
6612.88,-1.25
6679.01,-1.24
6745.80,-1.23
6813.26,-1.21
6881.39,-1.17
6950.21,-1.09
7019.71,-0.97
7089.91,-0.78
7160.81,-0.48
7232.41,-0.11
7304.74,0.36
7377.79,0.91
7451.56,1.51
7526.08,2.22
7601.34,3.01
7677.35,3.88
7754.13,4.80
7831.67,5.77
7909.98,6.70
7989.08,7.58
8068.98,8.28
8149.67,8.82
8231.16,9.19
8313.47,9.32
8396.61,9.24
8480.57,9.02
8565.38,8.59
8651.03,8.04
8737.54,7.42
8824.92,6.86
8913.17,6.48
9002.30,6.11
9092.32,5.92
9183.25,5.92
9275.08,5.92
9367.83,5.89
9461.51,5.83
9556.12,5.78
9651.68,5.75
9748.20,5.76
9845.68,5.80
9944.14,5.86
10043.58,5.90
10144.02,5.93
10245.46,5.96
10347.91,5.94
10451.39,5.87
10555.91,5.81
10661.46,5.79
10768.08,5.74
10875.76,5.66
10984.52,5.55
11094.36,5.43
11205.31,5.29
11317.36,5.22
11430.53,5.40
11544.84,5.19
11660.29,4.61
11776.89,4.65
11894.66,4.84
