frequency,raw
20.00,16.93
20.20,16.97
20.40,17.00
20.61,17.04
20.81,17.08
21.02,17.11
21.23,17.15
21.44,17.18
21.66,17.22
21.87,17.25
22.09,17.28
22.31,17.31
22.54,17.35
22.76,17.38
22.99,17.41
23.22,17.44
23.45,17.47
23.69,17.50
23.92,17.53
24.16,17.56
24.40,17.58
24.65,17.61
24.89,17.64
25.14,17.66
25.39,17.69
25.65,17.71
25.91,17.73
26.16,17.75
26.43,17.77
26.69,17.79
26.96,17.81
27.23,17.83
27.50,17.85
27.77,17.86
28.05,17.88
28.33,17.90
28.62,17.91
28.90,17.93
29.19,17.94
29.48,17.94
29.78,17.95
30.08,17.96
30.38,17.97
30.68,17.98
30.99,17.99
31.30,17.99
31.61,18.00
31.93,18.00
32.24,18.00
32.57,18.01
32.89,18.01
33.22,18.01
33.55,18.01
33.89,18.01
34.23,18.01
34.57,18.00
34.92,18.00
35.27,17.99
35.62,17.99
35.97,17.98
36.33,17.97
36.70,17.96
37.06,17.95
37.43,17.94
37.81,17.93
38.19,17.91
38.57,17.90
38.95,17.88
39.34,17.86
39.74,17.84
40.14,17.82
40.54,17.80
40.94,17.78
41.35,17.76
41.76,17.74
42.18,17.72
42.60,17.69
43.03,17.67
43.46,17.64
43.90,17.61
44.33,17.58
44.78,17.55
45.23,17.51
45.68,17.48
46.13,17.45
46.60,17.42
47.06,17.39
47.53,17.35
48.01,17.31
48.49,17.28
48.97,17.24
49.46,17.21
49.96,17.18
50.46,17.14
50.96,17.10
51.47,17.03
51.99,16.96
52.51,16.88
53.03,16.80
53.56,16.75
54.10,16.70
54.64,16.67
55.18,16.64
55.74,16.60
56.29,16.54
56.86,16.48
57.42,16.40
58.00,16.33
58.58,16.25
59.16,16.19
59.76,16.15
60.35,16.11
60.96,16.06
61.57,16.01
62.18,15.96
62.80,15.91
63.43,15.85
64.07,15.78
64.71,15.72
65.35,15.65
66.01,15.58
66.67,15.51
67.33,15.45
68.01,15.38
68.69,15.30
69.37,15.24
70.07,15.17
70.77,15.10
71.48,15.04
72.19,14.98
72.91,14.92
73.64,14.85
74.38,14.76
75.12,14.67
75.87,14.58
76.63,14.48
77.40,14.40
78.17,14.31
78.95,14.23
79.74,14.18
80.54,14.11
81.35,14.04
82.16,13.96
82.98,13.88
83.81,13.81
84.65,13.73
85.50,13.65
86.35,13.55
87.22,13.47
88.09,13.38
88.97,13.29
89.86,13.22
90.76,13.14
91.66,13.07
92.58,12.99
93.51,12.90
94.44,12.82
95.39,12.74
96.34,12.65
97.30,12.55
98.28,12.46
99.26,12.36
100.25,12.25
101.25,12.16
102.27,12.08
103.29,12.00
104.32,11.93
105.37,11.85
106.42,11.77
107.48,11.68
108.56,11.58
109.64,11.48
110.74,11.38
111.85,11.29
112.97,11.21
114.10,11.12
115.24,11.04
116.39,10.96
117.55,10.88
118.73,10.79
119.92,10.70
