frequency,raw
20,-3.28
21,-3.13
22,-2.95
23,-2.78
24,-2.62
25,-2.46
26,-2.30
27,-2.14
28,-1.99
29,-1.86
30,-1.74
31,-1.65
32,-1.58
33,-1.52
34,-1.46
35,-1.39
36,-1.32
37,-1.25
38,-1.18
39,-1.11
40,-1.04
41,-0.98
42,-0.92
43,-0.86
44,-0.80
45,-0.74
46,-0.69
47,-0.63
48,-0.59
49,-0.54
50,-0.50
51,-0.47
52,-0.44
53,-0.40
54,-0.37
55,-0.34
56,-0.31
57,-0.27
58,-0.24
59,-0.20
60,-0.17
61,-0.13
62,-0.08
63,-0.03
64,0.02
65,0.05
66,0.08
67,0.09
68,0.09
69,0.09
70,0.09
71,0.10
72,0.11
73,0.12
74,0.15
75,0.16
76,0.16
77,0.15
78,0.14
79,0.14
80,0.15
81,0.15
82,0.15
83,0.14
84,0.14
85,0.13
86,0.11
87,0.10
88,0.09
89,0.09
90,0.08
91,0.07
92,0.06
93,0.04
94,0.04
95,0.02
96,0.01
97,0.01
98,-0.01
99,-0.03
100,-0.05
101,-0.07
102,-0.10
104,-0.14
105,-0.15
106,-0.16
107,-0.16
108,-0.16
109,-0.16
110,-0.17
111,-0.18
112,-0.20
113,-0.21
114,-0.23
115,-0.24
117,-0.29
118,-0.31
119,-0.32
120,-0.32
121,-0.32
123,-0.32
124,-0.31
125,-0.32
126,-0.33
128,-0.37
129,-0.40
130,-0.43
131,-0.44
133,-0.46
134,-0.45
135,-0.44
137,-0.45
138,-0.47
140,-0.51
141,-0.54
142,-0.57
144,-0.61
145,-0.63
147,-0.64
148,-0.64
150,-0.64
151,-0.65
153,-0.67
154,-0.69
156,-0.74
157,-0.75
159,-0.79
160,-0.80
162,-0.81
164,-0.81
165,-0.82
167,-0.83
169,-0.87
170,-0.88
172,-0.93
174,-0.97
175,-0.99
177,-1.04
179,-1.08
181,-1.12
183,-1.16
184,-1.17
186,-1.18
188,-1.20
190,-1.22
192,-1.26
194,-1.30
196,-1.36
198,-1.41
200,-1.46
202,-1.51
204,-1.55
206,-1.58
208,-1.63
210,-1.65
212,-1.68
214,-1.70
216,-1.73
218,-1.75
221,-1.78
223,-1.82
225,-1.85
227,-1.87
229,-1.90
232,-1.92
234,-1.93
236,-1.93
239,-1.93
241,-1.93
244,-1.93
246,-1.93
248,-1.94
251,-1.94
253,-1.95
256,-1.96
259,-1.96
261,-1.97
264,-1.98
266,-1.99
269,-2.00
272,-2.01
274,-2.02
277,-2.03
280,-2.05
283,-2.06
286,-2.07
288,-2.08
291,-2.10
294,-2.11
297,-2.13
300,-2.14
303,-2.16
306,-2.17
309,-2.19
312,-2.21
316,-2.23
319,-2.25
322,-2.27
325,-2.29
328,-2.31
332,-2.33
335,-2.36
338,-2.38
342,-2.41
345,-2.43
349,-2.46
