frequency,raw
20,16.65
21,16.86
22,17.11
23,17.23
24,17.24
25,17.17
26,16.96
27,16.76
28,16.61
29,16.41
30,16.14
31,15.82
32,15.49
33,15.16
34,14.81
35,14.45
36,14.09
37,13.72
38,13.38
39,13.11
40,13.00
41,13.08
42,13.22
43,13.30
44,13.28
45,13.17
46,13.02
47,12.86
48,12.67
49,12.50
50,12.33
51,12.17
52,12.01
53,11.85
54,11.70
55,11.56
56,11.41
57,11.28
58,11.17
59,11.03
60,10.87
61,10.77
62,10.66
63,10.55
64,10.46
65,10.34
66,10.23
67,10.10
68,9.97
69,9.85
70,9.74
71,9.63
72,9.53
73,9.44
74,9.36
75,9.26
76,9.15
77,9.05
78,8.96
79,8.86
80,8.78
81,8.70
82,8.61
83,8.53
84,8.45
85,8.36
86,8.27
87,8.18
88,8.10
89,8.03
90,7.95
91,7.87
92,7.81
93,7.73
94,7.68
95,7.62
96,7.56
97,7.52
98,7.47
99,7.42
100,7.38
101,7.33
102,7.28
104,7.19
105,7.16
106,7.13
107,7.11
108,7.08
109,7.06
110,7.03
111,7.00
112,6.96
113,6.92
114,6.87
115,6.83
117,6.72
118,6.66
119,6.62
120,6.58
121,6.55
123,6.50
124,6.48
125,6.43
126,6.39
128,6.28
129,6.22
130,6.16
131,6.11
133,6.03
134,6.01
135,5.99
137,5.93
138,5.89
140,5.80
141,5.76
142,5.71
144,5.63
145,5.59
147,5.54
148,5.53
150,5.49
151,5.46
153,5.40
154,5.35
156,5.26
157,5.22
159,5.14
160,5.11
162,5.05
164,5.01
165,4.97
167,4.91
169,4.84
170,4.81
172,4.72
174,4.64
175,4.61
177,4.53
179,4.45
181,4.38
183,4.34
184,4.31
186,4.28
188,4.25
190,4.20
192,4.15
194,4.09
196,4.02
198,3.96
200,3.90
202,3.84
204,3.80
206,3.77
208,3.73
210,3.71
212,3.68
214,3.66
216,3.64
218,3.62
221,3.58
223,3.54
225,3.50
227,3.45
229,3.41
232,3.35
234,3.31
236,3.28
239,3.24
241,3.22
244,3.17
246,3.13
248,3.10
251,3.04
253,3.01
256,2.97
259,2.93
261,2.91
264,2.87
266,2.84
269,2.80
272,2.76
274,2.74
277,2.70
280,2.66
283,2.62
286,2.58
288,2.55
291,2.51
294,2.46
297,2.42
300,2.37
303,2.32
306,2.27
309,2.22
312,2.17
316,2.11
319,2.06
322,2.02
325,1.97
328,1.92
332,1.86
335,1.81
338,1.76
342,1.70
345,1.65
349,1.59
352,1.54
356,1.48
359,1.44
363,1.38
366,1.34
370,1.29
374,1.24
377,1.19
381,1.14
385,1.09
389,1.04
393,0.98
397,0.93
401,0.89
405,0.84
409,0.79
413,0.74
417,0.69
421,0.64
425,0.60
430,0.54
434,0.49
438,0.45
443,0.39
447,0.34
451,0.31
456,0.30
460,0.29
465,0.29
470,0.29
474,0.27
479,0.25
484,0.20
489,0.15
494,0.11
499,0.08
504,0.05
509,0.03
514,0.02
519,0.01
524,-0.01
529,-0.04
535,-0.07
540,-0.10
545,-0.12
551,-0.16
556,-0.18
562,-0.22
568,-0.26
573,-0.28
579,-0.32
585,-0.35
591,-0.39
596,-0.43
602,-0.48
608,-0.52
615,-0.58
621,-0.64
627,-0.68
633,-0.74
639,-0.80
646,-0.87
652,-0.92
659,-1.00
665,-1.07
672,-1.15
679,-1.24
686,-1.34
692,-1.42
699,-1.52
706,-1.60
713,-1.69
721,-1.78
728,-1.84
735,-1.89
742,-1.91
750,-1.92
757,-1.92
765,-1.91
773,-1.89
780,-1.87
788,-1.81
796,-1.75
804,-1.69
812,-1.61
820,-1.52
828,-1.44
837,-1.32
845,-1.22
853,-1.11
862,-1.02
871,-0.95
879,-0.94
888,-0.96
897,-1.01
906,-1.05
915,-1.06
924,-1.04
933,-0.95
943,-0.80
952,-0.65
962,-0.51
971,-0.39
981,-0.27
991,-0.13
1001,0.01
1011,0.17
1021,0.30
1031,0.41
1041,0.49
1052,0.57
1062,0.60
1073,0.60
1084,0.58
1094,0.57
1105,0.57
1116,0.58
1128,0.59
1139,0.60
1150,0.64
1162,0.69
1173,0.74
1185,0.79
1197,0.83
1209,0.88
1221,0.88
1233,0.84
1246,0.74
1258,0.62
1271,0.52
1283,0.48
1296,0.43
1309,0.34
1322,0.18
1335,0.02
1349,-0.12
1362,-0.25
1376,-0.43
1390,-0.66
1404,-0.92
1418,-1.19
1432,-1.46
1446,-1.72
1461,-1.96
1475,-2.09
1490,-2.20
1505,-2.35
1520,-2.58
1535,-2.86
1550,-3.16
1566,-3.46
1582,-3.72
1597,-3.94
1613,-4.17
1629,-4.39
1646,-4.61
1662,-4.79
1679,-4.96
1696,-5.12
1713,-5.27
1730,-5.41
1747,-5.53
1764,-5.62
1782,-5.70
1800,-5.75
1818,-5.80
1836,-5.85
1854,-5.88
1873,-5.90
1892,-5.90
1911,-5.89
1930,-5.86
1949,-5.80
1969,-5.70
1988,-5.58
2008,-5.44
2028,-5.31
2048,-5.19
2069,-5.06
2090,-4.91
2111,-4.73
2132,-4.52
2153,-4.30
2175,-4.09
2196,-3.97
2218,-3.96
2240,-3.89
2263,-3.66
2285,-3.42
2308,-3.23
2331,-3.10
2355,-2.77
2378,-2.29
2402,-1.77
2426,-1.29
2450,-0.84
2475,-0.42
2500,-0.03
2525,0.35
2550,0.74
2575,1.12
2601,1.54
2627,1.95
2653,2.32
2680,2.67
2707,3.00
2734,3.30
2761,3.61
2789,3.92
2817,4.20
2845,4.46
2873,4.66
2902,4.81
2931,4.90
2960,4.91
2990,4.86
3020,4.77
3050,4.66
3080,4.49
3111,4.26
3142,3.97
3174,3.59
3206,3.18
3238,2.74
3270,2.27
3303,1.75
3336,1.21
3369,0.68
3403,0.13
3437,-0.44
3471,-1.01
3506,-1.53
3541,-2.01
3576,-2.33
3612,-2.46
3648,-2.35
3685,-2.11
3721,-1.88
3759,-1.75
3796,-1.76
3834,-1.89
3873,-2.08
3911,-2.15
3950,-1.99
3990,-1.88
4030,-2.11
4070,-2.52
4111,-2.88
4152,-3.18
4193,-3.46
4235,-3.71
4278,-3.94
4321,-4.10
4364,-4.24
4407,-4.34
4451,-4.24
4496,-3.84
4541,-3.09
4586,-2.25
4632,-1.55
4679,-1.19
4725,-1.11
4773,-1.21
4820,-1.30
4868,-1.35
4917,-1.36
4966,-1.34
5016,-1.31
5066,-1.24
5117,-1.15
5168,-1.03
5220,-0.86
5272,-0.64
5325,-0.31
5378,0.12
5432,0.65
5486,1.21
5541,1.81
5596,2.38
5652,2.91
