frequency,raw
20.00,-0.27
20.20,-0.25
20.40,-0.23
20.61,-0.20
20.81,-0.18
21.02,-0.16
21.23,-0.13
21.44,-0.10
21.66,-0.07
21.87,-0.04
22.09,-0.01
22.31,0.02
22.54,0.05
22.76,0.07
22.99,0.10
23.22,0.12
23.45,0.15
23.69,0.17
23.92,0.19
24.16,0.22
24.40,0.24
24.65,0.27
24.89,0.30
25.14,0.33
25.39,0.35
25.65,0.38
25.91,0.41
26.16,0.44
26.43,0.47
26.69,0.50
26.96,0.53
27.23,0.56
27.50,0.59
27.77,0.62
28.05,0.65
28.33,0.67
28.62,0.70
28.90,0.73
29.19,0.76
29.48,0.78
29.78,0.81
30.08,0.84
30.38,0.86
30.68,0.89
30.99,0.92
31.30,0.94
31.61,0.96
31.93,0.98
32.24,0.99
32.57,1.01
32.89,1.02
33.22,1.04
33.55,1.05
33.89,1.07
34.23,1.08
34.57,1.09
34.92,1.10
35.27,1.11
35.62,1.11
35.97,1.12
36.33,1.13
36.70,1.13
37.06,1.14
37.43,1.14
37.81,1.15
38.19,1.15
38.57,1.15
38.95,1.15
39.34,1.15
39.74,1.15
40.14,1.15
40.54,1.14
40.94,1.14
41.35,1.13
41.76,1.12
42.18,1.12
42.60,1.11
43.03,1.10
43.46,1.09
43.90,1.08
44.33,1.07
44.78,1.06
45.23,1.06
45.68,1.05
46.13,1.04
46.60,1.03
47.06,1.03
47.53,1.02
48.01,1.01
48.49,1.01
48.97,1.00
49.46,1.00
49.96,0.99
50.46,0.99
50.96,0.98
51.47,0.98
51.99,0.98
52.51,0.97
53.03,0.97
53.56,0.96
54.10,0.96
54.64,0.96
55.18,0.96
55.74,0.95
56.29,0.94
56.86,0.93
57.42,0.93
58.00,0.92
58.58,0.91
59.16,0.90
59.76,0.89
60.35,0.89
60.96,0.89
61.57,0.89
62.18,0.89
62.80,0.90
63.43,0.90
64.07,0.91
64.71,0.91
65.35,0.91
66.01,0.91
66.67,0.90
67.33,0.89
68.01,0.88
68.69,0.87
69.37,0.86
70.07,0.85
70.77,0.84
71.48,0.84
72.19,0.85
72.91,0.85
73.64,0.86
74.38,0.86
75.12,0.86
75.87,0.85
76.63,0.84
77.40,0.83
78.17,0.83
78.95,0.83
79.74,0.84
80.54,0.85
81.35,0.85
82.16,0.85
82.98,0.85
83.81,0.86
84.65,0.86
