frequency,raw
20.00,-1.28
20.20,-1.23
20.40,-1.18
20.61,-1.13
20.81,-1.08
21.02,-1.02
21.23,-0.97
21.44,-0.91
21.66,-0.86
21.87,-0.80
22.09,-0.75
22.31,-0.69
22.54,-0.63
22.76,-0.57
22.99,-0.51
23.22,-0.45
23.45,-0.39
23.69,-0.33
23.92,-0.27
24.16,-0.21
24.40,-0.14
24.65,-0.08
24.89,-0.02
25.14,0.05
25.39,0.11
25.65,0.17
25.91,0.24
26.16,0.30
26.43,0.36
26.69,0.43
26.96,0.49
27.23,0.55
27.50,0.62
27.77,0.68
28.05,0.74
28.33,0.80
28.62,0.87
28.90,0.93
29.19,0.99
29.48,1.05
29.78,1.11
30.08,1.17
30.38,1.23
30.68,1.29
30.99,1.35
31.30,1.40
31.61,1.45
31.93,1.50
32.24,1.55
32.57,1.60
32.89,1.64
33.22,1.69
33.55,1.74
33.89,1.78
34.23,1.83
34.57,1.87
34.92,1.91
35.27,1.95
35.62,2.00
35.97,2.05
36.33,2.09
36.70,2.13
37.06,2.17
37.43,2.21
37.81,2.25
38.19,2.29
38.57,2.33
38.95,2.37
39.34,2.40
39.74,2.44
40.14,2.47
40.54,2.51
40.94,2.54
41.35,2.58
41.76,2.61
42.18,2.64
42.60,2.68
43.03,2.71
43.46,2.74
43.90,2.77
44.33,2.80
44.78,2.83
45.23,2.85
45.68,2.88
46.13,2.91
46.60,2.94
47.06,2.96
47.53,2.99
48.01,3.01
48.49,3.03
48.97,3.06
49.46,3.08
49.96,3.10
50.46,3.12
50.96,3.14
51.47,3.16
51.99,3.18
52.51,3.20
53.03,3.22
53.56,3.24
54.10,3.25
54.64,3.27
55.18,3.29
55.74,3.30
56.29,3.32
56.86,3.34
57.42,3.36
58.00,3.38
58.58,3.40
59.16,3.41
59.76,3.43
60.35,3.45
60.96,3.47
61.57,3.49
62.18,3.52
62.80,3.54
63.43,3.57
64.07,3.60
64.71,3.61
65.35,3.63
66.01,3.64
66.67,3.65
67.33,3.65
68.01,3.65
68.69,3.65
69.37,3.65
70.07,3.65
70.77,3.66
71.48,3.66
72.19,3.67
72.91,3.68
73.64,3.70
74.38,3.71
75.12,3.72
75.87,3.73
76.63,3.72
77.40,3.72
78.17,3.72
78.95,3.73
79.74,3.74
80.54,3.75
81.35,3.75
82.16,3.75
82.98,3.75
83.81,3.75
84.65,3.75
85.50,3.75
86.35,3.74
87.22,3.74
88.09,3.73
88.97,3.74
89.86,3.73
90.76,3.72
91.66,3.73
92.58,3.72
93.51,3.71
94.44,3.71
95.39,3.70
96.34,3.69
97.30,3.69
98.28,3.68
99.26,3.66
100.25,3.64
101.25,3.61
102.27,3.59
103.29,3.57
104.32,3.56
105.37,3.55
106.42,3.54
107.48,3.54
108.56,3.53
109.64,3.52
110.74,3.51
111.85,3.49
112.97,3.47
114.10,3.45
115.24,3.43
116.39,3.41
117.55,3.38
118.73,3.36
119.92,3.35
121.12,3.34
122.33,3.34
123.55,3.35
124.79,3.34
126.03,3.32
127.29,3.29
128.57,3.25
129.85,3.21
131.15,3.19
132.46,3.16
133.79,3.16
135.12,3.16
136.48,3.15
137.84,3.13
139.22,3.11
140.61,3.07
142.02,3.03
143.44,3.00
144.87,2.97
146.32,2.96
147.78,2.95
149.26,2.94
150.75,2.93
152.26,2.90
153.78,2.87
155.32,2.82
156.88,2.78
158.44,2.74
160.03,2.71
161.63,2.69
163.24,2.68
164.88,2.66
166.53,2.64
168.19,2.60
169.87,2.56
171.57,2.51
173.29,2.47
175.02,2.43
176.77,2.39
178.54,2.33
180.32,2.29
182.13,2.25
183.95,2.22
185.79,2.20
187.65,2.18
189.52,2.15
191.42,2.10
193.33,2.06
195.27,2.01
197.22,1.95
199.19,1.89
201.18,1.84
203.19,1.79
205.23,1.75
207.28,1.71
209.35,1.67
211.44,1.63
213.56,1.60
215.69,1.56
217.85,1.52
220.03,1.48
222.23,1.43
224.45,1.37
226.70,1.31
228.96,1.25
231.25,1.20
233.57,1.14
235.90,1.09
238.26,1.05
240.64,1.01
243.05,0.97
245.48,0.92
247.93,0.88
250.41,0.83
252.92,0.79
255.45,0.75
258.00,0.71
260.58,0.66
263.19,0.62
265.82,0.58
268.48,0.54
271.16,0.50
273.87,0.46
276.61,0.43
279.38,0.39
282.17,0.35
284.99,0.31
287.84,0.27
290.72,0.23
293.63,0.19
296.57,0.16
299.53,0.12
302.53,0.08
305.55,0.04
308.61,0.00
311.69,-0.04
314.81,-0.08
317.96,-0.13
321.14,-0.17
324.35,-0.20
327.59,-0.24
330.87,-0.29
334.18,-0.34
337.52,-0.38
340.90,-0.43
344.30,-0.47
347.75,-0.52
351.23,-0.57
354.74,-0.61
358.28,-0.66
361.87,-0.70
365.49,-0.73
369.14,-0.77
372.83,-0.81
376.56,-0.84
380.33,-0.87
384.13,-0.90
387.97,-0.93
391.85,-0.95
395.77,-0.97
399.73,-0.99
403.72,-1.00
407.76,-1.01
411.84,-1.00
415.96,-1.00
420.12,-0.98
424.32,-0.96
428.56,-0.95
432.85,-0.93
437.18,-0.90
441.55,-0.88
445.96,-0.86
450.42,-0.82
454.93,-0.77
459.48,-0.70
464.07,-0.61
468.71,-0.51
473.40,-0.42
478.13,-0.34
482.91,-0.30
487.74,-0.29
492.62,-0.29
497.55,-0.30
502.52,-0.33
507.55,-0.37
512.62,-0.40
517.75,-0.44
522.93,-0.48
528.16,-0.53
533.44,-0.57
538.77,-0.61
544.16,-0.65
549.60,-0.70
555.10,-0.73
560.65,-0.76
566.25,-0.80
571.92,-0.83
577.64,-0.85
583.41,-0.87
589.25,-0.89
595.14,-0.92
601.09,-0.94
607.10,-0.94
613.17,-0.95
619.30,-0.97
625.50,-0.97
631.75,-0.99
638.07,-0.99
644.45,-0.99
650.89,-0.99
657.40,-1.00
