frequency,raw
20.00,2.37
20.20,2.38
20.40,2.39
20.61,2.41
20.81,2.43
21.02,2.45
21.23,2.48
21.44,2.50
21.66,2.52
21.87,2.55
22.09,2.59
22.31,2.61
22.54,2.64
22.76,2.68
22.99,2.70
23.22,2.73
23.45,2.76
23.69,2.78
23.92,2.81
24.16,2.83
24.40,2.84
24.65,2.86
24.89,2.89
25.14,2.91
25.39,2.93
25.65,2.95
25.91,2.97
26.16,2.99
26.43,3.01
26.69,3.03
26.96,3.04
27.23,3.06
27.50,3.06
27.77,3.08
28.05,3.09
28.33,3.10
28.62,3.12
28.90,3.13
29.19,3.14
29.48,3.16
29.78,3.17
30.08,3.18
30.38,3.19
30.68,3.20
30.99,3.21
31.30,3.21
31.61,3.22
31.93,3.21
32.24,3.21
32.57,3.22
32.89,3.21
33.22,3.22
33.55,3.22
33.89,3.22
34.23,3.22
34.57,3.23
34.92,3.23
35.27,3.23
35.62,3.23
35.97,3.23
36.33,3.24
36.70,3.24
37.06,3.25
37.43,3.26
37.81,3.26
38.19,3.27
38.57,3.27
38.95,3.28
39.34,3.29
39.74,3.30
40.14,3.31
40.54,3.32
40.94,3.33
41.35,3.34
41.76,3.36
42.18,3.37
42.60,3.38
43.03,3.39
43.46,3.41
43.90,3.43
44.33,3.44
44.78,3.45
45.23,3.47
45.68,3.49
46.13,3.51
46.60,3.53
47.06,3.55
47.53,3.57
48.01,3.59
48.49,3.61
48.97,3.63
49.46,3.64
49.96,3.66
50.46,3.69
50.96,3.70
51.47,3.72
51.99,3.74
52.51,3.76
53.03,3.78
53.56,3.80
54.10,3.82
54.64,3.83
55.18,3.86
55.74,3.88
56.29,3.90
56.86,3.92
57.42,3.94
58.00,3.96
58.58,3.98
59.16,4.01
59.76,4.02
60.35,4.04
60.96,4.06
61.57,4.08
62.18,4.10
62.80,4.11
63.43,4.12
64.07,4.13
64.71,4.15
65.35,4.16
66.01,4.17
66.67,4.18
67.33,4.19
68.01,4.19
68.69,4.20
69.37,4.20
70.07,4.20
70.77,4.21
71.48,4.21
72.19,4.20
72.91,4.20
73.64,4.19
74.38,4.19
75.12,4.19
75.87,4.18
76.63,4.17
77.40,4.15
78.17,4.14
78.95,4.13
79.74,4.12
80.54,4.10
81.35,4.09
82.16,4.07
82.98,4.05
83.81,4.03
84.65,4.00
85.50,3.98
86.35,3.96
87.22,3.93
88.09,3.91
88.97,3.88
89.86,3.85
90.76,3.82
91.66,3.79
92.58,3.75
93.51,3.72
94.44,3.70
95.39,3.66
96.34,3.63
97.30,3.59
98.28,3.56
99.26,3.53
100.25,3.50
101.25,3.46
102.27,3.43
103.29,3.40
104.32,3.37
105.37,3.33
106.42,3.29
107.48,3.26
108.56,3.23
109.64,3.20
110.74,3.16
111.85,3.13
112.97,3.09
114.10,3.05
115.24,3.02
116.39,2.99
117.55,2.94
118.73,2.90
119.92,2.87
121.12,2.82
122.33,2.78
123.55,2.74
124.79,2.70
126.03,2.66
127.29,2.62
128.57,2.57
129.85,2.54
131.15,2.49
132.46,2.45
133.79,2.40
135.12,2.35
136.48,2.31
137.84,2.26
139.22,2.22
140.61,2.17
142.02,2.13
143.44,2.08
144.87,2.03
146.32,1.99
147.78,1.94
149.26,1.90
150.75,1.85
152.26,1.81
153.78,1.77
155.32,1.72
156.88,1.68
158.44,1.63
160.03,1.60
161.63,1.54
163.24,1.50
164.88,1.46
166.53,1.42
168.19,1.37
169.87,1.33
171.57,1.29
173.29,1.24
175.02,1.20
176.77,1.15
178.54,1.11
180.32,1.06
182.13,1.01
183.95,0.95
185.79,0.90
187.65,0.84
189.52,0.77
191.42,0.72
193.33,0.66
195.27,0.59
197.22,0.53
199.19,0.47
201.18,0.41
203.19,0.34
205.23,0.28
207.28,0.23
209.35,0.17
211.44,0.11
213.56,0.05
215.69,-0.01
217.85,-0.07
220.03,-0.12
222.23,-0.18
224.45,-0.24
226.70,-0.31
228.96,-0.36
231.25,-0.43
233.57,-0.49
235.90,-0.55
238.26,-0.60
240.64,-0.66
243.05,-0.71
245.48,-0.77
247.93,-0.81
250.41,-0.85
252.92,-0.89
255.45,-0.94
258.00,-0.97
260.58,-1.00
263.19,-1.04
265.82,-1.07
268.48,-1.10
271.16,-1.13
273.87,-1.17
276.61,-1.19
279.38,-1.22
282.17,-1.25
284.99,-1.27
287.84,-1.30
290.72,-1.32
293.63,-1.35
296.57,-1.38
299.53,-1.41
302.53,-1.44
305.55,-1.49
308.61,-1.53
311.69,-1.59
314.81,-1.66
317.96,-1.75
321.14,-1.83
324.35,-1.92
327.59,-2.01
330.87,-2.10
334.18,-2.19
337.52,-2.25
340.90,-2.32
344.30,-2.39
347.75,-2.43
351.23,-2.46
354.74,-2.48
358.28,-2.49
361.87,-2.50
365.49,-2.50
369.14,-2.51
372.83,-2.52
376.56,-2.52
380.33,-2.53
384.13,-2.52
387.97,-2.52
391.85,-2.51
395.77,-2.49
399.73,-2.46
403.72,-2.43
407.76,-2.40
411.84,-2.37
415.96,-2.32
420.12,-2.29
424.32,-2.27
428.56,-2.26
432.85,-2.25
437.18,-2.25
441.55,-2.25
445.96,-2.26
450.42,-2.28
454.93,-2.31
459.48,-2.33
464.07,-2.36
468.71,-2.39
473.40,-2.42
478.13,-2.45
482.91,-2.48
487.74,-2.51
492.62,-2.54
497.55,-2.57
502.52,-2.61
507.55,-2.64
512.62,-2.66
517.75,-2.67
522.93,-2.69
528.16,-2.70
533.44,-2.71
538.77,-2.73
544.16,-2.75
549.60,-2.76
555.10,-2.77
560.65,-2.77
