frequency,raw
20,7.09
21,7.05
22,7.03
23,7.01
24,6.99
25,6.97
26,6.95
27,6.94
28,6.92
29,6.92
30,6.91
31,6.91
32,6.89
33,6.88
34,6.86
35,6.84
36,6.83
37,6.82
38,6.80
39,6.78
40,6.76
41,6.74
42,6.71
43,6.69
44,6.67
45,6.64
46,6.62
47,6.60
48,6.59
49,6.59
50,6.59
51,6.60
52,6.61
53,6.62
54,6.64
55,6.66
56,6.68
57,6.70
58,6.73
59,6.75
60,6.78
61,6.81
62,6.83
63,6.86
64,6.88
65,6.88
66,6.85
67,6.82
68,6.77
69,6.71
70,6.66
71,6.60
72,6.55
73,6.49
74,6.44
75,6.37
76,6.30
77,6.21
78,6.13
79,6.04
80,5.97
81,5.89
82,5.80
83,5.71
84,5.62
85,5.53
86,5.43
87,5.34
88,5.25
89,5.17
90,5.08
91,4.99
92,4.90
93,4.81
94,4.73
95,4.63
96,4.55
97,4.48
98,4.38
99,4.29
100,4.20
101,4.10
102,3.99
104,3.81
105,3.72
106,3.63
107,3.56
108,3.48
109,3.40
110,3.31
111,3.22
112,3.12
113,3.03
114,2.92
115,2.83
117,2.62
118,2.51
119,2.41
120,2.32
121,2.23
123,2.05
124,1.97
125,1.86
126,1.76
128,1.54
129,1.42
130,1.29
131,1.20
133,1.00
134,0.93
135,0.85
137,0.69
138,0.60
140,0.41
141,0.32
142,0.23
144,0.07
145,-0.01
147,-0.14
148,-0.19
150,-0.30
151,-0.36
153,-0.49
154,-0.56
156,-0.70
157,-0.77
159,-0.90
160,-0.95
162,-1.05
164,-1.15
165,-1.21
167,-1.32
169,-1.46
170,-1.53
172,-1.68
174,-1.83
175,-1.91
177,-2.06
179,-2.22
181,-2.37
183,-2.52
184,-2.59
186,-2.72
188,-2.85
190,-3.00
192,-3.17
194,-3.34
196,-3.52
198,-3.71
200,-3.89
202,-4.07
204,-4.24
206,-4.41
208,-4.58
210,-4.73
212,-4.89
214,-5.04
216,-5.18
218,-5.30
221,-5.49
223,-5.61
225,-5.71
227,-5.80
229,-5.88
232,-5.95
234,-5.98
236,-5.99
239,-6.00
241,-6.00
244,-6.02
246,-6.03
248,-6.04
251,-6.05
253,-6.06
256,-6.05
259,-6.03
261,-6.00
264,-5.93
266,-5.88
269,-5.78
272,-5.65
274,-5.57
277,-5.42
280,-5.27
283,-5.11
286,-4.94
288,-4.83
291,-4.66
294,-4.49
297,-4.32
300,-4.15
303,-3.98
306,-3.82
309,-3.65
312,-3.49
316,-3.29
319,-3.14
322,-2.99
325,-2.85
328,-2.72
332,-2.54
335,-2.42
338,-2.30
342,-2.15
345,-2.04
349,-1.90
352,-1.80
356,-1.68
359,-1.60
363,-1.50
366,-1.42
370,-1.32
374,-1.22
377,-1.15
381,-1.05
385,-0.96
389,-0.87
393,-0.78
397,-0.69
401,-0.61
405,-0.53
409,-0.46
413,-0.39
417,-0.33
421,-0.27
425,-0.21
430,-0.15
434,-0.12
438,-0.08
443,-0.05
447,-0.03
451,-0.00
456,0.04
460,0.07
465,0.12
470,0.15
474,0.15
479,0.14
484,0.11
489,0.05
494,-0.01
499,-0.06
504,-0.11
509,-0.15
514,-0.17
519,-0.18
524,-0.19
529,-0.20
535,-0.18
540,-0.17
545,-0.15
551,-0.12
556,-0.08
562,-0.03
568,0.02
573,0.07
579,0.13
585,0.19
591,0.23
596,0.27
602,0.29
608,0.32
615,0.33
621,0.32
627,0.32
633,0.30
639,0.30
646,0.28
652,0.26
659,0.24
665,0.21
672,0.18
679,0.16
686,0.15
692,0.13
699,0.12
706,0.12
713,0.13
721,0.14
728,0.17
735,0.20
742,0.23
750,0.27
757,0.29
765,0.30
773,0.31
780,0.30
788,0.30
796,0.30
804,0.28
812,0.28
820,0.27
828,0.25
837,0.26
845,0.26
853,0.28
862,0.30
871,0.31
879,0.31
888,0.30
897,0.28
906,0.27
915,0.24
924,0.21
933,0.18
943,0.15
952,0.12
962,0.09
971,0.07
981,0.05
991,0.02
1001,-0.00
1011,-0.03
1021,-0.08
1031,-0.13
1041,-0.18
1052,-0.24
1062,-0.29
1073,-0.34
1084,-0.39
1094,-0.42
1105,-0.46
1116,-0.50
1128,-0.53
1139,-0.55
1150,-0.56
1162,-0.54
1173,-0.52
1185,-0.46
1197,-0.40
1209,-0.32
1221,-0.23
1233,-0.15
1246,-0.05
1258,0.05
1271,0.16
1283,0.28
1296,0.40
1309,0.53
1322,0.66
1335,0.79
1349,0.94
1362,1.07
1376,1.21
1390,1.35
1404,1.50
1418,1.65
1432,1.80
1446,1.94
1461,2.07
1475,2.19
1490,2.30
1505,2.40
1520,2.48
1535,2.56
1550,2.63
1566,2.70
1582,2.77
1597,2.83
1613,2.89
1629,2.95
1646,3.02
1662,3.10
1679,3.21
1696,3.33
1713,3.46
1730,3.61
1747,3.77
1764,3.92
1782,4.09
1800,4.25
1818,4.41
1836,4.54
1854,4.67
1873,4.82
1892,4.97
1911,5.12
1930,5.27
1949,5.43
1969,5.59
1988,5.76
2008,5.95
2028,6.14
2048,6.33
2069,6.55
2090,6.74
2111,6.94
2132,7.14
2153,7.33
2175,7.52
2196,7.71
2218,7.92
2240,8.11
2263,8.33
2285,8.52
2308,8.71
2331,8.90
2355,9.09
2378,9.28
2402,9.49
2426,9.69
2450,9.89
2475,10.11
2500,10.31
2525,10.49
2550,10.67
2575,10.82
2601,10.97
2627,11.11
2653,11.23
2680,11.36
2707,11.49
2734,11.61
2761,11.75
2789,11.91
2817,12.07
2845,12.24
2873,12.40
2902,12.58
2931,12.75
2960,12.90
2990,13.08
3020,13.24
3050,13.41
3080,13.55
3111,13.66
3142,13.75
3174,13.80
3206,13.83
3238,13.84
3270,13.86
3303,13.87
3336,13.88
3369,13.90
3403,13.93
3437,13.95
3471,13.95
3506,13.92
3541,13.83
3576,13.71
3612,13.53
3648,13.30
3685,13.04
3721,12.75
3759,12.43
3796,12.13
3834,11.81
3873,11.52
3911,11.23
3950,10.95
3990,10.65
4030,10.33
4070,10.03
4111,9.69
4152,9.34
4193,8.99
4235,8.64
4278,8.28
4321,7.95
4364,7.65
4407,7.36
4451,7.07
4496,6.77
4541,6.44
4586,6.10
4632,5.74
4679,5.38
4725,5.04
4773,4.73
4820,4.51
4868,4.38
4917,4.34
4966,4.40
5016,4.58
5066,4.82
5117,5.07
5168,5.31
5220,5.51
5272,5.65
5325,5.70
5378,5.69
5432,5.65
5486,5.52
5541,5.35
5596,5.14
5652,4.84
5709,4.46
5766,4.04
5823,3.56
5882,3.04
5940,2.51
6000,1.94
6060,1.40
6120,0.87
6182,0.35
6244,-0.10
6306,-0.50
6369,-0.83
6433,-1.04
6497,-1.19
6562,-1.26
6628,-1.30
6694,-1.29
6761,-1.24
6828,-1.14
6897,-1.05
6966,-0.92
7035,-0.77
7106,-0.62
7177,-0.41
7249,-0.18
7321,0.11
7394,0.51
7468,1.01
7543,1.65
7618,2.44
7694,3.33
7771,4.31
7849,5.34
7928,6.36
8007,7.33
8087,8.19
8168,8.95
8250,9.58
8332,9.99
8415,10.22
8499,10.31
8584,10.23
8670,10.03
8757,9.73
8845,9.33
8933,9.04
9022,8.60
9113,7.89
9204,7.36
9296,6.90
9389,5.89
9483,4.88
9577,4.00
9673,3.17
9770,2.38
9868,1.62
9966,0.94
10066,0.38
10167,-0.06
10268,-0.39
10371,-0.67
10475,-0.91
10579,-1.07
10685,-1.17
10792,-1.32
10900,-1.52
11009,-1.80
11119,-2.14
11230,-2.49
11343,-2.75
11456,-3.00
11571,-3.99
11686,-5.17
11803,-5.67
11921,-6.61
12040,-7.69
12161,-8.28
12282,-8.99
12405,-9.60
12529,-10.01
12655,-10.26
12781,-10.42
12909,-10.49
13038,-10.33
13168,-10.07
13300,-9.60
13433,-8.92
13567,-8.26
13703,-7.63
13840,-7.17
13978,-6.75
14118,-6.40
14259,-6.16
14402,-6.17
14546,-6.34
14692,-6.72
14838,-7.40
14987,-8.19
15137,-9.08
15288,-10.04
15441,-11.00
15595,-11.94
15751,-12.83
15909,-13.59
16068,-14.25
16229,-14.79
16391,-15.27
16555,-15.81
16720,-16.45
16888,-17.31
17056,-18.11
17227,-18.84
17399,-19.33
17573,-19.60
17749,-19.64
17926,-19.30
18106,-18.67
18287,-17.81
18470,-16.67
18654,-15.44
18841,-14.23
19029,-13.18
19220,-12.50
19412,-12.03
19606,-11.78
19802,-12.03
20000,-12.62
