frequency,raw
20.00,-1.39
20.20,-1.38
20.40,-1.38
20.61,-1.37
20.81,-1.37
21.02,-1.36
21.23,-1.35
21.44,-1.33
21.66,-1.32
21.87,-1.31
22.09,-1.29
22.31,-1.28
22.54,-1.26
22.76,-1.25
22.99,-1.23
23.22,-1.21
23.45,-1.20
23.69,-1.18
23.92,-1.17
24.16,-1.14
24.40,-1.12
24.65,-1.09
24.89,-1.07
25.14,-1.05
25.39,-1.02
25.65,-0.99
25.91,-0.97
26.16,-0.94
26.43,-0.92
26.69,-0.90
26.96,-0.87
27.23,-0.85
27.50,-0.82
27.77,-0.80
28.05,-0.78
28.33,-0.75
28.62,-0.72
28.90,-0.70
29.19,-0.68
29.48,-0.66
29.78,-0.64
30.08,-0.62
30.38,-0.60
30.68,-0.59
30.99,-0.57
31.30,-0.56
31.61,-0.56
31.93,-0.55
32.24,-0.55
32.57,-0.54
32.89,-0.54
33.22,-0.54
33.55,-0.54
33.89,-0.54
34.23,-0.54
34.57,-0.54
34.92,-0.54
35.27,-0.54
35.62,-0.55
35.97,-0.55
36.33,-0.55
36.70,-0.56
37.06,-0.56
37.43,-0.57
37.81,-0.58
38.19,-0.59
38.57,-0.60
38.95,-0.61
39.34,-0.62
39.74,-0.64
40.14,-0.66
40.54,-0.67
40.94,-0.69
41.35,-0.70
41.76,-0.72
42.18,-0.74
42.60,-0.75
43.03,-0.77
43.46,-0.79
43.90,-0.81
44.33,-0.83
44.78,-0.85
45.23,-0.87
45.68,-0.89
46.13,-0.92
46.60,-0.95
47.06,-0.97
47.53,-1.00
48.01,-1.02
48.49,-1.04
48.97,-1.07
49.46,-1.09
49.96,-1.12
50.46,-1.14
50.96,-1.17
51.47,-1.19
51.99,-1.22
52.51,-1.24
53.03,-1.26
53.56,-1.28
54.10,-1.29
54.64,-1.32
55.18,-1.34
55.74,-1.35
56.29,-1.37
56.86,-1.38
57.42,-1.38
58.00,-1.39
58.58,-1.40
59.16,-1.40
59.76,-1.40
60.35,-1.40
60.96,-1.41
61.57,-1.41
62.18,-1.41
62.80,-1.41
63.43,-1.41
64.07,-1.40
64.71,-1.41
65.35,-1.43
66.01,-1.45
66.67,-1.48
67.33,-1.51
68.01,-1.54
68.69,-1.57
69.37,-1.61
70.07,-1.63
70.77,-1.66
71.48,-1.68
72.19,-1.70
72.91,-1.72
73.64,-1.73
74.38,-1.73
75.12,-1.73
75.87,-1.74
76.63,-1.75
77.40,-1.76
78.17,-1.75
78.95,-1.74
79.74,-1.72
80.54,-1.69
81.35,-1.67
82.16,-1.64
82.98,-1.61
83.81,-1.58
84.65,-1.54
85.50,-1.50
86.35,-1.46
87.22,-1.42
88.09,-1.36
88.97,-1.31
89.86,-1.26
90.76,-1.20
91.66,-1.14
92.58,-1.09
93.51,-1.02
94.44,-0.97
95.39,-0.91
96.34,-0.84
97.30,-0.77
98.28,-0.73
99.26,-0.68
100.25,-0.63
101.25,-0.59
102.27,-0.56
103.29,-0.52
104.32,-0.48
105.37,-0.44
106.42,-0.39
107.48,-0.34
108.56,-0.30
109.64,-0.25
110.74,-0.22
111.85,-0.20
112.97,-0.17
