frequency,raw
20.00,-10.13
20.20,-10.06
20.40,-9.99
20.61,-9.91
20.81,-9.82
21.02,-9.75
21.23,-9.66
21.44,-9.58
21.66,-9.51
21.87,-9.43
22.09,-9.35
22.31,-9.27
22.54,-9.19
22.76,-9.10
22.99,-9.02
23.22,-8.93
23.45,-8.84
23.69,-8.75
23.92,-8.66
24.16,-8.57
24.40,-8.49
24.65,-8.40
24.89,-8.30
25.14,-8.21
25.39,-8.12
25.65,-8.03
25.91,-7.94
26.16,-7.85
26.43,-7.76
26.69,-7.66
26.96,-7.57
27.23,-7.47
27.50,-7.39
27.77,-7.29
28.05,-7.19
28.33,-7.10
28.62,-7.01
28.90,-6.92
29.19,-6.83
29.48,-6.73
29.78,-6.64
30.08,-6.55
30.38,-6.47
30.68,-6.38
30.99,-6.29
31.30,-6.21
31.61,-6.12
31.93,-6.04
32.24,-5.96
32.57,-5.88
32.89,-5.80
33.22,-5.71
33.55,-5.63
33.89,-5.55
34.23,-5.47
34.57,-5.38
34.92,-5.30
35.27,-5.22
35.62,-5.14
35.97,-5.06
36.33,-4.97
36.70,-4.90
37.06,-4.81
37.43,-4.73
37.81,-4.65
38.19,-4.57
38.57,-4.49
38.95,-4.41
39.34,-4.33
39.74,-4.25
40.14,-4.17
40.54,-4.10
40.94,-4.01
41.35,-3.93
41.76,-3.85
42.18,-3.78
42.60,-3.70
43.03,-3.63
43.46,-3.55
43.90,-3.47
44.33,-3.40
44.78,-3.33
45.23,-3.25
45.68,-3.18
46.13,-3.09
46.60,-3.02
47.06,-2.94
47.53,-2.87
48.01,-2.80
48.49,-2.73
48.97,-2.66
49.46,-2.59
49.96,-2.53
50.46,-2.45
50.96,-2.39
51.47,-2.32
51.99,-2.26
52.51,-2.19
53.03,-2.13
53.56,-2.06
54.10,-1.99
54.64,-1.94
55.18,-1.88
55.74,-1.82
56.29,-1.76
56.86,-1.70
57.42,-1.64
58.00,-1.58
58.58,-1.53
59.16,-1.47
59.76,-1.42
60.35,-1.37
60.96,-1.33
61.57,-1.27
62.18,-1.22
62.80,-1.17
63.43,-1.13
64.07,-1.09
64.71,-1.04
65.35,-0.99
66.01,-0.95
66.67,-0.90
67.33,-0.85
68.01,-0.82
68.69,-0.77
69.37,-0.73
70.07,-0.68
70.77,-0.64
71.48,-0.60
72.19,-0.56
72.91,-0.52
73.64,-0.48
74.38,-0.44
75.12,-0.40
75.87,-0.36
76.63,-0.33
77.40,-0.29
78.17,-0.26
78.95,-0.22
79.74,-0.19
80.54,-0.16
81.35,-0.12
82.16,-0.09
82.98,-0.07
83.81,-0.04
84.65,-0.02
85.50,0.00
86.35,0.03
87.22,0.04
88.09,0.07
88.97,0.08
89.86,0.10
90.76,0.12
91.66,0.13
92.58,0.14
93.51,0.16
94.44,0.18
95.39,0.18
96.34,0.19
97.30,0.19
98.28,0.20
99.26,0.21
100.25,0.21
101.25,0.21
102.27,0.21
103.29,0.21
104.32,0.21
105.37,0.20
106.42,0.19
107.48,0.19
108.56,0.18
109.64,0.17
110.74,0.17
111.85,0.15
112.97,0.14
114.10,0.13
115.24,0.12
116.39,0.10
117.55,0.09
118.73,0.07
119.92,0.05
121.12,0.03
122.33,0.01
123.55,-0.01
124.79,-0.03
