frequency,raw
20.00,-4.56
20.20,-4.52
20.40,-4.50
20.61,-4.46
20.81,-4.43
21.02,-4.41
21.23,-4.37
21.44,-4.35
21.66,-4.33
21.87,-4.30
22.09,-4.26
22.31,-4.23
22.54,-4.20
22.76,-4.15
22.99,-4.12
23.22,-4.08
23.45,-4.03
23.69,-4.00
23.92,-3.96
24.16,-3.92
24.40,-3.89
24.65,-3.85
24.89,-3.81
25.14,-3.76
25.39,-3.70
25.65,-3.65
25.91,-3.59
26.16,-3.54
26.43,-3.48
26.69,-3.43
26.96,-3.39
27.23,-3.34
27.50,-3.31
27.77,-3.26
28.05,-3.21
28.33,-3.17
28.62,-3.12
28.90,-3.07
29.19,-3.03
29.48,-2.97
29.78,-2.91
30.08,-2.86
30.38,-2.82
30.68,-2.76
30.99,-2.71
31.30,-2.67
31.61,-2.63
31.93,-2.59
32.24,-2.55
32.57,-2.49
32.89,-2.45
33.22,-2.40
33.55,-2.35
33.89,-2.29
34.23,-2.24
34.57,-2.17
34.92,-2.11
35.27,-2.05
35.62,-1.98
35.97,-1.92
36.33,-1.84
36.70,-1.78
37.06,-1.70
37.43,-1.63
37.81,-1.56
38.19,-1.49
38.57,-1.43
38.95,-1.35
39.34,-1.28
39.74,-1.22
40.14,-1.15
40.54,-1.09
40.94,-1.02
41.35,-0.96
41.76,-0.90
42.18,-0.84
42.60,-0.79
43.03,-0.73
43.46,-0.68
43.90,-0.62
44.33,-0.57
44.78,-0.52
45.23,-0.47
45.68,-0.43
46.13,-0.38
46.60,-0.33
47.06,-0.29
47.53,-0.25
48.01,-0.21
48.49,-0.18
48.97,-0.14
49.46,-0.11
49.96,-0.07
50.46,-0.03
50.96,-0.00
51.47,0.02
51.99,0.05
52.51,0.08
53.03,0.11
53.56,0.14
54.10,0.17
54.64,0.18
55.18,0.21
55.74,0.23
56.29,0.25
56.86,0.28
57.42,0.31
58.00,0.33
58.58,0.35
59.16,0.38
59.76,0.39
60.35,0.42
60.96,0.43
61.57,0.45
62.18,0.48
62.80,0.50
63.43,0.52
64.07,0.53
64.71,0.55
65.35,0.57
66.01,0.59
66.67,0.61
67.33,0.64
68.01,0.65
68.69,0.68
69.37,0.69
70.07,0.72
70.77,0.74
71.48,0.76
72.19,0.78
72.91,0.81
73.64,0.83
74.38,0.84
75.12,0.87
75.87,0.89
76.63,0.91
77.40,0.93
78.17,0.95
78.95,0.98
79.74,1.00
80.54,1.01
81.35,1.04
82.16,1.07
82.98,1.09
83.81,1.11
84.65,1.12
85.50,1.15
86.35,1.17
87.22,1.18
88.09,1.21
88.97,1.23
89.86,1.24
90.76,1.26
91.66,1.28
92.58,1.30
93.51,1.32
94.44,1.35
95.39,1.36
96.34,1.38
97.30,1.40
98.28,1.42
99.26,1.44
100.25,1.46
101.25,1.47
102.27,1.49
103.29,1.51
104.32,1.53
105.37,1.54
106.42,1.55
107.48,1.57
108.56,1.59
109.64,1.61
110.74,1.63
111.85,1.65
112.97,1.66
114.10,1.68
115.24,1.71
116.39,1.72
117.55,1.74
118.73,1.75
119.92,1.77
121.12,1.79
122.33,1.81
123.55,1.82
124.79,1.84
126.03,1.86
127.29,1.88
128.57,1.89
129.85,1.92
131.15,1.93
132.46,1.95
133.79,1.96
135.12,1.97
136.48,1.99
137.84,2.00
139.22,2.02
140.61,2.03
142.02,2.05
143.44,2.06
144.87,2.07
146.32,2.09
147.78,2.10
149.26,2.11
150.75,2.12
152.26,2.13
153.78,2.14
155.32,2.15
156.88,2.16
158.44,2.16
160.03,2.17
161.63,2.17
163.24,2.18
164.88,2.19
166.53,2.19
168.19,2.20
169.87,2.19
171.57,2.20
173.29,2.19
175.02,2.20
176.77,2.19
178.54,2.19
180.32,2.18
182.13,2.17
183.95,2.16
185.79,2.15
187.65,2.14
189.52,2.11
191.42,2.09
193.33,2.07
195.27,2.04
197.22,2.01
199.19,1.99
201.18,1.96
203.19,1.92
205.23,1.89
207.28,1.87
209.35,1.84
211.44,1.81
213.56,1.78
215.69,1.75
217.85,1.72
220.03,1.69
222.23,1.67
224.45,1.64
226.70,1.60
228.96,1.58
231.25,1.54
233.57,1.51
235.90,1.48
238.26,1.45
240.64,1.41
243.05,1.39
245.48,1.35
247.93,1.32
250.41,1.29
252.92,1.26
255.45,1.21
258.00,1.18
260.58,1.15
263.19,1.10
265.82,1.06
268.48,1.01
271.16,0.96
273.87,0.89
276.61,0.83
279.38,0.77
282.17,0.70
284.99,0.63
287.84,0.55
290.72,0.49
293.63,0.41
296.57,0.34
299.53,0.26
302.53,0.19
305.55,0.11
308.61,0.05
311.69,-0.03
314.81,-0.10
317.96,-0.18
321.14,-0.25
324.35,-0.33
327.59,-0.40
330.87,-0.48
334.18,-0.56
337.52,-0.63
340.90,-0.71
344.30,-0.78
347.75,-0.86
351.23,-0.93
354.74,-1.01
358.28,-1.08
361.87,-1.14
365.49,-1.20
369.14,-1.27
372.83,-1.33
376.56,-1.38
380.33,-1.45
384.13,-1.50
387.97,-1.56
391.85,-1.62
395.77,-1.68
399.73,-1.72
403.72,-1.78
407.76,-1.83
411.84,-1.87
415.96,-1.90
420.12,-1.93
424.32,-1.96
428.56,-1.98
432.85,-2.00
437.18,-2.01
441.55,-2.02
445.96,-2.03
450.42,-2.05
454.93,-2.08
459.48,-2.10
464.07,-2.13
468.71,-2.17
473.40,-2.21
478.13,-2.26
482.91,-2.31
487.74,-2.34
492.62,-2.36
497.55,-2.36
502.52,-2.37
507.55,-2.34
512.62,-2.29
517.75,-2.23
522.93,-2.17
528.16,-2.10
533.44,-2.04
538.77,-1.98
544.16,-1.92
549.60,-1.86
555.10,-1.80
560.65,-1.74
566.25,-1.68
571.92,-1.61
577.64,-1.55
583.41,-1.49
589.25,-1.41
595.14,-1.34
601.09,-1.27
607.10,-1.20
613.17,-1.13
619.30,-1.05
625.50,-0.98
631.75,-0.91
638.07,-0.84
644.45,-0.77
650.89,-0.70
657.40,-0.62
663.98,-0.56
670.62,-0.49
677.32,-0.41
684.10,-0.35
690.94,-0.28
697.85,-0.21
704.83,-0.14
711.87,-0.08
718.99,-0.01
726.18,0.03
733.44,0.09
740.78,0.14
748.19,0.18
755.67,0.22
763.23,0.25
770.86,0.27
778.57,0.27
786.35,0.28
794.22,0.27
802.16,0.25
810.18,0.21
818.28,0.18
826.46,0.13
834.73,0.08
843.08,0.03
851.51,-0.03
860.02,-0.09
868.62,-0.13
877.31,-0.18
886.08,-0.20
894.94,-0.22
903.89,-0.22
912.93,-0.22
922.06,-0.20
931.28,-0.18
940.59,-0.16
950.00,-0.14
959.50,-0.12
969.09,-0.10
978.78,-0.07
988.57,-0.04
