frequency,raw
20.00,0.22
20.20,0.27
20.40,0.32
20.61,0.37
20.81,0.42
21.02,0.47
21.23,0.52
21.44,0.58
21.66,0.63
21.87,0.69
22.09,0.74
22.31,0.80
22.54,0.86
22.76,0.92
22.99,0.98
23.22,1.03
23.45,1.08
23.69,1.13
23.92,1.18
24.16,1.23
24.40,1.28
24.65,1.33
24.89,1.38
25.14,1.43
25.39,1.47
25.65,1.52
25.91,1.56
26.16,1.61
26.43,1.65
26.69,1.69
26.96,1.73
27.23,1.77
27.50,1.81
27.77,1.85
28.05,1.89
28.33,1.92
28.62,1.95
28.90,1.99
29.19,2.02
29.48,2.05
29.78,2.08
30.08,2.11
30.38,2.13
30.68,2.15
30.99,2.17
31.30,2.18
31.61,2.19
31.93,2.21
32.24,2.21
32.57,2.22
32.89,2.23
33.22,2.23
33.55,2.23
33.89,2.23
34.23,2.23
34.57,2.23
34.92,2.23
35.27,2.23
35.62,2.22
35.97,2.22
36.33,2.21
36.70,2.21
37.06,2.20
37.43,2.18
37.81,2.17
38.19,2.15
38.57,2.14
38.95,2.13
39.34,2.12
39.74,2.10
40.14,2.08
40.54,2.07
40.94,2.05
41.35,2.03
41.76,2.01
42.18,1.99
42.60,1.97
43.03,1.95
43.46,1.93
43.90,1.91
44.33,1.88
44.78,1.86
45.23,1.84
45.68,1.82
46.13,1.79
46.60,1.76
47.06,1.74
47.53,1.71
48.01,1.68
48.49,1.65
48.97,1.62
49.46,1.60
49.96,1.57
50.46,1.54
50.96,1.51
51.47,1.48
51.99,1.45
52.51,1.42
53.03,1.39
53.56,1.36
54.10,1.32
54.64,1.29
55.18,1.26
55.74,1.23
56.29,1.19
56.86,1.16
57.42,1.13
58.00,1.10
58.58,1.07
59.16,1.03
59.76,1.00
60.35,0.98
60.96,0.95
61.57,0.93
62.18,0.90
62.80,0.88
63.43,0.86
64.07,0.84
64.71,0.81
65.35,0.78
66.01,0.74
66.67,0.70
67.33,0.66
68.01,0.61
68.69,0.56
69.37,0.52
70.07,0.48
70.77,0.43
71.48,0.40
72.19,0.36
72.91,0.32
73.64,0.30
74.38,0.27
75.12,0.24
75.87,0.20
76.63,0.15
77.40,0.11
78.17,0.07
78.95,0.03
79.74,-0.00
80.54,-0.03
81.35,-0.07
82.16,-0.11
82.98,-0.15
83.81,-0.18
84.65,-0.22
85.50,-0.27
86.35,-0.31
87.22,-0.35
88.09,-0.39
88.97,-0.43
89.86,-0.46
90.76,-0.51
91.66,-0.55
92.58,-0.58
93.51,-0.62
94.44,-0.66
95.39,-0.71
96.34,-0.74
97.30,-0.78
98.28,-0.82
99.26,-0.87
100.25,-0.93
101.25,-0.99
102.27,-1.04
103.29,-1.09
104.32,-1.14
105.37,-1.18
106.42,-1.23
107.48,-1.26
108.56,-1.30
109.64,-1.34
110.74,-1.38
111.85,-1.43
112.97,-1.48
114.10,-1.53
115.24,-1.58
116.39,-1.64
117.55,-1.70
118.73,-1.75
119.92,-1.79
121.12,-1.82
122.33,-1.86
123.55,-1.89
124.79,-1.93
126.03,-1.98
127.29,-2.04
128.57,-2.11
129.85,-2.19
131.15,-2.25
132.46,-2.30
133.79,-2.34
135.12,-2.37
136.48,-2.41
137.84,-2.46
139.22,-2.52
140.61,-2.60
142.02,-2.67
143.44,-2.73
144.87,-2.79
146.32,-2.84
147.78,-2.88
149.26,-2.92
150.75,-2.96
152.26,-3.02
153.78,-3.09
155.32,-3.17
156.88,-3.24
158.44,-3.31
160.03,-3.36
161.63,-3.41
163.24,-3.45
164.88,-3.50
166.53,-3.55
168.19,-3.61
169.87,-3.67
171.57,-3.75
173.29,-3.82
175.02,-3.89
176.77,-3.96
178.54,-4.04
180.32,-4.11
182.13,-4.17
183.95,-4.23
185.79,-4.27
187.65,-4.31
189.52,-4.36
191.42,-4.42
193.33,-4.49
195.27,-4.55
197.22,-4.62
199.19,-4.69
201.18,-4.76
203.19,-4.80
205.23,-4.84
207.28,-4.89
209.35,-4.92
211.44,-4.96
213.56,-4.99
215.69,-5.02
217.85,-5.05
220.03,-5.08
222.23,-5.13
224.45,-5.19
226.70,-5.25
228.96,-5.32
231.25,-5.37
233.57,-5.43
235.90,-5.48
238.26,-5.52
240.64,-5.56
243.05,-5.60
245.48,-5.64
247.93,-5.68
250.41,-5.71
252.92,-5.75
255.45,-5.77
258.00,-5.80
260.58,-5.83
263.19,-5.85
265.82,-5.87
268.48,-5.89
271.16,-5.90
273.87,-5.92
276.61,-5.93
279.38,-5.94
282.17,-5.94
284.99,-5.95
287.84,-5.95
290.72,-5.95
293.63,-5.95
296.57,-5.95
299.53,-5.95
302.53,-5.94
305.55,-5.94
308.61,-5.93
311.69,-5.92
314.81,-5.91
317.96,-5.89
321.14,-5.88
324.35,-5.86
327.59,-5.85
330.87,-5.84
334.18,-5.82
337.52,-5.79
340.90,-5.77
344.30,-5.74
347.75,-5.72
351.23,-5.70
354.74,-5.67
358.28,-5.64
361.87,-5.62
365.49,-5.59
369.14,-5.56
372.83,-5.53
376.56,-5.49
380.33,-5.45
384.13,-5.41
387.97,-5.36
391.85,-5.31
395.77,-5.27
399.73,-5.22
403.72,-5.16
407.76,-5.11
411.84,-5.05
415.96,-4.99
420.12,-4.92
424.32,-4.86
428.56,-4.80
432.85,-4.74
437.18,-4.68
441.55,-4.63
445.96,-4.57
450.42,-4.51
454.93,-4.42
459.48,-4.33
464.07,-4.23
468.71,-4.13
473.40,-4.05
478.13,-3.97
482.91,-3.91
487.74,-3.86
492.62,-3.81
497.55,-3.76
502.52,-3.69
507.55,-3.62
512.62,-3.54
517.75,-3.47
522.93,-3.39
528.16,-3.33
533.44,-3.26
538.77,-3.19
544.16,-3.13
549.60,-3.07
555.10,-3.00
560.65,-2.94
566.25,-2.87
571.92,-2.80
577.64,-2.74
583.41,-2.67
589.25,-2.61
595.14,-2.54
601.09,-2.48
607.10,-2.42
613.17,-2.36
619.30,-2.30
625.50,-2.23
631.75,-2.18
638.07,-2.12
644.45,-2.06
650.89,-2.01
657.40,-1.95
663.98,-1.91
670.62,-1.86
677.32,-1.82
684.10,-1.78
690.94,-1.74
697.85,-1.70
704.83,-1.67
711.87,-1.63
718.99,-1.61
726.18,-1.56
733.44,-1.51
740.78,-1.45
748.19,-1.39
755.67,-1.35
763.23,-1.31
770.86,-1.27
778.57,-1.24
786.35,-1.21
794.22,-1.18
802.16,-1.17
810.18,-1.15
818.28,-1.12
826.46,-1.10
834.73,-1.07
843.08,-1.02
851.51,-0.97
860.02,-0.91
868.62,-0.84
877.31,-0.78
886.08,-0.72
894.94,-0.67
903.89,-0.62
912.93,-0.57
922.06,-0.52
931.28,-0.47
940.59,-0.41
950.00,-0.36
959.50,-0.30
969.09,-0.23
978.78,-0.16
988.57,-0.08
998.46,-0.01
1008.44,0.06
1018.53,0.13
1028.71,0.18
1039.00,0.23
1049.39,0.29
1059.88,0.34
1070.48,0.40
1081.19,0.48
1092.00,0.56
1102.92,0.63
1113.95,0.70
1125.09,0.77
1136.34,0.85
1147.70,0.93
1159.18,1.01
1170.77,1.10
1182.48,1.21
1194.30,1.31
1206.25,1.41
1218.31,1.52
1230.49,1.61
1242.80,1.71
1255.22,1.80
1267.78,1.90
1280.45,2.02
1293.26,2.12
1306.19,2.23
1319.25,2.35
1332.45,2.47
1345.77,2.58
1359.23,2.70
1372.82,2.82
1386.55,2.95
1400.41,3.08
1414.42,3.21
1428.56,3.35
1442.85,3.51
1457.28,3.65
1471.85,3.80
1486.57,3.95
1501.43,4.09
1516.45,4.23
1531.61,4.36
1546.93,4.49
1562.40,4.64
1578.02,4.78
1593.80,4.93
1609.74,5.08
1625.84,5.25
1642.10,5.42
1658.52,5.60
1675.10,5.79
1691.85,5.97
1708.77,6.15
1725.86,6.31
1743.12,6.47
1760.55,6.60
1778.15,6.74
1795.94,6.86
1813.90,6.98
1832.03,7.08
1850.36,7.17
1868.86,7.28
1887.55,7.38
1906.42,7.48
1925.49,7.58
1944.74,7.67
1964.19,7.74
1983.83,7.82
2003.67,7.90
2023.71,7.98
2043.94,8.06
2064.38,8.14
2085.03,8.21
2105.88,8.27
2126.94,8.33
2148.20,8.41
2169.69,8.47
2191.38,8.53
2213.30,8.59
2235.43,8.62
2257.78,8.65
2280.36,8.65
2303.17,8.63
2326.20,8.58
2349.46,8.52
2372.95,8.46
2396.68,8.41
2420.65,8.35
2444.86,8.29
2469.31,8.25
2494.00,8.19
2518.94,8.13
2544.13,8.07
2569.57,7.99
2595.27,7.90
2621.22,7.81
2647.43,7.70
2673.90,7.58
2700.64,7.46
2727.65,7.33
2754.93,7.21
2782.48,7.11
2810.30,7.00
2838.40,6.90
2866.79,6.79
2895.46,6.67
2924.41,6.56
2953.65,6.42
2983.19,6.28
3013.02,6.13
3043.15,5.97
3073.58,5.79
3104.32,5.57
3135.36,5.32
3166.72,5.04
3198.38,4.73
3230.37,4.39
3262.67,4.04
3295.30,3.68
3328.25,3.32
3361.53,2.95
3395.15,2.60
3429.10,2.25
3463.39,1.90
3498.03,1.55
3533.01,1.18
3568.34,0.80
3604.02,0.42
3640.06,0.02
3676.46,-0.40
3713.22,-0.85
3750.36,-1.33
3787.86,-1.83
3825.74,-2.36
3864.00,-2.92
3902.64,-3.51
3941.66,-4.14
3981.08,-4.82
4020.89,-5.56
4061.10,-6.34
4101.71,-7.20
4142.73,-8.13
4184.15,-9.09
4226.00,-10.06
4268.26,-10.93
4310.94,-11.60
4354.05,-11.98
4397.59,-11.84
4441.56,-11.28
4485.98,-10.37
4530.84,-9.07
4576.15,-7.60
4621.91,-6.05
4668.13,-4.48
4714.81,-2.95
4761.96,-1.47
4809.58,-0.07
4857.67,1.19
4906.25,2.30
4955.31,3.23
5004.87,3.89
5054.91,4.32
5105.46,4.52
5156.52,4.44
5208.08,4.22
5260.16,3.89
5312.77,3.49
5365.89,3.09
5419.55,2.71
5473.75,2.37
5528.49,2.07
5583.77,1.78
5639.61,1.50
5696.00,1.22
5752.96,0.95
5810.49,0.68
5868.60,0.40
5927.28,0.11
5986.56,-0.21
6046.42,-0.55
6106.89,-0.94
6167.96,-1.37
6229.64,-1.85
6291.93,-2.37
6354.85,-2.89
6418.40,-3.41
6482.58,-3.94
6547.41,-4.47
6612.88,-5.02
6679.01,-5.61
6745.80,-6.22
6813.26,-6.84
6881.39,-7.47
6950.21,-8.04
7019.71,-8.54
7089.91,-8.81
7160.81,-8.83
7232.41,-8.64
7304.74,-8.15
7377.79,-7.45
7451.56,-6.63
7526.08,-5.70
7601.34,-4.75
7677.35,-3.78
7754.13,-2.83
7831.67,-1.89
7909.98,-0.97
7989.08,-0.07
8068.98,0.77
8149.67,1.53
8231.16,2.19
8313.47,2.66
8396.61,2.94
8480.57,3.06
8565.38,3.02
8651.03,2.87
8737.54,2.64
8824.92,2.34
8913.17,2.10
9002.30,1.78
9092.32,1.17
9183.25,0.56
9275.08,-0.02
9367.83,-1.08
9461.51,-2.37
9556.12,-3.60
9651.68,-4.80
9748.20,-5.93
9845.68,-6.95
9944.14,-7.83
10043.58,-8.39
10144.02,-8.59
10245.46,-8.48
10347.91,-8.05
10451.39,-7.36
10555.91,-6.50
10661.46,-5.49
10768.08,-4.55
10875.76,-3.75
10984.52,-3.12
11094.36,-2.70
11205.31,-2.40
11317.36,-2.08
11430.53,-1.78
11544.84,-2.04
11660.29,-2.62
11776.89,-2.67
11894.66,-2.86
12013.60,-3.23
12133.74,-3.23
12255.08,-3.29
12377.63,-3.41
12501.41,-3.50
12626.42,-3.74
12752.68,-4.14
12880.21,-4.70
13009.01,-5.39
13139.10,-6.12
13270.49,-6.75
13403.20,-7.18
13537.23,-7.50
13672.60,-7.73
13809.33,-7.94
13947.42,-8.04
14086.90,-8.08
14227.77,-8.06
14370.04,-8.13
14513.74,-8.30
14658.88,-8.60
14805.47,-9.16
14953.52,-9.91
15103.06,-10.82
15254.09,-11.89
15406.63,-12.99
15560.70,-14.08
15716.30,-15.06
15873.47,-15.87
16032.20,-16.54
16192.52,-17.08
16354.45,-17.53
16517.99,-17.94
16683.17,-18.33
16850.01,-18.72
17018.51,-19.09
17188.69,-19.43
17360.58,-19.73
17534.18,-20.04
17709.53,-20.35
17886.62,-20.66
18065.49,-21.00
18246.14,-21.34
18428.60,-21.63
18612.89,-21.88
18799.02,-22.07
18987.01,-22.17
19176.88,-22.20
19368.65,-22.20
19562.33,-22.19
19757.96,-22.25
19955.54,-22.40
