frequency,raw
20.00,3.41
20.20,3.44
20.40,3.46
20.61,3.49
20.81,3.52
21.02,3.54
21.23,3.57
21.44,3.59
21.66,3.62
21.87,3.65
22.09,3.67
22.31,3.69
22.54,3.72
22.76,3.74
22.99,3.77
23.22,3.80
23.45,3.82
23.69,3.85
23.92,3.88
24.16,3.91
24.40,3.93
24.65,3.96
24.89,3.99
25.14,4.01
25.39,4.04
25.65,4.07
25.91,4.09
26.16,4.12
26.43,4.15
26.69,4.18
26.96,4.21
27.23,4.23
27.50,4.26
27.77,4.28
28.05,4.30
28.33,4.32
28.62,4.34
28.90,4.36
29.19,4.38
29.48,4.39
29.78,4.41
30.08,4.42
30.38,4.43
30.68,4.44
30.99,4.45
31.30,4.45
31.61,4.45
31.93,4.45
32.24,4.45
32.57,4.44
32.89,4.44
33.22,4.44
33.55,4.43
33.89,4.42
34.23,4.42
34.57,4.41
34.92,4.41
35.27,4.41
35.62,4.40
35.97,4.40
36.33,4.40
36.70,4.39
37.06,4.39
37.43,4.39
37.81,4.38
38.19,4.38
38.57,4.37
38.95,4.36
39.34,4.35
39.74,4.35
40.14,4.34
40.54,4.32
40.94,4.31
41.35,4.30
41.76,4.29
42.18,4.28
42.60,4.27
43.03,4.26
43.46,4.25
43.90,4.23
44.33,4.22
44.78,4.21
45.23,4.19
45.68,4.18
46.13,4.16
46.60,4.15
47.06,4.13
47.53,4.11
48.01,4.10
48.49,4.09
48.97,4.07
49.46,4.05
49.96,4.03
50.46,4.02
50.96,4.00
51.47,3.98
51.99,3.96
52.51,3.94
53.03,3.93
53.56,3.91
54.10,3.89
54.64,3.86
55.18,3.84
55.74,3.83
56.29,3.81
56.86,3.79
57.42,3.77
58.00,3.75
58.58,3.74
59.16,3.73
59.76,3.71
60.35,3.70
60.96,3.69
61.57,3.68
62.18,3.68
62.80,3.68
63.43,3.68
64.07,3.68
64.71,3.67
65.35,3.66
66.01,3.65
66.67,3.63
67.33,3.61
68.01,3.59
68.69,3.57
69.37,3.55
70.07,3.53
70.77,3.51
71.48,3.51
72.19,3.50
72.91,3.50
73.64,3.50
74.38,3.50
75.12,3.50
75.87,3.49
76.63,3.48
77.40,3.47
78.17,3.47
78.95,3.46
79.74,3.47
80.54,3.48
81.35,3.48
82.16,3.48
82.98,3.48
83.81,3.48
84.65,3.47
85.50,3.47
86.35,3.46
87.22,3.46
88.09,3.46
88.97,3.46
89.86,3.46
90.76,3.45
91.66,3.45
92.58,3.44
93.51,3.44
94.44,3.44
95.39,3.43
96.34,3.42
97.30,3.41
98.28,3.39
99.26,3.37
100.25,3.35
101.25,3.31
102.27,3.27
103.29,3.24
104.32,3.21
105.37,3.19
106.42,3.18
107.48,3.16
108.56,3.14
109.64,3.11
110.74,3.08
111.85,3.04
112.97,3.00
114.10,2.96
115.24,2.91
116.39,2.86
117.55,2.80
118.73,2.75
119.92,2.71
121.12,2.68
122.33,2.64
123.55,2.61
124.79,2.56
126.03,2.50
127.29,2.43
128.57,2.35
129.85,2.26
131.15,2.19
132.46,2.12
133.79,2.07
135.12,2.02
136.48,1.96
137.84,1.89
139.22,1.81
140.61,1.72
142.02,1.63
143.44,1.55
144.87,1.48
146.32,1.40
147.78,1.35
149.26,1.29
150.75,1.22
152.26,1.14
153.78,1.05
155.32,0.94
156.88,0.85
158.44,0.75
160.03,0.67
161.63,0.59
163.24,0.52
164.88,0.44
166.53,0.35
168.19,0.26
169.87,0.17
171.57,0.06
173.29,-0.05
175.02,-0.15
176.77,-0.27
178.54,-0.37
180.32,-0.48
182.13,-0.58
183.95,-0.67
185.79,-0.75
187.65,-0.83
189.52,-0.92
191.42,-1.01
193.33,-1.10
195.27,-1.20
197.22,-1.29
199.19,-1.37
201.18,-1.44
203.19,-1.49
