frequency,raw
20.00,-9.79
20.20,-9.80
20.40,-9.82
20.61,-9.83
20.81,-9.85
21.02,-9.87
21.23,-9.96
21.44,-10.05
21.66,-10.14
21.87,-10.24
22.09,-10.34
22.31,-10.45
22.54,-10.57
22.76,-10.68
22.99,-10.79
23.22,-10.74
23.45,-10.67
23.69,-10.61
23.92,-10.54
24.16,-10.44
24.40,-10.32
24.65,-10.20
24.89,-10.08
25.14,-10.01
25.39,-9.98
25.65,-9.95
25.91,-9.91
26.16,-9.82
26.43,-9.70
26.69,-9.57
26.96,-9.45
27.23,-9.32
27.50,-9.19
27.77,-9.06
28.05,-8.94
28.33,-8.81
28.62,-8.68
28.90,-8.55
29.19,-8.41
29.48,-8.26
29.78,-8.10
30.08,-7.98
30.38,-7.92
30.68,-7.86
30.99,-7.80
31.30,-7.76
31.61,-7.72
31.93,-7.68
32.24,-7.61
32.57,-7.52
32.89,-7.44
33.22,-7.36
33.55,-7.29
33.89,-7.21
34.23,-7.13
34.57,-7.04
34.92,-6.95
35.27,-6.86
35.62,-6.77
35.97,-6.69
36.33,-6.62
36.70,-6.55
37.06,-6.49
37.43,-6.43
37.81,-6.36
38.19,-6.29
38.57,-6.22
38.95,-6.14
39.34,-6.04
39.74,-5.94
40.14,-5.84
40.54,-5.73
40.94,-5.62
41.35,-5.51
41.76,-5.40
42.18,-5.30
42.60,-5.19
43.03,-5.09
43.46,-5.01
43.90,-4.92
44.33,-4.83
44.78,-4.74
45.23,-4.65
45.68,-4.56
46.13,-4.47
46.60,-4.36
47.06,-4.25
47.53,-4.14
48.01,-4.02
48.49,-3.90
48.97,-3.78
49.46,-3.65
49.96,-3.52
50.46,-3.40
50.96,-3.27
51.47,-3.15
51.99,-3.03
52.51,-2.91
53.03,-2.79
53.56,-2.67
54.10,-2.55
54.64,-2.42
55.18,-2.30
55.74,-2.18
56.29,-2.06
56.86,-1.94
57.42,-1.82
58.00,-1.71
58.58,-1.60
59.16,-1.49
59.76,-1.39
60.35,-1.29
60.96,-1.20
61.57,-1.10
62.18,-1.01
62.80,-0.93
63.43,-0.84
64.07,-0.75
64.71,-0.67
65.35,-0.60
66.01,-0.54
66.67,-0.49
67.33,-0.44
68.01,-0.40
68.69,-0.37
69.37,-0.33
70.07,-0.30
70.77,-0.26
71.48,-0.23
72.19,-0.19
72.91,-0.16
73.64,-0.13
74.38,-0.09
75.12,-0.07
75.87,-0.04
76.63,-0.03
77.40,-0.02
78.17,-0.01
78.95,0.00
79.74,0.01
80.54,0.04
81.35,0.05
82.16,0.06
82.98,0.07
83.81,0.07
84.65,0.08
85.50,0.08
86.35,0.07
87.22,0.08
88.09,0.08
88.97,0.08
89.86,0.08
90.76,0.08
91.66,0.08
92.58,0.07
93.51,0.07
94.44,0.07
95.39,0.06
96.34,0.05
97.30,0.05
98.28,0.03
99.26,0.02
100.25,-0.00
101.25,-0.03
102.27,-0.06
103.29,-0.08
104.32,-0.10
105.37,-0.11
106.42,-0.12
107.48,-0.13
108.56,-0.14
109.64,-0.15
110.74,-0.17
111.85,-0.20
112.97,-0.23
114.10,-0.26
115.24,-0.29
116.39,-0.33
117.55,-0.37
118.73,-0.39
119.92,-0.42
121.12,-0.43
122.33,-0.44
123.55,-0.46
124.79,-0.48
126.03,-0.51
127.29,-0.56
128.57,-0.61
129.85,-0.66
131.15,-0.70
132.46,-0.74
133.79,-0.76
135.12,-0.76
136.48,-0.78
137.84,-0.82
139.22,-0.86
140.61,-0.90
142.02,-0.94
143.44,-0.98
144.87,-1.02
146.32,-1.03
147.78,-1.05
149.26,-1.06
150.75,-1.07
152.26,-1.10
153.78,-1.13
155.32,-1.18
156.88,-1.22
158.44,-1.25
160.03,-1.27
161.63,-1.29
163.24,-1.30
164.88,-1.31
166.53,-1.33
168.19,-1.35
169.87,-1.38
171.57,-1.42
173.29,-1.46
175.02,-1.49
176.77,-1.53
178.54,-1.57
180.32,-1.61
182.13,-1.64
183.95,-1.66
185.79,-1.67
187.65,-1.68
189.52,-1.70
191.42,-1.73
193.33,-1.76
195.27,-1.80
197.22,-1.85
199.19,-1.89
201.18,-1.93
203.19,-1.97
205.23,-1.99
207.28,-2.02
209.35,-2.03
211.44,-2.04
213.56,-2.05
215.69,-2.06
217.85,-2.07
220.03,-2.08
222.23,-2.11
224.45,-2.14
226.70,-2.18
228.96,-2.21
231.25,-2.23
233.57,-2.26
235.90,-2.26
238.26,-2.27
240.64,-2.28
243.05,-2.29
245.48,-2.30
247.93,-2.32
250.41,-2.34
252.92,-2.38
255.45,-2.42
258.00,-2.46
260.58,-2.51
263.19,-2.56
265.82,-2.60
268.48,-2.63
271.16,-2.66
273.87,-2.69
276.61,-2.72
279.38,-2.74
282.17,-2.75
284.99,-2.77
287.84,-2.79
290.72,-2.81
293.63,-2.83
296.57,-2.85
299.53,-2.87
302.53,-2.89
305.55,-2.92
308.61,-2.94
311.69,-2.96
314.81,-2.99
317.96,-3.01
321.14,-3.04
324.35,-3.07
327.59,-3.10
330.87,-3.13
334.18,-3.16
337.52,-3.20
340.90,-3.22
344.30,-3.25
347.75,-3.29
351.23,-3.32
354.74,-3.36
358.28,-3.39
361.87,-3.42
365.49,-3.45
369.14,-3.48
372.83,-3.51
376.56,-3.55
380.33,-3.57
384.13,-3.60
387.97,-3.62
391.85,-3.65
395.77,-3.67
399.73,-3.70
403.72,-3.72
407.76,-3.74
411.84,-3.76
415.96,-3.78
420.12,-3.81
424.32,-3.82
428.56,-3.83
432.85,-3.86
437.18,-3.88
441.55,-3.90
445.96,-3.92
450.42,-3.93
454.93,-3.92
459.48,-3.90
464.07,-3.88
468.71,-3.85
473.40,-3.83
478.13,-3.82
482.91,-3.84
487.74,-3.85
492.62,-3.87
497.55,-3.87
502.52,-3.88
507.55,-3.87
512.62,-3.86
517.75,-3.83
522.93,-3.83
528.16,-3.82
533.44,-3.81
538.77,-3.80
544.16,-3.79
549.60,-3.78
555.10,-3.77
560.65,-3.75
566.25,-3.74
571.92,-3.72
577.64,-3.70
583.41,-3.68
589.25,-3.66
595.14,-3.63
601.09,-3.61
607.10,-3.58
613.17,-3.56
619.30,-3.53
625.50,-3.49
631.75,-3.46
638.07,-3.42
644.45,-3.38
650.89,-3.33
657.40,-3.28
663.98,-3.24
670.62,-3.17
677.32,-3.11
684.10,-3.05
690.94,-2.98
697.85,-2.92
704.83,-2.85
711.87,-2.80
718.99,-2.74
726.18,-2.69
733.44,-2.62
740.78,-2.56
748.19,-2.51
755.67,-2.47
763.23,-2.44
770.86,-2.41
778.57,-2.39
786.35,-2.36
794.22,-2.31
802.16,-2.26
810.18,-2.19
818.28,-2.11
826.46,-2.00
834.73,-1.87
843.08,-1.72
851.51,-1.55
860.02,-1.37
868.62,-1.18
877.31,-1.00
886.08,-0.83
894.94,-0.67
903.89,-0.52
912.93,-0.39
922.06,-0.27
931.28,-0.16
940.59,-0.07
950.00,-0.00
959.50,0.05
969.09,0.08
978.78,0.10
988.57,0.07
998.46,0.01
1008.44,-0.09
1018.53,-0.25
1028.71,-0.43
1039.00,-0.67
1049.39,-0.93
1059.88,-1.22
1070.48,-1.53
1081.19,-1.85
1092.00,-2.20
1102.92,-2.54
1113.95,-2.89
1125.09,-3.23
1136.34,-3.53
1147.70,-3.79
1159.18,-4.02
1170.77,-4.21
1182.48,-4.38
1194.30,-4.57
1206.25,-4.76
1218.31,-4.99
1230.49,-5.24
1242.80,-5.50
1255.22,-5.77
1267.78,-6.04
1280.45,-6.31
1293.26,-6.58
1306.19,-6.84
1319.25,-7.11
1332.45,-7.36
1345.77,-7.60
1359.23,-7.85
1372.82,-8.09
1386.55,-8.31
1400.41,-8.52
1414.42,-8.74
1428.56,-8.93
1442.85,-9.12
1457.28,-9.32
1471.85,-9.52
1486.57,-9.72
1501.43,-9.94
1516.45,-10.17
1531.61,-10.41
1546.93,-10.68
1562.40,-10.96
1578.02,-11.26
1593.80,-11.57
1609.74,-11.89
1625.84,-12.20
1642.10,-12.47
1658.52,-12.69
1675.10,-12.83
1691.85,-12.86
1708.77,-12.79
1725.86,-12.61
1743.12,-12.33
1760.55,-12.00
1778.15,-11.62
1795.94,-11.24
1813.90,-10.85
1832.03,-10.47
1850.36,-10.09
