frequency,raw
20.00,4.95
20.20,4.97
20.40,4.99
20.61,5.01
20.81,5.03
21.02,5.05
21.23,5.07
21.44,5.09
21.66,5.11
21.87,5.13
22.09,5.15
22.31,5.16
22.54,5.18
22.76,5.20
22.99,5.21
23.22,5.22
23.45,5.23
23.69,5.25
23.92,5.26
24.16,5.27
24.40,5.28
24.65,5.28
24.89,5.29
25.14,5.30
25.39,5.30
25.65,5.30
25.91,5.31
26.16,5.31
26.43,5.31
26.69,5.31
26.96,5.31
27.23,5.31
27.50,5.30
27.77,5.30
28.05,5.29
28.33,5.29
28.62,5.28
28.90,5.27
29.19,5.26
29.48,5.25
29.78,5.24
30.08,5.22
30.38,5.21
30.68,5.19
30.99,5.17
31.30,5.16
31.61,5.14
31.93,5.12
32.24,5.09
32.57,5.07
32.89,5.05
33.22,5.02
33.55,4.99
33.89,4.97
34.23,4.94
34.57,4.91
34.92,4.88
35.27,4.85
35.62,4.82
35.97,4.78
36.33,4.75
36.70,4.72
37.06,4.68
37.43,4.64
37.81,4.61
38.19,4.57
38.57,4.53
38.95,4.49
39.34,4.45
39.74,4.42
40.14,4.38
40.54,4.34
40.94,4.30
41.35,4.26
41.76,4.22
42.18,4.18
42.60,4.14
43.03,4.10
43.46,4.07
43.90,4.03
44.33,3.99
44.78,3.95
45.23,3.91
45.68,3.87
46.13,3.84
46.60,3.80
47.06,3.77
47.53,3.73
48.01,3.70
48.49,3.66
48.97,3.63
49.46,3.60
49.96,3.57
50.46,3.53
50.96,3.50
51.47,3.47
51.99,3.44
52.51,3.42
53.03,3.39
53.56,3.36
54.10,3.33
54.64,3.31
55.18,3.28
55.74,3.26
56.29,3.23
56.86,3.21
57.42,3.19
58.00,3.16
58.58,3.14
59.16,3.12
59.76,3.10
60.35,3.08
60.96,3.06
61.57,3.04
62.18,3.03
62.80,3.01
63.43,2.99
64.07,2.98
64.71,2.96
65.35,2.95
66.01,2.93
66.67,2.91
67.33,2.90
68.01,2.88
68.69,2.87
69.37,2.85
70.07,2.84
70.77,2.82
71.48,2.81
72.19,2.80
72.91,2.78
73.64,2.77
74.38,2.75
75.12,2.74
75.87,2.73
76.63,2.71
77.40,2.70
78.17,2.68
78.95,2.67
79.74,2.65
80.54,2.64
81.35,2.62
82.16,2.61
82.98,2.59
83.81,2.58
84.65,2.56
85.50,2.55
86.35,2.53
87.22,2.51
88.09,2.49
88.97,2.48
89.86,2.46
90.76,2.44
91.66,2.42
92.58,2.40
93.51,2.38
94.44,2.36
95.39,2.34
96.34,2.32
97.30,2.30
98.28,2.28
99.26,2.26
100.25,2.24
101.25,2.21
102.27,2.19
103.29,2.16
104.32,2.14
105.37,2.11
106.42,2.09
107.48,2.06
108.56,2.03
109.64,2.01
110.74,1.98
111.85,1.95
112.97,1.92
114.10,1.90
115.24,1.87
116.39,1.84
117.55,1.81
118.73,1.78
119.92,1.75
121.12,1.72
122.33,1.69
123.55,1.67
124.79,1.64
126.03,1.61
127.29,1.58
128.57,1.55
129.85,1.52
131.15,1.49
132.46,1.46
133.79,1.43
135.12,1.39
136.48,1.36
137.84,1.33
139.22,1.30
140.61,1.26
142.02,1.23
143.44,1.20
144.87,1.16
146.32,1.13
147.78,1.09
149.26,1.06
150.75,1.02
152.26,0.98
153.78,0.95
155.32,0.91
156.88,0.87
158.44,0.84
160.03,0.80
161.63,0.76
163.24,0.72
164.88,0.69
166.53,0.65
168.19,0.61
169.87,0.57
171.57,0.53
173.29,0.50
175.02,0.46
176.77,0.42
178.54,0.38
180.32,0.34
182.13,0.31
183.95,0.27
185.79,0.23
187.65,0.20
189.52,0.16
191.42,0.13
193.33,0.09
195.27,0.06
197.22,0.02
199.19,-0.01
201.18,-0.05
203.19,-0.08
205.23,-0.11
207.28,-0.15
209.35,-0.18
211.44,-0.21
213.56,-0.24
215.69,-0.27
217.85,-0.30
220.03,-0.33
222.23,-0.36
224.45,-0.38
226.70,-0.41
228.96,-0.44
231.25,-0.46
233.57,-0.49
235.90,-0.51
238.26,-0.53
240.64,-0.56
243.05,-0.58
245.48,-0.60
247.93,-0.62
250.41,-0.64
252.92,-0.66
255.45,-0.68
258.00,-0.69
260.58,-0.71
263.19,-0.72
265.82,-0.74
268.48,-0.75
271.16,-0.77
273.87,-0.78
276.61,-0.79
279.38,-0.80
282.17,-0.81
284.99,-0.82
287.84,-0.83
290.72,-0.84
293.63,-0.85
296.57,-0.87
299.53,-0.88
302.53,-0.89
305.55,-0.90
308.61,-0.91
311.69,-0.92
314.81,-0.92
317.96,-0.92
321.14,-0.92
324.35,-0.92
327.59,-0.92
330.87,-0.92
334.18,-0.93
337.52,-0.93
340.90,-0.93
344.30,-0.93
347.75,-0.94
351.23,-0.94
354.74,-0.94
358.28,-0.95
361.87,-0.96
365.49,-0.97
369.14,-0.98
372.83,-0.99
376.56,-1.01
380.33,-1.03
384.13,-1.06
387.97,-1.09
391.85,-1.12
395.77,-1.15
399.73,-1.19
403.72,-1.23
407.76,-1.28
411.84,-1.32
415.96,-1.37
420.12,-1.42
424.32,-1.47
428.56,-1.52
432.85,-1.57
437.18,-1.62
441.55,-1.68
445.96,-1.73
450.42,-1.78
454.93,-1.84
459.48,-1.89
464.07,-1.95
468.71,-2.01
473.40,-2.06
478.13,-2.12
482.91,-2.18
487.74,-2.23
492.62,-2.29
497.55,-2.34
502.52,-2.40
507.55,-2.45
512.62,-2.50
517.75,-2.55
522.93,-2.60
528.16,-2.65
533.44,-2.69
538.77,-2.73
544.16,-2.76
549.60,-2.79
555.10,-2.82
560.65,-2.85
566.25,-2.87
571.92,-2.88
577.64,-2.90
583.41,-2.90
589.25,-2.91
595.14,-2.91
601.09,-2.91
607.10,-2.90
613.17,-2.89
619.30,-2.88
625.50,-2.87
631.75,-2.85
638.07,-2.83
644.45,-2.81
650.89,-2.79
657.40,-2.77
663.98,-2.75
670.62,-2.73
677.32,-2.71
684.10,-2.69
690.94,-2.67
697.85,-2.64
704.83,-2.62
711.87,-2.60
718.99,-2.57
726.18,-2.55
733.44,-2.52
740.78,-2.49
748.19,-2.46
755.67,-2.42
763.23,-2.39
770.86,-2.34
778.57,-2.30
786.35,-2.25
794.22,-2.20
802.16,-2.14
810.18,-2.07
818.28,-2.00
826.46,-1.93
834.73,-1.85
843.08,-1.76
851.51,-1.67
860.02,-1.58
868.62,-1.48
877.31,-1.37
886.08,-1.27
894.94,-1.16
903.89,-1.05
912.93,-0.93
922.06,-0.82
931.28,-0.71
940.59,-0.60
950.00,-0.50
959.50,-0.39
969.09,-0.29
978.78,-0.19
988.57,-0.10
998.46,-0.01
1008.44,0.07
1018.53,0.15
1028.71,0.23
1039.00,0.30
1049.39,0.37
1059.88,0.43
1070.48,0.49
1081.19,0.55
1092.00,0.61
1102.92,0.66
1113.95,0.71
1125.09,0.76
1136.34,0.81
1147.70,0.85
1159.18,0.90
1170.77,0.94
1182.48,0.98
1194.30,1.02
1206.25,1.06
1218.31,1.10
1230.49,1.14
1242.80,1.17
1255.22,1.21
1267.78,1.25
1280.45,1.28
1293.26,1.32
1306.19,1.35
1319.25,1.39
1332.45,1.43
1345.77,1.47
1359.23,1.52
1372.82,1.56
1386.55,1.61
1400.41,1.67
1414.42,1.73
1428.56,1.79
1442.85,1.86
1457.28,1.94
1471.85,2.02
1486.57,2.11
1501.43,2.21
1516.45,2.32
1531.61,2.43
1546.93,2.55
1562.40,2.68
1578.02,2.81
1593.80,2.96
1609.74,3.10
1625.84,3.26
1642.10,3.42
1658.52,3.58
1675.10,3.75
1691.85,3.92
1708.77,4.09
1725.86,4.26
1743.12,4.43
1760.55,4.59
1778.15,4.76
1795.94,4.92
1813.90,5.09
1832.03,5.25
1850.36,5.40
1868.86,5.55
1887.55,5.70
1906.42,5.83
1925.49,5.96
1944.74,6.09
1964.19,6.20
1983.83,6.31
2003.67,6.41
2023.71,6.50
2043.94,6.58
2064.38,6.65
2085.03,6.72
2105.88,6.78
2126.94,6.84
2148.20,6.90
2169.69,6.95
2191.38,6.99
2213.30,7.04
2235.43,7.08
2257.78,7.12
2280.36,7.16
2303.17,7.21
2326.20,7.26
2349.46,7.32
2372.95,7.39
2396.68,7.45
2420.65,7.52
2444.86,7.60
2469.31,7.67
2494.00,7.74
2518.94,7.81
2544.13,7.88
2569.57,7.95
2595.27,8.01
2621.22,8.07
2647.43,8.14
2673.90,8.20
2700.64,8.25
2727.65,8.31
2754.93,8.36
2782.48,8.41
2810.30,8.45
2838.40,8.48
2866.79,8.51
2895.46,8.53
2924.41,8.55
2953.65,8.55
2983.19,8.55
3013.02,8.54
3043.15,8.52
3073.58,8.49
3104.32,8.45
3135.36,8.41
3166.72,8.35
3198.38,8.29
3230.37,8.22
3262.67,8.15
3295.30,8.07
3328.25,7.99
3361.53,7.90
3395.15,7.82
3429.10,7.73
3463.39,7.65
3498.03,7.57
3533.01,7.49
3568.34,7.42
3604.02,7.34
3640.06,7.27
3676.46,7.20
3713.22,7.14
3750.36,7.10
3787.86,7.07
3825.74,7.07
3864.00,7.11
3902.64,7.17
3941.66,7.26
3981.08,7.38
4020.89,7.53
4061.10,7.69
4101.71,7.86
4142.73,8.03
4184.15,8.20
4226.00,8.34
4268.26,8.46
4310.94,8.55
4354.05,8.60
4397.59,8.60
4441.56,8.57
4485.98,8.50
4530.84,8.39
4576.15,8.26
4621.91,8.11
4668.13,7.94
4714.81,7.78
4761.96,7.62
4809.58,7.47
4857.67,7.33
4906.25,7.20
4955.31,7.08
5004.87,6.98
5054.91,6.88
5105.46,6.78
5156.52,6.69
5208.08,6.59
5260.16,6.49
5312.77,6.38
5365.89,6.25
5419.55,6.12
5473.75,5.96
5528.49,5.79
5583.77,5.61
5639.61,5.42
5696.00,5.21
5752.96,4.99
5810.49,4.77
5868.60,4.55
5927.28,4.33
5986.56,4.12
6046.42,3.92
6106.89,3.74
6167.96,3.57
6229.64,3.45
6291.93,3.34
6354.85,3.27
6418.40,3.23
6482.58,3.19
6547.41,3.16
6612.88,3.08
6679.01,2.95
6745.80,2.75
6813.26,2.41
6881.39,1.95
6950.21,1.38
7019.71,0.67
7089.91,-0.13
7160.81,-0.98
7232.41,-1.87
7304.74,-2.73
7377.79,-3.54
7451.56,-4.30
7526.08,-4.94
7601.34,-5.51
7677.35,-6.01
7754.13,-6.41
7831.67,-6.75
7909.98,-7.05
7989.08,-7.27
8068.98,-7.44
8149.67,-7.56
8231.16,-7.61
8313.47,-7.58
8396.61,-7.49
8480.57,-7.34
8565.38,-7.10
8651.03,-6.81
8737.54,-6.46
8824.92,-6.01
8913.17,-5.51
9002.30,-4.95
9092.32,-4.30
9183.25,-3.57
9275.08,-2.79
9367.83,-1.94
9461.51,-1.04
9556.12,-0.13
9651.68,0.79
9748.20,1.63
9845.68,2.36
9944.14,2.96
10043.58,3.22
10144.02,3.26
10245.46,3.07
10347.91,2.50
10451.39,1.73
10555.91,0.81
10661.46,-0.28
10768.08,-1.40
10875.76,-2.52
10984.52,-3.58
11094.36,-4.51
11205.31,-5.36
11317.36,-6.09
11430.53,-6.70
11544.84,-7.25
11660.29,-7.73
11776.89,-8.12
11894.66,-8.45
12013.60,-8.74
12133.74,-8.96
12255.08,-9.14
12377.63,-9.29
12501.41,-9.41
12626.42,-9.52
12752.68,-9.65
12880.21,-9.79
13009.01,-10.01
13139.10,-10.25
13270.49,-10.49
13403.20,-10.58
13537.23,-10.56
13672.60,-10.41
13809.33,-9.96
13947.42,-9.31
14086.90,-8.48
14227.77,-7.42
14370.04,-6.27
14513.74,-5.09
14658.88,-3.95
14805.47,-3.00
