frequency,raw
20.00,1.23
20.20,1.26
20.40,1.30
20.61,1.34
20.81,1.37
21.02,1.41
21.23,1.45
21.44,1.49
21.66,1.52
21.87,1.56
22.09,1.60
22.31,1.64
22.54,1.68
22.76,1.72
22.99,1.77
23.22,1.81
23.45,1.85
23.69,1.89
23.92,1.94
24.16,1.98
24.40,2.02
24.65,2.07
24.89,2.12
25.14,2.16
25.39,2.21
25.65,2.25
25.91,2.30
26.16,2.34
26.43,2.38
26.69,2.42
26.96,2.46
27.23,2.50
27.50,2.54
27.77,2.58
28.05,2.62
28.33,2.66
28.62,2.71
28.90,2.75
29.19,2.79
29.48,2.83
29.78,2.86
30.08,2.90
30.38,2.93
30.68,2.96
30.99,2.99
31.30,3.02
31.61,3.04
31.93,3.07
32.24,3.09
32.57,3.11
32.89,3.12
33.22,3.14
33.55,3.15
33.89,3.17
34.23,3.18
34.57,3.20
34.92,3.21
35.27,3.22
35.62,3.23
35.97,3.24
36.33,3.25
36.70,3.26
37.06,3.26
37.43,3.27
37.81,3.28
38.19,3.28
38.57,3.29
38.95,3.29
39.34,3.30
39.74,3.30
40.14,3.30
40.54,3.31
40.94,3.31
41.35,3.31
41.76,3.31
42.18,3.31
42.60,3.31
43.03,3.31
43.46,3.31
43.90,3.31
44.33,3.30
44.78,3.30
45.23,3.30
45.68,3.30
46.13,3.30
46.60,3.30
47.06,3.30
47.53,3.30
48.01,3.30
48.49,3.30
48.97,3.30
49.46,3.30
49.96,3.30
50.46,3.30
50.96,3.30
51.47,3.30
51.99,3.30
52.51,3.30
53.03,3.31
53.56,3.31
54.10,3.31
54.64,3.31
55.18,3.32
55.74,3.32
56.29,3.32
56.86,3.32
57.42,3.33
58.00,3.33
58.58,3.34
59.16,3.34
59.76,3.35
60.35,3.35
60.96,3.36
61.57,3.36
62.18,3.36
62.80,3.36
63.43,3.37
64.07,3.37
64.71,3.37
65.35,3.37
66.01,3.37
66.67,3.37
67.33,3.36
68.01,3.36
68.69,3.36
69.37,3.35
70.07,3.35
70.77,3.34
71.48,3.34
72.19,3.33
72.91,3.32
73.64,3.31
74.38,3.30
75.12,3.29
75.87,3.28
76.63,3.27
77.40,3.25
78.17,3.24
78.95,3.23
79.74,3.22
80.54,3.20
81.35,3.19
82.16,3.17
82.98,3.16
83.81,3.14
84.65,3.13
85.50,3.11
86.35,3.10
87.22,3.08
88.09,3.06
88.97,3.05
89.86,3.04
90.76,3.02
91.66,3.01
92.58,2.99
93.51,2.97
94.44,2.96
95.39,2.94
96.34,2.92
97.30,2.91
98.28,2.89
99.26,2.87
100.25,2.85
101.25,2.83
102.27,2.81
103.29,2.79
104.32,2.77
105.37,2.75
106.42,2.72
107.48,2.70
108.56,2.67
109.64,2.64
110.74,2.62
111.85,2.59
112.97,2.56
114.10,2.54
115.24,2.51
116.39,2.48
117.55,2.45
118.73,2.43
119.92,2.40
121.12,2.37
122.33,2.34
123.55,2.31
124.79,2.28
126.03,2.25
127.29,2.22
128.57,2.19
129.85,2.16
131.15,2.13
132.46,2.10
133.79,2.07
135.12,2.04
136.48,2.02
137.84,1.99
139.22,1.96
140.61,1.93
142.02,1.91
143.44,1.88
144.87,1.86
146.32,1.83
147.78,1.81
149.26,1.79
150.75,1.76
152.26,1.74
153.78,1.72
155.32,1.70
156.88,1.68
158.44,1.65
160.03,1.63
161.63,1.61
163.24,1.59
164.88,1.57
166.53,1.55
168.19,1.53
169.87,1.52
171.57,1.50
173.29,1.48
175.02,1.46
176.77,1.45
178.54,1.43
180.32,1.42
182.13,1.41
183.95,1.40
185.79,1.39
187.65,1.38
189.52,1.36
191.42,1.35
193.33,1.34
195.27,1.33
197.22,1.32
199.19,1.31
201.18,1.30
203.19,1.29
205.23,1.28
207.28,1.27
209.35,1.26
211.44,1.25
213.56,1.24
215.69,1.23
217.85,1.22
220.03,1.21
222.23,1.20
224.45,1.19
226.70,1.17
228.96,1.16
231.25,1.15
233.57,1.14
235.90,1.12
238.26,1.11
240.64,1.09
243.05,1.08
245.48,1.06
247.93,1.04
250.41,1.03
252.92,1.01
255.45,1.00
258.00,0.99
260.58,0.97
263.19,0.96
265.82,0.95
268.48,0.94
271.16,0.93
273.87,0.91
276.61,0.89
279.38,0.87
282.17,0.84
284.99,0.81
287.84,0.77
290.72,0.72
293.63,0.68
296.57,0.63
299.53,0.57
302.53,0.52
305.55,0.46
308.61,0.40
311.69,0.34
314.81,0.27
317.96,0.20
321.14,0.13
324.35,0.06
327.59,-0.02
330.87,-0.09
334.18,-0.17
337.52,-0.26
340.90,-0.34
344.30,-0.43
347.75,-0.51
351.23,-0.60
354.74,-0.69
358.28,-0.77
361.87,-0.85
365.49,-0.92
369.14,-1.00
372.83,-1.08
376.56,-1.16
380.33,-1.24
384.13,-1.32
387.97,-1.40
391.85,-1.48
395.77,-1.57
399.73,-1.65
403.72,-1.74
407.76,-1.82
411.84,-1.91
415.96,-1.99
420.12,-2.08
424.32,-2.16
428.56,-2.24
432.85,-2.33
437.18,-2.40
441.55,-2.48
445.96,-2.56
450.42,-2.65
454.93,-2.75
459.48,-2.84
464.07,-2.94
468.71,-3.03
473.40,-3.12
478.13,-3.21
482.91,-3.30
487.74,-3.39
492.62,-3.47
497.55,-3.56
502.52,-3.64
507.55,-3.72
512.62,-3.79
517.75,-3.86
522.93,-3.93
528.16,-3.99
533.44,-4.05
538.77,-4.10
544.16,-4.14
549.60,-4.18
555.10,-4.21
