frequency,raw
20.00,5.22
20.20,5.25
20.40,5.27
20.61,5.30
20.81,5.34
21.02,5.37
21.23,5.41
21.44,5.44
21.66,5.48
21.87,5.53
22.09,5.58
22.31,5.62
22.54,5.67
22.76,5.73
22.99,5.77
23.22,5.82
23.45,5.87
23.69,5.92
23.92,5.96
24.16,6.01
24.40,6.05
24.65,6.09
24.89,6.13
25.14,6.18
25.39,6.22
25.65,6.27
25.91,6.31
26.16,6.36
26.43,6.40
26.69,6.45
26.96,6.49
27.23,6.53
27.50,6.57
27.77,6.61
28.05,6.66
28.33,6.69
28.62,6.73
28.90,6.76
29.19,6.80
29.48,6.84
29.78,6.87
30.08,6.90
30.38,6.93
30.68,6.96
30.99,7.00
31.30,7.01
31.61,7.04
31.93,7.05
32.24,7.06
32.57,7.09
32.89,7.10
33.22,7.11
33.55,7.12
33.89,7.13
34.23,7.14
34.57,7.15
34.92,7.16
35.27,7.16
35.62,7.17
35.97,7.17
36.33,7.18
36.70,7.17
37.06,7.18
37.43,7.18
37.81,7.18
38.19,7.19
38.57,7.19
38.95,7.19
39.34,7.20
39.74,7.20
40.14,7.20
40.54,7.20
40.94,7.20
41.35,7.20
41.76,7.20
42.18,7.20
42.60,7.19
43.03,7.19
43.46,7.18
43.90,7.18
44.33,7.18
44.78,7.17
45.23,7.17
45.68,7.16
46.13,7.17
46.60,7.17
47.06,7.16
47.53,7.16
48.01,7.16
48.49,7.16
48.97,7.15
49.46,7.15
49.96,7.14
50.46,7.14
50.96,7.13
51.47,7.12
51.99,7.11
52.51,7.10
53.03,7.09
53.56,7.08
54.10,7.08
54.64,7.06
55.18,7.05
55.74,7.04
56.29,7.03
56.86,7.02
57.42,7.01
58.00,7.00
58.58,6.99
59.16,6.98
59.76,6.97
60.35,6.96
60.96,6.94
61.57,6.93
62.18,6.93
62.80,6.92
63.43,6.91
64.07,6.89
64.71,6.88
65.35,6.87
66.01,6.86
66.67,6.85
67.33,6.85
68.01,6.83
68.69,6.82
69.37,6.80
70.07,6.79
70.77,6.77
71.48,6.76
72.19,6.74
72.91,6.73
73.64,6.72
74.38,6.70
75.12,6.70
75.87,6.69
76.63,6.67
77.40,6.66
78.17,6.65
78.95,6.64
79.74,6.63
80.54,6.62
81.35,6.62
82.16,6.61
82.98,6.60
83.81,6.59
84.65,6.58
85.50,6.59
86.35,6.59
87.22,6.58
88.09,6.60
88.97,6.60
89.86,6.61
90.76,6.63
91.66,6.65
92.58,6.67
93.51,6.69
94.44,6.73
95.39,6.76
96.34,6.79
97.30,6.83
98.28,6.88
99.26,6.92
100.25,6.97
101.25,7.01
102.27,7.06
103.29,7.11
104.32,7.16
105.37,7.21
106.42,7.25
107.48,7.29
108.56,7.34
109.64,7.39
110.74,7.43
111.85,7.47
112.97,7.50
114.10,7.53
115.24,7.57
116.39,7.60
117.55,7.62
118.73,7.64
119.92,7.66
121.12,7.67
122.33,7.68
123.55,7.69
124.79,7.70
126.03,7.70
127.29,7.70
128.57,7.70
129.85,7.70
131.15,7.69
132.46,7.68
133.79,7.67
135.12,7.65
136.48,7.64
137.84,7.62
139.22,7.61
140.61,7.59
142.02,7.58
143.44,7.56
144.87,7.54
146.32,7.53
147.78,7.51
149.26,7.50
150.75,7.47
152.26,7.45
153.78,7.43
155.32,7.41
156.88,7.38
158.44,7.35
160.03,7.33
161.63,7.29
163.24,7.25
164.88,7.22
166.53,7.18
168.19,7.14
169.87,7.09
171.57,7.04
173.29,6.99
175.02,6.94
176.77,6.89
178.54,6.83
180.32,6.77
182.13,6.70
183.95,6.63
185.79,6.58
187.65,6.51
189.52,6.43
191.42,6.36
193.33,6.29
195.27,6.21
197.22,6.12
199.19,6.04
201.18,5.96
203.19,5.86
205.23,5.77
207.28,5.68
209.35,5.58
