frequency,raw
20,11.00
21,11.34
22,11.76
23,12.17
24,12.50
25,12.81
26,13.06
27,11.79
28,11.09
29,11.33
30,11.54
31,11.78
32,11.99
33,12.14
34,12.32
35,12.15
36,11.30
37,11.15
38,11.28
39,11.39
40,11.49
41,11.60
42,11.71
43,11.81
44,11.77
45,11.29
46,10.99
47,11.04
48,11.09
49,11.13
50,11.17
51,11.22
52,11.27
53,11.35
54,11.38
55,11.38
56,11.20
57,11.01
58,10.94
59,10.98
60,10.99
61,11.03
62,11.03
63,11.08
64,11.08
65,11.08
66,11.03
67,11.03
68,11.03
69,11.03
70,10.94
71,10.78
72,10.62
73,10.55
74,10.52
75,10.48
76,10.47
77,10.47
78,10.47
79,10.47
80,10.47
81,10.47
82,10.43
83,10.43
84,10.43
85,10.42
86,10.40
87,10.34
88,10.09
89,9.77
90,9.53
91,9.28
92,9.26
93,9.26
94,9.26
95,9.26
96,9.24
97,9.22
98,9.18
99,9.17
100,9.12
101,9.08
102,9.08
104,9.08
105,9.03
106,9.03
107,8.98
108,8.98
109,8.92
110,8.83
111,8.71
112,8.56
113,8.44
114,8.32
115,8.25
117,8.19
118,8.19
119,8.18
120,8.14
121,8.11
123,8.03
124,8.00
125,7.96
126,7.96
128,7.90
129,7.86
130,7.84
131,7.80
133,7.74
134,7.72
135,7.72
137,7.65
138,7.58
140,7.32
141,7.23
142,7.09
144,6.91
145,6.88
147,6.84
148,6.84
150,6.79
151,6.79
153,6.74
154,6.70
156,6.65
157,6.63
159,6.60
160,6.56
162,6.52
164,6.47
165,6.44
167,6.39
169,6.32
170,6.30
172,6.22
174,6.16
175,6.12
177,6.05
179,5.99
181,5.95
183,5.90
184,5.89
186,5.85
188,5.80
190,5.74
192,5.66
194,5.60
196,5.54
198,5.49
200,5.46
202,5.43
204,5.37
206,5.32
208,5.27
210,5.19
212,5.12
214,5.04
216,4.99
218,4.94
221,4.86
223,4.82
225,4.77
227,4.72
229,4.67
232,4.62
234,4.57
236,4.53
239,4.50
241,4.46
244,4.40
246,4.33
248,4.27
251,4.18
253,4.14
256,4.08
259,4.02
261,3.99
264,3.91
266,3.87
269,3.80
272,3.73
274,3.69
277,3.64
280,3.55
283,3.51
286,3.48
288,3.44
291,3.40
294,3.33
297,3.25
300,3.18
303,3.11
306,3.04
309,3.01
312,2.95
316,2.90
319,2.86
322,2.80
325,2.78
328,2.73
332,2.66
335,2.63
338,2.59
342,2.52
345,2.45
349,2.39
352,2.34
356,2.28
359,2.26
363,2.20
366,2.15
370,2.09
374,2.03
377,1.97
381,1.90
385,1.83
389,1.76
393,1.70
397,1.64
401,1.59
405,1.54
409,1.50
413,1.45
417,1.40
421,1.36
425,1.31
430,1.26
434,1.22
438,1.17
443,1.12
447,1.08
451,1.03
456,0.97
460,0.95
465,0.89
470,0.84
474,0.80
479,0.74
484,0.68
489,0.63
494,0.59
499,0.57
504,0.52
509,0.47
514,0.42
519,0.35
524,0.33
529,0.30
535,0.26
540,0.21
545,0.18
551,0.14
556,0.09
562,0.02
568,-0.02
573,-0.07
579,-0.10
585,-0.11
591,-0.16
596,-0.18
602,-0.22
608,-0.28
615,-0.32
621,-0.37
627,-0.39
633,-0.43
639,-0.46
646,-0.49
652,-0.53
659,-0.53
665,-0.58
672,-0.59
679,-0.63
686,-0.67
692,-0.71
699,-0.72
706,-0.77
713,-0.77
721,-0.81
728,-0.81
735,-0.81
742,-0.85
750,-0.86
757,-0.90
765,-0.91
773,-0.91
780,-0.92
788,-0.95
796,-0.95
804,-0.95
812,-0.95
820,-0.95
828,-0.95
837,-0.95
845,-0.95
853,-0.92
862,-0.91
871,-0.86
879,-0.85
888,-0.81
897,-0.77
906,-0.75
915,-0.70
924,-0.65
933,-0.59
943,-0.53
952,-0.42
962,-0.36
971,-0.25
981,-0.19
991,-0.08
1001,0.01
1011,0.12
1021,0.23
1031,0.36
1041,0.48
1052,0.62
1062,0.73
1073,0.89
1084,1.02
1094,1.17
1105,1.31
1116,1.46
1128,1.62
1139,1.75
1150,1.89
1162,2.04
1173,2.18
1185,2.34
1197,2.48
1209,2.64
1221,2.81
1233,2.94
1246,3.08
1258,3.21
1271,3.35
1283,3.48
1296,3.62
1309,3.76
1322,3.90
1335,4.02
1349,4.16
1362,4.27
1376,4.38
1390,4.51
1404,4.60
1418,4.71
1432,4.84
1446,4.98
1461,5.10
1475,5.23
1490,5.34
1505,5.45
1520,5.56
1535,5.67
1550,5.77
1566,5.89
1582,6.00
1597,6.10
1613,6.21
1629,6.32
1646,6.43
1662,6.54
1679,6.67
1696,6.81
1713,6.92
1730,7.02
1747,7.13
1764,7.24
1782,7.35
1800,7.46
1818,7.57
1836,7.70
1854,7.82
1873,7.94
1892,8.03
1911,8.14
1930,8.20
1949,8.27
1969,8.35
1988,8.41
2008,8.47
2028,8.53
2048,8.59
2069,8.64
2090,8.70
2111,8.71
2132,8.75
2153,8.75
2175,8.75
2196,8.74
2218,8.70
2240,8.70
2263,8.67
2285,8.64
2308,8.58
2331,8.52
2355,8.45
2378,8.39
2402,8.33
2426,8.26
2450,8.18
2475,8.11
2500,8.01
2525,7.94
2550,7.84
2575,7.77
2601,7.67
2627,7.59
2653,7.52
2680,7.46
2707,7.39
2734,7.33
2761,7.28
2789,7.24
2817,7.19
2845,7.13
2873,7.07
2902,7.02
2931,6.97
2960,6.94
2990,6.91
3020,6.85
3050,6.81
3080,6.77
3111,6.72
3142,6.68
3174,6.65
3206,6.60
3238,6.56
3270,6.53
3303,6.48
3336,6.44
3369,6.37
3403,6.31
3437,6.20
3471,6.12
3506,5.97
3541,5.79
3576,5.58
3612,5.34
3648,5.12
3685,4.85
3721,4.61
3759,4.31
3796,4.00
3834,3.67
3873,3.26
3911,2.72
3950,2.31
3990,1.85
4030,1.36
4070,1.03
4111,0.73
4152,0.47
4193,0.32
4235,0.29
4278,0.57
4321,0.89
4364,1.33
4407,1.89
4451,2.44
