frequency,raw
20,9.52
21,9.59
22,9.63
23,9.68
24,9.77
25,9.82
26,9.82
27,9.87
28,9.96
29,9.96
30,9.96
31,10.05
32,10.08
33,10.08
34,10.08
35,10.08
36,10.08
37,10.08
38,10.08
39,10.08
40,10.08
41,10.08
42,10.08
43,10.08
44,10.08
45,10.08
46,10.08
47,10.08
48,10.08
49,10.08
50,10.10
51,10.04
52,9.96
53,9.96
54,9.96
55,9.96
56,9.96
57,9.96
58,9.95
59,9.88
60,9.82
61,9.82
62,9.82
63,9.82
64,9.82
65,9.81
66,9.73
67,9.73
68,9.68
69,9.68
70,9.68
71,9.63
72,9.59
73,9.59
74,9.59
75,9.59
76,9.56
77,9.52
78,9.45
79,9.45
80,9.45
81,9.40
82,9.36
83,9.31
84,9.31
85,9.26
86,9.24
87,9.20
88,9.18
89,9.17
90,9.17
91,9.12
92,9.10
93,9.05
94,9.00
95,8.95
96,8.93
97,8.93
98,8.89
99,8.84
100,8.79
101,8.75
102,8.72
104,8.66
105,8.63
106,8.61
107,8.55
108,8.53
109,8.48
110,8.45
111,8.42
112,8.37
113,8.31
114,8.26
115,8.21
117,8.18
118,8.14
119,8.11
120,8.07
121,8.02
123,7.93
124,7.91
125,7.87
126,7.84
128,7.77
129,7.74
130,7.72
131,7.68
133,7.68
134,7.67
135,7.63
137,7.58
138,7.58
140,7.53
141,7.51
142,7.49
144,7.42
145,7.40
147,7.35
148,7.32
150,7.26
151,7.26
153,7.21
154,7.21
156,7.16
157,7.13
159,7.09
160,7.05
162,7.00
164,6.94
165,6.91
167,6.86
169,6.78
170,6.74
172,6.67
174,6.62
175,6.60
177,6.53
179,6.48
181,6.41
183,6.34
184,6.31
186,6.23
188,6.15
190,6.06
192,6.01
194,5.97
196,5.95
198,5.91
200,5.90
202,5.86
204,5.86
206,5.86
208,5.83
210,5.81
212,5.81
214,5.81
216,5.81
218,5.81
221,5.86
223,5.86
225,5.86
227,5.82
229,5.79
232,5.76
234,5.76
236,5.76
239,5.70
241,5.65
244,5.56
246,5.52
248,5.47
251,5.38
253,5.32
256,5.25
259,5.16
261,5.11
264,5.03
266,4.99
269,4.90
272,4.84
274,4.81
277,4.75
280,4.69
283,4.67
286,4.60
288,4.56
291,4.48
294,4.41
297,4.34
300,4.29
303,4.22
306,4.13
309,4.07
312,3.99
316,3.90
319,3.82
322,3.76
325,3.69
328,3.61
332,3.52
335,3.43
338,3.35
342,3.22
345,3.13
349,3.02
352,2.95
356,2.86
359,2.81
363,2.73
366,2.66
370,2.58
374,2.50
377,2.43
381,2.35
385,2.27
389,2.21
393,2.13
397,2.06
401,2.00
405,1.93
409,1.87
413,1.84
417,1.79
421,1.76
425,1.71
430,1.71
434,1.71
438,1.68
443,1.64
447,1.59
451,1.54
456,1.50
460,1.46
465,1.42
470,1.36
474,1.33
479,1.28
484,1.23
489,1.19
494,1.14
499,1.08
504,1.03
509,0.98
514,0.94
519,0.89
524,0.83
