frequency,raw
20,-5.78
21,-5.64
22,-5.49
23,-5.34
24,-5.21
25,-5.08
26,-4.98
27,-4.86
28,-4.76
29,-4.66
30,-4.57
31,-4.47
32,-4.39
33,-4.29
34,-4.23
35,-4.16
36,-4.07
37,-4.01
38,-3.94
39,-3.88
40,-3.82
41,-3.77
42,-3.72
43,-3.68
44,-3.64
45,-3.59
46,-3.55
47,-3.51
48,-3.51
49,-3.46
50,-3.42
51,-3.42
52,-3.38
53,-3.38
54,-3.33
55,-3.30
56,-3.29
57,-3.28
58,-3.25
59,-3.25
60,-3.20
61,-3.20
62,-3.17
63,-3.16
64,-3.16
65,-3.12
66,-3.12
67,-3.07
68,-3.07
69,-3.09
70,-3.12
71,-3.15
72,-3.21
73,-3.27
74,-3.34
75,-3.42
76,-3.51
77,-3.58
78,-3.66
79,-3.73
80,-3.77
81,-3.81
82,-3.81
83,-3.80
84,-3.74
85,-3.70
86,-3.61
87,-3.53
88,-3.41
89,-3.31
90,-3.21
91,-3.11
92,-3.03
93,-2.93
94,-2.86
95,-2.79
96,-2.75
97,-2.68
98,-2.64
99,-2.60
100,-2.56
101,-2.53
102,-2.50
104,-2.44
105,-2.42
106,-2.39
107,-2.38
108,-2.35
109,-2.34
110,-2.32
111,-2.29
112,-2.29
113,-2.25
114,-2.25
115,-2.25
117,-2.21
118,-2.21
119,-2.19
120,-2.16
121,-2.16
123,-2.16
124,-2.14
125,-2.12
126,-2.12
128,-2.12
129,-2.12
130,-2.12
131,-2.11
133,-2.08
134,-2.08
135,-2.08
137,-2.03
138,-2.03
140,-2.03
141,-2.03
142,-2.00
144,-1.99
145,-1.99
147,-1.99
148,-1.98
150,-1.95
151,-1.95
153,-1.95
154,-1.95
156,-1.90
157,-1.90
159,-1.90
160,-1.90
162,-1.90
164,-1.90
165,-1.90
167,-1.86
169,-1.86
170,-1.86
172,-1.83
174,-1.82
175,-1.82
177,-1.82
179,-1.82
181,-1.77
183,-1.77
184,-1.77
186,-1.77
188,-1.73
190,-1.73
192,-1.73
194,-1.73
196,-1.73
198,-1.69
200,-1.69
202,-1.69
204,-1.69
206,-1.69
208,-1.69
210,-1.69
212,-1.66
214,-1.64
216,-1.64
218,-1.64
221,-1.64
223,-1.64
225,-1.64
227,-1.64
229,-1.62
232,-1.60
234,-1.60
236,-1.60
239,-1.60
241,-1.60
244,-1.60
246,-1.60
248,-1.60
251,-1.58
253,-1.58
256,-1.58
259,-1.56
261,-1.56
264,-1.56
266,-1.56
269,-1.56
272,-1.56
274,-1.56
277,-1.55
280,-1.51
283,-1.51
286,-1.51
288,-1.51
291,-1.51
294,-1.51
297,-1.51
300,-1.48
303,-1.47
306,-1.47
309,-1.47
312,-1.47
316,-1.43
319,-1.43
322,-1.43
325,-1.43
328,-1.43
332,-1.43
335,-1.38
338,-1.38
342,-1.38
345,-1.38
349,-1.38
352,-1.38
356,-1.34
359,-1.34
363,-1.34
366,-1.34
370,-1.34
374,-1.34
377,-1.34
381,-1.34
385,-1.32
389,-1.30
393,-1.30
397,-1.30
401,-1.30
405,-1.30
409,-1.30
413,-1.30
417,-1.30
421,-1.26
425,-1.25
430,-1.25
434,-1.25
438,-1.25
443,-1.25
447,-1.25
451,-1.25
456,-1.25
460,-1.25
465,-1.25
470,-1.27
474,-1.32
479,-1.36
484,-1.42
489,-1.50
494,-1.57
499,-1.62
504,-1.64
509,-1.64
514,-1.64
519,-1.59
524,-1.54
529,-1.49
535,-1.41
540,-1.36
545,-1.32
551,-1.28
556,-1.23
562,-1.19
568,-1.14
573,-1.12
579,-1.08
585,-1.05
591,-1.04
596,-1.04
602,-1.04
608,-1.04
615,-1.04
621,-1.04
627,-1.04
633,-1.01
639,-1.01
646,-1.01
652,-1.01
659,-1.03
665,-1.04
672,-1.04
679,-1.04
686,-1.06
692,-1.08
699,-1.08
706,-1.07
713,-1.04
721,-1.04
728,-0.99
735,-0.99
742,-0.99
750,-0.99
757,-0.99
765,-0.99
773,-1.01
780,-0.99
788,-0.99
796,-0.95
804,-0.93
812,-0.89
820,-0.84
828,-0.76
837,-0.69
845,-0.59
853,-0.53
862,-0.43
871,-0.37
879,-0.29
888,-0.23
897,-0.19
906,-0.17
915,-0.13
924,-0.13
933,-0.08
943,-0.08
952,-0.08
962,-0.08
971,-0.04
981,-0.04
991,-0.04
1001,0.00
1011,0.00
1021,0.04
1031,0.05
1041,0.05
1052,0.09
1062,0.11
1073,0.13
1084,0.13
1094,0.18
1105,0.18
1116,0.18
1128,0.18
1139,0.18
1150,0.20
1162,0.22
1173,0.22
1185,0.24
1197,0.27
1209,0.33
1221,0.38
1233,0.44
1246,0.50
1258,0.58
1271,0.67
1283,0.76
1296,0.85
1309,0.95
1322,1.01
1335,1.10
1349,1.18
1362,1.25
1376,1.32
1390,1.40
1404,1.47
1418,1.54
1432,1.59
1446,1.64
1461,1.74
1475,1.80
1490,1.88
1505,1.94
1520,2.02
1535,2.11
1550,2.21
1566,2.31
1582,2.42
1597,2.54
1613,2.62
1629,2.74
1646,2.86
1662,2.97
1679,3.10
1696,3.22
1713,3.35
1730,3.49
1747,3.62
1764,3.74
1782,3.88
1800,3.99
1818,4.14
1836,4.24
1854,4.39
1873,4.49
1892,4.62
1911,4.74
1930,4.88
1949,4.99
1969,5.14
1988,5.24
2008,5.39
2028,5.50
2048,5.61
2069,5.74
2090,5.86
2111,5.97
2132,6.09
2153,6.24
2175,6.35
2196,6.49
2218,6.63
2240,6.74
2263,6.89
2285,7.01
2308,7.18
2331,7.34
2355,7.49
2378,7.64
2402,7.79
2426,7.95
2450,8.11
2475,8.27
2500,8.42
2525,8.56
2550,8.71
2575,8.85
2601,9.00
2627,9.16
2653,9.33
2680,9.49
2707,9.66
2734,9.80
2761,9.93
2789,10.05
2817,10.15
2845,10.24
2873,10.29
2902,10.35
2931,10.40
2960,10.45
2990,10.45
3020,10.45
3050,10.45
3080,10.41
3111,10.38
3142,10.32
3174,10.26
3206,10.21
3238,10.15
3270,10.12
3303,10.07
3336,10.02
3369,9.93
3403,9.84
3437,9.74
3471,9.66
3506,9.56
3541,9.50
3576,9.42
3612,9.39
3648,9.36
3685,9.36
3721,9.41
3759,9.43
3796,9.45
3834,9.49
3873,9.49
3911,9.49
3950,9.49
3990,9.45
4030,9.39
4070,9.35
4111,9.23
4152,9.10
4193,8.98
4235,8.83
4278,8.68
4321,8.53
4364,8.37
4407,8.24
4451,8.07
4496,7.87
4541,7.68
4586,7.50
4632,7.31
4679,7.14
4725,7.01
4773,6.91
4820,6.84
4868,6.81
4917,6.77
4966,6.82
5016,6.90
5066,6.99
5117,7.15
5168,7.37
5220,7.64
5272,7.93
5325,8.31
5378,8.71
5432,9.16
5486,9.65
5541,10.12
5596,10.57
5652,11.01
5709,11.37
5766,11.68
5823,11.91
5882,12.04
5940,12.09
6000,12.00
6060,11.82
6120,11.59
6182,11.26
6244,10.90
6306,10.50
6369,10.06
6433,9.58
6497,9.11
6562,8.63
6628,8.12
6694,7.65
6761,7.16
6828,6.71
6897,6.27
6966,5.83
7035,5.45
7106,5.06
7177,4.72
7249,4.43
7321,4.17
7394,3.97
7468,3.79
7543,3.70
7618,3.67
7694,3.74
7771,3.88
7849,4.03
7928,4.22
8007,4.43
8087,4.58
8168,4.74
8250,4.81
8332,4.70
8415,4.54
8499,4.23
8584,3.89
8670,3.43
8757,2.93
8845,2.36
8933,1.75
9022,1.14
9113,0.48
9204,-0.13
9296,-0.69
9389,-1.24
9483,-1.74
9577,-2.20
9673,-2.63
9770,-3.00
9868,-3.27
9966,-3.16
10066,-2.69
10167,-2.02
10268,-1.19
10371,-0.33
10475,0.38
10579,0.86
10685,1.12
10792,0.77
10900,0.23
11009,-0.47
11119,-1.27
11230,-2.06
11343,-2.72
11456,-3.20
11571,-3.51
11686,-3.50
11803,-3.30
11921,-3.02
12040,-2.64
12161,-2.23
12282,-1.73
12405,-1.27
12529,-0.91
12655,-0.71
12781,-1.02
12909,-1.56
13038,-2.27
13168,-3.11
13300,-4.01
13433,-4.91
13567,-5.75
13703,-6.60
13840,-7.45
13978,-8.32
14118,-9.17
14259,-9.74
14402,-10.24
14546,-10.16
14692,-9.86
14838,-9.39
14987,-8.84
15137,-8.26
15288,-7.63
15441,-6.82
15595,-5.88
15751,-4.84
15909,-3.80
16068,-2.80
16229,-2.00
16391,-1.42
16555,-1.04
16720,-0.96
16888,-1.17
17056,-1.50
17227,-1.92
17399,-2.38
17573,-2.84
17749,-3.25
17926,-3.65
18106,-4.04
18287,-4.44
18470,-4.91
18654,-5.40
18841,-5.94
19029,-6.47
19220,-6.95
19412,-7.34
19606,-7.64
19802,-7.81
20000,-7.97
