frequency,raw
20,-7.54
21,-7.24
22,-6.96
23,-6.74
24,-6.52
25,-6.29
26,-6.14
27,-6.00
28,-5.86
29,-5.78
30,-5.67
31,-5.56
32,-5.45
33,-5.39
34,-5.31
35,-5.21
36,-5.10
37,-5.02
38,-4.93
39,-4.88
40,-4.80
41,-4.71
42,-4.62
43,-4.56
44,-4.50
45,-4.42
46,-4.37
47,-4.31
48,-4.26
49,-4.21
50,-4.14
51,-4.03
52,-3.94
53,-3.88
54,-3.81
55,-3.75
56,-3.67
57,-3.60
58,-3.53
59,-3.47
60,-3.40
61,-3.32
62,-3.23
63,-3.19
64,-3.10
65,-3.04
66,-3.02
67,-2.97
68,-2.92
69,-2.89
70,-2.84
71,-2.81
72,-2.77
73,-2.70
74,-2.67
75,-2.60
76,-2.56
77,-2.49
78,-2.41
79,-2.36
80,-2.34
81,-2.31
82,-2.26
83,-2.26
84,-2.26
85,-2.23
86,-2.20
87,-2.20
88,-2.20
89,-2.20
90,-2.20
91,-2.21
92,-2.23
93,-2.24
94,-2.23
95,-2.21
96,-2.20
97,-2.19
98,-2.17
99,-2.14
100,-2.12
101,-2.09
102,-2.02
104,-1.89
105,-1.83
106,-1.77
107,-1.70
108,-1.71
109,-1.57
110,-1.48
111,-1.39
112,-1.30
113,-1.19
114,-1.21
115,-1.03
117,-0.86
118,-0.79
119,-0.70
120,-0.54
121,-0.56
123,-0.30
124,-0.16
125,-0.12
126,-0.02
128,0.14
129,0.22
130,0.33
131,0.41
133,0.55
134,0.62
135,0.65
137,0.72
138,0.76
140,0.87
141,0.86
142,0.95
144,1.08
145,1.14
147,1.24
148,1.31
150,1.47
151,1.62
153,1.69
154,1.77
156,1.93
157,1.92
159,2.11
160,2.22
162,2.31
164,2.42
165,2.54
167,2.59
169,2.69
170,2.73
172,2.79
174,2.88
175,2.92
177,2.98
179,3.01
181,3.14
183,3.20
184,3.25
186,3.36
188,3.46
190,3.53
192,3.60
194,3.68
196,3.78
198,3.79
200,3.92
202,3.99
204,4.00
206,4.14
208,4.26
210,4.30
212,4.36
214,4.45
216,4.43
218,4.51
221,4.52
223,4.54
225,4.54
227,4.53
229,4.54
232,4.55
234,4.56
236,4.54
239,4.57
241,4.61
244,4.67
246,4.75
248,4.79
251,4.81
253,4.86
256,4.92
259,4.96
261,4.99
264,5.03
266,5.04
269,5.13
272,5.26
274,5.36
277,5.51
280,5.76
283,5.95
286,6.10
288,6.18
291,6.23
294,6.24
297,6.24
300,6.22
303,6.19
306,6.18
309,6.17
312,6.17
316,6.19
319,6.19
322,6.19
325,6.18
328,6.17
332,6.19
335,6.21
338,6.20
342,6.17
345,6.19
349,6.16
352,6.16
356,6.17
359,6.14
363,6.12
366,6.11
370,6.05
374,6.04
377,5.96
381,5.95
385,5.91
389,5.85
393,5.80
397,5.78
401,5.67
405,5.65
409,5.57
413,5.59
417,5.47
421,5.43
425,5.37
430,5.39
434,5.28
438,5.24
443,5.17
447,5.17
451,5.04
456,5.01
460,4.94
465,4.90
470,4.81
474,4.77
479,4.62
484,4.58
489,4.48
494,4.44
499,4.35
504,4.28
509,4.21
514,4.14
519,4.04
524,3.94
529,3.89
535,3.79
540,3.72
545,3.65
551,3.54
556,3.48
562,3.37
568,3.28
573,3.16
579,3.10
585,3.00
591,2.89
596,2.87
602,2.74
608,2.65
615,2.50
621,2.44
627,2.28
633,2.19
639,2.05
646,1.99
652,1.85
659,1.79
665,1.70
672,1.60
679,1.51
686,1.38
692,1.30
699,1.24
706,1.18
713,1.11
721,1.03
728,0.96
735,0.93
742,0.91
750,0.88
757,0.84
765,0.79
773,0.74
780,0.69
788,0.64
796,0.58
804,0.51
812,0.44
820,0.36
828,0.28
837,0.20
845,0.18
853,0.15
862,0.09
871,0.05
879,0.01
888,-0.01
897,-0.07
906,-0.03
915,-0.05
924,-0.07
933,-0.07
943,-0.04
952,-0.05
962,0.03
971,0.00
981,-0.01
991,-0.01
1001,0.00
1011,0.03
1021,0.06
1031,0.08
1041,0.12
1052,0.11
1062,0.10
1073,0.11
1084,0.11
1094,0.14
1105,0.16
1116,0.20
1128,0.24
1139,0.27
1150,0.33
1162,0.38
1173,0.42
1185,0.48
1197,0.54
1209,0.58
1221,0.59
1233,0.59
1246,0.60
1258,0.62
1271,0.64
1283,0.65
1296,0.71
1309,0.75
1322,0.79
1335,0.84
1349,0.88
1362,1.01
1376,1.02
1390,1.16
1404,1.32
1418,1.37
1432,1.50
1446,1.64
1461,1.72
1475,1.78
1490,1.82
1505,1.89
1520,1.99
1535,2.07
1550,2.16
1566,2.25
1582,2.34
1597,2.42
1613,2.40
1629,2.38
1646,2.36
1662,2.35
1679,2.34
1696,2.32
1713,2.26
1730,2.14
1747,2.05
1764,1.76
1782,1.50
1800,1.16
1818,0.92
1836,0.80
1854,0.78
1873,0.76
1892,0.69
1911,0.63
1930,0.57
1949,0.40
1969,0.23
1988,0.09
2008,-0.17
2028,-0.32
2048,-0.58
2069,-0.75
2090,-1.04
2111,-1.31
2132,-1.47
2153,-1.84
2175,-2.02
2196,-2.39
2218,-2.69
2240,-2.92
2263,-3.15
2285,-3.52
2308,-3.81
2331,-4.00
2355,-4.25
2378,-4.33
2402,-4.56
2426,-4.70
2450,-5.08
2475,-5.19
2500,-5.57
2525,-5.73
2550,-6.06
2575,-6.30
2601,-6.54
2627,-6.79
2653,-6.97
2680,-7.15
2707,-7.36
2734,-7.57
2761,-7.65
2789,-7.79
2817,-7.86
2845,-7.85
2873,-7.80
2902,-7.64
2931,-7.33
2960,-7.08
2990,-6.74
3020,-6.46
3050,-6.21
3080,-5.97
3111,-5.79
3142,-5.66
3174,-5.53
3206,-5.56
3238,-5.62
3270,-5.81
3303,-5.99
3336,-6.26
3369,-6.56
3403,-7.00
3437,-7.42
3471,-7.64
3506,-8.04
3541,-8.25
3576,-8.39
3612,-8.54
3648,-8.70
3685,-8.80
3721,-8.90
3759,-9.01
3796,-9.14
3834,-9.21
3873,-9.33
3911,-9.36
3950,-9.38
3990,-9.34
4030,-9.32
4070,-9.02
4111,-8.97
4152,-8.76
4193,-8.68
4235,-8.66
4278,-8.67
4321,-8.63
4364,-8.65
4407,-8.78
4451,-9.20
4496,-9.84
4541,-10.87
4586,-11.95
4632,-14.51
4679,-15.27
4725,-16.12
4773,-17.92
4820,-17.87
4868,-17.26
4917,-14.98
4966,-13.65
5016,-13.24
5066,-13.01
5117,-12.80
5168,-12.81
5220,-12.89
5272,-12.90
5325,-12.97
5378,-12.53
5432,-12.29
5486,-11.65
5541,-10.97
5596,-9.98
5652,-9.05
5709,-7.86
5766,-8.08
5823,-7.56
5882,-7.76
5940,-8.23
6000,-8.53
6060,-8.70
6120,-8.93
6182,-9.11
6244,-9.19
6306,-9.17
6369,-9.17
6433,-9.18
6497,-9.22
6562,-9.24
6628,-9.26
6694,-9.26
6761,-9.34
6828,-9.28
6897,-9.26
6966,-9.40
7035,-9.44
7106,-9.52
7177,-9.56
7249,-9.59
7321,-9.55
7394,-9.56
7468,-9.50
7543,-9.41
7618,-9.28
7694,-9.02
7771,-8.76
7849,-8.40
7928,-8.15
8007,-7.90
8087,-7.73
8168,-7.38
8250,-7.18
8332,-7.00
8415,-6.81
8499,-6.73
8584,-6.65
8670,-6.58
