frequency,raw
20,-4.12
21,-3.57
22,-3.04
23,-2.54
24,-2.17
25,-1.67
26,-1.32
27,-0.91
28,-0.81
29,-0.55
30,-0.23
31,0.18
32,0.54
33,0.89
34,1.38
35,1.55
36,1.72
37,2.04
38,2.32
39,2.45
40,2.69
41,2.85
42,3.02
43,3.23
44,3.34
45,3.49
46,3.66
47,3.83
48,3.99
49,4.12
50,4.31
51,4.37
52,4.64
53,4.64
54,4.96
55,4.96
56,4.96
57,5.26
58,5.29
59,5.29
60,5.29
61,5.29
62,5.41
63,5.59
64,5.61
65,5.61
66,5.61
67,5.61
68,5.61
69,5.61
70,5.65
71,5.81
72,5.93
73,5.93
74,5.93
75,5.93
76,5.93
77,5.93
78,5.93
79,5.93
80,6.02
81,6.16
82,6.26
83,6.26
84,6.26
85,6.26
86,6.26
87,6.26
88,6.26
89,6.26
90,6.26
91,6.26
92,6.26
93,6.26
94,6.26
95,6.26
96,6.26
97,6.26
98,6.26
99,6.26
100,6.26
101,6.26
102,6.26
104,6.26
105,6.18
106,6.08
107,5.97
108,5.93
109,5.93
110,5.93
111,5.93
112,5.93
113,5.93
114,5.93
115,5.93
117,5.77
118,5.68
119,5.61
120,5.61
121,5.61
123,5.61
124,5.61
125,5.61
126,5.61
128,5.61
129,5.61
130,5.56
131,5.47
133,5.30
134,5.29
135,5.29
137,5.29
138,5.29
140,5.29
141,5.29
142,5.21
144,5.05
145,4.97
147,4.96
148,4.96
150,4.96
151,4.96
153,4.96
154,4.96
156,4.95
157,4.81
159,4.64
160,4.64
162,4.64
164,4.64
165,4.64
167,4.64
169,4.64
170,4.63
172,4.50
174,4.37
175,4.31
177,4.31
179,4.31
181,4.31
183,4.29
184,4.23
186,4.11
188,3.99
190,3.99
192,3.99
194,3.99
196,3.99
198,3.99
200,3.88
202,3.66
204,3.66
206,3.66
208,3.66
210,3.66
212,3.66
214,3.66
216,3.55
218,3.45
221,3.34
223,3.34
225,3.34
227,3.34
229,3.34
232,3.34
234,3.30
236,3.20
239,3.06
241,3.02
244,3.02
246,3.02
248,3.02
251,2.97
253,2.79
256,2.69
259,2.69
261,2.69
264,2.48
266,2.37
269,2.37
272,2.37
274,2.28
277,2.04
280,2.04
283,1.96
286,1.84
288,1.76
291,1.72
294,1.67
297,1.44
300,1.39
303,1.31
306,1.09
309,1.07
312,1.07
316,1.01
319,0.80
322,0.75
325,0.72
328,0.62
332,0.48
335,0.38
338,0.28
342,0.15
345,0.00
349,-0.23
352,-0.23
356,-0.38
359,-0.56
363,-0.69
366,-0.85
370,-1.07
374,-1.19
377,-1.35
381,-1.59
385,-1.83
389,-2.06
393,-2.29
397,-2.52
401,-2.75
405,-2.97
409,-3.19
413,-3.41
417,-3.63
421,-3.85
425,-4.06
430,-4.32
434,-4.53
438,-4.74
443,-5.00
447,-5.15
451,-5.25
456,-5.37
460,-5.42
465,-5.42
470,-5.42
474,-5.42
479,-5.42
484,-5.42
489,-5.42
494,-5.32
499,-5.09
504,-4.98
509,-4.87
514,-4.75
519,-4.53
524,-4.31
529,-4.11
535,-3.98
540,-3.80
545,-3.61
551,-3.49
556,-3.30
562,-3.10
568,-2.98
573,-2.88
579,-2.71
585,-2.49
591,-2.37
596,-2.28
602,-2.16
608,-2.05
615,-1.92
621,-1.81
627,-1.70
633,-1.60
639,-1.52
646,-1.52
652,-1.32
659,-1.20
665,-1.20
672,-1.20
679,-1.13
686,-1.01
692,-0.91
699,-0.88
706,-0.88
713,-0.88
721,-0.88
728,-0.88
735,-0.88
742,-0.88
750,-0.88
757,-0.88
765,-0.88
773,-0.88
780,-0.88
788,-0.88
796,-0.88
804,-0.88
812,-0.88
820,-0.88
828,-0.88
837,-0.88
845,-0.88
853,-0.88
862,-0.88
871,-0.88
879,-0.88
888,-0.88
897,-0.88
906,-0.70
915,-0.55
924,-0.55
933,-0.55
943,-0.45
952,-0.23
962,-0.23
971,-0.23
981,-0.22
991,-0.10
1001,0.01
1011,0.10
1021,0.10
1031,0.10
1041,0.13
1052,0.25
1062,0.35
1073,0.42
1084,0.42
1094,0.42
1105,0.42
1116,0.42
1128,0.42
1139,0.42
1150,0.42
1162,0.42
1173,0.42
1185,0.42
1197,0.42
1209,0.42
1221,0.42
1233,0.42
1246,0.42
1258,0.42
1271,0.42
1283,0.42
1296,0.42
1309,0.42
1322,0.42
1335,0.42
1349,0.42
1362,0.42
1376,0.42
1390,0.42
1404,0.42
1418,0.42
1432,0.42
1446,0.42
1461,0.42
1475,0.42
1490,0.42
1505,0.42
1520,0.51
1535,0.58
1550,0.58
1566,0.58
1582,0.64
1597,0.75
1613,0.75
1629,0.75
1646,0.75
1662,0.75
1679,0.75
1696,0.75
1713,0.75
1730,0.75
1747,0.75
1764,0.75
1782,0.75
1800,0.75
1818,0.75
1836,0.75
1854,0.75
1873,0.75
1892,0.75
1911,0.75
1930,0.69
1949,0.46
1969,0.42
1988,0.38
2008,0.27
2028,0.16
2048,-0.01
2069,-0.23
2090,-0.35
2111,-0.53
2132,-0.75
2153,-0.97
2175,-1.20
2196,-1.42
2218,-1.64
2240,-1.87
2263,-2.10
2285,-2.32
2308,-2.54
2331,-2.77
2355,-3.00
2378,-3.22
2402,-3.38
2426,-3.51
2450,-3.73
2475,-3.79
2500,-3.76
2525,-3.65
2550,-3.44
2575,-3.22
2601,-3.00
2627,-2.77
2653,-2.44
2680,-2.00
2707,-1.77
2734,-1.55
2761,-1.29
2789,-0.83
2817,-0.55
2845,-0.32
2873,-0.10
2902,0.22
2931,0.51
2960,0.73
2990,0.85
3020,1.03
3050,1.24
3080,1.35
3111,1.39
3142,1.41
3174,1.53
3206,1.64
3238,1.68
3270,1.57
3303,1.46
3336,1.39
3369,1.39
3403,1.28
3437,1.17
3471,1.05
3506,0.83
3541,0.75
3576,0.70
3612,0.48
3648,0.34
3685,0.22
3721,0.11
3759,0.10
3796,0.14
3834,0.26
3873,0.48
3911,0.70
3950,0.94
3990,1.40
4030,1.70
4070,1.97
4111,2.42
4152,2.70
4193,2.92
4235,3.15
4278,3.38
4321,3.55
4364,3.66
4407,3.88
4451,4.05
4496,4.16
4541,4.28
4586,4.31
4632,4.36
4679,4.59
4725,4.64
4773,4.60
4820,4.49
4868,4.38
4917,4.31
4966,4.31
5016,4.20
5066,4.09
5117,3.96
5168,3.74
5220,3.59
5272,3.48
5325,3.36
5378,3.16
5432,2.98
5486,2.87
5541,2.65
5596,2.43
5652,2.20
5709,1.98
5766,1.75
5823,1.53
5882,1.30
5940,0.93
6000,0.53
6060,0.31
6120,-0.09
6182,-0.55
6244,-1.00
6306,-1.55
6369,-2.06
6433,-2.51
6497,-3.18
6562,-3.86
6628,-4.52
6694,-5.08
6761,-5.57
6828,-5.96
6897,-6.18
6966,-6.32
7035,-6.43
7106,-6.54
7177,-6.66
7249,-6.61
7321,-6.39
7394,-6.39
7468,-6.39
7543,-6.36
7618,-6.13
7694,-6.07
7771,-6.07
7849,-6.07
7928,-6.07
8007,-6.07
8087,-6.07
8168,-6.17
8250,-6.28
8332,-6.40
8415,-6.74
8499,-7.08
