frequency,raw
20,2.53
21,2.85
22,3.17
23,3.46
24,3.61
25,3.82
26,4.15
27,4.15
28,4.47
29,4.61
30,4.80
31,4.88
32,5.12
33,5.12
34,5.27
35,5.44
36,5.44
37,5.44
38,5.72
39,5.77
40,5.77
41,5.77
42,5.88
43,5.98
44,6.09
45,6.09
46,6.09
47,6.09
48,6.09
49,6.09
50,6.22
51,6.42
52,6.42
53,6.42
54,6.42
55,6.42
56,6.42
57,6.42
58,6.42
59,6.36
60,6.34
61,6.42
62,6.42
63,6.42
64,6.42
65,6.24
66,6.09
67,6.09
68,6.09
69,6.09
70,6.09
71,6.09
72,6.09
73,6.09
74,6.09
75,6.09
76,6.09
77,6.09
78,6.09
79,6.09
80,6.09
81,6.09
82,6.09
83,6.09
84,6.09
85,6.09
86,6.09
87,6.09
88,6.09
89,6.09
90,6.09
91,6.09
92,6.09
93,6.10
94,6.22
95,6.34
96,6.42
97,6.42
98,6.42
99,6.36
100,6.26
101,6.26
102,6.18
104,6.09
105,6.09
106,6.09
107,6.09
108,6.09
109,6.09
110,6.09
111,6.09
112,6.09
113,6.09
114,6.09
115,6.09
117,6.09
118,6.09
119,6.09
120,6.09
121,6.09
123,6.09
124,6.09
125,6.00
126,5.93
128,5.89
129,5.80
130,5.77
131,5.77
133,5.77
134,5.77
135,5.77
137,5.77
138,5.69
140,5.53
141,5.45
142,5.44
144,5.44
145,5.44
147,5.44
148,5.44
150,5.44
151,5.44
153,5.33
154,5.26
156,5.12
157,5.12
159,5.12
160,5.12
162,5.12
164,5.12
165,5.12
167,4.99
169,4.86
170,4.80
172,4.80
174,4.80
175,4.80
177,4.80
179,4.80
181,4.73
183,4.61
184,4.55
186,4.47
188,4.47
190,4.47
192,4.47
194,4.47
196,4.47
198,4.37
200,4.26
202,4.15
204,4.15
206,4.15
208,4.14
210,4.03
212,3.92
214,3.82
216,3.82
218,3.82
221,3.82
223,3.82
225,3.74
227,3.64
229,3.54
232,3.50
234,3.50
236,3.50
239,3.50
241,3.45
244,3.31
246,3.22
248,3.17
251,3.17
253,3.17
256,3.17
259,3.07
261,2.89
264,2.85
266,2.85
269,2.85
272,2.73
274,2.65
277,2.53
280,2.53
283,2.53
286,2.49
288,2.41
291,2.29
294,2.20
297,2.20
300,2.20
303,2.12
306,1.89
309,1.88
312,1.88
316,1.85
319,1.74
322,1.63
325,1.55
328,1.55
332,1.55
335,1.47
338,1.27
342,1.23
345,1.23
349,1.23
352,1.23
356,1.07
359,0.90
363,0.90
366,0.90
370,0.88
374,0.76
377,0.67
381,0.58
385,0.58
389,0.58
393,0.58
397,0.58
401,0.58
405,0.50
409,0.42
413,0.42
417,0.34
421,0.26
425,0.26
430,0.36
434,0.46
438,0.57
443,0.58
447,0.58
451,0.58
456,0.58
460,0.58
465,0.58
470,0.58
474,0.58
479,0.58
484,0.58
489,0.58
494,0.58
499,0.58
504,0.58
509,0.46
514,0.26
519,0.26
524,0.26
529,0.26
535,0.26
540,0.09
545,-0.07
551,-0.07
556,-0.07
562,-0.11
568,-0.23
573,-0.33
579,-0.39
585,-0.40
591,-0.52
596,-0.61
602,-0.72
608,-0.72
615,-0.72
621,-0.72
627,-0.72
633,-0.72
639,-0.75
646,-0.88
652,-0.98
659,-1.04
665,-1.04
672,-1.04
679,-1.04
686,-1.04
692,-1.04
699,-1.04
706,-1.04
713,-1.04
721,-1.04
728,-1.04
735,-1.04
742,-1.04
750,-1.04
757,-1.04
765,-1.04
773,-1.04
780,-1.04
788,-1.04
796,-0.96
804,-0.88
812,-0.88
820,-0.79
828,-0.72
837,-0.72
845,-0.72
853,-0.72
862,-0.71
871,-0.59
879,-0.49
888,-0.39
897,-0.39
906,-0.39
915,-0.39
924,-0.39
933,-0.21
943,-0.07
952,-0.07
962,-0.07
971,-0.07
981,-0.07
991,-0.07
1001,0.01
1011,0.12
1021,0.23
1031,0.26
1041,0.26
1052,0.26
1062,0.26
1073,0.26
1084,0.26
1094,0.26
1105,0.26
1116,0.26
1128,0.26
1139,0.26
1150,0.26
1162,0.26
1173,0.26
1185,0.26
1197,0.26
1209,0.26
1221,0.26
1233,0.26
1246,0.26
1258,0.26
1271,0.26
1283,0.26
1296,0.26
1309,0.26
1322,0.26
1335,0.26
1349,0.26
1362,0.26
1376,0.26
1390,0.26
1404,0.26
1418,0.26
1432,0.26
1446,0.26
1461,0.26
1475,0.26
1490,0.26
1505,0.26
1520,0.26
1535,0.26
1550,0.26
1566,0.26
1582,0.26
1597,0.26
1613,0.26
1629,0.26
1646,0.26
1662,0.26
1679,0.26
1696,0.26
1713,0.26
1730,0.26
1747,0.30
1764,0.41
1782,0.52
1800,0.58
1818,0.58
1836,0.58
1854,0.58
1873,0.58
1892,0.58
1911,0.66
1930,0.77
1949,0.88
1969,0.90
1988,0.90
2008,0.90
2028,1.01
2048,1.12
2069,1.23
2090,1.23
2111,1.23
2132,1.23
2153,1.23
2175,1.23
2196,1.26
2218,1.37
2240,1.48
2263,1.55
2285,1.55
2308,1.55
2331,1.55
2355,1.55
2378,1.55
2402,1.55
2426,1.55
2450,1.55
2475,1.55
2500,1.55
2525,1.55
2550,1.55
2575,1.55
2601,1.55
2627,1.55
2653,1.55
2680,1.56
2707,1.67
2734,1.79
2761,1.88
2789,1.88
2817,1.88
2845,1.88
2873,1.88
2902,1.88
2931,1.92
2960,2.03
2990,2.15
3020,2.20
3050,2.20
3080,2.20
3111,2.20
3142,2.22
3174,2.34
3206,2.45
3238,2.53
3270,2.53
3303,2.53
3336,2.53
3369,2.53
3403,2.53
3437,2.53
3471,2.53
3506,2.65
3541,2.76
3576,2.85
3612,2.85
3648,2.85
3685,2.85
3721,2.85
3759,2.85
3796,2.85
3834,2.85
3873,3.07
3911,3.17
3950,3.17
3990,3.17
4030,3.25
4070,3.36
4111,3.47
4152,3.58
4193,3.70
4235,3.81
4278,3.92
4321,4.04
4364,4.15
4407,4.37
4451,4.53
4496,4.65
4541,4.76
4586,4.87
4632,5.01
4679,5.23
4725,5.37
4773,5.52
4820,5.74
4868,5.87
4917,5.98
4966,6.09
5016,6.32
5066,6.54
5117,6.77
5168,6.99
5220,7.29
5272,7.60
5325,7.83
5378,8.23
5432,8.68
5486,9.13
5541,9.68
5596,10.19
5652,10.64
5709,10.98
5766,11.38
5823,11.80
5882,12.02
5940,12.24
6000,12.47
6060,12.70
6120,12.83
6182,12.90
6244,12.90
6306,12.90
6369,12.90
6433,12.90
6497,12.90
6562,12.84
6628,12.73
6694,12.61
6761,12.35
6828,12.04
6897,11.81
6966,11.41
7035,10.88
7106,10.20
7177,9.42
7249,8.74
7321,8.17
7394,7.28
7468,6.51
7543,5.83
7618,5.16
7694,4.33
7771,3.49
7849,2.81
7928,2.14
8007,1.46
8087,0.79
8168,0.22
8250,-0.23
8332,-0.56
8415,-0.79
8499,-1.01
8584,-1.19
8670,-1.07
8757,-0.96
8845,-0.82
8933,-0.59
9022,-0.37
9113,-0.14
9204,0.08
9296,0.52
9389,0.85
9483,1.08
9577,1.30
9673,1.66
9770,2.08
9868,2.30
9966,2.69
10066,3.11
10167,3.44
10268,3.78
10371,4.16
10475,4.61
10579,5.06
10685,5.45
10792,5.80
10900,6.25
11009,6.70
11119,7.14
11230,7.59
11343,7.96
11456,8.33
11571,8.78
11686,9.04
11803,9.22
11921,9.33
12040,9.55
12161,9.66
12282,9.66
12405,9.66
12529,9.66
12655,9.66
12781,9.66
12909,9.49
13038,9.30
13168,9.19
13300,8.98
13433,8.76
13567,8.53
13703,8.09
13840,7.70
13978,7.35
14118,6.78
14259,6.15
14402,5.45
14546,4.67
14692,3.88
14838,3.13
14987,2.45
15137,1.68
15288,0.99
15441,0.43
15595,-0.13
15751,-0.63
15909,-1.07
16068,-1.41
16229,-1.75
16391,-2.06
16555,-2.29
16720,-2.42
16888,-2.54
17056,-2.65
17227,-2.66
17399,-2.66
17573,-2.66
17749,-2.55
17926,-2.44
18106,-2.34
18287,-2.34
18470,-2.49
18654,-2.66
18841,-2.66
19029,-2.84
19220,-2.99
19412,-2.99
19606,-3.19
19802,-3.41
20000,-3.64
