frequency,raw
20,-19.78
21,-19.23
22,-18.55
23,-17.92
24,-17.29
25,-16.69
26,-16.01
27,-15.42
28,-14.78
29,-14.29
30,-13.75
31,-13.13
32,-12.69
33,-12.18
34,-11.69
35,-11.36
36,-10.88
37,-10.43
38,-10.10
39,-9.81
40,-9.36
41,-9.08
42,-8.87
43,-8.66
44,-8.43
45,-8.11
46,-7.95
47,-7.78
48,-7.63
49,-7.40
50,-7.17
51,-7.11
52,-6.89
53,-6.67
54,-6.46
55,-6.25
56,-6.05
57,-5.85
58,-5.65
59,-5.46
60,-5.27
61,-4.98
62,-4.86
63,-4.57
64,-4.54
65,-4.22
66,-4.17
67,-3.89
68,-3.82
69,-3.57
70,-3.53
71,-3.37
72,-3.24
73,-3.19
74,-2.92
75,-2.92
76,-2.92
77,-2.78
78,-2.63
79,-2.59
80,-2.59
81,-2.53
82,-2.39
83,-2.27
84,-2.27
85,-2.27
86,-2.18
87,-2.05
88,-1.95
89,-1.95
90,-1.95
91,-1.86
92,-1.74
93,-1.62
94,-1.62
95,-1.62
96,-1.62
97,-1.62
98,-1.41
99,-1.30
100,-1.30
101,-1.30
102,-1.30
104,-1.30
105,-1.22
106,-1.11
107,-1.01
108,-0.97
109,-0.97
110,-0.97
111,-0.97
112,-0.97
113,-0.97
114,-0.97
115,-0.97
117,-0.97
118,-0.88
119,-0.81
120,-0.81
121,-0.76
123,-0.65
124,-0.65
125,-0.65
126,-0.65
128,-0.65
129,-0.65
130,-0.65
131,-0.65
133,-0.65
134,-0.65
135,-0.65
137,-0.65
138,-0.65
140,-0.65
141,-0.65
142,-0.65
144,-0.65
145,-0.65
147,-0.65
148,-0.65
150,-0.65
151,-0.65
153,-0.65
154,-0.65
156,-0.65
157,-0.65
159,-0.65
160,-0.65
162,-0.65
164,-0.57
165,-0.50
167,-0.36
169,-0.32
170,-0.32
172,-0.32
174,-0.32
175,-0.32
177,-0.32
179,-0.32
181,-0.39
183,-0.51
184,-0.57
186,-0.65
188,-0.65
190,-0.65
192,-0.65
194,-0.65
196,-0.65
198,-0.65
200,-0.65
202,-0.65
204,-0.65
206,-0.65
208,-0.65
210,-0.65
212,-0.65
214,-0.65
216,-0.65
218,-0.65
221,-0.69
223,-0.80
225,-0.81
227,-0.84
229,-0.93
232,-0.97
234,-0.97
236,-0.97
239,-0.97
241,-0.97
244,-0.97
246,-0.97
248,-0.97
251,-0.97
253,-0.97
256,-0.97
259,-0.97
261,-0.97
264,-1.08
266,-1.14
269,-1.14
272,-1.26
274,-1.30
277,-1.30
280,-1.30
283,-1.30
286,-1.30
288,-1.30
291,-1.30
294,-1.30
297,-1.30
300,-1.30
303,-1.30
306,-1.30
309,-1.30
312,-1.30
316,-1.30
319,-1.30
322,-1.38
325,-1.44
328,-1.33
332,-1.30
335,-1.30
338,-1.30
342,-1.30
345,-1.30
349,-1.30
352,-1.30
356,-1.30
359,-1.30
363,-1.30
366,-1.30
370,-1.30
374,-1.30
377,-1.30
381,-1.30
385,-1.30
389,-1.30
393,-1.30
397,-1.31
401,-1.42
405,-1.38
409,-1.30
413,-1.30
417,-1.30
