frequency,raw
20,-8.10
21,-7.62
22,-7.09
23,-6.64
24,-6.10
25,-5.67
26,-5.26
27,-4.88
28,-4.70
29,-4.40
30,-4.37
31,-4.13
32,-4.05
33,-3.91
34,-3.73
35,-3.73
36,-3.41
37,-3.40
38,-3.13
39,-3.00
40,-2.75
41,-2.75
42,-2.54
43,-2.38
44,-2.12
45,-2.10
46,-1.78
47,-1.78
48,-1.78
49,-1.72
50,-1.49
51,-1.46
52,-1.46
53,-1.32
54,-1.13
55,-1.13
56,-0.91
57,-0.81
58,-0.81
59,-0.75
60,-0.56
61,-0.48
62,-0.48
63,-0.34
64,-0.16
65,-0.16
66,-0.16
67,-0.16
68,-0.16
69,-0.16
70,-0.16
71,-0.16
72,-0.16
73,-0.13
74,0.02
75,0.17
76,0.17
77,0.17
78,0.17
79,0.17
80,0.17
81,0.17
82,0.17
83,0.17
84,0.17
85,0.17
86,0.17
87,0.17
88,0.17
89,0.17
90,0.17
91,0.17
92,0.17
93,0.17
94,0.17
95,0.17
96,0.17
97,0.17
98,0.06
99,-0.06
100,-0.16
101,-0.16
102,-0.16
104,-0.16
105,-0.16
106,-0.18
107,-0.28
108,-0.39
109,-0.48
110,-0.48
111,-0.54
112,-0.64
113,-0.74
114,-0.81
115,-0.81
117,-0.81
118,-1.00
119,-1.13
120,-1.13
121,-1.13
123,-1.21
124,-1.30
125,-1.39
126,-1.46
128,-1.46
129,-1.46
130,-1.46
131,-1.46
133,-1.46
134,-1.46
135,-1.46
137,-1.46
138,-1.38
140,-1.29
141,-1.29
142,-1.21
144,-1.13
145,-1.13
147,-1.13
148,-1.13
150,-1.13
151,-1.13
153,-1.13
154,-1.13
156,-1.13
157,-1.13
159,-1.13
160,-1.13
162,-1.13
164,-1.13
165,-1.13
167,-1.13
169,-1.23
170,-1.30
172,-1.43
174,-1.46
175,-1.46
177,-1.46
179,-1.46
181,-1.52
183,-1.64
184,-1.70
186,-1.78
188,-1.79
190,-2.03
192,-2.10
194,-2.14
196,-2.25
198,-2.37
200,-2.54
202,-2.76
204,-2.87
206,-2.98
208,-3.10
210,-3.31
212,-3.47
214,-3.57
216,-3.68
218,-3.78
221,-3.93
223,-4.04
225,-4.14
227,-4.24
229,-4.34
232,-4.37
234,-4.46
236,-4.65
239,-4.70
241,-4.70
244,-4.70
246,-4.70
248,-4.70
251,-4.70
253,-4.70
256,-4.70
259,-4.64
261,-4.56
264,-4.43
266,-4.37
269,-4.37
272,-4.37
274,-4.33
277,-4.21
280,-4.09
283,-4.05
286,-4.05
288,-4.05
291,-3.98
294,-3.89
297,-3.89
300,-3.80
303,-3.73
306,-3.73
309,-3.62
312,-3.52
316,-3.40
319,-3.40
322,-3.40
325,-3.40
328,-3.40
332,-3.30
335,-3.20
338,-3.10
342,-3.08
345,-3.08
349,-3.08
352,-3.08
356,-2.92
359,-2.75
363,-2.75
366,-2.75
370,-2.75
374,-2.75
377,-2.68
381,-2.56
385,-2.44
389,-2.43
393,-2.43
397,-2.40
401,-2.18
405,-2.10
409,-2.08
413,-1.97
417,-1.86
421,-1.75
425,-1.65
430,-1.52
434,-1.46
438,-1.46
443,-1.34
447,-1.24
451,-1.14
456,-1.13
460,-1.02
465,-0.81
470,-0.81
474,-0.81
479,-0.78
484,-0.67
489,-0.55
494,-0.48
499,-0.48
504,-0.48
509,-0.48
514,-0.48
519,-0.48
524,-0.42
529,-0.31
535,-0.18
540,-0.16
545,-0.16
551,-0.16
556,-0.16
562,-0.16
568,-0.16
573,-0.16
579,-0.16
585,-0.16
591,-0.16
596,-0.16
602,-0.16
608,-0.16
615,-0.16
621,-0.16
627,-0.16
633,-0.16
639,-0.16
646,-0.16
652,-0.16
659,-0.16
665,-0.16
672,-0.16
679,-0.16
686,-0.16
692,-0.16
699,-0.16
706,-0.16
713,-0.16
721,-0.16
728,-0.16
735,-0.16
742,-0.16
750,-0.16
757,-0.16
765,-0.16
773,-0.16
780,-0.16
788,-0.16
796,-0.16
804,-0.16
812,-0.16
820,-0.16
828,-0.16
837,-0.16
845,-0.16
853,-0.16
862,-0.16
871,-0.16
879,-0.16
888,-0.16
897,-0.16
906,-0.16
915,-0.16
924,-0.16
933,-0.16
943,-0.16
952,-0.16
962,-0.16
971,-0.16
981,-0.15
991,-0.03
1001,0.00
1011,0.03
1021,0.14
1031,0.17
1041,0.17
1052,0.17
1062,0.17
1073,0.17
1084,0.17
1094,0.17
1105,0.17
1116,0.17
1128,0.17
1139,0.17
1150,0.19
1162,0.30
1173,0.41
1185,0.49
1197,0.49
1209,0.49
1221,0.49
1233,0.49
1246,0.49
1258,0.49
1271,0.49
1283,0.49
1296,0.49
1309,0.51
1322,0.63
1335,0.74
1349,0.81
1362,0.81
1376,0.81
1390,0.81
1404,0.81
1418,0.81
1432,0.81
1446,0.81
1461,0.81
1475,0.81
1490,0.84
1505,0.96
1520,1.07
1535,1.14
1550,1.14
1566,1.14
1582,1.14
1597,1.14
1613,1.25
1629,1.36
1646,1.46
1662,1.46
1679,1.54
1696,1.66
1713,1.77
1730,1.79
1747,1.79
1764,1.79
1782,1.89
1800,2.00
1818,2.11
1836,2.11
1854,2.11
1873,2.11
1892,2.11
1911,2.19
1930,2.27
1949,2.27
1969,2.37
1988,2.44
2008,2.44
2028,2.44
2048,2.44
2069,2.44
2090,2.44
2111,2.44
2132,2.44
2153,2.44
2175,2.44
2196,2.44
2218,2.44
2240,2.44
2263,2.44
2285,2.44
2308,2.44
2331,2.44
2355,2.43
2378,2.32
2402,2.21
2426,2.11
2450,2.11
2475,2.11
2500,2.11
2525,2.11
2550,2.02
2575,1.91
2601,1.79
2627,1.79
2653,1.79
2680,1.77
2707,1.55
2734,1.46
2761,1.44
2789,1.33
2817,1.22
2845,1.07
2873,0.85
2902,0.81
2931,0.72
2960,0.50
2990,0.38
3020,0.27
3050,0.16
3080,0.05
3111,-0.07
3142,-0.16
3174,-0.16
3206,-0.33
3238,-0.48
3270,-0.48
3303,-0.48
3336,-0.58
3369,-0.80
3403,-0.81
3437,-0.81
3471,-0.82
3506,-1.05
3541,-1.13
3576,-1.15
3612,-1.27
3648,-1.38
3685,-1.46
3721,-1.46
3759,-1.65
3796,-1.78
3834,-1.78
3873,-2.00
3911,-2.10
3950,-2.12
3990,-2.35
4030,-2.43
4070,-2.47
4111,-2.70
4152,-2.75
4193,-2.82
4235,-3.05
4278,-3.08
4321,-3.08
4364,-3.08
4407,-2.75
4451,-2.41
4496,-2.06
4541,-1.61
4586,-1.09
4632,-0.50
4679,0.18
4725,0.76
4773,1.29
4820,1.73
4868,2.38
4917,2.96
4966,3.41
5016,3.86
5066,4.31
5117,4.75
5168,5.08
5220,5.50
5272,5.89
5325,6.12
5378,6.43
5432,6.73
5486,6.95
5541,7.08
5596,7.19
5652,7.30
5709,7.30
5766,7.30
5823,7.29
5882,7.17
5940,7.06
6000,6.95
6060,6.84
6120,6.64
6182,6.41
6244,6.19
6306,5.96
6369,5.63
6433,5.18
6497,4.85
6562,4.45
