frequency,raw
20,-5.12
21,-4.57
22,-4.05
23,-3.71
24,-3.34
25,-3.02
26,-2.65
27,-2.37
28,-1.97
29,-1.58
30,-1.32
31,-0.99
32,-0.75
33,-0.44
34,-0.11
35,0.06
36,0.23
37,0.53
38,0.78
39,0.96
40,1.20
41,1.36
42,1.52
43,1.62
44,1.85
45,1.85
46,1.85
47,2.09
48,2.17
49,2.17
50,2.17
51,2.17
52,2.26
53,2.47
54,2.50
55,2.50
56,2.61
57,2.81
58,2.82
59,2.88
60,3.06
61,3.15
62,3.15
63,3.29
64,3.47
65,3.47
66,3.49
67,3.66
68,3.79
69,3.79
70,3.79
71,3.79
72,3.79
73,3.79
74,3.81
75,3.96
76,4.11
77,4.12
78,4.12
79,4.12
80,4.12
81,4.12
82,4.16
83,4.30
84,4.43
85,4.44
86,4.44
87,4.44
88,4.44
89,4.44
90,4.44
91,4.52
92,4.65
93,4.77
94,4.77
95,4.77
96,4.77
97,4.77
98,4.77
99,4.83
100,4.94
101,5.05
102,5.09
104,5.09
105,5.09
106,5.09
107,5.09
108,5.09
109,5.09
110,5.09
111,5.09
112,5.09
113,5.09
114,5.09
115,5.09
117,5.09
118,5.09
119,5.09
120,5.09
121,5.09
123,5.09
124,5.09
125,5.09
126,5.12
128,5.30
129,5.38
130,5.36
131,5.28
133,5.10
134,5.09
135,5.09
137,5.09
138,5.09
140,5.09
141,5.09
142,5.09
144,5.09
145,5.09
147,5.09
148,5.09
150,5.09
151,5.09
153,5.09
154,5.09
156,5.09
157,5.09
159,5.09
160,5.09
162,5.09
164,5.09
165,5.09
167,5.09
169,5.09
170,5.09
172,5.09
174,5.09
175,5.09
177,5.09
179,5.09
181,5.09
183,5.09
184,5.09
186,5.09
188,5.09
190,4.97
192,4.85
194,4.77
196,4.77
198,4.77
200,4.77
202,4.77
204,4.77
206,4.77
208,4.77
210,4.77
212,4.77
214,4.77
216,4.77
218,4.71
221,4.56
223,4.46
225,4.44
227,4.44
229,4.44
232,4.44
234,4.44
236,4.44
239,4.44
241,4.44
244,4.44
246,4.44
248,4.44
251,4.42
253,4.33
256,4.28
259,4.23
261,4.14
264,4.12
266,4.12
269,4.12
272,4.12
274,4.12
277,4.12
280,4.12
283,4.12
286,4.08
288,4.00
291,3.88
294,3.79
297,3.79
300,3.79
303,3.79
306,3.79
309,3.79
312,3.79
316,3.79
319,3.79
322,3.79
325,3.77
328,3.67
332,3.53
335,3.47
338,3.47
342,3.47
345,3.47
349,3.47
352,3.47
356,3.47
359,3.47
363,3.47
366,3.47
370,3.47
374,3.47
377,3.39
381,3.27
385,3.16
389,3.15
393,3.15
397,3.15
401,3.15
405,3.15
409,3.15
413,3.15
417,3.07
421,2.96
425,2.85
430,2.82
434,2.82
438,2.82
443,2.82
447,2.82
451,2.82
456,2.70
460,2.61
465,2.50
470,2.50
474,2.50
479,2.50
484,2.50
489,2.50
494,2.50
499,2.50
504,2.39
509,2.27
514,2.17
519,2.17
524,2.17
529,2.17
535,2.17
540,2.17
545,2.17
551,2.17
556,2.17
562,2.13
568,2.01
573,1.91
579,1.85
585,1.85
591,1.85
596,1.85
602,1.85
608,1.85
615,1.67
621,1.52
627,1.52
633,1.52
639,1.52
646,1.52
652,1.32
659,1.20
665,1.20
672,1.20
679,1.13
686,1.01
692,0.91
699,0.88
706,0.88
713,0.88
721,0.88
728,0.83
735,0.72
742,0.61
750,0.55
757,0.55
765,0.55
773,0.55
780,0.55
788,0.55
796,0.55
804,0.55
812,0.55
820,0.55
828,0.55
837,0.55
845,0.55
853,0.55
862,0.55
871,0.55
879,0.55
888,0.55
897,0.55
906,0.55
915,0.52
924,0.41
933,0.30
943,0.23
952,0.23
962,0.23
971,0.23
981,0.22
991,0.10
1001,-0.01
1011,-0.10
1021,-0.10
1031,-0.10
1041,-0.10
1052,-0.10
1062,-0.10
1073,-0.15
1084,-0.26
1094,-0.37
1105,-0.42
1116,-0.42
1128,-0.42
1139,-0.42
1150,-0.44
1162,-0.56
1173,-0.67
1185,-0.75
1197,-0.75
1209,-0.75
1221,-0.80
1233,-0.91
1246,-1.02
1258,-1.07
1271,-1.07
1283,-1.07
1296,-1.22
1309,-1.39
1322,-1.39
1335,-1.39
1349,-1.39
1362,-1.39
1376,-1.50
1390,-1.61
1404,-1.72
1418,-1.72
1432,-1.72
1446,-1.72
1461,-1.72
1475,-1.72
1490,-1.72
1505,-1.72
1520,-1.72
1535,-1.72
1550,-1.72
1566,-1.72
1582,-1.72
1597,-1.72
1613,-1.72
1629,-1.72
1646,-1.72
1662,-1.72
1679,-1.72
1696,-1.72
1713,-1.72
1730,-1.63
1747,-1.52
1764,-1.41
1782,-1.39
1800,-1.34
1818,-1.23
1836,-1.12
1854,-1.01
1873,-0.89
1892,-0.78
1911,-0.67
1930,-0.55
1949,-0.44
1969,-0.33
1988,-0.22
2008,-0.11
2028,0.01
2048,0.12
2069,0.23
2090,0.23
2111,0.37
2132,0.55
2153,0.55
2175,0.63
2196,0.74
2218,0.85
2240,0.88
2263,0.92
2285,1.03
2308,1.14
2331,1.20
2355,1.21
2378,1.43
2402,1.52
2426,1.52
2450,1.52
2475,1.61
2500,1.72
2525,1.83
2550,1.85
2575,1.93
2601,2.16
2627,2.17
2653,2.28
2680,2.50
2707,2.62
2734,2.73
2761,2.86
2789,3.09
2817,3.23
2845,3.34
2873,3.45
2902,3.66
2931,3.89
2960,4.11
2990,4.23
3020,4.34
3050,4.46
3080,4.68
3111,4.84
3142,4.95
3174,5.06
3206,5.18
3238,5.29
3270,5.40
3303,5.42
3336,5.42
3369,5.42
3403,5.42
3437,5.48
3471,5.59
3506,5.70
3541,5.74
3576,5.74
3612,5.74
3648,5.74
3685,5.74
3721,5.74
3759,5.94
3796,6.11
3834,6.22
3873,6.34
3911,6.51
3950,6.73
3990,6.96
4030,7.11
4070,7.22
4111,7.34
4152,7.53
4193,7.76
4235,7.98
4278,8.11
4321,8.22
4364,8.33
4407,8.56
4451,8.72
4496,8.83
4541,8.95
4586,9.06
4632,9.17
4679,9.28
4725,9.31
4773,9.35
4820,9.46
4868,9.57
4917,9.63
4966,9.63
5016,9.74
5066,9.86
5117,9.98
5168,10.21
5220,10.28
5272,10.33
5325,10.56
5378,10.69
5432,10.81
5486,10.92
5541,11.03
5596,11.14
5652,11.25
5709,11.25
5766,11.25
5823,11.25
5882,11.25
5940,11.25
6000,11.23
6060,11.12
6120,11.00
6182,10.89
6244,10.78
6306,10.67
6369,10.50
6433,10.27
6497,9.94
6562,9.67
6628,9.42
6694,9.09
6761,8.67
6828,8.25
6897,7.91
6966,7.39
7035,6.80
7106,6.12
7177,5.44
7249,4.88
7321,4.43
7394,3.98
7468,3.53
