frequency,raw
20,8.43
21,8.43
22,8.43
23,8.43
24,8.43
25,8.18
26,8.11
27,8.11
28,8.11
29,7.80
30,7.78
31,7.78
32,7.78
33,7.48
34,7.46
35,7.46
36,7.15
37,7.14
38,7.14
39,6.81
40,6.81
41,6.81
42,6.81
43,6.76
44,6.50
45,6.49
46,6.49
47,6.57
48,6.80
49,6.88
50,7.10
51,7.19
52,7.46
53,7.74
54,8.13
55,8.34
56,8.66
57,8.76
58,8.94
59,9.08
60,9.08
61,9.19
62,9.37
63,9.41
64,9.41
65,9.41
66,9.41
67,9.43
68,9.60
69,9.73
70,9.73
71,9.80
72,10.05
73,10.08
74,10.23
75,10.38
76,10.53
77,10.68
78,10.83
79,10.97
80,11.03
81,11.16
82,11.35
83,11.35
84,11.35
85,11.35
86,11.44
87,11.51
88,11.54
89,11.67
90,11.68
91,11.68
92,11.68
93,11.68
94,11.68
95,11.68
96,11.68
97,11.68
98,11.57
99,11.51
100,11.50
101,11.39
102,11.35
104,11.35
105,11.35
106,11.35
107,11.35
108,11.35
109,11.33
110,11.12
111,11.03
112,11.03
113,10.93
114,10.83
115,10.74
117,10.70
118,10.61
119,10.51
120,10.42
121,10.38
123,10.30
124,10.21
125,10.12
126,10.03
128,9.85
129,9.76
130,9.73
131,9.73
133,9.43
134,9.41
135,9.41
137,9.41
138,9.24
140,9.08
141,9.08
142,8.92
144,8.76
145,8.76
147,8.47
148,8.43
150,8.33
151,8.18
153,8.11
154,8.06
156,7.78
157,7.71
159,7.56
160,7.49
162,7.35
164,7.21
165,7.15
167,6.88
169,6.71
170,6.65
172,6.51
174,6.38
175,6.32
177,6.19
179,5.96
181,5.84
183,5.79
184,5.67
186,5.47
188,5.35
190,5.23
192,5.03
194,4.83
196,4.71
198,4.60
200,4.43
202,4.21
204,3.99
206,3.89
208,3.87
210,3.65
212,3.50
214,3.39
216,3.18
218,3.03
221,2.87
223,2.77
225,2.67
227,2.57
229,2.47
232,2.32
234,2.27
236,2.27
239,2.27
241,2.17
244,1.95
246,1.95
248,1.95
251,1.95
253,1.95
256,1.86
259,1.73
261,1.64
264,1.62
266,1.62
269,1.62
272,1.62
274,1.58
277,1.46
280,1.34
283,1.30
286,1.26
288,1.18
291,1.06
294,0.97
297,0.97
300,0.79
303,0.65
306,0.65
309,0.55
312,0.44
316,0.32
319,0.32
322,0.16
325,-0.00
328,0.00
332,-0.10
335,-0.20
338,-0.30
342,-0.32
345,-0.37
349,-0.50
352,-0.60
356,-0.65
359,-0.65
363,-0.65
366,-0.72
370,-0.84
374,-0.96
377,-0.97
381,-0.97
385,-0.97
389,-0.97
393,-0.97
397,-0.97
401,-0.97
405,-0.97
409,-0.97
413,-0.97
417,-0.97
421,-0.97
425,-0.97
430,-0.97
434,-0.97
438,-0.97
443,-0.97
447,-0.97
451,-0.97
456,-0.97
460,-0.97
465,-0.96
470,-0.84
474,-0.81
479,-0.81
484,-0.81
489,-0.72
494,-0.65
499,-0.65
504,-0.65
509,-0.65
514,-0.65
519,-0.65
524,-0.65
529,-0.64
535,-0.51
540,-0.41
545,-0.32
551,-0.32
556,-0.32
562,-0.32
568,-0.32
573,-0.32
579,-0.32
585,-0.31
591,-0.20
596,-0.10
602,0.00
608,0.00
615,0.00
621,0.00
627,0.00
633,0.00
639,-0.00
646,0.00
652,0.10
659,0.22
665,0.32
672,0.32
679,0.32
686,0.32
692,0.32
699,0.32
706,0.32
713,0.32
721,0.32
728,0.32
735,0.32
742,0.32
750,0.38
757,0.49
765,0.49
773,0.41
780,0.32
788,0.32
796,0.32
804,0.32
812,0.32
820,0.32
828,0.32
837,0.32
845,0.32
853,0.32
862,0.32
871,0.32
879,0.32
888,0.32
897,0.32
906,0.32
915,0.32
924,0.32
933,0.32
943,0.27
952,0.17
962,0.05
971,0.00
981,-0.00
991,-0.00
1001,0.00
1011,0.00
1021,0.00
1031,0.00
1041,0.00
1052,0.00
1062,-0.10
1073,-0.21
1084,-0.32
1094,-0.32
1105,-0.32
1116,-0.32
1128,-0.32
1139,-0.32
1150,-0.32
1162,-0.32
1173,-0.32
1185,-0.36
1197,-0.47
1209,-0.59
1221,-0.65
1233,-0.65
1246,-0.65
1258,-0.65
1271,-0.65
1283,-0.65
1296,-0.65
1309,-0.65
1322,-0.65
1335,-0.65
1349,-0.69
1362,-0.80
1376,-0.81
1390,-0.81
1404,-0.82
1418,-0.93
1432,-0.97
1446,-0.97
1461,-0.97
1475,-0.97
1490,-0.97
1505,-0.97
1520,-0.97
1535,-0.97
1550,-0.97
1566,-0.97
1582,-0.97
1597,-0.97
1613,-0.97
1629,-0.97
1646,-0.97
1662,-0.97
1679,-0.97
1696,-0.97
1713,-0.97
1730,-0.97
1747,-0.97
1764,-0.97
1782,-0.87
1800,-0.81
1818,-0.81
1836,-0.70
1854,-0.65
1873,-0.65
1892,-0.65
1911,-0.65
1930,-0.65
1949,-0.65
1969,-0.55
1988,-0.45
2008,-0.33
2028,-0.32
2048,-0.32
2069,-0.32
2090,-0.32
2111,-0.32
2132,-0.31
2153,-0.19
2175,-0.08
2196,0.00
2218,0.00
2240,0.00
2263,0.00
2285,0.00
2308,0.00
2331,0.00
2355,0.00
2378,-0.00
2402,0.14
2426,0.32
2450,0.32
2475,0.32
2500,0.32
2525,0.32
2550,0.51
2575,0.65
2601,0.65
2627,0.86
2653,1.08
2680,1.30
2707,1.42
2734,1.60
2761,1.82
2789,2.05
2817,2.28
2845,2.50
2873,2.72
2902,3.04
2931,3.33
2960,3.56
2990,3.78
3020,4.01
3050,4.22
3080,4.33
3111,4.45
3142,4.54
3174,4.54
3206,4.63
3238,4.74
3270,4.85
3303,4.86
3336,4.86
3369,4.86
3403,4.86
3437,4.86
3471,4.86
3506,4.86
3541,4.86
3576,4.89
3612,5.00
3648,5.11
3685,5.19
3721,5.19
3759,5.19
3796,5.24
3834,5.35
3873,5.46
3911,5.51
3950,5.53
3990,5.76
4030,5.84
4070,5.86
4111,5.97
4152,6.09
4193,6.16
4235,6.16
4278,6.16
4321,6.16
4364,6.16
4407,5.94
4451,5.84
4496,5.83
4541,5.71
4586,5.60
4632,5.49
4679,5.38
4725,5.27
4773,5.11
4820,4.89
4868,4.77
4917,4.65
