frequency,raw
20,-27.22
21,-26.28
22,-25.49
23,-24.83
24,-24.19
25,-23.56
26,-22.96
27,-22.37
28,-21.80
29,-21.26
30,-20.86
31,-20.40
32,-20.01
33,-19.62
34,-19.28
35,-18.95
36,-18.47
37,-18.16
38,-17.86
39,-17.57
40,-17.24
41,-17.00
42,-16.68
43,-16.47
44,-16.06
45,-15.88
46,-15.71
47,-15.38
48,-15.23
49,-14.93
50,-14.73
51,-14.54
52,-14.23
53,-14.08
54,-13.90
55,-13.69
56,-13.48
57,-13.28
58,-13.11
59,-13.00
60,-12.79
61,-12.68
62,-12.50
63,-12.46
64,-12.46
65,-12.14
66,-12.14
67,-12.14
68,-12.10
69,-11.94
70,-11.81
71,-11.81
72,-11.81
73,-11.79
74,-11.63
75,-11.49
76,-11.49
77,-11.49
78,-11.36
79,-11.22
80,-11.16
81,-11.10
82,-10.96
83,-10.83
84,-10.69
85,-10.56
86,-10.52
87,-10.40
88,-10.19
89,-10.19
90,-9.95
91,-9.87
92,-9.78
93,-9.54
94,-9.54
95,-9.46
96,-9.34
97,-9.23
98,-9.22
99,-9.10
100,-8.89
101,-8.89
102,-8.75
104,-8.57
105,-8.57
106,-8.53
107,-8.32
108,-8.25
109,-8.25
110,-8.25
111,-8.14
112,-7.93
113,-7.92
114,-7.92
115,-7.92
117,-7.60
118,-7.60
119,-7.60
120,-7.60
121,-7.54
123,-7.36
124,-7.27
125,-7.27
126,-7.25
128,-7.07
129,-6.98
130,-6.95
131,-6.95
133,-6.95
134,-6.80
135,-6.64
137,-6.62
138,-6.62
140,-6.54
141,-6.46
142,-6.38
144,-6.30
145,-6.30
147,-6.30
148,-6.30
150,-6.25
151,-6.18
153,-6.03
154,-5.98
156,-5.98
157,-5.98
159,-5.92
160,-5.85
162,-5.71
164,-5.65
165,-5.65
167,-5.65
169,-5.55
170,-5.49
172,-5.35
174,-5.33
175,-5.33
177,-5.33
179,-5.33
181,-5.20
183,-5.00
184,-5.00
186,-5.00
188,-5.00
190,-5.00
192,-4.92
194,-4.84
196,-4.84
198,-4.74
200,-4.68
202,-4.68
204,-4.68
206,-4.68
208,-4.68
210,-4.68
212,-4.61
