frequency,raw
20.00,-2.09
20.20,-2.05
20.40,-2.02
20.61,-1.99
20.81,-1.96
21.02,-1.93
21.23,-1.91
21.44,-1.90
21.66,-1.89
21.87,-1.88
22.09,-1.87
22.31,-1.86
22.54,-1.86
22.76,-1.86
22.99,-1.86
23.22,-1.85
23.45,-1.85
23.69,-1.84
23.92,-1.84
24.16,-1.83
24.40,-1.83
24.65,-1.84
24.89,-1.84
25.14,-1.84
25.39,-1.85
25.65,-1.85
25.91,-1.86
26.16,-1.87
26.43,-1.87
26.69,-1.88
26.96,-1.88
27.23,-1.89
27.50,-1.89
27.77,-1.91
28.05,-1.91
28.33,-1.92
28.62,-1.93
28.90,-1.93
29.19,-1.94
29.48,-1.93
29.78,-1.94
30.08,-1.95
30.38,-1.96
30.68,-1.96
30.99,-1.97
31.30,-1.97
31.61,-1.97
31.93,-1.98
32.24,-2.00
32.57,-2.00
32.89,-1.99
33.22,-2.00
33.55,-2.00
33.89,-2.01
34.23,-2.01
34.57,-2.02
34.92,-2.02
35.27,-2.02
35.62,-2.03
35.97,-2.03
36.33,-2.03
36.70,-2.04
37.06,-2.05
37.43,-2.05
37.81,-2.06
38.19,-2.07
38.57,-2.07
38.95,-2.08
39.34,-2.09
39.74,-2.10
40.14,-2.09
40.54,-2.10
40.94,-2.10
41.35,-2.11
41.76,-2.11
42.18,-2.12
42.60,-2.13
43.03,-2.14
43.46,-2.16
43.90,-2.19
44.33,-2.21
44.78,-2.23
45.23,-2.25
45.68,-2.27
46.13,-2.28
46.60,-2.28
47.06,-2.29
47.53,-2.30
48.01,-2.29
48.49,-2.29
48.97,-2.30
49.46,-2.30
49.96,-2.29
50.46,-2.27
50.96,-2.26
51.47,-2.26
51.99,-2.26
52.51,-2.25
53.03,-2.26
53.56,-2.27
54.10,-2.28
54.64,-2.30
55.18,-2.32
55.74,-2.34
56.29,-2.35
56.86,-2.37
57.42,-2.40
58.00,-2.42
58.58,-2.44
59.16,-2.45
59.76,-2.47
60.35,-2.50
60.96,-2.52
61.57,-2.56
62.18,-2.58
62.80,-2.60
63.43,-2.63
64.07,-2.64
64.71,-2.66
65.35,-2.67
66.01,-2.69
66.67,-2.69
67.33,-2.70
68.01,-2.70
68.69,-2.70
69.37,-2.70
70.07,-2.70
70.77,-2.69
71.48,-2.68
72.19,-2.68
72.91,-2.68
73.64,-2.68
74.38,-2.67
75.12,-2.67
75.87,-2.67
76.63,-2.66
77.40,-2.65
78.17,-2.64
78.95,-2.61
79.74,-2.59
80.54,-2.57
81.35,-2.54
82.16,-2.51
82.98,-2.47
83.81,-2.44
84.65,-2.40
85.50,-2.35
86.35,-2.31
87.22,-2.26
88.09,-2.22
88.97,-2.17
89.86,-2.12
90.76,-2.09
91.66,-2.04
92.58,-2.01
93.51,-1.96
94.44,-1.92
95.39,-1.89
96.34,-1.86
97.30,-1.82
98.28,-1.79
99.26,-1.76
100.25,-1.73
101.25,-1.70
102.27,-1.67
103.29,-1.66
104.32,-1.64
105.37,-1.63
106.42,-1.62
107.48,-1.63
108.56,-1.64
109.64,-1.64
110.74,-1.65
111.85,-1.65
112.97,-1.68
114.10,-1.68
115.24,-1.70
116.39,-1.71
117.55,-1.72
118.73,-1.72
119.92,-1.71
121.12,-1.71
122.33,-1.70
123.55,-1.68
124.79,-1.67
126.03,-1.66
127.29,-1.64
128.57,-1.64
129.85,-1.63
131.15,-1.62
132.46,-1.61
133.79,-1.59
135.12,-1.59
136.48,-1.57
137.84,-1.57
139.22,-1.58
140.61,-1.57
142.02,-1.55
143.44,-1.55
144.87,-1.55
146.32,-1.56
147.78,-1.56
149.26,-1.57
150.75,-1.60
152.26,-1.63
153.78,-1.67
155.32,-1.71
156.88,-1.74
158.44,-1.78
160.03,-1.82
161.63,-1.84
163.24,-1.87
164.88,-1.88
166.53,-1.89
168.19,-1.90
169.87,-1.90
171.57,-1.89
173.29,-1.87
175.02,-1.85
176.77,-1.84
178.54,-1.82
180.32,-1.80
182.13,-1.78
183.95,-1.77
185.79,-1.75
187.65,-1.76
189.52,-1.76
191.42,-1.76
193.33,-1.76
195.27,-1.76
197.22,-1.76
199.19,-1.78
201.18,-1.78
203.19,-1.78
205.23,-1.79
207.28,-1.79
209.35,-1.80
211.44,-1.82
213.56,-1.82
215.69,-1.81
217.85,-1.82
220.03,-1.83
222.23,-1.84
224.45,-1.83
226.70,-1.83
228.96,-1.82
231.25,-1.81
233.57,-1.81
235.90,-1.81
238.26,-1.80
240.64,-1.79
243.05,-1.77
245.48,-1.75
247.93,-1.73
250.41,-1.72
252.92,-1.69
255.45,-1.66
258.00,-1.64
260.58,-1.63
263.19,-1.60
265.82,-1.58
268.48,-1.56
271.16,-1.53
273.87,-1.51
276.61,-1.48
279.38,-1.46
282.17,-1.43
284.99,-1.40
287.84,-1.37
290.72,-1.34
293.63,-1.32
296.57,-1.28
299.53,-1.26
302.53,-1.25
