frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20,-10.689561391018227,-10.706040553412416,-10.690852157733012,-10.707316944257483,5.999999999999999,-4.689561391018228,-4.690852157733013,0.016479162394188673
21,-10.461641163097998,-10.479287249567296,-10.380681657834774,-10.398329375451,6.0,-4.4616411630979975,-4.380681657834774,0.017646086469297995
22,-10.005800707257546,-10.024563278250117,-10.09034488810634,-10.10911851610676,6.0,-4.005800707257546,-4.0903448881063404,0.01876257099257117
23,-9.777880479337316,-9.797707689072459,-9.819841848547707,-9.839684366224764,5.999999999999999,-3.777880479337317,-3.819841848547708,0.01982720973514196
24,-9.549960251417087,-9.570798594964874,-9.569172539158869,-9.590026925805002,5.999999999999998,-3.5499602514170885,-3.5691725391588704,0.020838343547786575
25,-9.322040023496857,-9.343834052411573,-9.341167939490262,-9.362979239542106,6.000000000000001,-3.3220400234968563,-3.341167939490261,0.02179402891471538
26,-9.094119795576635,-9.116811799786612,-9.132278597726664,-9.15498996861987,6.0,-3.094119795576635,-3.132278597726664,0.022692004209976968
27,-8.927032834187422,-8.950566981734426,-8.939446343767425,-8.962998750578691,6.0,-2.927032834187422,-2.9394463437674254,0.023534147547003226
28,-8.866199567656405,-8.890513042624338,-8.758767158714518,-8.783097729552612,6.0,-2.8661995676564054,-2.7587671587145177,0.02431347496793279
29,-8.638279339736176,-8.66330405908095,-8.586208688563369,-8.611248898599506,6.000000000000001,-2.638279339736175,-2.586208688563368,0.02502471934477457
30,-8.410359111815946,-8.43602036528691,-8.419440199531898,-8.445114743532262,6.0,-2.4103591118159464,-2.4194401995318984,0.025661253470963263
31,-8.182438883895724,-8.208653943455896,-8.257480751654349,-8.283706180556619,5.999999999999999,-2.182438883895725,-2.2574807516543496,0.026215059560172893
32,-8.182438883895724,-8.209115692837859,-8.100873123193818,-8.127556833387093,5.999999999999999,-2.182438883895725,-2.1008731231938187,0.0266768089421352
33,-7.954518655975495,-7.9815547213491325,-7.9511949313963655,-7.978234410223119,6.0,-1.9545186559754946,-1.9511949313963655,0.027036065373637452
34,-7.726598428055265,-7.753880814047468,-7.81022731143919,-7.837509586058662,5.999999999999998,-1.7265984280552669,-1.810227311439192,0.027282385992203118
35,-7.726598428055265,-7.754003220349902,-7.679350587190314,-7.706751988392387,6.000000000000001,-1.7265984280552642,-1.6793505871903127,0.02740479229463677
36,-7.498678200135036,-7.526070527448931,-7.559037377887073,-7.586423557653918,5.999999999999998,-1.4986782001350374,-1.5590373778870745,0.02739232731389496
37,-7.498678200135036,-7.525912551740836,-7.448697744610772,-7.47592394338799,6.000000000000001,-1.4986782001350347,-1.4486977446107714,0.02723435160580001
38,-7.270757972214806,-7.297678750029809,-7.346848606229296,-7.373760139731523,6.000000000000001,-1.2707579722148052,-1.3468486062292948,0.026920777815003127
39,-7.270757972214806,-7.297200190343967,-7.25147712047757,-7.277910020794831,6.0,-1.2707579722148061,-1.2514771204775696,0.026442218129161255
40,-7.240110673150655,-7.265900702744857,-7.160500134963737,-7.186281882172077,5.999999999999998,-1.2401106731506566,-1.1605001349637387,0.0257900295942024
41,-7.042837744294584,-7.067794132301798,-7.0721700466665265,-7.0971203080584795,5.999999999999998,-1.0428377442945855,-1.0721700466665283,0.024956388007214336
42,-7.042837744294584,-7.0667719298584455,-6.9853381250948425,-7.0092694141185365,6.000000000000002,-1.042837744294582,-0.9853381250948408,0.023934185563861288
43,-6.814917516374354,-6.837634373895568,-6.8995425401603745,-6.922260707773708,6.0,-0.8149175163743543,-0.8995425401603745,0.02271685752121444
44,-6.814917516374354,-6.8362156414263655,-6.814932380807405,-6.836236853855547,6.0,-0.8149175163743543,-0.8149323808074049,0.02129812505201123
45,-6.814917516374354,-6.834589178084515,-6.732079905816603,-6.751763595826877,5.999999999999998,-0.814917516374356,-0.7320799058166045,0.019671661710161104
46,-6.586997288454125,-6.604827980280675,-6.651743473640062,-6.669592290954862,6.000000000000001,-0.5869972884541239,-0.6517434736400611,0.017830691826550282
47,-6.586997288454125,-6.602764818070318,-6.574640565797814,-6.5904324886917465,6.0,-0.5869972884541248,-0.5746405657978144,0.015767529616192544
48,-6.542575190384873,-6.556048281771111,-6.501278621528748,-6.514782287608986,6.0,-0.5425751903848726,-0.5012786215287477,0.013473091386238423
49,-6.359077060533895,-6.370013452712535,-6.431872394738202,-6.4428452010860475,5.999999999999999,-0.3590770605338962,-0.43187239473820327,0.010936392178639842
50,-6.359077060533895,-6.367221109438807,-6.3663551413110895,-6.374540859970518,6.0,-0.3590770605338953,-0.3663551413110895,0.008144048904911827
51,-6.359077060533895,-6.3641568714076,-6.304468843276064,-6.309594778738804,5.999999999999999,-0.3590770605338962,-0.30446884327606494,0.005079810873704016
52,-6.258599984222359,-6.260324121938842,-6.24589831966765,-6.247672053943436,6.0,-0.25859998422235897,-0.24589831966765008,0.001724137716482943
53,-6.131156832613673,-6.129210674979259,-6.19039939004973,-6.188505177923142,6.0,-0.13115683261367295,-0.1903993900497296,-0.0019461576344146359
54,-6.131156832613673,-6.125198645356072,-6.137871244606966,-6.1319661359702415,6.0,-0.13115683261367295,-0.13787124460696631,-0.005958187257600667
55,-6.131156832613673,-6.120813656689149,-6.088342684437118,-6.078052461575993,5.992118674970416,-0.1390381576432569,-0.09622400946670151,-0.010343175924523607
56,-6.130872464886607,-6.115735913988118,-6.04187563379063,-6.026790658786275,5.975465062675439,-0.15540740221116778,-0.066410571115191,-0.015136550898488199
57,-5.9032366046934435,-5.882858674088991,-5.998423604682216,-5.978094675465753,5.950514844097266,0.047278239403822475,-0.047908760584950194,-0.020377930604452477
58,-5.9032366046934435,-5.87712559171335,-5.957702749968503,-5.9316370630350965,5.919281415650999,0.016044810957555278,-0.03842133431750394,-0.026111012980093662
59,-5.9032366046934435,-5.870853236602803,-5.919129866946837,-5.886787180508483,5.883241169716811,-0.019995434976632254,-0.035888697230025635,-0.03238336809064091
60,-5.9032366046934435,-5.8639904617424845,-5.881855620328132,-5.842644704147057,5.842644704147055,-0.06059190054638819,-0.03921091618107653,-0.03924614295095896
61,-5.9032366046934435,-5.856482915231345,-5.84488399246275,-5.798159440305824,5.798159440305824,-0.1050771643876196,-0.046724552156925725,-0.04675368946209879
62,-5.9032366046934435,-5.848273476251128,-5.807240205990688,-5.752299674241956,5.752299674241957,-0.15093693045148626,-0.05494053174873059,-0.05496312844231532
63,-5.675316376773214,-5.61138251267299,-5.768141405143668,-5.704223327342844,5.704223327342844,0.02890695056963022,-0.0639180778008237,-0.06393386410022384
64,-5.675316376773214,-5.601589312913839,-5.72713602492024,-5.653417837661776,5.653417837661776,-0.021898539111438353,-0.07371818725846424,-0.073727063859375
65,-5.675316376773214,-5.590911258548716,-5.684197889698102,-5.59979479098104,5.59979479098104,-0.07552158579217405,-0.08440309871706209,-0.08440511822449803
66,-5.675316376773214,-5.579285282338081,-5.6397772317003305,-5.543741479642295,5.543741479642295,-0.1315748971309194,-0.09603575205803594,-0.09603109443513258
67,-5.675316376773214,-5.566648180691678,-5.594816329958908,-5.486137078116913,5.486137078116914,-0.1891792986562999,-0.1086792518419939,-0.10866819608153566
68,-5.577603884932756,-5.455224646112361,-5.550734913188439,-5.428338568177548,5.428338568177549,-0.1492653167552076,-0.12239634501089025,-0.12237923882039459
69,-5.4473961488529845,-5.310169998893809,-5.509389295771507,-5.372140374160679,5.372140374160679,-0.07525577469230527,-0.13724892161082813,-0.1372261499591758
70,-5.4473961488529845,-5.294126651703818,-5.4730179537834625,-5.31972041046912,5.31972041046912,-0.12767573838386426,-0.1532975433143422,-0.1532694971491657
71,-5.4473961488529845,-5.276828099950776,-5.444200314793459,-5.273599315099585,5.2735993150995855,-0.17379683375339905,-0.17060099969387377,-0.17056804890220878
72,-5.4473961488529845,-5.258217781575209,-5.4258577753822665,-5.236641885122487,5.236641885122486,-0.21075426373049844,-0.18921589025978047,-0.18917836727777537
73,-5.4473961488529845,-5.238241717847284,-5.421299749137244,-5.212103514190481,5.212103514190481,-0.23529263466250327,-0.20919623494676287,-0.20915443100569986
74,-5.4473961488529845,-5.21684886323623,-5.434261391151473,-5.2036682719551814,5.203668271955182,-0.24372787689780218,-0.23059311919629089,-0.2305472856167552
75,-5.4473961488529845,-5.193991432933259,-5.468814923259371,-5.215360540890869,5.215360540890869,-0.2320356079621151,-0.2534543823685018,-0.2534047159197259
76,-5.4473961488529845,-5.16962521342824,-5.529002696007555,-5.251178346180101,5.251178346180102,-0.1962178026728827,-0.2778243498274531,-0.2777709354247446
77,-5.6266932192455705,-5.323006932175633,-5.618077561858134,-5.314333988437387,5.3143339884373875,-0.31235923080818306,-0.3037435734207463,-0.3036862870699375
78,-5.738489420316684,-5.407302470483351,-5.737361472637654,-5.406112979209017,5.406112979209017,-0.33237644110766684,-0.33124849342863705,-0.33118694983333263
79,-5.9032366046934435,-5.542931958242935,-5.884918968595661,-5.524548040988742,5.5245480409887415,-0.37868856370470194,-0.3603709276069198,-0.3603046464505084
80,-5.9032366046934435,-5.512170256254773,-6.054417879969568,-5.663280477699798,5.663280477699797,-0.2399561269936461,-0.3911374022697709,-0.3910663484386703
81,-6.048343182846678,-5.624849206980803,-6.234630141163712,-5.811061569415786,5.780435293049152,-0.26790788979752644,-0.4541948481145601,-0.4234939758658749
82,-6.371385983695998,-5.913781892983026,-6.409950027478162,-5.95227083957436,5.870007734727407,-0.5013782489685905,-0.5399422927507551,-0.4576040907129708
83,-6.690513017756462,-6.19710543358557,-6.562070661828462,-6.0685915789428595,5.932981489552618,-0.7575315282038444,-0.6290891722758438,-0.49340758417089203
84,-6.814917516374354,-6.284008156653169,-6.6726235645857646,-6.141648403932327,5.970297400432813,-0.8446201159415416,-0.7023261641529519,-0.530909359721186
